@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Fuel-type {diesel,gas}
@attribute Height numeric
@attribute Stroke numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
nissan,gas,53.3,3.29,7799,1
nissan,gas,53.5,3.29,7999,1
nissan,gas,54.5,3.29,7499,1
honda,gas,52.6,3.07,5399,1
nissan,gas,54.5,3.29,5499,1
mitsubishi,gas,51.6,3.46,8189,1
plymouth,gas,50.8,3.39,7957,1
mitsubishi,gas,51.6,3.46,9279,1
plymouth,gas,50.6,3.23,6229,1
dodge,gas,50.6,3.23,6229,1
nissan,gas,54.5,3.29,6849,1
toyota,gas,54.5,3.03,6488,1
honda,gas,52.6,3.41,6529,1
toyota,gas,54.5,3.03,6338,1
plymouth,gas,50.8,3.23,5572,1
honda,gas,51,3.58,10345,1
mitsubishi,gas,51.6,3.46,6989,1
mazda,gas,54.1,3.15,5195,1
mazda,gas,53.7,3.39,8845,1
toyota,gas,52.6,3.08,9298,1
nissan,gas,54.5,3.29,6649,1
mitsubishi,gas,50.8,3.39,7689,1
mitsubishi,gas,50.8,3.23,6669,2
volkswagen,diesel,55.7,3.4,7775,2
toyota,gas,53,3.5,17669,2
nissan,gas,53.3,3.29,8249,2
bmw,gas,54.3,2.8,16430,2
volkswagen,gas,55.7,3.4,8495,2
audi,gas,54.3,3.4,17450,2
chevrolet,gas,53.2,3.03,5151,2
subaru,gas,53.7,2.64,7053,2
toyota,gas,52,3.5,9639,2
volkswagen,diesel,55.7,3.4,9495,2
volkswagen,diesel,55.7,3.4,7995,2
volkswagen,gas,55.7,3.4,9995,2
saab,gas,56.1,3.07,15510,2
toyota,gas,52,3.5,11199,2
audi,gas,54.3,3.4,13950,2
honda,gas,50.8,3.41,6479,2
mitsubishi,gas,50.8,3.23,6189,2
mitsubishi,gas,50.8,3.23,5389,2
subaru,gas,53.7,2.36,5118,2
volkswagen,gas,55.7,3.4,7975,2
saab,gas,56.1,3.07,12170,2
toyota,gas,52,3.5,9989,2
toyota,gas,52,3.5,11549,2
honda,gas,50.8,3.41,6855,2
saab,gas,56.1,3.07,18620,2
toyota,gas,52,3.35,15998,3
dodge,gas,50.2,3.9,12964,3
mitsubishi,gas,49.4,3.46,9959,3
nissan,gas,49.7,3.27,19699,3
toyota,gas,52,3.35,16558,3
mitsubishi,gas,49.4,3.46,8499,3
saab,gas,56.1,2.07,15040,3
mercedes-benz,gas,50.8,3.1,35056,3
volkswagen,gas,51.4,3.4,9980,3
saab,gas,56.1,3.07,18150,3
porsche,gas,50.2,3.11,22018,3
