@relation vehicle

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Radius_ratio numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
38,79,185,130,133,198,bus
55,96,191,170,242,184,bus
47,91,226,148,186,192,bus
44,72,136,143,183,181,bus
45,68,139,143,184,181,bus
42,70,148,143,153,186,bus
43,70,147,145,168,181,bus
45,73,152,145,176,189,bus
51,93,160,165,208,188,bus
37,73,186,127,132,197,bus
44,65,124,144,171,179,bus
46,73,137,146,183,185,bus
45,72,179,144,191,193,bus
43,71,133,146,176,180,bus
43,65,127,143,171,180,bus
45,71,170,146,189,187,bus
54,105,164,165,243,181,bus
47,70,185,153,172,200,bus
45,70,130,146,187,181,bus
41,77,177,134,148,196,bus
45,68,150,144,184,181,bus
44,71,165,141,172,188,bus
43,68,120,145,176,179,bus
49,89,168,153,198,190,bus
55,102,169,165,247,184,bus
46,74,202,149,191,196,bus
44,84,216,145,154,196,bus
40,72,155,135,145,192,bus
43,69,123,144,177,180,bus
43,66,130,143,168,180,bus
49,80,206,156,198,198,bus
43,72,141,144,174,182,bus
37,75,191,128,135,195,bus
43,68,152,142,164,188,bus
42,70,130,145,172,181,bus
43,66,130,142,173,181,bus
51,89,199,159,205,193,bus
51,92,194,162,209,188,bus
43,73,158,145,173,183,bus
39,70,166,134,143,193,bus
37,75,184,131,127,198,bus
37,73,174,131,135,196,bus
42,66,169,140,159,201,bus
42,65,116,141,172,179,bus
46,71,159,146,189,186,bus
38,75,164,131,139,195,bus
44,66,125,145,185,180,bus
38,72,192,131,138,200,bus
54,100,227,162,262,182,bus
42,84,209,138,161,196,bus
43,68,125,146,172,179,bus
51,92,203,159,214,191,bus
42,65,113,141,171,179,bus
39,74,165,134,139,195,bus
57,109,194,175,261,182,bus
43,66,121,147,175,179,bus
41,73,158,138,152,190,bus
43,70,126,145,171,179,bus
35,70,182,124,117,202,bus
39,75,184,133,145,192,bus
43,64,173,142,177,199,bus
56,109,199,169,268,183,bus
44,72,150,144,177,183,bus
45,66,126,145,186,179,bus
45,70,120,145,186,181,bus
52,94,208,161,218,193,bus
43,70,123,146,176,181,bus
49,79,203,154,206,197,bus
44,68,120,146,190,180,bus
58,105,183,174,255,181,bus
49,98,187,152,210,188,bus
44,72,160,147,169,191,bus
42,70,139,142,156,185,bus
41,70,155,141,147,188,bus
57,102,184,171,229,187,bus
43,70,177,143,168,186,bus
43,64,128,144,173,180,bus
43,69,141,145,179,181,bus
54,106,188,164,253,185,bus
45,85,193,146,163,195,bus
45,83,198,146,167,193,bus
42,76,159,138,157,189,bus
43,66,120,145,174,179,bus
45,68,137,151,179,179,bus
41,70,155,138,152,187,bus
39,76,180,131,143,195,bus
43,73,154,143,160,185,bus
43,68,123,147,176,179,bus
43,82,161,141,162,195,bus
51,84,207,161,198,196,bus
45,72,187,144,186,196,bus
42,59,132,144,172,179,bus
45,74,187,143,183,195,bus
41,76,165,140,152,188,bus
45,89,213,145,182,195,bus
45,68,169,146,186,183,bus
40,78,186,134,148,193,bus
42,66,156,144,159,182,bus
56,103,223,169,239,184,bus
36,74,183,127,127,201,bus
48,95,209,150,200,192,bus
58,106,180,171,257,181,bus
41,77,197,139,151,198,bus
42,66,120,145,163,180,bus
57,102,181,169,261,182,bus
42,66,122,141,174,180,bus
41,66,155,139,155,184,bus
44,70,179,141,178,194,bus
47,88,183,148,201,192,bus
50,93,173,159,206,186,bus
54,98,201,165,231,188,bus
41,75,205,138,151,197,bus
44,70,151,143,173,196,bus
40,73,173,137,151,196,bus
57,106,179,172,232,181,bus
44,70,166,143,170,188,bus
43,68,148,144,171,182,bus
45,65,128,145,186,179,bus
47,84,205,152,201,198,bus
46,73,125,147,188,180,bus
44,70,186,144,178,199,bus
44,65,128,148,176,179,bus
47,75,153,145,184,185,bus
48,79,199,153,171,195,bus
57,106,172,169,264,181,bus
43,71,159,141,171,195,bus
47,74,141,149,199,183,bus
40,77,171,139,141,199,bus
44,68,144,143,180,185,bus
43,68,139,145,171,180,bus
53,101,238,163,242,184,bus
47,75,165,146,190,188,bus
44,68,190,145,166,202,bus
45,66,154,144,177,184,bus
46,77,199,150,180,200,bus
44,70,205,144,188,180,bus
38,70,186,136,129,200,bus
46,68,139,146,183,185,bus
37,74,199,128,136,196,bus
43,71,154,143,173,181,bus
36,73,199,127,125,200,bus
42,65,125,140,172,180,bus
45,71,155,144,176,189,bus
46,70,149,146,185,183,bus
44,70,158,143,173,193,bus
44,72,139,146,178,182,bus
42,64,122,143,171,179,bus
38,74,184,131,137,200,bus
36,73,191,126,124,199,bus
43,61,119,144,172,179,bus
46,74,171,148,192,189,bus
56,102,246,167,228,186,bus
47,73,195,152,185,200,bus
44,65,129,150,177,178,bus
46,71,130,149,191,180,bus
50,98,204,156,213,189,bus
51,88,188,158,219,191,bus
43,68,170,142,177,198,bus
49,76,203,157,186,197,bus
49,84,219,154,209,195,bus
44,68,120,147,178,179,bus
49,79,180,158,194,197,bus
46,70,194,148,171,200,bus
45,68,154,147,186,180,bus
46,71,141,148,190,182,bus
52,95,189,158,217,187,bus
46,75,185,147,192,192,bus
45,76,171,144,179,195,bus
37,72,193,133,127,200,bus
45,68,148,142,180,183,bus
38,75,188,129,137,197,bus
42,81,193,137,156,198,bus
43,83,198,139,163,196,bus
43,73,173,143,172,200,bus
44,68,113,147,189,179,bus
42,66,120,143,160,180,bus
41,71,169,138,157,192,bus
42,60,116,141,171,178,bus
45,71,128,147,176,181,bus
45,66,252,144,185,181,bus
41,75,162,136,154,188,bus
42,63,125,145,172,179,bus
46,88,191,147,174,194,bus
44,70,140,145,185,181,bus
42,62,175,139,165,202,bus
42,64,121,146,172,179,bus
44,72,118,147,177,180,bus
57,109,220,176,236,188,opel
39,60,122,131,142,179,opel
35,78,162,125,137,191,opel
48,96,232,153,197,188,opel
51,109,231,163,206,189,opel
48,104,214,151,202,186,opel
46,105,209,152,159,194,opel
52,101,206,161,204,195,opel
38,85,177,129,130,198,opel
55,109,230,174,226,191,opel
39,91,191,137,151,192,opel
52,96,188,161,205,193,opel
52,105,162,163,204,186,opel
34,69,152,122,120,204,opel
55,96,196,173,214,186,opel
55,105,230,171,210,190,opel
36,66,128,127,139,183,opel
54,91,209,170,196,187,opel
36,78,160,123,129,194,opel
52,104,177,166,215,187,opel
56,100,168,175,224,185,opel
53,103,221,163,212,191,opel
38,84,158,130,155,190,opel
45,100,209,147,189,189,opel
54,104,186,172,217,186,opel
46,94,209,147,194,188,opel
55,101,219,178,216,187,opel
54,91,179,170,198,186,opel
36,77,172,125,126,198,opel
38,63,130,130,144,195,opel
55,101,183,177,204,186,opel
40,80,133,135,144,181,opel
40,69,147,137,151,203,opel
50,88,204,159,193,194,opel
44,82,136,144,168,188,opel
55,108,168,178,217,187,opel
48,107,222,154,204,190,opel
38,66,138,132,139,185,opel
58,101,208,182,216,185,opel
38,60,128,130,141,185,opel
50,83,195,156,210,189,opel
40,69,146,134,144,193,opel
38,53,125,128,146,177,opel
51,96,196,161,235,191,opel
40,83,178,132,157,187,opel
49,96,201,158,180,202,opel
57,103,216,176,219,186,opel
38,58,125,127,145,177,opel
57,107,207,180,205,186,opel
40,66,121,133,163,180,opel
37,53,111,128,147,176,opel
36,72,141,126,130,187,opel
55,105,216,169,216,189,opel
46,101,210,151,169,191,opel
39,89,194,135,121,201,opel
46,105,219,148,201,191,opel
41,83,194,142,138,197,opel
46,82,170,149,164,200,opel
55,98,161,175,221,185,opel
48,101,195,152,193,189,opel
55,101,189,177,211,188,opel
44,71,145,143,174,188,opel
40,75,146,135,162,183,opel
39,72,127,135,144,181,opel
38,89,176,132,148,193,opel
54,104,175,175,222,186,opel
36,69,142,126,128,193,opel
48,101,204,158,164,192,opel
45,92,197,148,159,195,opel
55,101,228,168,245,188,opel
55,96,181,175,216,187,opel
45,76,166,148,186,190,opel
55,96,170,173,218,184,opel
51,100,197,161,195,196,opel
54,98,167,174,223,187,opel
47,83,165,147,201,187,opel
49,96,206,156,176,197,opel
40,73,141,133,153,181,opel
52,103,186,162,189,189,opel
55,103,201,166,246,186,opel
38,78,153,127,142,187,opel
44,80,191,143,180,194,opel
43,78,166,141,174,193,opel
52,98,196,161,244,190,opel
39,90,180,131,145,190,opel
39,86,169,131,147,185,opel
43,69,158,143,168,198,opel
52,107,207,167,197,191,opel
35,66,159,131,123,197,opel
57,104,228,175,223,186,opel
49,86,195,156,201,192,opel
36,78,179,126,142,192,opel
47,81,156,149,197,187,opel
35,66,154,128,120,197,opel
51,104,163,164,193,188,opel
54,100,199,166,241,189,opel
42,69,153,138,151,199,opel
44,98,211,141,178,187,opel
43,96,197,142,139,195,opel
38,74,138,127,127,183,opel
54,105,213,163,214,190,opel
37,77,144,127,145,186,opel
43,96,202,143,166,190,opel
53,98,192,166,191,188,opel
52,93,204,161,240,188,opel
38,75,144,132,136,181,opel
54,101,190,171,203,189,opel
41,92,197,140,136,197,opel
54,107,218,174,199,189,opel
36,72,127,125,123,184,opel
49,103,186,156,186,192,opel
50,98,212,161,185,198,opel
45,77,153,145,172,184,opel
41,93,197,137,153,193,opel
49,86,190,153,209,192,opel
40,71,131,134,165,180,opel
38,72,130,132,123,188,opel
48,94,198,155,189,199,opel
47,103,215,147,200,187,opel
36,51,116,124,135,177,opel
48,83,177,152,196,195,opel
53,98,203,167,214,188,opel
57,105,221,173,250,187,opel
46,79,181,148,193,191,opel
54,98,177,171,223,186,opel
37,57,116,125,132,178,opel
54,100,163,173,201,187,opel
37,80,158,126,136,191,opel
42,75,172,142,160,206,opel
45,80,186,145,178,199,opel
55,98,224,170,214,189,opel
55,107,200,178,204,187,opel
49,107,194,161,172,192,opel
53,103,203,162,210,191,opel
38,77,156,129,140,192,opel
38,53,123,128,148,177,opel
52,107,211,161,200,194,opel
38,74,178,135,132,197,opel
52,110,172,166,218,188,opel
59,108,227,186,218,186,opel
56,100,204,178,204,186,opel
41,78,145,138,158,192,opel
55,101,206,180,213,186,opel
57,103,222,177,218,186,opel
38,76,172,134,145,189,opel
49,107,179,159,183,191,opel
52,104,222,163,226,192,opel
55,105,182,177,223,186,opel
38,64,130,126,135,179,opel
51,109,224,162,206,189,opel
34,66,140,120,114,201,opel
55,103,197,172,219,185,opel
39,88,194,133,151,186,opel
56,105,183,173,218,188,opel
47,81,183,150,182,192,opel
39,69,127,131,162,187,opel
44,77,167,145,177,202,opel
53,108,184,172,187,190,opel
37,76,169,131,136,188,opel
46,101,199,146,199,186,opel
36,69,127,124,133,183,opel
51,105,212,162,224,186,opel
45,75,154,146,180,193,opel
55,105,223,177,218,188,opel
52,98,225,164,199,187,opel
48,105,212,155,162,193,opel
49,103,212,156,174,189,opel
52,109,225,165,207,188,opel
39,84,149,133,157,183,opel
56,96,231,172,218,186,opel
34,42,110,119,121,179,opel
57,100,177,188,213,185,opel
48,107,215,158,168,195,opel
56,100,215,169,223,186,opel
56,100,185,173,219,186,opel
55,103,211,165,249,188,opel
42,75,140,139,166,191,opel
37,78,181,131,117,203,opel
39,77,151,134,133,184,opel
52,101,213,157,186,193,opel
41,66,129,136,165,180,opel
37,74,169,133,130,198,opel
41,75,143,137,156,184,opel
46,79,176,149,178,191,opel
56,98,209,173,216,188,opel
46,100,195,150,161,194,opel
45,82,164,144,174,190,opel
49,92,193,154,171,198,opel
35,72,172,124,125,203,opel
52,101,218,164,192,197,opel
54,107,189,174,200,187,opel
