@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
56,19,142,bus
71,22,145,bus
70,21,156,bus
53,19,146,bus
65,22,146,bus
62,19,142,bus
58,25,158,bus
54,19,140,bus
49,28,172,bus
61,18,143,bus
71,19,127,bus
68,23,150,bus
65,23,161,bus
54,19,145,bus
65,19,138,bus
66,19,144,bus
51,28,171,bus
53,19,145,bus
65,19,143,bus
47,27,166,bus
55,19,148,bus
71,20,128,bus
60,19,146,bus
71,21,152,bus
126,19,144,bus
65,19,145,bus
73,21,157,bus
67,28,171,bus
53,28,168,bus
66,20,131,bus
56,19,145,bus
72,20,150,bus
56,28,175,bus
70,19,147,bus
62,23,158,bus
56,19,144,bus
69,19,147,bus
65,23,159,bus
47,26,164,bus
64,22,146,bus
71,21,154,bus
55,19,142,bus
64,19,142,bus
59,19,146,bus
70,19,146,bus
72,19,145,bus
64,21,134,bus
67,19,144,bus
70,19,131,bus
69,22,145,bus
66,19,134,bus
63,24,156,bus
65,19,144,bus
56,19,145,bus
62,19,145,bus
53,19,147,bus
51,28,172,bus
63,19,135,bus
75,19,147,bus
68,22,153,bus
57,19,145,bus
61,25,165,bus
67,27,162,bus
69,19,144,bus
70,19,145,bus
70,20,152,bus
56,19,147,bus
57,27,169,bus
54,19,145,bus
69,20,130,bus
65,19,139,bus
60,19,151,bus
72,19,133,bus
67,19,135,bus
52,28,169,bus
64,19,141,bus
68,19,143,bus
67,19,139,bus
64,19,142,bus
69,18,143,bus
68,19,131,bus
57,26,170,bus
74,23,148,bus
55,19,146,bus
56,19,144,bus
70,19,141,bus
74,19,143,bus
56,19,144,bus
67,22,158,bus
56,19,149,bus
59,26,168,bus
56,19,150,bus
58,19,144,bus
64,19,147,bus
64,19,143,bus
64,19,145,bus
59,19,145,bus
74,19,143,bus
60,19,146,bus
56,19,143,bus
55,26,171,bus
64,19,144,bus
69,21,139,bus
61,18,136,bus
69,20,131,bus
55,19,146,bus
64,18,143,bus
54,19,141,bus
66,19,140,bus
70,19,127,bus
74,20,128,bus
70,20,148,bus
48,27,165,bus
66,24,161,bus
56,19,145,bus
51,24,165,bus
65,19,143,bus
64,19,143,bus
53,19,143,bus
55,22,141,bus
67,19,140,bus
52,19,147,bus
73,19,126,bus
54,19,145,bus
62,19,144,bus
57,19,146,bus
58,19,146,bus
64,19,144,bus
59,19,142,bus
53,19,144,bus
68,20,129,bus
50,28,169,bus
65,21,158,bus
55,19,145,bus
68,19,145,bus
73,19,136,bus
69,19,144,bus
75,19,141,bus
51,19,141,bus
64,27,169,bus
62,19,145,bus
65,19,141,bus
72,19,144,bus
56,19,145,bus
75,26,167,bus
54,19,147,bus
59,19,146,bus
61,19,143,bus
69,19,142,bus
69,22,161,bus
58,19,145,bus
54,24,153,bus
60,23,148,bus
67,18,142,bus
64,19,138,bus
51,26,165,bus
57,19,143,bus
68,19,146,bus
66,19,146,bus
54,19,146,bus
74,22,145,bus
66,19,134,bus
70,20,153,bus
71,22,159,bus
65,24,159,bus
72,19,133,bus
71,19,131,bus
62,19,143,bus
75,20,138,bus
64,19,131,bus
76,19,136,bus
74,22,154,bus
53,19,147,bus
71,21,138,bus
54,25,159,bus
68,19,138,bus
57,26,164,bus
64,19,138,bus
72,21,161,bus
55,19,128,opel
55,19,134,opel
55,19,139,opel
60,21,131,opel
63,22,156,opel
65,23,166,opel
63,21,155,opel
64,19,126,opel
62,21,138,opel
59,24,172,opel
60,19,142,opel
59,19,145,opel
67,23,163,opel
57,17,119,opel
70,24,168,opel
55,18,125,opel
71,23,153,opel
59,18,130,opel
57,25,177,opel
55,17,130,opel
61,25,179,opel
56,25,171,opel
62,18,132,opel
62,20,131,opel
70,25,186,opel
57,24,162,opel
68,23,169,opel
59,19,132,opel
69,24,169,opel
56,19,137,opel
58,24,166,opel
62,21,141,opel
65,23,147,opel
65,21,141,opel
67,23,156,opel
62,21,154,opel
53,25,178,opel
56,18,124,opel
62,25,178,opel
63,22,162,opel
59,19,126,opel
56,18,125,opel
65,22,143,opel
57,25,170,opel
55,24,166,opel
62,21,135,opel
57,23,156,opel
57,24,161,opel
52,19,133,opel
59,20,146,opel
64,20,150,opel
58,18,138,opel
63,21,156,opel
59,20,133,opel
56,18,131,opel
60,19,144,opel
62,23,161,opel
61,19,127,opel
69,23,147,opel
56,18,126,opel
62,22,147,opel
55,18,138,opel
62,22,148,opel
61,21,132,opel
57,20,149,opel
64,22,159,opel
59,19,145,opel
55,20,130,opel
59,20,132,opel
67,22,161,opel
58,20,149,opel
58,25,171,opel
55,18,136,opel
63,22,161,opel
58,17,122,opel
62,23,158,opel
57,18,127,opel
62,20,135,opel
64,23,157,opel
70,22,141,opel
59,24,173,opel
57,25,170,opel
71,24,164,opel
65,24,156,opel
62,23,161,opel
55,24,175,opel
60,20,147,opel
62,18,123,opel
68,24,171,opel
70,25,182,opel
54,18,128,opel
57,25,177,opel
59,18,128,opel
69,25,176,opel
61,21,158,opel
66,20,143,opel
57,18,127,opel
53,18,132,opel
54,19,144,opel
59,18,134,opel
68,25,165,opel
67,24,162,opel
62,21,137,opel
57,20,133,opel
64,23,155,opel
67,24,170,opel
66,22,151,opel
61,22,150,opel
62,23,166,opel
63,25,167,opel
61,20,134,opel
62,25,180,opel
65,23,146,opel
62,20,131,opel
54,19,134,opel
63,25,180,opel
68,24,170,opel
64,23,152,opel
56,19,143,opel
59,24,177,opel
65,24,165,opel
56,17,124,opel
60,19,141,opel
63,21,142,opel
67,23,163,opel
59,22,161,opel
67,23,151,opel
57,18,122,opel
54,25,188,opel
60,24,160,opel
56,19,143,opel
59,19,131,opel
53,25,166,opel
57,19,146,opel
65,21,137,opel
56,18,130,opel
57,24,162,opel
54,24,175,opel
56,25,174,opel
62,23,158,opel
54,24,159,opel
56,20,129,opel
62,24,175,opel
61,25,178,opel
58,18,128,opel
70,25,177,opel
62,22,161,opel
59,22,161,opel
56,18,120,opel
60,20,131,opel
57,19,133,opel
64,25,174,opel
60,25,173,opel
54,24,172,opel
62,20,148,opel
68,23,148,opel
53,24,163,opel
67,24,174,opel
67,22,147,opel
50,25,172,opel
53,24,174,opel
59,19,134,opel
56,17,124,opel
64,20,149,opel
64,23,164,opel
59,18,128,opel
69,20,133,opel
59,21,152,opel
72,25,177,opel
63,22,142,opel
62,19,125,opel
68,24,154,opel
56,25,175,opel
54,18,131,opel
62,20,145,opel
59,18,126,opel
57,18,126,opel
58,24,175,opel
68,25,178,opel
61,20,129,opel
63,24,172,opel
68,24,162,opel
62,18,135,opel
61,23,152,opel
69,25,178,opel
54,19,127,opel
63,21,140,opel
52,23,164,opel
66,24,163,opel
55,19,135,opel
