@relation vehicle

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
98,195,161,67,192,saab
101,197,152,68,189,saab
100,198,149,67,192,saab
75,140,125,71,189,saab
105,202,164,68,190,saab
83,149,132,74,185,saab
98,218,167,72,187,saab
104,197,147,73,189,saab
85,169,153,64,195,saab
108,219,168,69,190,saab
104,191,148,68,190,saab
110,212,163,66,194,saab
108,222,168,71,189,saab
80,157,132,60,201,saab
50,115,118,83,179,saab
109,214,169,68,189,saab
83,176,154,70,189,saab
89,186,144,68,191,saab
101,213,166,74,188,saab
104,206,167,72,187,saab
74,151,136,70,187,saab
75,152,134,76,182,saab
78,169,136,67,192,saab
108,220,172,71,189,saab
100,185,160,62,198,saab
57,121,127,68,190,saab
98,177,135,66,195,saab
104,208,163,70,187,saab
101,188,162,67,193,saab
69,140,131,66,193,saab
94,187,158,67,193,saab
98,203,151,64,193,saab
104,204,162,68,188,saab
69,152,143,67,193,saab
101,213,168,72,187,saab
85,160,125,66,195,saab
83,160,148,71,186,saab
76,149,143,69,189,saab
81,160,147,70,192,saab
76,159,147,69,190,saab
103,220,168,73,188,saab
83,142,128,63,193,saab
66,142,137,77,182,saab
60,128,129,71,186,saab
79,163,148,62,199,saab
51,135,126,86,181,saab
106,213,167,66,192,saab
98,215,169,73,188,saab
104,211,171,74,186,saab
109,216,171,72,189,saab
86,158,131,68,190,saab
105,221,167,70,186,saab
80,154,129,69,190,saab
54,129,127,81,180,saab
104,213,162,68,191,saab
90,177,155,65,193,saab
72,150,133,63,196,saab
77,155,126,65,195,saab
63,125,130,74,184,saab
76,157,149,63,198,saab
66,123,118,65,196,saab
107,218,173,71,188,saab
71,157,134,63,196,saab
90,181,158,69,191,saab
54,125,126,78,180,saab
104,220,167,72,189,saab
98,183,146,64,195,saab
104,219,172,71,189,saab
75,144,131,69,186,saab
71,154,133,70,189,saab
101,222,173,70,187,saab
109,207,156,70,191,saab
53,116,123,76,183,saab
77,158,148,67,193,saab
88,173,151,66,195,saab
66,136,136,74,183,saab
100,221,170,73,187,saab
66,140,124,61,201,saab
80,144,139,74,185,saab
106,207,158,73,188,saab
108,215,168,71,188,saab
103,208,162,71,189,saab
96,218,170,71,187,saab
108,217,168,67,188,saab
90,175,152,68,192,saab
78,153,128,60,203,saab
102,198,164,72,187,saab
109,221,169,72,188,saab
109,199,154,61,194,saab
78,135,124,66,190,saab
104,201,152,73,188,saab
63,142,130,77,181,saab
105,201,152,64,192,saab
63,146,130,83,180,saab
101,192,143,73,189,saab
106,212,168,73,187,saab
100,181,134,68,192,saab
63,128,134,63,198,saab
64,150,138,80,182,saab
81,166,138,62,197,saab
106,208,166,69,189,saab
106,203,149,70,191,saab
40,112,119,86,181,saab
103,214,167,70,188,saab
62,150,133,82,180,saab
77,161,151,66,194,saab
108,206,163,65,194,saab
59,135,128,82,179,saab
58,148,131,86,180,saab
108,220,163,72,189,saab
105,187,150,64,198,saab
77,149,129,71,188,saab
72,149,140,72,186,saab
77,144,146,64,194,saab
55,142,128,81,180,saab
100,196,162,62,198,saab
103,219,172,70,187,saab
105,191,162,64,196,saab
81,168,152,67,191,saab
83,160,133,72,186,saab
87,169,134,72,188,saab
78,174,139,68,191,saab
98,218,169,71,188,saab
101,186,138,67,194,saab
101,222,177,71,187,saab
85,175,153,62,197,saab
100,216,173,74,185,saab
81,166,154,63,198,saab
76,164,134,67,192,saab
104,208,159,67,191,saab
101,213,172,74,187,saab
90,178,144,61,199,saab
108,221,168,73,190,saab
100,196,159,65,194,saab
106,208,158,68,190,saab
84,171,138,69,196,bus
64,149,146,85,179,bus
73,167,152,69,200,bus
66,149,143,85,180,bus
82,186,141,75,195,bus
72,156,144,69,193,bus
68,151,146,80,180,bus
66,150,144,78,182,bus
94,208,161,76,193,bus
103,236,160,82,183,bus
70,167,148,69,200,bus
70,149,144,127,180,bus
70,148,144,84,180,bus
66,151,143,86,180,bus
74,145,134,70,195,bus
73,149,145,71,189,bus
77,166,150,69,200,bus
77,167,150,69,199,bus
71,151,147,80,181,bus
84,190,154,74,195,bus
66,152,142,81,181,bus
75,155,133,70,192,bus
106,255,169,85,181,bus
69,152,145,84,181,bus
68,150,147,88,179,bus
70,162,153,68,200,bus
68,151,147,88,180,bus
76,178,157,72,197,bus
68,150,147,81,179,bus
98,225,165,79,188,bus
73,151,145,80,183,bus
63,151,147,81,179,bus
64,148,143,87,179,bus
73,150,137,69,196,bus
89,186,145,71,195,bus
65,150,148,82,179,bus
70,147,143,76,186,bus
88,197,148,74,192,bus
79,185,153,74,195,bus
70,149,146,77,183,bus
109,260,175,85,182,bus
70,149,142,78,185,bus
70,148,145,86,179,bus
70,155,124,71,202,bus
76,151,143,75,187,bus
98,218,156,77,189,bus
101,238,163,85,184,bus
75,153,136,72,188,bus
98,237,164,82,185,bus
75,151,131,66,195,bus
105,247,165,84,181,bus
70,150,145,82,181,bus
66,148,144,119,181,bus
100,250,162,88,182,bus
86,192,161,75,194,bus
79,174,154,71,197,bus
74,157,143,70,195,bus
73,154,127,67,197,bus
102,241,165,84,184,bus
96,241,170,85,184,bus
70,152,143,76,186,bus
104,257,168,83,180,bus
72,144,147,69,191,bus
73,162,127,72,200,bus
61,150,144,85,179,bus
89,201,159,74,193,bus
77,177,139,72,198,bus
70,148,138,72,187,bus
70,151,129,65,201,bus
76,152,131,72,195,bus
70,164,136,71,200,bus
63,152,142,81,180,bus
88,192,147,73,194,bus
93,217,165,81,188,bus
103,252,172,83,179,bus
70,144,141,71,188,bus
84,184,161,72,196,bus
74,152,148,71,189,bus
70,151,146,81,181,bus
76,150,144,69,195,bus
68,150,144,80,182,bus
70,143,143,68,196,bus
62,149,139,65,202,bus
72,152,147,82,180,bus
72,146,135,72,192,bus
70,149,145,81,181,bus
102,239,167,82,186,bus
68,146,142,75,183,bus
102,257,169,85,182,bus
69,150,144,87,180,bus
59,149,144,83,179,bus
79,160,130,66,198,bus
71,149,142,74,184,bus
66,148,141,88,180,bus
71,145,141,67,195,bus
76,155,143,77,185,bus
86,184,145,72,194,bus
68,147,143,74,185,bus
80,195,159,75,194,bus
71,150,138,71,192,bus
85,192,146,76,195,bus
107,262,171,86,180,bus
75,154,146,74,188,bus
73,151,143,76,185,bus
60,150,141,85,178,bus
68,150,145,85,179,bus
72,166,131,70,200,bus
77,177,134,74,196,bus
80,183,156,73,198,bus
71,144,141,71,188,bus
105,265,174,85,181,bus
64,150,142,68,199,bus
70,153,144,67,199,bus
65,149,143,85,180,bus
95,199,150,73,192,bus
68,147,143,80,181,bus
83,177,139,68,196,bus
72,161,144,70,196,bus
71,151,147,79,181,bus
81,186,158,74,197,bus
77,172,139,72,199,bus
68,150,145,80,180,bus
103,247,166,85,181,bus
76,155,138,76,189,bus
75,154,131,71,198,bus
91,204,161,78,192,bus
84,184,145,73,196,bus
71,150,146,81,180,bus
70,143,143,69,188,bus
106,257,172,83,181,bus
68,142,142,65,198,bus
72,158,133,70,200,bus
68,151,146,75,183,bus
64,150,144,82,180,bus
72,154,144,80,183,bus
65,150,140,85,180,bus
70,151,146,79,181,bus
69,151,147,75,183,bus
98,213,152,77,188,bus
102,234,171,77,187,bus
92,220,162,80,188,bus
65,149,144,87,179,bus
66,150,146,83,180,bus
76,148,140,72,188,bus
73,153,143,66,200,bus
76,149,135,68,192,bus
66,149,139,75,184,bus
66,148,145,85,179,bus
78,158,134,73,193,bus
74,153,149,77,183,bus
106,256,170,87,182,bus
93,222,159,83,186,bus
89,212,153,78,190,bus
76,150,136,72,193,bus
72,153,144,78,182,bus
98,240,168,80,186,bus
75,161,128,69,195,bus
88,203,158,77,191,bus
68,155,145,67,202,bus
68,151,147,86,179,bus
66,149,145,85,180,bus
79,173,158,70,197,bus
75,154,147,72,192,bus
68,152,151,81,179,bus
70,143,136,69,192,bus
68,150,142,75,188,bus
83,194,146,79,193,bus
66,145,140,67,201,bus
65,151,145,81,179,bus
71,153,149,81,180,bus
72,147,143,81,181,bus
66,148,145,86,179,bus
73,148,146,75,185,bus
70,148,145,82,181,bus
73,156,126,71,199,bus
71,146,146,71,187,bus
70,148,134,69,193,bus
65,152,150,83,178,bus
73,151,131,68,196,bus
68,150,146,74,185,bus
76,157,136,74,191,bus
70,152,145,76,184,bus
71,151,146,73,186,bus
71,150,143,78,181,bus
74,164,131,71,200,bus
95,227,158,82,187,bus
71,153,148,80,182,bus
73,151,147,82,180,bus
92,209,159,78,191,bus
65,152,141,85,179,bus
75,176,138,72,197,bus
81,169,137,68,198,bus
70,146,141,69,194,bus
74,165,128,72,196,bus
106,261,171,83,181,bus
66,150,147,87,179,bus
107,208,154,70,190,opel
79,167,148,67,191,opel
96,219,170,75,187,opel
96,216,173,75,184,opel
101,196,146,73,186,opel
84,169,130,69,190,opel
100,214,175,74,185,opel
105,205,169,71,189,opel
98,217,174,72,187,opel
107,218,167,66,191,opel
96,185,142,65,195,opel
107,222,174,67,189,opel
73,153,133,75,181,opel
69,135,126,66,193,opel
78,151,141,68,193,opel
93,186,147,66,193,opel
76,167,134,71,189,opel
80,164,145,65,199,opel
110,219,166,74,188,opel
77,150,134,73,184,opel
53,133,128,87,177,opel
96,186,156,62,197,opel
69,130,134,64,193,opel
51,120,124,84,177,opel
77,163,129,67,192,opel
88,185,159,66,194,opel
105,201,155,64,193,opel
103,219,176,73,186,opel
75,146,137,76,184,opel
107,208,159,66,191,opel
103,211,160,67,190,opel
63,122,130,64,195,opel
69,132,137,61,203,opel
66,147,131,64,197,opel
100,227,178,73,186,opel
105,210,173,72,188,opel
86,177,153,67,192,opel
66,152,133,87,180,opel
80,147,135,76,181,opel
109,221,176,70,188,opel
101,225,177,71,186,opel
64,134,126,76,179,opel
72,149,124,62,203,opel
100,208,169,74,186,opel
82,149,144,68,188,opel
105,209,162,73,186,opel
84,156,133,74,183,opel
109,218,174,67,191,opel
103,195,162,68,191,opel
76,157,148,69,190,opel
88,183,141,70,189,opel
75,150,146,66,193,opel
100,224,188,72,185,opel
60,123,124,78,178,opel
85,164,129,63,198,opel
105,223,177,75,188,opel
96,188,161,67,193,opel
72,134,132,65,188,opel
100,192,161,64,196,opel
94,181,155,64,199,opel
72,127,125,70,184,opel
77,151,145,64,202,opel
108,216,172,68,190,opel
103,219,176,71,187,opel
89,169,132,67,193,opel
104,205,151,74,186,opel
96,190,161,68,191,opel
57,125,125,81,178,opel
101,222,177,71,188,opel
96,178,141,67,193,opel
76,161,131,72,188,opel
100,213,173,76,187,opel
50,114,122,74,182,opel
103,221,177,72,186,opel
74,161,135,63,197,opel
101,224,178,74,187,opel
104,213,172,73,186,opel
109,222,165,73,188,opel
103,215,172,75,185,opel
101,200,158,66,192,opel
75,147,142,62,206,opel
78,161,131,62,203,opel
53,126,128,82,176,opel
105,201,148,69,191,opel
83,167,147,73,187,opel
108,224,186,70,186,opel
109,220,163,73,189,opel
105,212,163,74,186,opel
105,200,163,68,190,opel
58,133,127,87,177,opel
88,168,133,74,186,opel
98,217,166,71,188,opel
104,206,164,69,188,opel
83,175,142,65,197,opel
73,159,146,65,195,opel
103,221,172,69,190,opel
98,215,170,68,189,opel
101,222,171,71,189,opel
107,200,161,67,194,opel
60,139,131,80,179,opel
109,217,162,72,189,opel
78,138,138,67,192,opel
98,217,173,72,188,opel
72,142,135,77,181,opel
101,222,180,71,186,opel
86,153,134,71,183,opel
82,156,144,70,190,opel
89,172,135,63,201,opel
77,152,141,72,187,opel
69,138,122,62,204,opel
100,193,150,65,194,opel
93,189,161,72,188,opel
96,205,153,71,188,opel
75,145,139,71,191,opel
92,188,148,64,195,opel
98,220,167,71,188,opel
69,128,124,70,183,opel
80,162,143,66,194,opel
100,200,166,70,189,opel
107,227,180,72,186,opel
69,149,143,63,198,opel
94,195,147,70,188,opel
103,212,165,72,188,opel
98,219,171,72,186,opel
101,226,182,71,185,opel
103,214,162,66,189,opel
108,214,156,72,188,opel
104,210,166,73,187,opel
91,218,170,74,187,opel
53,134,128,83,177,opel
98,193,161,69,190,opel
107,214,161,67,192,opel
69,140,138,64,199,opel
103,209,163,66,191,opel
96,221,173,72,186,opel
107,223,174,70,187,opel
103,204,166,74,186,opel
105,197,152,65,194,opel
91,176,137,67,192,opel
96,220,172,73,186,opel
78,146,127,69,187,opel
104,198,163,67,192,opel
78,147,128,64,197,opel
103,206,156,65,192,opel
79,162,149,67,191,opel
105,218,171,69,190,opel
96,189,143,71,190,opel
80,153,126,69,191,opel
86,177,156,67,192,opel
108,224,178,73,187,opel
109,226,182,72,187,opel
79,176,138,66,189,opel
101,210,168,72,188,opel
101,207,152,71,189,opel
75,140,135,72,183,opel
74,162,133,63,198,opel
69,135,131,69,187,opel
100,212,175,73,187,opel
77,154,145,75,184,opel
107,205,158,65,195,opel
66,131,127,76,183,opel
78,157,126,66,192,opel
78,150,125,67,191,opel
108,212,162,66,191,opel
81,168,150,70,192,opel
105,221,179,72,189,opel
104,215,175,75,186,opel
105,218,173,73,187,opel
101,202,164,65,197,opel
92,178,154,64,198,opel
66,130,120,62,201,opel
42,114,119,87,179,opel
101,225,178,74,187,opel
96,219,175,74,187,opel
104,212,175,74,186,opel
100,216,173,75,186,opel
93,183,137,66,193,opel
98,214,164,71,187,opel
71,150,134,80,180,opel
96,181,158,62,202,opel
103,200,147,73,187,opel
107,225,178,74,187,opel
78,140,123,66,194,opel
90,177,131,71,190,opel
75,147,132,80,181,opel
74,139,127,72,183,opel
92,179,140,63,197,opel
83,178,156,71,189,opel
98,193,161,64,198,opel
63,130,130,79,183,opel
72,138,126,72,187,opel
