@relation vehicle

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
84,156,170,187,van
62,131,145,156,van
77,157,164,187,van
85,156,158,178,van
66,122,139,143,van
70,130,146,156,van
85,155,151,174,van
66,137,146,164,van
66,133,140,140,van
87,157,158,203,van
75,140,141,149,van
62,127,139,150,van
64,133,142,159,van
82,144,143,127,van
82,159,160,189,van
62,128,141,157,van
64,130,142,161,van
88,158,149,154,van
85,163,163,170,van
82,155,149,161,van
68,133,134,119,van
81,150,149,164,van
88,155,148,182,van
85,157,156,176,van
90,153,156,143,van
81,155,160,177,van
91,157,155,192,van
70,137,141,139,van
88,151,148,182,van
53,118,125,138,van
76,132,135,124,van
85,155,157,178,van
83,158,163,176,van
60,119,134,141,van
53,123,125,133,van
72,136,145,167,van
66,139,140,148,van
51,118,129,125,van
85,153,151,186,van
71,143,147,179,van
70,130,139,132,van
89,151,145,163,van
64,134,142,170,van
82,143,137,158,van
84,154,150,164,van
64,116,125,123,van
80,146,148,161,van
63,123,137,150,van
85,157,155,175,van
85,155,155,187,van
76,162,155,172,van
58,133,139,150,van
68,128,135,142,van
85,158,157,162,van
85,153,144,150,van
79,144,150,134,van
84,149,145,162,van
64,134,141,139,van
70,127,137,119,van
74,136,133,128,van
70,137,140,121,van
83,169,132,142,saab
104,211,164,210,saab
57,135,125,144,saab
112,214,162,194,saab
89,186,144,166,saab
85,160,125,139,saab
96,187,156,195,saab
62,150,133,173,saab
83,160,133,155,saab
100,196,162,184,saab
78,169,136,141,saab
76,164,134,139,saab
78,174,139,160,saab
105,201,152,178,saab
81,168,152,185,saab
100,185,160,178,saab
100,220,166,214,saab
108,217,168,209,saab
63,128,134,158,saab
40,112,119,127,saab
98,216,171,218,saab
105,202,164,235,saab
77,161,151,174,saab
101,201,158,204,saab
104,201,152,199,saab
83,164,150,190,saab
102,213,171,221,saab
108,220,163,202,saab
77,150,128,131,saab
76,159,147,177,saab
85,163,131,158,saab
106,208,166,218,saab
109,214,169,212,saab
110,214,159,203,saab
105,210,163,222,saab
86,170,134,138,saab
81,166,138,131,saab
72,149,140,165,saab
75,152,134,160,saab
54,135,127,141,saab
54,128,125,139,saab
83,142,128,137,saab
107,218,173,229,saab
106,208,158,184,saab
77,155,126,123,saab
90,177,155,197,saab
66,140,124,117,saab
100,181,134,160,saab
100,196,159,201,saab
75,140,125,138,saab
54,125,126,128,saab
98,215,169,218,saab
78,135,124,148,saab
100,214,173,221,saab
80,154,129,144,saab
89,177,133,155,saab
105,198,150,195,saab
78,153,128,124,saab
108,215,168,214,saab
106,213,167,232,saab
108,207,167,216,saab
109,199,154,165,saab
105,221,167,202,saab
104,215,162,212,saab
81,166,154,175,saab
94,187,158,214,saab
80,157,132,115,saab
98,203,151,183,saab
106,212,168,223,saab
109,216,171,214,saab
104,211,171,223,saab
82,153,129,137,saab
72,150,133,121,saab
98,185,138,173,saab
71,137,127,145,saab
83,160,148,184,saab
95,193,160,237,saab
79,163,148,179,saab
103,221,174,214,saab
69,141,141,169,saab
77,158,148,181,saab
57,121,127,132,saab
101,222,173,200,saab
95,188,144,175,saab
58,148,131,157,saab
101,213,172,222,saab
76,157,149,169,saab
77,144,146,174,saab
103,211,156,188,saab
72,146,132,149,saab
103,219,172,212,saab
108,215,168,228,saab
72,154,144,158,saab
52,122,125,128,saab
92,180,143,153,saab
55,142,128,145,saab
103,219,172,216,saab
101,186,138,168,saab
108,218,170,224,saab
103,208,162,240,saab
50,115,118,127,saab
108,220,172,203,saab
104,213,162,190,saab
104,204,162,195,saab
96,218,170,217,saab
76,149,143,176,saab
105,187,150,158,saab
80,144,139,170,saab
105,211,168,218,saab
98,218,167,216,saab
87,169,134,149,saab
63,125,130,145,saab
108,222,168,201,saab
100,216,173,220,saab
71,154,133,130,saab
82,154,149,170,saab
93,216,165,196,saab
89,175,132,154,saab
106,207,164,238,saab
88,175,132,156,saab
86,167,134,129,saab
101,197,152,174,saab
102,198,164,240,saab
98,183,146,152,saab
101,188,162,203,saab
104,206,167,220,saab
51,135,126,144,saab
104,208,159,186,saab
64,150,138,173,saab
98,195,161,219,saab
74,159,134,134,saab
108,219,168,198,saab
103,213,162,217,saab
90,181,158,220,saab
104,208,163,197,saab
106,207,158,220,saab
100,193,149,160,saab
101,192,143,195,saab
72,132,135,150,saab
96,198,150,191,saab
69,140,131,126,saab
66,148,136,178,saab
101,217,171,216,saab
59,135,128,143,saab
85,169,139,133,saab
53,116,123,128,saab
98,177,135,165,saab
88,171,155,169,saab
109,212,159,215,saab
80,161,131,137,saab
75,147,131,145,saab
110,212,163,220,saab
88,170,131,144,saab
100,217,165,214,saab
96,185,144,165,saab
106,203,149,210,saab
63,146,130,158,saab
103,222,175,213,saab
105,191,162,194,saab
88,175,140,147,saab
105,204,165,224,saab
103,220,168,214,saab
90,183,156,230,saab
69,152,143,187,saab
63,133,135,166,saab
86,158,131,144,saab
90,175,152,198,saab
77,152,143,177,saab
83,149,132,149,saab
60,128,129,132,saab
107,207,153,200,saab
108,206,163,202,saab
101,222,177,213,saab
110,217,165,222,saab
100,221,170,202,saab
77,149,129,153,saab
90,178,144,138,saab
81,160,147,188,saab
54,134,127,146,saab
85,175,153,187,saab
63,142,130,146,saab
96,188,157,231,saab
109,221,169,212,saab
98,218,169,216,saab
101,213,166,202,saab
66,137,133,151,saab
109,207,156,213,saab
66,123,118,118,saab
108,217,163,203,saab
66,136,136,162,saab
75,144,131,149,saab
103,214,167,212,saab
100,198,149,186,saab
85,169,153,190,saab
105,208,162,221,saab
108,221,168,200,saab
88,203,158,219,bus
72,147,143,183,bus
84,184,161,198,bus
68,151,147,178,bus
74,163,149,191,bus
73,151,143,160,bus
75,161,128,135,bus
84,176,152,201,bus
109,260,175,261,bus
102,234,171,229,bus
66,150,146,173,bus
70,148,138,152,bus
66,152,142,173,bus
68,152,151,179,bus
71,153,148,190,bus
83,177,139,163,bus
68,151,146,190,bus
62,149,139,165,bus
73,151,147,188,bus
95,199,150,200,bus
81,186,158,198,bus
68,149,146,172,bus
80,183,156,198,bus
65,151,145,186,bus
70,146,141,178,bus
102,241,165,247,bus
77,166,150,180,bus
68,142,142,177,bus
81,169,137,156,bus
70,164,136,129,bus
70,153,144,178,bus
70,151,129,119,bus
71,151,147,176,bus
102,239,167,228,bus
68,147,143,184,bus
73,154,127,132,bus
70,148,145,185,bus
70,149,146,185,bus
92,220,162,209,bus
77,177,134,148,bus
72,153,144,174,bus
72,154,144,177,bus
68,149,145,171,bus
103,252,172,239,bus
65,149,144,171,bus
66,150,147,175,bus
71,146,146,189,bus
66,148,144,185,bus
105,265,174,255,bus
66,148,145,185,bus
66,148,145,186,bus
68,150,147,189,bus
109,251,169,268,bus
70,143,143,173,bus
64,150,144,173,bus
93,222,159,206,bus
73,167,152,185,bus
70,143,143,170,bus
72,146,135,145,bus
66,149,145,163,bus
72,156,144,191,bus
65,150,140,172,bus
76,149,135,144,bus
68,150,144,171,bus
101,238,163,242,bus
106,261,171,257,bus
95,227,158,217,bus
73,162,127,125,bus
76,152,131,143,bus
73,151,131,135,bus
65,149,143,171,bus
66,149,143,160,bus
77,167,150,182,bus
106,255,169,264,bus
75,151,131,139,bus
65,150,148,176,bus
66,148,141,174,bus
69,150,144,177,bus
76,150,144,179,bus
88,197,148,201,bus
69,151,147,195,bus
84,184,145,154,bus
82,186,141,162,bus
74,145,134,139,bus
71,151,147,198,bus
107,262,171,260,bus
73,151,145,173,bus
68,148,144,184,bus
93,217,165,208,bus
76,150,136,148,bus
68,150,147,176,bus
68,151,147,186,bus
70,149,142,156,bus
83,194,146,167,bus
103,236,160,250,bus
86,184,145,183,bus
73,148,146,183,bus
63,152,142,173,bus
98,240,168,245,bus
64,148,143,171,bus
63,151,147,185,bus
66,150,144,159,bus
71,146,144,176,bus
88,192,147,174,bus
72,144,147,169,bus
70,141,143,173,bus
75,155,133,145,bus
79,173,158,194,bus
74,164,131,137,bus
66,148,145,174,bus
75,154,145,184,bus
103,250,169,239,bus
68,150,146,183,bus
75,176,138,151,bus
72,161,144,186,bus
76,148,140,152,bus
68,151,146,186,bus
77,177,139,151,bus
68,150,145,176,bus
78,158,134,148,bus
98,237,164,222,bus
73,150,137,151,bus
75,153,136,154,bus
105,247,165,243,bus
64,150,142,177,bus
76,157,136,153,bus
72,152,147,177,bus
69,152,145,179,bus
94,208,161,218,bus
70,143,136,141,bus
65,152,150,177,bus
76,155,138,157,bus
80,195,159,188,bus
64,149,146,172,bus
106,256,170,261,bus
70,144,141,147,bus
103,247,166,242,bus
70,152,145,171,bus
74,153,149,199,bus
71,151,146,189,bus
96,241,170,242,bus
76,178,157,186,bus
84,190,154,209,bus
63,149,145,172,bus
70,147,145,168,bus
91,204,161,214,bus
59,149,144,172,bus
85,192,146,163,bus
66,145,144,177,bus
74,149,127,127,bus
89,212,153,198,bus
65,152,141,171,bus
68,150,145,173,bus
79,185,153,171,bus
89,201,159,205,bus
70,148,144,186,bus
68,150,142,164,bus
75,171,129,137,bus
70,155,124,117,bus
70,162,153,172,bus
66,145,140,159,bus
68,155,145,166,bus
72,153,146,178,bus
106,257,172,232,bus
92,209,159,214,bus
73,151,138,152,bus
70,151,146,176,bus
102,257,169,261,bus
70,151,146,187,bus
76,151,143,157,bus
76,155,143,173,bus
66,151,143,168,bus
79,160,130,133,bus
73,149,145,176,bus
98,213,152,210,bus
71,150,146,176,bus
86,192,161,221,bus
73,156,126,124,bus
104,257,168,230,bus
71,150,138,157,bus
68,146,142,180,bus
91,202,148,186,bus
77,172,139,141,bus
75,154,131,127,bus
74,157,143,183,bus
71,149,142,158,bus
70,148,145,171,bus
74,152,148,192,bus
70,149,144,188,bus
66,148,145,171,bus
106,236,164,253,bus
65,152,141,172,bus
66,149,139,155,bus
75,154,146,190,bus
74,165,128,136,bus
60,150,141,171,bus
91,176,137,151,opel
103,219,176,219,opel
101,203,157,186,opel
105,218,171,210,opel
105,218,173,250,opel
71,150,134,165,opel
101,202,164,192,opel
77,163,129,140,opel
98,189,141,178,opel
73,153,133,153,opel
101,198,161,204,opel
72,149,124,125,opel
83,178,156,210,opel
98,214,164,199,opel
86,177,153,209,opel
78,150,125,137,opel
100,201,147,189,opel
84,156,133,157,opel
104,210,166,215,opel
110,219,166,218,opel
80,147,135,144,opel
107,214,161,172,opel
53,134,128,148,opel
51,120,124,135,opel
80,153,126,136,opel
80,162,143,180,opel
105,209,162,224,opel
77,152,141,161,opel
98,217,174,223,opel
78,138,138,158,opel
53,133,128,146,opel
100,200,166,241,opel
103,212,165,249,opel
78,151,141,174,opel
107,227,180,205,opel
104,213,172,217,opel
88,183,141,168,opel
76,161,131,136,opel
103,215,172,219,opel
75,146,137,156,opel
96,220,172,218,opel
79,167,148,193,opel
75,145,139,166,opel
79,176,138,150,opel
105,215,177,223,opel
105,210,173,218,opel
98,220,167,214,opel
77,151,145,177,opel
86,153,134,139,opel
107,225,178,204,opel
107,223,174,200,opel
96,178,141,149,opel
96,216,173,218,opel
82,149,144,168,opel
96,221,173,214,opel
82,156,144,174,opel
64,134,126,135,opel
100,208,169,223,opel
81,168,150,182,opel
105,200,163,214,opel
100,213,173,201,opel
75,140,135,162,opel
80,164,145,178,opel
42,114,119,121,opel
81,161,149,197,opel
107,218,167,197,opel
101,225,178,216,opel
103,211,160,187,opel
103,204,166,246,opel
109,220,163,206,opel
66,135,136,165,opel
77,154,127,145,opel
100,212,175,219,opel
63,130,130,139,opel
72,127,125,123,opel
82,165,149,164,opel
104,198,163,226,opel
86,177,156,201,opel
101,200,158,164,opel
75,150,146,180,opel
79,162,149,178,opel
74,139,127,127,opel
109,226,182,207,opel
88,168,133,151,opel
105,223,177,218,opel
50,114,122,138,opel
104,215,175,222,opel
96,181,158,180,opel
108,224,186,218,opel
60,139,131,142,opel
78,157,126,142,opel
101,196,146,199,opel
94,181,155,189,opel
100,227,178,204,opel
105,221,179,212,opel
107,205,158,168,opel
92,179,140,136,opel
108,224,178,217,opel
101,224,178,213,opel
88,185,159,193,opel
96,186,156,176,opel
107,208,154,204,opel
83,171,152,196,opel
100,193,150,161,opel
77,150,134,133,opel
109,222,165,207,opel
72,138,126,130,opel
104,212,175,223,opel
69,138,122,120,opel
98,219,171,223,opel
83,178,132,157,opel
53,126,128,147,opel
93,183,137,153,opel
66,130,120,114,opel
108,212,162,184,opel
60,132,130,141,opel
83,175,142,138,opel
100,224,188,213,opel
98,215,175,221,opel
96,219,170,217,opel
96,185,142,139,opel
69,135,131,162,opel
96,205,153,197,opel
103,221,172,201,opel
105,212,163,204,opel
107,208,159,183,opel
103,219,176,246,opel
76,167,134,145,opel
77,157,125,126,opel
107,200,161,200,opel
96,188,161,205,opel
57,125,125,132,opel
92,178,154,171,opel
84,169,130,155,opel
74,161,135,132,opel
69,130,134,144,opel
89,172,135,121,opel
101,207,152,193,opel
76,157,148,186,opel
69,149,143,168,opel
100,216,173,219,opel
78,161,131,117,opel
101,225,177,204,opel
103,195,162,210,opel
72,142,135,144,opel
105,197,152,159,opel
66,147,131,123,opel
101,222,177,211,opel
109,221,176,236,opel
69,140,138,151,opel
98,193,161,185,opel
100,192,161,195,opel
91,218,170,196,opel
78,147,128,134,opel
103,214,162,189,opel
60,123,124,121,opel
66,131,127,139,opel
98,217,173,216,opel
94,195,147,194,opel
98,217,166,191,opel
75,147,132,136,opel
78,146,127,142,opel
91,220,170,198,opel
93,186,147,151,opel
85,164,129,130,opel
86,162,131,147,opel
101,210,168,245,opel
108,214,156,218,opel
103,201,156,174,opel
101,222,171,203,opel
98,193,161,244,opel
66,142,128,120,opel
69,132,137,151,opel
73,159,146,188,opel
101,192,151,169,opel
101,226,182,216,opel
98,215,170,214,opel
75,147,142,160,opel
96,219,175,216,opel
66,126,132,139,opel
89,169,132,148,opel
83,167,147,201,opel
104,206,164,193,opel
100,214,175,224,opel
109,218,174,226,opel
71,142,143,174,opel
72,134,132,123,opel
58,133,127,145,opel
103,206,156,186,opel
69,128,124,133,opel
96,190,161,235,opel
