@relation vehicle

@attribute Distance_circularity numeric
@attribute Praxis_rectangular numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
70,19,195,bus
88,23,191,bus
66,19,185,bus
66,19,182,bus
84,22,195,bus
106,28,184,bus
66,19,182,bus
66,19,182,bus
74,20,200,bus
75,19,194,bus
71,19,200,bus
83,21,198,bus
98,26,184,bus
70,18,199,bus
89,22,198,bus
95,25,186,bus
105,27,182,bus
70,20,205,bus
72,19,198,bus
84,22,197,bus
63,19,184,bus
81,22,198,bus
91,23,192,bus
79,21,199,bus
109,28,183,bus
106,28,181,bus
76,19,193,bus
75,20,199,bus
101,26,184,bus
66,19,182,bus
73,19,191,bus
68,19,183,bus
65,19,184,bus
68,19,206,bus
72,19,196,bus
74,19,205,bus
70,19,188,bus
70,19,183,bus
106,28,183,bus
73,20,204,bus
71,19,187,bus
102,26,185,bus
66,19,183,bus
76,19,197,bus
79,22,195,bus
76,19,193,bus
70,20,203,bus
84,21,201,bus
65,19,183,bus
92,25,186,bus
93,24,188,bus
62,19,209,bus
59,19,182,bus
68,19,184,bus
66,19,183,bus
71,19,190,bus
66,19,185,bus
83,22,191,bus
72,19,188,bus
72,20,203,bus
70,19,208,bus
68,19,185,bus
84,20,201,bus
106,26,185,bus
73,20,206,bus
81,20,204,bus
70,19,195,bus
88,22,197,bus
92,24,189,bus
70,19,189,bus
68,19,191,bus
72,19,185,bus
75,21,197,bus
79,20,205,bus
70,19,183,bus
89,23,193,bus
65,19,182,bus
68,19,185,bus
64,19,184,bus
82,22,196,bus
74,19,200,bus
71,19,197,bus
105,29,183,bus
89,24,189,bus
68,19,184,bus
73,19,194,bus
70,19,187,bus
103,27,183,bus
98,25,187,bus
72,19,185,bus
68,19,191,bus
68,19,185,bus
73,19,184,bus
66,19,183,bus
70,18,203,bus
107,28,184,bus
74,20,202,bus
66,19,207,bus
70,19,201,bus
77,21,198,bus
71,19,193,bus
66,19,181,bus
98,24,189,bus
70,19,183,bus
86,22,197,bus
70,19,189,bus
71,19,186,bus
73,19,200,bus
68,19,182,bus
77,20,203,bus
70,19,185,bus
75,19,204,bus
109,27,183,bus
100,27,182,bus
74,19,195,bus
65,19,182,bus
71,19,184,bus
76,19,195,bus
68,19,184,bus
70,18,199,bus
69,19,182,bus
68,19,184,bus
65,19,183,bus
66,19,191,bus
68,19,184,bus
84,21,199,bus
70,19,201,bus
70,19,206,bus
91,23,191,bus
64,19,182,bus
95,23,194,bus
75,20,202,bus
76,21,200,bus
80,22,194,bus
71,19,196,bus
73,19,188,bus
65,19,183,bus
103,28,186,bus
70,19,184,bus
71,19,186,bus
72,19,204,bus
98,24,189,bus
61,19,182,bus
70,19,188,bus
68,19,189,bus
78,20,197,bus
106,28,182,bus
76,19,190,bus
75,19,192,bus
71,19,191,bus
75,19,199,bus
65,19,182,bus
73,19,205,bus
76,19,200,bus
66,19,182,bus
103,27,183,bus
68,18,203,bus
85,22,193,bus
68,19,183,bus
94,24,191,bus
69,19,184,bus
70,18,193,bus
69,19,188,bus
68,19,185,bus
73,19,189,bus
66,19,188,bus
76,19,200,bus
70,19,186,bus
103,26,184,bus
63,19,182,bus
75,19,202,bus
64,19,182,bus
64,19,206,bus
93,25,184,bus
70,20,203,bus
76,19,195,bus
71,19,186,bus
72,20,202,bus
76,19,201,bus
80,21,199,bus
68,19,187,bus
74,20,200,bus
68,19,183,bus
70,19,184,bus
72,19,186,bus
73,19,196,bus
74,19,201,bus
73,19,206,bus
77,21,201,bus
72,19,198,bus
73,19,204,bus
104,24,194,opel
77,19,192,opel
75,19,188,opel
91,24,196,opel
53,18,184,opel
77,19,189,opel
91,25,198,opel
83,21,193,opel
72,18,194,opel
82,19,196,opel
100,22,202,opel
101,23,202,opel
76,20,196,opel
75,19,198,opel
105,24,197,opel
66,18,187,opel
109,25,200,opel
108,24,197,opel
103,24,194,opel
103,25,195,opel
101,23,204,opel
100,24,192,opel
80,20,199,opel
98,24,201,opel
92,21,204,opel
108,24,201,opel
105,23,202,opel
101,24,197,opel
74,20,206,opel
103,25,196,opel
94,22,197,opel
105,24,195,opel
103,25,198,opel
79,21,199,opel
100,24,194,opel
107,24,200,opel
69,18,190,opel
98,24,196,opel
86,19,189,opel
103,23,196,opel
77,19,193,opel
42,17,183,opel
89,20,202,opel
60,18,188,opel
107,24,203,opel
78,19,197,opel
81,20,198,opel
58,18,184,opel
105,23,202,opel
105,25,196,opel
105,23,196,opel
100,23,198,opel
86,21,199,opel
103,23,194,opel
93,22,198,opel
85,20,205,opel
98,25,197,opel
107,24,206,opel
105,24,195,opel
66,19,183,opel
96,22,197,opel
96,22,198,opel
69,18,209,opel
109,25,198,opel
60,18,186,opel
100,24,194,opel
107,25,201,opel
103,22,198,opel
103,23,201,opel
101,23,196,opel
77,19,205,opel
90,21,198,opel
86,20,191,opel
103,24,200,opel
109,24,199,opel
79,20,198,opel
88,20,192,opel
88,21,197,opel
74,20,204,opel
107,25,200,opel
101,25,197,opel
109,25,198,opel
72,19,189,opel
104,23,193,opel
100,25,198,opel
78,19,198,opel
51,17,184,opel
81,20,193,opel
80,19,193,opel
93,21,200,opel
96,25,195,opel
78,19,198,opel
78,18,202,opel
84,20,195,opel
84,20,190,opel
66,18,190,opel
103,25,196,opel
66,18,202,opel
104,23,196,opel
107,24,202,opel
103,24,196,opel
108,25,198,opel
105,25,196,opel
53,18,184,opel
82,20,208,opel
57,18,184,opel
98,22,194,opel
63,17,201,opel
105,24,194,opel
80,20,204,opel
98,24,198,opel
101,25,196,opel
72,19,210,opel
76,20,198,opel
83,21,201,opel
101,23,194,opel
77,19,208,opel
96,21,200,opel
105,23,198,opel
75,18,190,opel
66,18,187,opel
101,25,198,opel
101,22,200,opel
100,22,202,opel
78,19,203,opel
66,19,203,opel
107,25,201,opel
93,22,195,opel
69,18,191,opel
79,20,198,opel
104,24,194,opel
53,18,183,opel
69,18,203,opel
96,25,196,opel
83,21,194,opel
78,19,194,opel
71,19,197,opel
107,25,198,opel
109,24,202,opel
98,24,193,opel
101,25,196,opel
69,18,210,opel
86,21,198,opel
96,22,200,opel
91,21,200,opel
63,18,187,opel
92,21,206,opel
60,17,185,opel
77,19,191,opel
104,24,195,opel
96,21,209,opel
72,18,198,opel
101,25,198,opel
98,24,198,opel
66,18,207,opel
80,19,197,opel
83,20,192,opel
101,23,203,opel
76,20,192,opel
75,19,187,opel
69,18,206,opel
96,25,194,opel
100,24,193,opel
109,25,199,opel
96,22,204,opel
98,22,199,opel
101,25,196,opel
103,24,198,opel
92,22,203,opel
78,20,211,opel
104,24,193,opel
77,20,198,opel
96,25,195,opel
108,24,201,opel
107,23,201,opel
75,19,198,opel
69,18,200,opel
100,23,195,opel
72,18,192,opel
83,21,206,opel
73,20,201,opel
98,22,204,opel
100,24,195,opel
69,19,203,opel
96,24,193,opel
64,18,188,opel
103,24,201,opel
105,24,196,opel
98,24,199,opel
50,17,187,opel
89,21,209,opel
