@relation vehicle

@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
19,145,bus
29,174,bus
22,153,bus
19,143,bus
26,170,bus
28,171,bus
20,127,bus
19,144,bus
26,168,bus
19,143,bus
22,159,bus
26,164,bus
19,148,bus
21,157,bus
19,144,bus
19,133,bus
19,129,bus
21,134,bus
19,146,bus
20,137,bus
19,148,bus
19,126,bus
22,145,bus
19,149,bus
19,143,bus
19,142,bus
19,124,bus
19,146,bus
19,143,bus
23,159,bus
19,145,bus
19,142,bus
20,131,bus
19,141,bus
19,146,bus
19,143,bus
19,144,bus
19,140,bus
19,147,bus
19,144,bus
19,146,bus
19,133,bus
18,143,bus
19,146,bus
18,142,bus
19,147,bus
19,138,bus
18,143,bus
22,141,bus
18,136,bus
19,143,bus
19,145,bus
21,154,bus
19,144,bus
22,145,bus
19,147,bus
19,138,bus
19,131,bus
19,145,bus
28,168,bus
19,144,bus
19,144,bus
19,143,bus
27,162,bus
19,145,bus
22,158,bus
23,148,bus
23,148,bus
19,140,bus
19,142,bus
19,138,bus
19,143,bus
19,143,bus
19,143,bus
19,135,bus
21,156,bus
26,165,bus
19,136,bus
26,167,bus
28,172,bus
20,129,bus
19,144,bus
19,131,bus
19,144,bus
21,139,bus
27,165,bus
19,146,bus
19,141,bus
19,141,bus
19,150,bus
19,145,bus
19,149,bus
19,143,bus
21,152,bus
19,144,bus
27,169,bus
23,161,bus
19,145,bus
19,145,bus
22,147,bus
19,136,bus
19,147,bus
21,139,bus
20,138,bus
19,127,bus
19,151,bus
19,139,bus
19,147,bus
19,145,bus
20,150,bus
20,153,bus
20,131,bus
22,146,bus
22,154,bus
19,145,bus
19,145,bus
19,146,bus
19,134,bus
25,165,bus
25,159,bus
20,128,bus
23,158,bus
24,152,bus
19,145,bus
28,175,bus
26,163,bus
20,150,bus
19,147,bus
19,141,bus
19,127,bus
19,145,bus
19,142,bus
19,144,bus
19,145,bus
19,147,bus
21,158,bus
19,147,bus
19,142,bus
19,148,bus
19,142,bus
24,165,bus
26,171,bus
20,144,bus
19,140,bus
25,162,bus
19,144,bus
19,142,bus
19,141,bus
19,145,bus
19,146,bus
20,148,bus
22,146,bus
19,147,bus
19,135,bus
19,147,bus
19,147,bus
24,156,bus
28,172,bus
19,144,bus
19,143,bus
19,143,bus
19,145,bus
26,164,bus
20,134,bus
27,169,bus
19,131,bus
20,136,bus
19,147,bus
23,150,bus
19,144,bus
20,152,bus
24,153,bus
19,136,bus
19,144,bus
19,134,bus
22,161,bus
19,144,bus
19,146,bus
19,141,bus
19,141,bus
19,146,bus
19,146,bus
25,158,bus
19,141,bus
19,146,bus
19,145,bus
19,144,bus
24,175,opel
19,141,opel
19,137,opel
22,143,opel
23,157,opel
19,143,opel
18,125,opel
21,156,opel
25,178,opel
17,124,opel
20,150,opel
24,163,opel
23,152,opel
23,164,opel
23,158,opel
22,147,opel
25,186,opel
23,148,opel
17,119,opel
19,146,opel
18,137,opel
24,162,opel
18,125,opel
24,166,opel
19,135,opel
20,148,opel
18,138,opel
22,161,opel
18,128,opel
21,135,opel
18,127,opel
25,176,opel
23,156,opel
23,152,opel
21,154,opel
24,161,opel
18,131,opel
19,132,opel
20,145,opel
24,172,opel
20,130,opel
22,151,opel
24,172,opel
25,171,opel
25,176,opel
25,178,opel
18,126,opel
20,129,opel
19,131,opel
19,144,opel
19,142,opel
25,166,opel
19,145,opel
19,127,opel
20,134,opel
24,168,opel
18,126,opel
25,177,opel
24,156,opel
23,147,opel
22,161,opel
24,177,opel
22,161,opel
17,124,opel
19,134,opel
24,173,opel
18,135,opel
21,158,opel
25,182,opel
20,133,opel
21,140,opel
17,122,opel
18,126,opel
24,173,opel
23,146,opel
18,127,opel
20,131,opel
19,126,opel
24,170,opel
17,130,opel
20,146,opel
21,132,opel
24,164,opel
20,131,opel
23,163,opel
25,170,opel
24,175,opel
24,160,opel
24,174,opel
21,137,opel
20,133,opel
18,136,opel
19,133,opel
20,149,opel
19,125,opel
18,132,opel
21,152,opel
21,141,opel
18,128,opel
18,130,opel
25,171,opel
18,128,opel
19,133,opel
23,156,opel
19,139,opel
25,172,opel
24,173,opel
20,149,opel
22,161,opel
25,180,opel
19,144,opel
18,123,opel
24,154,opel
24,175,opel
25,177,opel
25,172,opel
25,182,opel
21,153,opel
21,137,opel
24,173,opel
25,163,opel
23,169,opel
19,141,opel
19,145,opel
21,156,opel
24,175,opel
19,135,opel
19,134,opel
18,124,opel
19,134,opel
20,129,opel
24,173,opel
24,166,opel
21,131,opel
24,162,opel
20,149,opel
24,172,opel
25,177,opel
24,170,opel
22,141,opel
23,161,opel
25,173,opel
19,126,opel
18,134,opel
23,147,opel
22,159,opel
25,188,opel
21,138,opel
22,148,opel
25,170,opel
19,128,opel
18,132,opel
19,125,opel
23,155,opel
25,179,opel
25,178,opel
20,131,opel
24,167,opel
18,138,opel
25,167,opel
18,122,opel
21,142,opel
24,174,opel
25,165,opel
22,142,opel
20,133,opel
25,174,opel
20,148,opel
18,120,opel
24,163,opel
22,162,opel
24,169,opel
24,173,opel
23,158,opel
24,162,opel
22,161,opel
21,155,opel
23,151,opel
25,176,opel
23,153,opel
24,175,opel
18,130,opel
21,141,opel
24,165,opel
25,178,opel
22,156,opel
23,161,opel
25,174,opel
23,166,opel
19,124,opel
25,178,opel
