@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
101,108,199,saab
90,89,195,saab
107,103,197,saab
107,108,205,saab
98,81,205,saab
89,80,189,saab
90,66,202,saab
96,74,197,saab
92,78,211,saab
104,101,198,saab
97,96,199,saab
90,74,204,saab
93,98,204,saab
99,105,201,saab
89,77,201,saab
89,85,201,saab
105,108,200,saab
107,103,198,saab
102,101,199,saab
90,85,192,saab
95,95,196,saab
84,53,190,saab
105,105,197,saab
94,85,210,saab
101,101,197,saab
104,100,198,saab
97,88,205,saab
89,77,193,saab
87,71,186,saab
109,96,198,saab
109,103,201,saab
88,77,205,saab
84,75,195,saab
82,51,182,saab
98,109,208,saab
109,103,200,saab
92,71,195,saab
84,83,191,saab
78,63,185,saab
91,72,191,saab
93,63,204,saab
115,100,197,saab
112,110,202,saab
108,109,199,saab
105,105,205,saab
92,86,196,saab
89,77,201,saab
90,66,207,saab
93,90,196,saab
100,104,198,saab
103,100,208,saab
85,72,195,saab
85,75,187,saab
91,83,199,saab
97,105,200,saab
106,106,202,saab
94,69,198,saab
85,50,185,saab
97,101,206,saab
90,80,209,saab
106,108,205,saab
89,82,192,saab
108,103,197,saab
102,105,204,saab
86,64,185,saab
108,109,201,saab
93,72,206,saab
88,82,193,saab
119,106,202,saab
108,105,200,saab
86,77,203,saab
102,104,197,saab
96,78,200,saab
90,57,195,saab
100,81,207,saab
98,90,201,saab
109,103,199,saab
101,98,201,saab
89,69,204,saab
86,63,191,saab
100,92,205,saab
107,96,198,saab
86,62,185,saab
108,109,201,saab
91,83,191,saab
85,53,189,saab
113,93,199,saab
98,96,199,saab
100,104,197,saab
104,108,203,saab
91,72,205,saab
93,76,194,saab
104,100,195,saab
93,81,199,saab
93,98,197,saab
117,110,205,saab
104,101,196,saab
99,89,199,saab
95,105,211,saab
100,88,210,saab
111,108,205,saab
103,105,196,saab
110,104,199,saab
90,85,203,saab
113,98,204,saab
83,54,183,saab
104,105,207,saab
97,104,196,saab
107,104,196,saab
101,101,202,saab
94,88,204,saab
110,100,203,saab
86,66,190,saab
110,102,198,saab
101,105,205,saab
85,75,188,saab
104,107,199,saab
103,106,197,saab
115,100,208,saab
96,69,209,saab
82,59,185,saab
107,108,203,saab
107,98,199,saab
87,66,185,saab
115,100,199,saab
112,104,202,saab
116,110,206,saab
92,76,195,saab
104,108,201,saab
91,98,205,saab
108,103,198,saab
83,54,184,saab
105,108,203,saab
104,101,198,saab
104,105,197,saab
87,74,196,saab
93,88,202,saab
89,80,197,saab
110,106,182,bus
80,68,185,bus
85,66,182,bus
97,76,200,bus
91,76,201,bus
89,70,199,bus
106,100,182,bus
85,66,183,bus
85,70,185,bus
89,75,195,bus
110,109,183,bus
85,70,183,bus
87,76,193,bus
100,73,204,bus
81,72,186,bus
97,72,203,bus
100,98,189,bus
100,95,194,bus
82,68,184,bus
93,86,197,bus
107,102,187,bus
91,76,200,bus
90,63,184,bus
81,68,189,bus
102,101,184,bus
98,86,195,bus
96,70,203,bus
111,105,183,bus
84,70,184,bus
102,98,187,bus
87,76,195,bus
87,74,200,bus
85,70,186,bus
86,70,188,bus
96,98,189,bus
95,73,204,bus
91,66,207,bus
102,83,191,bus
81,68,183,bus
86,70,183,bus
106,105,182,bus
87,70,188,bus
110,103,183,bus
87,70,199,bus
94,72,198,bus
82,73,189,bus
96,77,203,bus
109,96,184,bus
97,70,208,bus
99,79,195,bus
90,75,204,bus
105,93,188,bus
86,69,182,bus
87,73,194,bus
79,74,189,bus
107,106,184,bus
87,65,182,bus
98,84,195,bus
90,79,205,bus
98,70,205,bus
94,89,198,bus
101,104,184,bus
114,102,184,bus
94,73,206,bus
94,68,203,bus
98,88,197,bus
80,68,184,bus
82,73,188,bus
83,68,191,bus
94,79,199,bus
81,71,187,bus
89,72,196,bus
102,92,186,bus
99,77,199,bus
95,73,206,bus
94,64,206,bus
99,92,189,bus
88,74,195,bus
84,66,188,bus
93,79,202,bus
86,65,182,bus
88,70,189,bus
101,62,209,bus
100,81,198,bus
109,95,186,bus
89,76,197,bus
96,74,205,bus
85,66,183,bus
85,66,181,bus
105,80,194,bus
96,74,200,bus
85,64,182,bus
86,71,196,bus
86,75,194,bus
82,71,186,bus
95,71,200,bus
86,70,182,bus
84,76,190,bus
86,70,183,bus
81,69,188,bus
98,72,202,bus
83,70,193,bus
103,103,184,bus
107,106,183,bus
83,68,191,bus
81,63,182,bus
99,74,202,bus
87,70,201,bus
82,72,185,bus
81,68,183,bus
97,75,199,bus
88,70,201,bus
80,68,183,bus
83,71,186,bus
85,66,191,bus
92,74,201,bus
95,83,198,bus
96,77,198,bus
86,65,183,bus
104,89,189,bus
85,70,184,bus
86,73,196,bus
92,76,200,bus
100,75,197,bus
89,72,198,bus
85,59,182,bus
88,70,203,bus
86,66,182,bus
82,66,185,bus
107,98,184,bus
91,81,204,bus
87,70,187,bus
83,70,195,bus
81,68,184,bus
84,65,183,bus
86,71,191,bus
78,70,186,bus
98,77,201,bus
94,75,200,bus
83,66,188,bus
109,102,183,bus
84,75,192,bus
99,91,191,bus
80,68,185,bus
97,73,204,bus
83,71,190,bus
89,70,189,bus
82,68,184,bus
80,71,184,bus
84,76,193,bus
108,106,181,bus
82,72,187,bus
88,71,193,bus
98,84,199,bus
96,68,206,bus
91,84,201,bus
82,63,182,bus
86,64,182,bus
96,74,200,bus
99,88,190,bus
86,61,182,bus
85,66,182,bus
100,70,205,bus
94,84,197,bus
86,65,183,bus
81,68,184,bus
86,73,184,bus
93,73,205,bus
106,103,183,bus
87,60,182,bus
101,106,185,bus
89,68,182,bus
87,71,190,bus
80,71,187,bus
106,107,184,bus
79,72,188,bus
94,72,204,bus
92,75,202,bus
89,76,195,bus
88,73,200,bus
100,89,193,bus
85,66,182,bus
104,94,191,bus
83,73,191,bus
98,77,203,bus
113,109,183,bus
86,68,192,bus
93,84,201,bus
85,66,183,bus
86,65,183,bus
81,71,186,bus
107,103,186,bus
101,91,192,bus
82,72,185,bus
91,75,199,bus
85,65,184,bus
80,60,186,opel
99,104,194,opel
101,103,196,opel
85,72,198,opel
94,84,195,opel
101,107,202,opel
100,96,205,opel
89,83,194,opel
104,103,196,opel
103,107,201,opel
95,96,197,opel
99,101,196,opel
97,96,193,opel
102,98,196,opel
82,53,183,opel
88,69,210,opel
84,74,191,opel
109,100,202,opel
103,100,194,opel
100,109,199,opel
92,75,211,opel
91,98,199,opel
91,66,203,opel
104,103,195,opel
95,96,198,opel
88,88,192,opel
93,66,202,opel
86,89,202,opel
88,71,197,opel
99,100,198,opel
102,98,196,opel
95,92,206,opel
101,107,201,opel
105,105,198,opel
80,69,191,opel
107,101,206,opel
93,73,201,opel
108,105,197,opel
80,42,183,opel
97,94,197,opel
105,98,199,opel
104,103,196,opel
82,73,187,opel
89,80,199,opel
80,64,188,opel
93,83,192,opel
97,94,203,opel
99,109,200,opel
101,105,194,opel
104,91,196,opel
100,109,198,opel
80,57,184,opel
94,74,204,opel
98,108,198,opel
111,103,198,opel
104,110,198,opel
104,96,200,opel
90,83,193,opel
96,103,194,opel
100,100,195,opel
99,101,196,opel
104,96,195,opel
98,76,196,opel
97,81,198,opel
96,104,201,opel
84,71,186,opel
91,76,198,opel
100,107,198,opel
84,66,190,opel
103,107,200,opel
103,91,198,opel
90,78,197,opel
95,105,202,opel
77,63,187,opel
101,105,195,opel
78,60,185,opel
101,101,198,opel
86,66,187,opel
89,72,192,opel
102,98,198,opel
108,103,200,opel
95,104,193,opel
103,96,196,opel
89,69,203,opel
88,79,199,opel
105,100,202,opel
87,86,199,opel
98,101,195,opel
85,66,183,opel
107,103,201,opel
102,108,201,opel
100,109,199,opel
103,98,204,opel
104,105,196,opel
89,77,205,opel
101,105,195,opel
106,98,197,opel
95,104,193,opel
101,100,197,opel
91,86,198,opel
99,105,205,opel
109,107,206,opel
99,100,198,opel
96,104,194,opel
104,109,202,opel
83,69,190,opel
103,105,196,opel
91,101,194,opel
78,51,184,opel
96,83,201,opel
97,101,200,opel
90,78,198,opel
84,60,188,opel
107,92,203,opel
103,100,194,opel
82,86,189,opel
87,98,194,opel
89,69,209,opel
93,72,210,opel
85,77,193,opel
79,72,189,opel
86,77,192,opel
88,69,200,opel
86,77,191,opel
86,66,187,opel
106,96,196,opel
97,76,192,opel
85,78,203,opel
92,93,195,opel
76,58,184,opel
106,107,206,opel
102,101,203,opel
87,77,189,opel
93,78,198,opel
101,108,201,opel
92,74,206,opel
97,105,202,opel
85,63,201,opel
104,101,204,opel
103,101,202,opel
92,79,198,opel
88,77,208,opel
100,109,198,opel
93,66,207,opel
106,98,201,opel
97,78,211,opel
97,92,204,opel
100,104,196,opel
93,88,197,opel
105,96,195,opel
101,103,198,opel
73,53,184,opel
86,75,190,opel
92,91,200,opel
107,105,196,opel
102,96,204,opel
99,88,201,opel
85,80,197,opel
107,103,198,opel
88,78,202,opel
81,53,184,opel
92,82,208,opel
91,93,200,opel
95,96,200,opel
105,96,194,opel
90,86,191,opel
100,93,198,opel
89,82,193,opel
103,83,206,opel
103,107,200,opel
98,101,197,opel
79,80,193,opel
102,100,195,opel
105,107,203,opel
97,108,197,opel
88,50,187,opel
84,90,198,opel
89,75,188,opel
103,103,196,opel
103,105,195,opel
98,101,196,opel
96,103,194,opel
96,98,193,opel
104,105,196,opel
92,69,206,opel
95,80,204,opel
85,72,194,opel
89,81,193,opel
93,78,197,opel
92,69,203,opel
89,78,194,opel
