@relation vehicle

@attribute Distance_circularity numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Minor_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
78,20,160,10,van
75,20,163,3,van
70,18,141,10,van
91,19,148,18,van
84,20,159,1,van
85,19,155,12,van
77,18,150,15,van
63,18,136,3,van
84,20,158,7,van
83,20,163,0,van
66,17,144,8,van
64,18,144,16,van
84,19,148,10,van
66,18,138,3,van
55,18,139,0,van
51,17,128,8,van
78,19,152,13,van
85,20,167,1,van
76,18,135,0,van
85,20,167,3,van
81,19,139,0,van
58,17,140,7,van
78,18,147,1,van
80,20,156,17,van
83,20,155,1,van
82,20,162,7,van
60,17,134,7,van
85,19,157,2,van
84,19,145,4,van
81,20,163,6,van
68,18,143,6,van
73,20,158,0,van
70,18,137,2,van
72,18,144,9,van
81,19,149,5,van
66,18,144,3,van
76,18,131,5,van
76,19,149,2,van
87,20,158,4,van
81,20,160,9,van
85,19,151,5,van
88,19,147,2,van
53,17,125,9,van
64,18,142,7,van
85,20,155,5,van
85,19,144,11,van
88,20,157,8,van
76,18,137,3,van
58,18,139,6,van
70,18,130,2,van
62,17,139,13,van
84,20,165,8,van
72,18,145,4,van
64,18,141,7,van
62,18,143,5,van
74,20,158,12,van
85,20,157,1,van
80,19,148,5,van
93,24,165,6,saab
106,24,167,20,saab
106,23,158,14,saab
104,25,172,19,saab
105,24,162,9,saab
96,22,157,10,saab
102,23,164,4,saab
52,17,125,5,saab
103,24,156,9,saab
105,23,152,0,saab
77,20,148,12,saab
75,19,131,1,saab
66,18,127,17,saab
95,22,160,3,saab
71,20,134,5,saab
66,18,136,5,saab
101,24,171,2,saab
83,19,128,0,saab
79,20,148,0,saab
100,23,159,7,saab
81,20,147,11,saab
72,19,140,13,saab
98,22,138,10,saab
63,19,130,2,saab
88,21,140,1,saab
103,25,168,11,saab
112,24,162,0,saab
104,25,167,15,saab
110,24,159,18,saab
76,20,149,16,saab
85,20,139,2,saab
108,24,163,15,saab
77,18,142,10,saab
109,24,171,10,saab
53,17,121,3,saab
106,24,168,16,saab
108,24,168,4,saab
100,23,149,8,saab
58,19,131,12,saab
100,22,160,13,saab
96,24,170,2,saab
96,23,150,4,saab
74,19,136,1,saab
90,21,158,6,saab
94,22,158,8,saab
81,20,152,4,saab
75,19,134,7,saab
86,20,134,6,saab
83,20,148,10,saab
101,22,143,3,saab
95,22,144,15,saab
54,18,125,6,saab
83,21,134,0,saab
103,24,162,9,saab
101,24,166,13,saab
82,19,149,3,saab
77,19,126,8,saab
90,21,152,13,saab
105,24,157,0,saab
66,19,137,2,saab
100,24,173,1,saab
98,21,135,9,saab
104,23,162,3,saab
77,19,143,8,saab
103,23,155,6,saab
78,21,139,3,saab
98,24,169,8,saab
110,24,165,16,saab
101,25,173,3,saab
60,18,129,1,saab
103,25,175,6,saab
87,20,134,7,saab
104,24,162,11,saab
105,24,168,0,saab
86,20,131,9,saab
101,24,172,14,saab
66,17,118,5,saab
57,18,125,16,saab
57,17,127,22,saab
106,24,166,14,saab
88,21,155,15,saab
100,23,158,10,saab
109,23,154,1,saab
78,19,128,4,saab
89,21,133,7,saab
72,18,123,5,saab
66,18,124,1,saab
108,25,168,22,saab
101,25,177,2,saab
80,19,129,6,saab
72,19,133,2,saab
72,18,135,3,saab
100,24,165,14,saab
105,22,162,18,saab
108,24,168,0,saab
103,24,167,1,saab
105,23,165,0,saab
75,18,125,4,saab
78,20,136,9,saab
103,25,172,6,saab
90,21,155,10,saab
71,18,127,0,saab
80,20,132,3,saab
101,22,162,14,saab
88,21,151,0,saab
100,21,134,5,saab
83,19,132,6,saab
88,21,131,2,saab
110,24,163,21,saab
105,25,167,3,saab
63,19,130,9,saab
100,25,166,21,saab
72,19,132,9,saab
77,19,128,0,saab
74,20,134,3,saab
75,19,131,7,saab
105,23,164,12,saab
108,23,167,21,saab
108,25,168,10,saab
109,24,156,13,saab
105,23,150,7,saab
109,24,159,16,saab
62,19,133,2,saab
85,20,153,16,saab
96,22,156,3,saab
85,20,131,7,saab
109,24,169,11,saab
108,23,163,21,saab
105,24,163,8,saab
69,18,131,1,saab
89,21,132,11,saab
89,22,144,6,saab
98,24,171,1,saab
80,20,131,5,saab
76,19,143,14,saab
104,24,171,1,saab
66,18,133,6,saab
106,24,164,0,saab
71,19,133,4,saab
108,25,172,14,saab
108,25,170,13,saab
104,24,163,1,saab
108,25,168,15,saab
54,18,127,16,saab
66,19,136,19,saab
104,23,147,13,saab
76,20,147,8,saab
63,18,134,9,saab
104,24,164,5,saab
59,18,128,11,saab
80,19,139,17,saab
83,20,150,7,saab
85,21,153,5,saab
63,18,130,14,saab
109,25,174,12,saab
103,25,174,8,saab
76,20,134,4,saab
105,22,150,7,saab
54,18,127,3,saab
83,21,154,1,saab
72,19,144,15,saab
104,24,162,18,saab
100,23,162,22,saab
100,25,170,0,saab
104,22,148,0,saab
101,23,152,2,saab
101,23,158,2,saab
103,24,162,2,saab
100,22,149,11,saab
104,24,159,15,saab
98,23,151,17,saab
83,20,133,5,saab
109,25,169,13,saab
83,20,132,0,saab
101,24,168,12,saab
107,24,153,5,saab
50,17,118,1,saab
54,18,127,4,saab
101,22,138,7,saab
108,25,163,12,saab
74,19,128,6,saab
92,21,143,6,saab
90,21,144,3,saab
102,24,171,17,saab
98,22,146,4,saab
54,18,126,1,saab
98,25,167,1,saab
78,18,124,0,saab
103,25,172,10,saab
104,23,152,8,saab
106,23,149,9,saab
98,24,169,14,saab
77,19,146,13,saab
96,22,144,4,saab
100,24,173,5,saab
69,19,145,1,bus
69,19,147,5,bus
73,19,137,2,bus
68,19,147,1,bus
73,19,145,2,bus
65,19,143,6,bus
65,19,148,1,bus
71,19,141,4,bus
68,19,145,7,bus
71,19,146,6,bus
89,22,145,4,bus
68,19,145,1,bus
81,20,137,3,bus
102,26,171,7,bus
98,26,168,3,bus
71,19,149,3,bus
66,19,145,6,bus
72,20,144,7,bus
100,27,162,5,bus
76,19,140,7,bus
75,21,138,7,bus
76,19,143,5,bus
81,22,158,6,bus
74,20,149,7,bus
76,19,138,6,bus
77,20,150,6,bus
70,19,145,6,bus
66,19,139,6,bus
76,19,131,6,bus
61,19,144,8,bus
82,22,141,0,bus
66,19,142,6,bus
66,19,144,1,bus
64,19,146,1,bus
78,20,134,1,bus
63,19,145,7,bus
106,26,164,6,bus
102,28,169,2,bus
73,19,146,8,bus
76,19,136,3,bus
70,19,124,3,bus
74,19,134,3,bus
68,18,142,10,bus
103,27,166,4,bus
91,23,161,5,bus
70,19,143,1,bus
75,19,145,0,bus
66,19,146,4,bus
68,19,151,3,bus
72,20,131,1,bus
70,18,136,1,bus
72,19,133,0,bus
84,20,138,3,bus
70,20,136,3,bus
80,21,156,3,bus
80,22,159,6,bus
70,18,143,7,bus
66,19,144,2,bus
71,19,147,3,bus
62,19,139,7,bus
88,23,148,8,bus
106,28,170,11,bus
70,19,134,5,bus
70,19,129,0,bus
59,19,144,8,bus
77,21,139,4,bus
88,23,158,8,bus
105,29,174,4,bus
74,19,149,6,bus
76,19,143,0,bus
79,21,154,6,bus
79,20,130,2,bus
73,19,126,2,bus
75,19,133,4,bus
77,20,150,13,bus
70,19,145,1,bus
65,19,141,4,bus
73,19,143,13,bus
72,19,146,1,bus
92,25,162,7,bus
75,19,136,2,bus
79,22,153,5,bus
68,19,142,4,bus
75,20,129,2,bus
65,19,141,5,bus
70,19,145,8,bus
75,20,128,1,bus
68,19,143,1,bus
66,19,140,4,bus
70,18,143,7,bus
74,19,127,0,bus
101,26,163,7,bus
66,19,143,4,bus
71,19,138,3,bus
66,19,145,8,bus
74,19,143,8,bus
104,28,168,5,bus
107,28,171,9,bus
72,19,143,6,bus
71,19,144,5,bus
93,25,159,4,bus
98,24,152,8,bus
70,19,138,5,bus
86,22,161,4,bus
68,19,145,5,bus
64,19,144,9,bus
66,19,143,10,bus
91,23,148,4,bus
66,19,145,5,bus
68,19,146,7,bus
95,25,158,0,bus
65,19,144,4,bus
103,27,169,4,bus
65,19,140,2,bus
76,19,144,12,bus
73,19,147,9,bus
73,19,143,5,bus
70,19,144,7,bus
72,19,144,0,bus
83,21,139,6,bus
66,19,145,8,bus
84,21,152,7,bus
71,19,146,10,bus
68,19,142,5,bus
70,19,144,9,bus
66,19,147,0,bus
70,19,146,6,bus
86,22,145,0,bus
68,19,146,6,bus
94,24,161,11,bus
65,19,150,4,bus
84,21,161,9,bus
79,21,158,5,bus
77,21,139,4,bus
76,19,136,8,bus
102,26,165,10,bus
70,19,141,4,bus
106,28,172,2,bus
66,19,144,4,bus
84,22,145,4,bus
98,25,165,9,bus
73,20,152,9,bus
70,19,142,6,bus
69,19,144,3,bus
106,28,171,9,bus
70,18,143,9,bus
68,19,147,4,bus
70,19,146,2,bus
72,19,144,0,bus
109,27,169,11,bus
63,19,147,3,bus
70,19,143,2,bus
73,20,127,6,bus
98,24,156,8,bus
70,20,148,17,bus
72,19,147,11,bus
73,19,131,1,bus
75,19,131,0,bus
71,19,148,1,bus
73,19,127,2,bus
83,22,146,0,bus
71,19,147,3,bus
76,21,157,0,bus
74,20,128,1,bus
68,19,147,6,bus
60,19,141,2,bus
68,19,144,5,bus
64,19,143,1,bus
63,19,142,0,bus
98,26,164,4,bus
103,28,172,5,bus
68,19,147,7,bus
65,19,145,1,bus
96,26,170,8,bus
106,28,169,5,bus
88,22,147,2,bus
102,26,167,9,bus
70,19,146,1,bus
71,19,142,2,bus
64,19,142,9,bus
92,24,159,5,bus
68,19,143,0,bus
76,19,135,4,bus
73,19,138,3,bus
75,19,131,0,bus
68,19,144,1,bus
85,22,146,6,bus
70,19,145,10,bus
75,19,147,8,bus
70,19,144,9,bus
71,19,141,8,bus
70,19,145,6,bus
66,19,145,0,bus
71,19,143,7,bus
68,19,145,4,bus
103,26,160,3,bus
73,19,145,6,bus
74,20,133,6,opel
104,24,175,0,opel
107,24,159,1,opel
101,25,180,2,opel
109,25,182,0,opel
103,23,156,12,opel
69,18,134,1,opel
100,22,150,5,opel
83,21,152,15,opel
58,18,127,0,opel
71,19,143,7,opel
69,18,126,3,opel
98,24,170,2,opel
66,18,120,5,opel
107,25,180,6,opel
107,24,161,0,opel
101,25,178,11,opel
75,19,142,22,opel
79,20,148,12,opel
93,22,147,0,opel
66,18,128,5,opel
85,20,129,1,opel
80,19,126,6,opel
103,25,176,4,opel
103,25,176,7,opel
105,24,171,14,opel
96,24,173,0,opel
103,24,165,5,opel
101,25,177,7,opel
53,18,128,1,opel
105,23,169,9,opel
82,19,144,2,opel
96,25,173,9,opel
101,23,164,17,opel
92,21,154,2,opel
73,20,146,11,opel
103,25,177,11,opel
96,22,161,11,opel
76,20,148,13,opel
60,18,130,8,opel
50,17,122,21,opel
88,22,159,12,opel
104,24,175,13,opel
86,21,153,11,opel
103,24,162,6,opel
79,21,138,0,opel
103,23,147,6,opel
98,24,173,2,opel
101,22,151,1,opel
79,20,149,2,opel
71,19,134,12,opel
72,18,125,3,opel
96,25,170,5,opel
108,24,156,7,opel
96,22,156,3,opel
69,19,143,14,opel
104,23,164,5,opel
110,25,166,10,opel
78,19,125,2,opel
66,19,133,13,opel
105,23,148,5,opel
84,20,133,0,opel
107,24,167,0,opel
86,19,134,11,opel
89,21,135,4,opel
77,19,141,9,opel
105,23,163,10,opel
98,24,175,3,opel
82,20,149,8,opel
63,17,130,20,opel
86,20,131,1,opel
69,18,137,16,opel
91,25,170,1,opel
77,20,129,1,opel
42,17,119,4,opel
92,21,140,4,opel
77,19,127,14,opel
100,24,175,2,opel
98,22,161,3,opel
88,21,141,3,opel
91,21,137,3,opel
103,24,160,7,opel
96,25,175,4,opel
89,20,132,7,opel
105,23,155,2,opel
96,21,141,1,opel
100,24,175,10,opel
108,25,178,8,opel
100,24,173,15,opel
78,20,131,2,opel
74,18,127,9,opel
105,24,173,13,opel
78,19,127,0,opel
53,18,128,10,opel
103,25,172,15,opel
101,23,152,5,opel
66,18,127,5,opel
51,17,124,1,opel
96,22,161,13,opel
80,19,135,8,opel
104,23,163,12,opel
101,25,178,6,opel
108,24,172,4,opel
107,23,161,9,opel
75,19,132,16,opel
57,18,125,8,opel
98,22,161,5,opel
91,24,170,4,opel
78,19,141,15,opel
94,22,147,0,opel
92,22,148,12,opel
104,24,172,1,opel
105,25,177,14,opel
94,21,155,20,opel
63,18,130,13,opel
72,18,126,1,opel
96,21,158,19,opel
93,22,161,2,opel
78,18,138,0,opel
80,20,143,13,opel
72,19,135,7,opel
101,23,157,0,opel
101,25,171,13,opel
104,23,151,5,opel
108,25,186,10,opel
98,24,174,0,opel
98,24,166,11,opel
77,19,145,9,opel
105,24,173,10,opel
100,23,147,5,opel
77,19,145,15,opel
75,18,135,3,opel
76,20,134,0,opel
100,24,169,6,opel
107,23,158,9,opel
109,24,162,6,opel
101,25,177,5,opel
84,20,130,9,opel
90,21,131,4,opel
66,19,131,1,opel
75,19,137,18,opel
105,23,152,0,opel
101,25,182,6,opel
96,22,143,6,opel
69,18,138,10,opel
75,19,139,15,opel
105,24,177,12,opel
81,20,150,11,opel
109,25,163,11,opel
98,22,141,2,opel
74,20,135,7,opel
72,19,124,5,opel
103,23,166,6,opel
96,23,153,2,opel
83,21,132,1,opel
105,24,162,5,opel
100,25,178,0,opel
103,24,172,5,opel
101,24,168,1,opel
78,18,123,4,opel
107,25,174,0,opel
100,25,188,4,opel
105,25,179,15,opel
60,18,131,0,opel
100,24,173,12,opel
81,20,149,9,opel
98,25,171,5,opel
82,19,144,10,opel
60,17,124,3,opel
77,19,125,5,opel
108,24,162,7,opel
103,23,156,4,opel
83,20,147,12,opel
66,18,136,3,opel
103,24,163,0,opel
100,23,166,2,opel
96,22,142,8,opel
78,19,128,10,opel
73,19,133,11,opel
107,25,178,8,opel
69,18,124,2,opel
109,25,176,10,opel
66,18,132,4,opel
75,19,146,16,opel
100,22,161,14,opel
53,18,128,0,opel
80,20,145,11,opel
96,25,172,6,opel
83,21,156,1,opel
101,23,161,2,opel
