@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
96,74,341,bus
92,74,375,bus
85,66,325,bus
86,73,335,bus
83,70,309,bus
83,71,331,bus
99,88,625,bus
83,68,325,bus
96,82,534,bus
86,61,326,bus
96,74,408,bus
94,72,373,bus
85,70,326,bus
85,66,319,bus
86,71,322,bus
102,85,570,bus
98,77,422,bus
107,102,822,bus
91,76,332,bus
96,98,680,bus
89,70,299,bus
92,75,363,bus
106,98,838,bus
91,76,340,bus
88,78,379,bus
101,91,636,bus
110,106,998,bus
84,76,359,bus
85,69,341,bus
100,95,605,bus
98,77,457,bus
92,76,350,bus
79,74,349,bus
101,104,956,bus
81,68,333,bus
82,68,322,bus
87,70,307,bus
86,75,356,bus
106,105,891,bus
94,75,365,bus
96,70,427,bus
109,95,776,bus
86,64,319,bus
87,76,327,bus
103,103,816,bus
86,66,321,bus
93,84,476,bus
108,102,855,bus
98,86,570,bus
104,94,666,bus
82,66,326,bus
95,71,322,bus
84,75,354,bus
98,72,427,bus
106,107,987,bus
97,72,399,bus
111,105,1018,bus
86,68,337,bus
94,84,525,bus
95,73,430,bus
105,93,703,bus
80,71,337,bus
82,71,330,bus
85,66,326,bus
86,65,332,bus
98,88,563,bus
87,73,341,bus
104,89,682,bus
102,83,576,bus
85,66,320,bus
105,93,735,bus
85,66,323,bus
85,64,324,bus
94,79,465,bus
85,59,320,bus
84,76,339,bus
89,76,342,bus
98,70,371,bus
87,71,343,bus
94,72,385,bus
81,68,336,bus
87,76,362,bus
110,103,928,bus
107,106,957,bus
83,71,338,bus
109,102,870,bus
82,72,317,bus
87,60,324,bus
88,70,332,bus
80,68,333,bus
86,65,335,bus
86,65,331,bus
86,71,321,bus
91,75,362,bus
85,66,324,bus
98,84,520,bus
99,74,414,bus
86,65,327,bus
82,73,341,bus
82,63,329,bus
106,103,892,bus
89,72,312,bus
101,62,341,bus
102,101,844,bus
100,81,531,bus
99,92,671,bus
86,70,322,bus
86,70,317,bus
97,70,346,bus
86,70,324,bus
96,77,485,bus
98,70,413,bus
81,71,347,bus
93,86,523,bus
86,66,340,bus
90,63,336,bus
97,75,450,bus
80,71,330,bus
100,73,401,bus
81,63,320,bus
98,84,558,bus
88,70,311,bus
96,68,372,bus
82,73,337,bus
88,71,312,bus
96,77,429,bus
87,65,321,bus
87,70,327,bus
90,75,345,bus
106,100,923,bus
83,66,333,bus
99,91,629,bus
90,79,393,bus
94,89,533,bus
113,109,982,bus
85,70,325,bus
105,80,579,bus
81,68,323,bus
100,98,719,bus
109,96,857,bus
84,68,317,bus
114,102,968,bus
81,69,340,bus
92,75,393,bus
86,73,334,bus
102,92,731,bus
91,84,446,bus
101,106,833,bus
81,72,347,bus
85,66,321,bus
87,70,326,bus
80,68,329,bus
85,70,328,bus
86,70,331,bus
97,88,596,bus
82,72,340,bus
100,80,517,bus
89,76,373,bus
93,79,463,bus
89,68,328,bus
89,70,323,bus
82,72,350,bus
81,68,330,bus
84,70,332,bus
94,64,344,bus
100,75,479,bus
110,109,928,bus
81,68,335,bus
83,73,327,bus
87,70,341,bus
99,79,524,bus
107,103,904,bus
108,106,966,bus
94,70,361,bus
100,70,406,bus
88,73,341,bus
82,70,328,bus
78,70,319,bus
85,66,317,bus
102,98,766,bus
97,73,361,bus
88,74,349,bus
85,66,330,bus
98,101,748,opel
100,101,731,opel
106,98,693,opel
88,71,296,opel
109,107,624,opel
104,96,713,opel
107,103,653,opel
99,88,517,opel
85,72,233,opel
97,108,732,opel
93,72,334,opel
93,88,504,opel
97,105,602,opel
100,107,756,opel
105,100,557,opel
96,103,598,opel
101,105,653,opel
89,78,314,opel
98,76,371,opel
101,105,678,opel
85,78,321,opel
104,103,708,opel
102,98,692,opel
102,100,669,opel
95,96,534,opel
84,74,282,opel
85,77,331,opel
99,104,657,opel
102,101,728,opel
100,109,722,opel
91,98,562,opel
104,109,706,opel
86,89,428,opel
94,79,418,opel
98,101,650,opel
97,76,391,opel
95,80,406,opel
111,103,727,opel
104,110,711,opel
104,105,623,opel
89,80,396,opel
92,82,409,opel
76,58,259,opel
96,103,624,opel
101,100,651,opel
102,98,682,opel
103,100,666,opel
83,69,274,opel
91,86,473,opel
106,107,602,opel
88,69,284,opel
87,85,402,opel
84,71,330,opel
86,66,252,opel
102,98,706,opel
91,75,335,opel
82,53,259,opel
89,69,260,opel
96,104,589,opel
103,105,648,opel
85,72,261,opel
92,69,333,opel
93,78,331,opel
101,103,601,opel
79,72,295,opel
101,107,641,opel
100,109,731,opel
96,83,438,opel
103,107,644,opel
91,76,415,opel
80,64,259,opel
95,104,670,opel
87,82,366,opel
85,80,348,opel
97,81,426,opel
97,101,546,opel
80,69,240,opel
104,105,737,opel
103,101,595,opel
103,100,684,opel
92,91,466,opel
97,103,677,opel
73,53,227,opel
97,94,573,opel
90,78,284,opel
95,96,543,opel
82,86,338,opel
104,103,716,opel
108,105,709,opel
95,92,478,opel
90,86,388,opel
86,66,266,opel
100,100,611,opel
94,74,394,opel
88,78,287,opel
99,105,575,opel
88,77,395,opel
98,101,748,opel
85,66,340,opel
101,105,669,opel
106,98,710,opel
107,101,610,opel
100,109,704,opel
93,83,417,opel
99,101,737,opel
84,90,469,opel
88,50,192,opel
105,107,701,opel
85,63,219,opel
84,66,232,opel
101,103,571,opel
107,92,526,opel
88,79,462,opel
104,103,718,opel
89,83,481,opel
105,105,597,opel
108,103,661,opel
102,108,663,opel
87,77,350,opel
94,89,444,opel
92,93,536,opel
97,96,685,opel
86,77,352,opel
89,82,332,opel
105,96,706,opel
97,94,494,opel
103,83,455,opel
103,91,707,opel
100,96,519,opel
98,108,737,opel
90,83,472,opel
77,75,315,opel
93,66,251,opel
81,53,259,opel
89,69,266,opel
91,93,504,opel
89,75,312,opel
82,73,342,opel
95,104,628,opel
99,100,600,opel
89,81,388,opel
107,103,676,opel
80,60,281,opel
92,74,388,opel
103,107,728,opel
102,101,616,opel
90,78,367,opel
80,42,191,opel
87,98,535,opel
106,107,670,opel
100,104,631,opel
77,63,247,opel
106,96,494,opel
91,66,322,opel
105,96,713,opel
104,91,697,opel
95,96,474,opel
99,109,725,opel
101,108,685,opel
92,75,322,opel
107,105,725,opel
95,105,602,opel
96,104,682,opel
100,93,521,opel
89,77,367,opel
93,73,379,opel
98,104,665,opel
102,96,513,opel
103,105,706,opel
86,84,358,opel
87,86,471,opel
91,101,574,opel
93,66,304,opel
84,60,261,opel
93,78,342,opel
104,101,587,opel
103,96,633,opel
99,101,722,opel
94,84,430,opel
97,108,683,opel
86,77,345,opel
106,96,717,opel
100,109,752,opel
101,100,681,opel
96,98,683,opel
101,100,757,opel
88,88,416,opel
105,98,696,opel
109,103,630,opel
78,60,221,opel
103,107,729,opel
