@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Praxis_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
98,90,21,saab
87,71,18,saab
90,80,20,saab
101,101,22,saab
93,88,21,saab
96,100,21,saab
84,83,19,saab
94,88,21,saab
117,110,24,saab
97,105,25,saab
80,63,19,saab
115,100,25,saab
91,72,19,saab
86,77,19,saab
96,74,20,saab
85,75,19,saab
108,105,23,saab
111,108,23,saab
107,108,25,saab
109,109,24,saab
101,105,23,saab
108,109,24,saab
86,62,19,saab
89,85,20,saab
104,96,22,saab
90,85,20,saab
109,109,24,saab
107,108,23,saab
103,105,24,saab
89,69,18,saab
90,89,21,saab
99,89,22,saab
106,98,24,saab
89,80,20,saab
93,76,19,saab
97,104,24,saab
86,66,18,saab
102,106,24,saab
92,71,19,saab
104,108,25,saab
107,108,25,saab
100,104,24,saab
105,108,25,saab
89,54,18,saab
87,66,19,saab
100,104,23,saab
92,76,20,saab
93,63,18,saab
110,104,24,saab
82,59,18,saab
89,80,19,saab
89,83,20,saab
101,85,21,saab
88,63,18,saab
108,109,25,saab
108,103,25,saab
93,76,20,saab
95,105,22,saab
83,54,18,saab
90,83,21,saab
90,72,19,saab
110,104,24,saab
115,100,23,saab
105,100,25,saab
95,104,22,saab
98,101,23,saab
106,101,23,saab
107,103,24,saab
110,100,22,saab
112,104,24,saab
113,98,23,saab
91,83,20,saab
109,109,25,saab
91,83,20,saab
104,101,24,saab
106,107,24,saab
85,50,17,saab
83,54,18,saab
97,101,22,saab
105,108,25,saab
90,74,19,saab
100,92,21,saab
98,90,21,saab
110,102,24,saab
93,98,22,saab
82,54,18,saab
107,98,25,saab
86,78,18,saab
107,103,25,saab
99,104,23,saab
103,106,23,saab
107,98,24,saab
89,77,19,saab
97,96,22,saab
104,100,24,saab
85,69,19,bus
81,69,19,bus
88,73,19,bus
81,68,19,bus
82,73,19,bus
87,65,19,bus
84,65,19,bus
88,71,19,bus
80,68,19,bus
80,71,19,bus
94,89,22,bus
81,68,19,bus
91,81,20,bus
107,102,26,bus
107,98,26,bus
81,71,19,bus
85,66,19,bus
97,72,20,bus
106,100,27,bus
87,76,19,bus
100,75,21,bus
84,76,19,bus
100,81,22,bus
96,74,20,bus
87,76,19,bus
96,77,20,bus
86,70,19,bus
85,66,19,bus
92,76,19,bus
86,61,19,bus
96,82,22,bus
86,66,19,bus
82,66,19,bus
85,64,19,bus
88,78,20,bus
81,63,19,bus
101,106,26,bus
114,102,28,bus
83,73,19,bus
89,76,19,bus
98,70,19,bus
87,74,19,bus
94,68,18,bus
106,103,27,bus
101,91,23,bus
88,70,19,bus
84,75,19,bus
85,66,19,bus
81,68,19,bus
98,72,20,bus
87,70,18,bus
94,72,19,bus
91,84,20,bus
98,70,20,bus
100,80,21,bus
105,80,22,bus
88,70,18,bus
84,66,19,bus
83,71,19,bus
101,62,19,bus
97,88,23,bus
108,106,28,bus
88,70,19,bus
97,70,19,bus
85,59,19,bus
99,77,21,bus
99,88,23,bus
111,105,29,bus
79,74,19,bus
84,76,19,bus
94,79,21,bus
90,79,20,bus
95,73,19,bus
94,75,19,bus
98,77,20,bus
78,70,19,bus
86,65,19,bus
97,73,19,bus
81,72,19,bus
102,92,25,bus
89,75,19,bus
99,79,22,bus
86,68,19,bus
97,75,20,bus
86,65,19,bus
85,70,19,bus
92,75,20,bus
83,68,19,bus
91,66,19,bus
83,70,18,bus
96,74,19,bus
102,101,26,bus
85,66,19,bus
90,71,19,bus
85,66,19,bus
92,74,19,bus
101,104,28,bus
106,107,28,bus
82,72,19,bus
86,71,19,bus
105,93,25,bus
96,98,24,bus
82,70,19,bus
98,86,22,bus
96,68,19,bus
85,64,19,bus
85,66,19,bus
99,91,23,bus
85,66,19,bus
81,68,19,bus
109,95,25,bus
87,65,19,bus
110,103,27,bus
86,65,19,bus
91,76,19,bus
86,73,19,bus
82,73,19,bus
94,70,19,bus
79,72,19,bus
95,83,21,bus
85,66,19,bus
93,84,21,bus
86,71,19,bus
84,68,19,bus
86,70,19,bus
85,66,19,bus
86,70,19,bus
93,86,22,bus
81,68,19,bus
104,94,24,bus
86,65,19,bus
98,84,21,bus
93,79,21,bus
98,77,21,bus
89,76,19,bus
109,102,26,bus
83,70,19,bus
107,106,28,bus
83,66,19,bus
94,84,22,bus
102,98,25,bus
95,73,20,bus
87,70,19,bus
86,69,19,bus
110,106,28,bus
89,70,18,bus
81,68,19,bus
85,70,19,bus
82,72,19,bus
110,109,27,bus
82,63,19,bus
89,70,19,bus
100,73,20,bus
100,98,24,bus
96,70,20,bus
89,72,19,bus
93,73,19,bus
92,75,19,bus
81,71,19,bus
94,73,19,bus
102,83,22,bus
80,71,19,bus
97,76,21,bus
96,74,20,bus
89,68,19,bus
87,60,19,bus
82,68,19,bus
86,64,19,bus
90,63,19,bus
106,98,26,bus
107,103,28,bus
80,68,19,bus
85,65,19,bus
109,96,26,bus
107,106,28,bus
98,88,22,bus
108,102,26,bus
84,70,19,bus
83,71,19,bus
94,64,19,bus
99,92,24,bus
82,68,19,bus
91,76,19,bus
87,73,19,bus
90,75,19,bus
81,68,19,bus
102,85,22,bus
85,70,19,bus
91,75,19,bus
85,70,19,bus
95,71,19,bus
87,70,19,bus
86,66,19,bus
82,71,19,bus
80,68,19,bus
103,103,26,bus
86,73,19,bus
94,74,20,opel
95,104,24,opel
103,107,24,opel
99,101,25,opel
100,109,25,opel
109,103,23,opel
88,69,18,opel
105,100,22,opel
96,83,21,opel
76,58,18,opel
88,71,19,opel
89,69,18,opel
106,98,24,opel
93,66,18,opel
100,107,25,opel
106,107,24,opel
99,101,25,opel
92,75,19,opel
94,79,20,opel
100,93,22,opel
93,66,18,opel
87,85,20,opel
85,80,19,opel
104,103,25,opel
104,103,25,opel
108,105,24,opel
97,96,24,opel
103,103,24,opel
100,101,25,opel
73,53,18,opel
104,105,23,opel
87,82,19,opel
106,96,25,opel
107,101,23,opel
95,92,21,opel
93,73,20,opel
104,103,25,opel
104,96,22,opel
98,76,20,opel
84,60,18,opel
88,50,17,opel
99,88,22,opel
96,104,24,opel
87,86,21,opel
107,103,24,opel
88,79,21,opel
96,103,23,opel
105,98,24,opel
97,101,22,opel
92,79,20,opel
84,71,19,opel
85,72,18,opel
105,96,25,opel
97,108,24,opel
100,96,22,opel
92,69,19,opel
100,104,23,opel
104,110,25,opel
93,78,19,opel
85,66,19,opel
95,105,23,opel
86,84,20,opel
105,107,24,opel
82,86,19,opel
94,89,21,opel
86,77,19,opel
105,105,23,opel
96,98,24,opel
92,82,20,opel
85,63,17,opel
90,86,20,opel
89,69,18,opel
103,91,25,opel
88,77,20,opel
80,42,17,opel
97,92,21,opel
86,77,19,opel
101,100,24,opel
91,98,22,opel
93,88,21,opel
92,91,21,opel
108,103,24,opel
105,96,25,opel
86,89,20,opel
97,105,23,opel
95,96,21,opel
103,100,24,opel
98,108,25,opel
103,100,24,opel
97,78,20,opel
84,74,18,opel
103,105,24,opel
89,78,19,opel
81,53,18,opel
111,103,25,opel
98,101,23,opel
86,66,18,opel
78,51,17,opel
95,96,22,opel
79,80,19,opel
96,104,23,opel
98,101,25,opel
101,108,24,opel
106,107,23,opel
77,75,19,opel
80,57,18,opel
103,98,22,opel
104,91,24,opel
93,78,19,opel
97,94,22,opel
107,92,22,opel
98,104,24,opel
104,105,25,opel
97,94,21,opel
77,63,18,opel
89,72,18,opel
106,96,21,opel
92,93,22,opel
90,78,18,opel
89,80,20,opel
79,72,19,opel
102,101,23,opel
102,101,25,opel
95,104,23,opel
97,108,25,opel
102,98,24,opel
106,98,24,opel
88,77,19,opel
103,105,24,opel
100,100,23,opel
87,77,19,opel
86,75,18,opel
91,76,20,opel
101,100,24,opel
109,107,23,opel
100,109,24,opel
101,101,25,opel
94,84,20,opel
84,90,21,opel
91,66,19,opel
89,75,19,opel
99,105,23,opel
98,101,25,opel
95,96,22,opel
92,69,18,opel
89,75,19,opel
101,105,24,opel
97,81,20,opel
100,109,25,opel
87,98,22,opel
92,74,20,opel
93,72,19,opel
96,103,23,opel
103,96,23,opel
90,83,21,opel
101,105,24,opel
101,100,25,opel
97,103,24,opel
98,101,24,opel
88,78,18,opel
103,107,25,opel
99,100,25,opel
107,105,25,opel
80,60,18,opel
102,100,24,opel
89,81,20,opel
102,98,25,opel
89,82,19,opel
78,60,17,opel
89,77,19,opel
102,108,24,opel
101,103,23,opel
93,83,20,opel
86,66,18,opel
107,103,24,opel
99,100,23,opel
102,96,22,opel
85,78,19,opel
82,73,19,opel
101,107,25,opel
80,69,18,opel
99,109,25,opel
84,66,18,opel
91,75,19,opel
109,100,22,opel
82,53,18,opel
95,80,20,opel
104,96,25,opel
89,83,21,opel
104,101,23,opel
