@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
8,177,133,saab
10,198,150,saab
8,153,128,saab
12,215,168,saab
12,213,167,saab
11,207,167,saab
11,199,154,saab
12,221,167,saab
12,215,162,saab
9,166,154,saab
9,187,158,saab
9,157,132,saab
9,203,151,saab
10,212,168,saab
12,216,171,saab
9,211,171,saab
8,153,129,saab
8,150,133,saab
9,185,138,saab
8,137,127,saab
6,160,148,saab
10,193,160,saab
9,163,148,saab
10,221,174,saab
7,141,141,saab
8,158,148,saab
6,121,127,saab
12,222,173,saab
9,188,144,saab
5,148,131,saab
11,213,172,saab
9,157,149,saab
8,144,146,saab
11,211,156,saab
7,146,132,saab
11,219,172,saab
12,215,168,saab
8,154,144,saab
4,122,125,saab
10,180,143,saab
5,142,128,saab
11,219,172,saab
9,186,138,saab
12,218,170,saab
11,208,162,saab
4,115,118,saab
11,220,172,saab
12,213,162,saab
10,204,162,saab
12,218,170,saab
7,149,143,saab
10,187,150,saab
6,144,139,saab
11,211,168,saab
11,218,167,saab
8,169,134,saab
5,125,130,saab
12,222,168,saab
10,216,173,saab
7,154,133,saab
8,154,149,saab
11,216,165,saab
8,175,132,saab
11,207,164,saab
9,175,132,saab
9,167,134,saab
9,197,152,saab
10,198,164,saab
11,183,146,saab
9,188,162,saab
9,206,167,saab
4,135,126,saab
11,208,159,saab
5,150,138,saab
10,195,161,saab
8,159,134,saab
11,219,168,saab
11,213,162,saab
10,181,158,saab
10,208,163,saab
10,207,158,saab
9,193,149,saab
9,192,143,saab
5,132,135,saab
9,198,150,saab
6,140,131,saab
6,148,136,saab
10,217,171,saab
7,135,128,saab
9,169,139,saab
4,116,123,saab
9,177,135,saab
10,171,155,saab
11,212,159,saab
7,161,131,saab
7,147,131,saab
12,212,163,saab
7,170,131,saab
10,217,165,saab
9,185,144,saab
10,203,149,saab
7,146,130,saab
11,222,175,saab
11,191,162,saab
9,175,140,saab
11,204,165,saab
10,220,168,saab
8,183,156,saab
7,152,143,saab
5,133,135,saab
7,158,131,saab
8,175,152,saab
5,152,143,saab
7,149,132,saab
6,128,129,saab
10,207,153,saab
12,206,163,saab
12,222,177,saab
12,217,165,saab
10,221,170,saab
7,149,129,saab
9,178,144,saab
7,160,147,saab
5,134,127,saab
11,175,153,saab
6,142,130,saab
10,188,157,saab
12,221,169,saab
11,218,169,saab
10,213,166,saab
4,137,133,saab
10,207,156,saab
6,123,118,saab
11,217,163,saab
6,136,136,saab
6,144,131,saab
11,214,167,saab
10,198,149,saab
8,169,153,saab
10,208,162,saab
12,221,168,saab
5,203,158,bus
7,147,143,bus
7,184,161,bus
6,151,147,bus
5,163,149,bus
7,151,143,bus
6,161,128,bus
7,176,152,bus
6,260,175,bus
7,234,171,bus
7,150,146,bus
7,148,138,bus
7,152,142,bus
7,152,151,bus
7,153,148,bus
6,177,139,bus
8,151,146,bus
6,149,139,bus
6,151,147,bus
7,199,150,bus
6,186,158,bus
8,149,146,bus
6,183,156,bus
8,151,145,bus
6,146,141,bus
6,241,165,bus
7,166,150,bus
6,142,142,bus
5,169,137,bus
6,164,136,bus
8,153,144,bus
7,151,129,bus
7,151,147,bus
6,239,167,bus
6,147,143,bus
7,154,127,bus
6,148,145,bus
8,149,146,bus
6,220,162,bus
5,177,134,bus
8,153,144,bus
7,154,144,bus
7,149,145,bus
7,252,172,bus
6,149,144,bus
7,150,147,bus
6,146,146,bus
52,148,144,bus
6,265,174,bus
6,148,145,bus
8,148,145,bus
7,150,147,bus
5,251,169,bus
8,143,143,bus
8,150,144,bus
4,222,159,bus
7,167,152,bus
5,143,143,bus
7,146,135,bus
7,149,145,bus
6,156,144,bus
7,150,140,bus
7,149,135,bus
7,150,144,bus
4,238,163,bus
6,261,171,bus
4,227,158,bus
6,162,127,bus
6,152,131,bus
7,151,131,bus
8,149,143,bus
7,149,143,bus
6,167,150,bus
6,255,169,bus
7,151,131,bus
8,150,148,bus
6,148,141,bus
6,150,144,bus
7,150,144,bus
7,197,148,bus
6,151,147,bus
6,184,145,bus
5,186,141,bus
6,145,134,bus
6,151,147,bus
6,262,171,bus
7,151,145,bus
5,148,144,bus
7,217,165,bus
7,150,136,bus
7,150,147,bus
22,151,147,bus
7,149,142,bus
5,194,146,bus
7,236,160,bus
7,184,145,bus
6,148,146,bus
7,152,142,bus
7,240,168,bus
6,148,143,bus
7,151,147,bus
7,150,144,bus
7,146,144,bus
6,192,147,bus
7,144,147,bus
6,141,143,bus
8,155,133,bus
7,173,158,bus
6,164,131,bus
5,148,145,bus
6,154,145,bus
5,250,169,bus
6,150,146,bus
5,176,138,bus
5,161,144,bus
7,148,140,bus
6,151,146,bus
6,177,139,bus
8,150,145,bus
6,158,134,bus
4,237,164,bus
7,150,137,bus
5,153,136,bus
5,247,165,bus
7,150,142,bus
7,157,136,bus
7,152,147,bus
7,152,145,bus
5,208,161,bus
7,143,136,bus
6,152,150,bus
5,155,138,bus
6,195,159,bus
7,149,146,bus
5,256,170,bus
7,144,141,bus
4,247,166,bus
7,152,145,bus
7,153,149,bus
6,151,146,bus
6,241,170,bus
7,178,157,bus
7,190,154,bus
8,149,145,bus
8,147,145,bus
6,204,161,bus
7,149,144,bus
6,192,146,bus
6,145,144,bus
6,149,127,bus
4,212,153,bus
8,152,141,bus
8,150,145,bus
6,185,153,bus
6,201,159,bus
7,148,144,bus
7,150,142,bus
6,171,129,bus
5,155,124,bus
7,162,153,bus
7,145,140,bus
7,155,145,bus
6,153,146,bus
8,257,172,bus
5,209,159,bus
7,151,138,bus
8,151,146,bus
6,257,169,bus
8,151,146,bus
7,151,143,bus
7,155,143,bus
6,151,143,bus
6,160,130,bus
6,149,145,bus
6,213,152,bus
7,150,146,bus
5,192,161,bus
6,156,126,bus
6,257,168,bus
7,150,138,bus
6,146,142,bus
5,202,148,bus
6,172,139,bus
6,154,131,bus
7,157,143,bus
7,149,142,bus
6,148,145,bus
6,152,148,bus
52,149,144,bus
6,148,145,bus
7,236,164,bus
6,152,141,bus
22,149,139,bus
6,154,146,bus
5,165,128,bus
6,150,141,bus
8,176,137,opel
11,219,176,opel
10,203,157,opel
11,218,171,opel
11,218,173,opel
7,150,134,opel
11,202,164,opel
7,163,129,opel
10,189,141,opel
8,153,133,opel
10,198,161,opel
7,149,124,opel
6,178,156,opel
10,214,164,opel
9,177,153,opel
8,150,125,opel
8,201,147,opel
8,156,133,opel
10,210,166,opel
10,219,166,opel
7,147,135,opel
11,214,161,opel
6,134,128,opel
4,120,124,opel
8,153,126,opel
6,162,143,opel
10,209,162,opel
7,152,141,opel
10,217,174,opel
7,138,138,opel
5,133,128,opel
9,200,166,opel
11,212,165,opel
7,151,141,opel
11,227,180,opel
10,213,172,opel
10,183,141,opel
8,161,131,opel
11,215,172,opel
7,146,137,opel
11,220,172,opel
8,167,148,opel
6,145,139,opel
7,176,138,opel
10,215,177,opel
10,210,173,opel
11,220,167,opel
6,151,145,opel
7,153,134,opel
11,225,178,opel
11,223,174,opel
9,178,141,opel
10,216,173,opel
6,149,144,opel
12,221,173,opel
8,156,144,opel
8,134,126,opel
10,208,169,opel
8,168,150,opel
10,200,163,opel
10,213,173,opel
6,140,135,opel
7,164,145,opel
3,114,119,opel
8,161,149,opel
11,218,167,opel
11,225,178,opel
11,211,160,opel
9,204,166,opel
11,220,163,opel
7,135,136,opel
7,154,127,opel
11,212,175,opel
5,130,130,opel
7,127,125,opel
8,165,149,opel
9,198,163,opel
8,177,156,opel
12,200,158,opel
6,150,146,opel
8,162,149,opel
8,139,127,opel
11,226,182,opel
8,168,133,opel
10,223,177,opel
5,114,122,opel
10,215,175,opel
10,181,158,opel
11,224,186,opel
6,139,131,opel
8,157,126,opel
9,196,146,opel
9,181,155,opel
12,227,178,opel
11,221,179,opel
10,205,158,opel
10,179,140,opel
11,224,178,opel
10,224,178,opel
10,185,159,opel
9,186,156,opel
10,208,154,opel
8,171,152,opel
9,193,150,opel
8,150,134,opel
10,222,165,opel
7,138,126,opel
10,212,175,opel
5,138,122,opel
10,219,171,opel
8,178,132,opel
6,126,128,opel
9,183,137,opel
7,130,120,opel
10,212,162,opel
5,132,130,opel
9,175,142,opel
13,224,188,opel
10,215,175,opel
10,219,170,opel
10,185,142,opel
5,135,131,opel
10,205,153,opel
11,221,172,opel
10,212,163,opel
12,208,159,opel
11,219,176,opel
8,167,134,opel
8,157,125,opel
8,200,161,opel
9,188,161,opel
6,125,125,opel
10,178,154,opel
9,169,130,opel
9,161,135,opel
7,130,134,opel
9,172,135,opel
11,207,152,opel
7,157,148,opel
7,149,143,opel
11,216,173,opel
8,161,131,opel
13,225,177,opel
9,195,162,opel
9,142,135,opel
11,197,152,opel
7,147,131,opel
10,222,177,opel
11,221,176,opel
8,140,138,opel
9,193,161,opel
10,192,161,opel
11,218,170,opel
7,147,128,opel
11,214,162,opel
6,123,124,opel
8,131,127,opel
11,217,173,opel
10,195,147,opel
11,217,166,opel
6,147,132,opel
7,146,127,opel
11,220,170,opel
8,186,147,opel
8,164,129,opel
7,162,131,opel
9,210,168,opel
10,214,156,opel
10,201,156,opel
10,222,171,opel
9,193,161,opel
6,142,128,opel
6,132,137,opel
7,159,146,opel
8,192,151,opel
12,226,182,opel
11,215,170,opel
8,147,142,opel
9,219,175,opel
6,126,132,opel
9,169,132,opel
7,167,147,opel
10,206,164,opel
11,214,175,opel
12,218,174,opel
8,142,143,opel
9,134,132,opel
5,133,127,opel
11,206,156,opel
7,128,124,opel
9,190,161,opel
