@relation vehicle

@attribute Compactness numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
86,262,187,saab
100,489,195,saab
107,694,187,saab
86,330,180,saab
108,687,189,saab
91,383,186,saab
85,197,185,saab
113,688,188,saab
98,533,191,saab
100,578,189,saab
104,707,189,saab
91,334,196,saab
93,335,189,saab
104,686,185,saab
93,383,192,saab
93,508,189,saab
117,668,194,saab
104,669,187,saab
99,521,191,saab
95,520,198,saab
100,440,201,saab
111,636,196,saab
103,650,187,saab
110,674,191,saab
90,385,195,saab
113,613,193,saab
83,238,179,saab
104,637,193,saab
97,658,186,saab
107,705,189,saab
101,527,193,saab
94,435,195,saab
110,561,194,saab
86,279,186,saab
110,669,188,saab
101,578,192,saab
85,318,183,saab
104,703,188,saab
103,660,187,saab
115,573,198,saab
96,297,202,saab
82,264,179,saab
107,704,190,saab
107,696,187,saab
87,318,181,saab
115,710,189,saab
112,639,191,saab
116,692,192,saab
92,381,190,saab
104,694,188,saab
91,465,195,saab
108,635,189,saab
83,245,180,saab
105,712,189,saab
104,667,187,saab
104,641,187,saab
87,337,187,saab
93,452,195,saab
89,389,192,saab
110,998,181,bus
80,329,180,bus
85,317,180,bus
97,487,197,bus
91,340,195,bus
89,299,193,bus
106,923,182,bus
85,326,180,bus
85,328,181,bus
89,352,188,bus
110,928,183,bus
85,325,180,bus
87,362,189,bus
100,401,200,bus
81,347,182,bus
97,399,196,bus
100,719,189,bus
100,605,192,bus
82,320,181,bus
93,523,194,bus
107,822,187,bus
91,332,192,bus
90,336,180,bus
81,336,183,bus
102,844,184,bus
98,570,194,bus
96,427,200,bus
111,1018,181,bus
84,332,181,bus
102,766,188,bus
87,327,188,bus
87,318,195,bus
85,334,181,bus
86,331,183,bus
96,680,188,bus
95,374,199,bus
91,325,201,bus
102,576,193,bus
81,333,179,bus
86,322,181,bus
106,891,181,bus
87,327,185,bus
110,928,184,bus
87,307,192,bus
94,373,193,bus
82,341,185,bus
96,429,199,bus
109,857,184,bus
97,346,201,bus
99,524,195,bus
90,345,195,bus
105,703,188,bus
86,325,180,bus
87,341,190,bus
79,349,183,bus
107,954,181,bus
87,321,179,bus
98,558,195,bus
90,393,198,bus
98,371,202,bus
94,533,195,bus
101,956,180,bus
114,968,182,bus
94,362,197,bus
94,310,198,bus
98,563,194,bus
80,327,179,bus
82,337,183,bus
83,325,185,bus
94,465,197,bus
81,347,182,bus
89,321,192,bus
102,731,188,bus
99,485,198,bus
95,430,200,bus
94,344,199,bus
99,671,191,bus
88,349,189,bus
84,312,184,bus
93,463,197,bus
86,327,180,bus
88,342,186,bus
101,341,202,bus
100,531,197,bus
109,776,187,bus
89,342,193,bus
96,341,201,bus
85,333,180,bus
85,320,179,bus
105,579,194,bus
96,419,196,bus
85,323,179,bus
86,322,189,bus
86,356,188,bus
82,330,181,bus
95,322,195,bus
86,317,179,bus
84,359,185,bus
86,324,180,bus
81,340,183,bus
98,427,200,bus
83,306,188,bus
103,816,183,bus
107,957,181,bus
83,336,185,bus
81,320,179,bus
99,414,200,bus
87,326,194,bus
82,317,181,bus
81,333,179,bus
97,450,197,bus
88,332,193,bus
80,329,179,bus
83,338,181,bus
85,330,184,bus
92,375,195,bus
95,484,196,bus
96,485,196,bus
86,335,179,bus
104,682,190,bus
85,326,181,bus
86,335,189,bus
92,350,195,bus
100,479,197,bus
89,312,191,bus
85,320,179,bus
88,311,196,bus
86,321,179,bus
82,326,181,bus
107,866,186,bus
91,434,198,bus
87,341,184,bus
83,309,188,bus
81,323,179,bus
84,325,179,bus
86,321,187,bus
78,319,181,bus
98,457,199,bus
94,365,192,bus
83,333,182,bus
109,870,184,bus
84,354,185,bus
99,629,192,bus
80,333,180,bus
97,361,200,bus
83,331,184,bus
89,323,186,bus
82,322,181,bus
80,330,180,bus
84,339,187,bus
108,966,182,bus
82,350,183,bus
88,312,188,bus
98,520,196,bus
96,372,202,bus
91,446,196,bus
82,329,179,bus
86,319,179,bus
96,408,196,bus
99,625,191,bus
86,326,179,bus
85,321,180,bus
100,406,200,bus
94,525,196,bus
86,331,178,bus
81,323,180,bus
86,334,180,bus
93,347,196,bus
106,892,181,bus
87,324,178,bus
101,833,185,bus
89,328,179,bus
87,343,186,bus
80,337,181,bus
106,987,180,bus
79,344,182,bus
94,385,200,bus
92,393,195,bus
89,373,191,bus
88,341,196,bus
100,622,193,bus
85,319,179,bus
104,666,193,bus
83,327,185,bus
98,422,200,bus
113,982,182,bus
86,337,188,bus
93,476,198,bus
85,323,180,bus
86,332,179,bus
81,342,180,bus
107,904,179,bus
101,636,192,bus
82,340,180,bus
91,362,192,bus
85,332,179,bus
80,281,179,opel
99,657,187,opel
101,601,189,opel
85,261,188,opel
94,430,190,opel
101,641,190,opel
100,519,197,opel
89,481,189,opel
104,716,187,opel
103,729,187,opel
95,534,190,opel
99,737,187,opel
97,685,184,opel
102,682,187,opel
82,259,177,opel
88,284,204,opel
84,282,183,opel
109,553,196,opel
103,684,186,opel
100,731,188,opel
92,322,206,opel
91,562,190,opel
91,322,197,opel
104,718,186,opel
95,543,191,opel
88,416,186,opel
93,304,197,opel
86,428,193,opel
88,296,188,opel
99,600,189,opel
102,706,186,opel
95,478,198,opel
101,730,187,opel
105,597,190,opel
80,240,183,opel
107,610,197,opel
93,379,195,opel
108,709,190,opel
80,191,179,opel
97,573,188,opel
105,696,188,opel
104,708,186,opel
82,342,181,opel
89,396,194,opel
80,259,179,opel
93,417,187,opel
97,494,199,opel
99,725,188,opel
101,669,186,opel
104,697,187,opel
100,722,189,opel
80,229,178,opel
94,394,198,opel
98,737,187,opel
111,727,190,opel
104,711,188,opel
104,530,193,opel
90,472,187,opel
96,624,186,opel
100,611,189,opel
99,722,186,opel
104,713,186,opel
98,371,190,opel
97,426,192,opel
96,589,192,opel
84,330,180,opel
91,415,189,opel
100,756,186,opel
84,232,185,opel
103,644,191,opel
103,707,186,opel
90,284,192,opel
95,602,191,opel
77,247,183,opel
101,678,186,opel
78,221,178,opel
101,741,186,opel
86,252,183,opel
89,286,187,opel
102,692,187,opel
108,661,190,opel
95,628,186,opel
103,633,188,opel
89,266,193,opel
88,462,189,opel
105,557,194,opel
87,471,192,opel
98,748,187,opel
85,340,180,opel
107,653,191,opel
102,663,191,opel
100,704,189,opel
103,567,198,opel
104,737,188,opel
89,367,198,opel
101,653,186,opel
106,710,188,opel
95,670,186,opel
101,757,186,opel
91,473,192,opel
99,575,194,opel
109,624,195,opel
99,726,185,opel
96,682,186,opel
104,706,191,opel
83,274,187,opel
103,648,188,opel
91,574,186,opel
78,209,177,opel
96,438,195,opel
97,546,191,opel
90,367,192,opel
84,261,185,opel
107,526,195,opel
103,666,187,opel
82,338,183,opel
87,535,187,opel
89,260,203,opel
93,334,203,opel
85,331,184,opel
79,295,181,opel
86,345,187,opel
88,252,193,opel
86,352,186,opel
86,266,180,opel
106,717,186,opel
97,391,188,opel
85,321,197,opel
92,536,188,opel
76,259,177,opel
106,670,192,opel
102,616,193,opel
87,350,184,opel
93,331,191,opel
101,685,190,opel
92,388,197,opel
97,602,193,opel
85,219,195,opel
104,587,195,opel
103,595,192,opel
92,396,191,opel
88,343,202,opel
100,752,187,opel
93,251,201,opel
106,679,189,opel
97,389,203,opel
97,481,197,opel
100,631,188,opel
93,504,189,opel
105,706,187,opel
101,571,191,opel
73,227,176,opel
86,290,183,opel
92,466,192,opel
107,725,189,opel
102,513,195,opel
99,517,194,opel
85,348,191,opel
107,676,189,opel
88,287,194,opel
81,259,177,opel
92,409,200,opel
91,504,193,opel
95,474,193,opel
105,713,187,opel
90,388,185,opel
100,521,193,opel
89,332,188,opel
103,455,197,opel
103,728,189,opel
98,661,188,opel
79,311,181,opel
102,669,187,opel
105,701,191,opel
97,683,188,opel
88,192,182,opel
84,469,190,opel
89,317,184,opel
103,673,188,opel
103,706,187,opel
98,748,185,opel
96,598,187,opel
96,683,185,opel
104,623,189,opel
92,290,199,opel
95,406,199,opel
85,233,184,opel
89,388,187,opel
93,342,193,opel
92,333,198,opel
89,314,187,opel
