@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Class {van,saab,bus,opel}

@data
62,6,48,opel
68,11,30,opel
70,11,30,opel
54,6,55,opel
57,10,30,opel
59,6,46,opel
69,11,30,opel
61,10,36,opel
66,6,40,opel
57,8,49,opel
53,9,51,opel
54,6,45,opel
59,7,51,opel
68,10,30,opel
67,9,30,opel
62,8,37,opel
57,8,43,opel
64,11,33,opel
67,11,31,opel
66,8,35,opel
61,9,34,opel
62,9,33,opel
63,11,30,opel
61,8,40,opel
62,13,30,opel
65,9,34,opel
62,8,41,opel
54,7,45,opel
63,11,30,opel
68,11,31,opel
64,11,34,opel
56,8,48,opel
59,10,31,opel
65,11,31,opel
56,6,55,opel
60,7,44,opel
63,9,38,opel
67,9,33,opel
59,10,34,opel
67,9,32,opel
57,5,48,opel
54,13,30,opel
60,11,31,opel
56,7,44,opel
59,7,45,opel
53,10,30,opel
57,6,44,opel
65,9,36,opel
56,5,50,opel
57,10,31,opel
54,10,31,opel
56,11,30,opel
62,10,32,opel
54,12,32,opel
56,7,41,opel
62,11,31,opel
61,11,30,opel
58,6,51,opel
70,10,30,opel
62,9,34,opel
59,9,35,opel
56,7,51,opel
60,8,41,opel
57,8,44,opel
64,12,30,opel
60,12,30,opel
54,12,31,opel
62,8,40,opel
68,9,33,opel
53,10,31,opel
67,12,30,opel
67,10,34,opel
50,11,30,opel
53,10,31,opel
59,8,45,opel
56,4,57,opel
64,8,41,opel
64,11,33,opel
59,5,51,opel
69,8,40,opel
59,8,39,opel
72,12,30,opel
63,10,36,opel
62,8,42,opel
68,10,32,opel
56,9,30,opel
54,5,49,opel
62,7,40,opel
59,8,51,opel
57,7,50,opel
58,10,31,opel
68,10,30,opel
61,8,40,opel
63,11,31,opel
68,10,32,opel
62,6,48,opel
61,11,31,opel
69,11,30,opel
54,7,43,opel
63,10,37,opel
52,10,32,opel
66,11,32,opel
55,7,47,opel
