@relation vehicle

@attribute Praxis_rectangular numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
27,181,183,bus
19,183,189,bus
26,183,184,bus
19,181,183,bus
20,195,202,bus
19,179,182,bus
20,196,200,bus
19,180,185,bus
29,181,183,bus
22,195,195,bus
19,180,182,bus
26,184,184,bus
28,180,184,bus
20,200,204,bus
19,199,206,bus
26,186,184,bus
19,180,182,bus
22,194,194,bus
26,185,184,bus
19,189,195,bus
21,197,200,bus
19,189,196,bus
19,192,200,bus
19,201,208,bus
21,196,198,bus
19,183,188,bus
20,198,204,bus
19,179,183,bus
19,199,204,bus
22,194,197,bus
19,183,189,bus
19,185,190,bus
19,199,206,bus
19,202,205,bus
19,181,186,bus
19,180,183,bus
23,193,193,bus
19,180,183,bus
19,180,184,bus
20,200,202,bus
19,188,195,bus
19,188,194,bus
19,185,191,bus
19,180,184,bus
19,188,195,bus
19,179,183,bus
19,183,187,bus
19,187,191,bus
19,200,204,bus
18,188,193,bus
19,179,184,bus
18,198,203,bus
19,180,184,bus
19,187,195,bus
18,193,199,bus
22,195,196,bus
18,192,199,bus
19,186,189,bus
19,189,196,bus
21,197,199,bus
19,182,185,bus
22,195,198,bus
19,179,182,bus
19,192,197,bus
19,196,205,bus
19,179,184,bus
28,180,184,bus
19,195,201,bus
19,180,183,bus
19,181,186,bus
27,182,182,bus
19,179,183,bus
22,197,198,bus
23,192,191,bus
23,192,191,bus
19,201,207,bus
19,183,187,bus
19,190,194,bus
19,200,204,bus
19,179,182,bus
19,181,184,bus
19,192,200,bus
21,198,199,bus
26,184,183,bus
19,193,197,bus
26,186,185,bus
28,181,184,bus
20,197,199,bus
19,180,182,bus
19,198,202,bus
19,182,188,bus
21,196,198,bus
27,181,182,bus
19,185,191,bus
19,188,193,bus
19,194,201,bus
19,178,183,bus
19,181,186,bus
19,180,186,bus
19,181,185,bus
21,198,201,bus
19,193,198,bus
27,184,183,bus
23,192,192,bus
19,179,182,bus
19,179,181,bus
22,194,197,bus
19,188,195,bus
19,179,184,bus
21,198,199,bus
20,196,201,bus
19,197,206,bus
19,179,183,bus
19,184,191,bus
19,180,185,bus
19,179,182,bus
20,200,203,bus
20,200,205,bus
20,200,202,bus
22,193,191,bus
22,195,195,bus
19,181,184,bus
19,180,182,bus
19,182,186,bus
19,193,201,bus
25,188,187,bus
25,186,184,bus
20,196,200,bus
23,191,190,bus
24,188,189,bus
19,181,185,bus
28,182,183,bus
26,184,184,bus
20,199,203,bus
19,179,182,bus
19,178,182,bus
19,201,205,bus
19,179,182,bus
19,185,188,bus
19,182,188,bus
19,180,184,bus
19,181,187,bus
21,197,202,bus
19,181,186,bus
19,181,185,bus
19,182,187,bus
19,188,192,bus
24,188,188,bus
26,187,187,bus
20,196,203,bus
19,180,182,bus
25,188,186,bus
19,184,188,bus
19,184,190,bus
19,195,200,bus
19,183,188,bus
19,180,183,bus
20,200,203,bus
22,195,193,bus
19,191,198,bus
19,192,196,bus
19,183,188,bus
19,180,185,bus
24,189,189,bus
28,179,186,bus
19,181,184,bus
19,187,193,bus
19,186,189,bus
19,184,187,bus
26,185,185,bus
20,193,197,bus
27,183,183,bus
19,195,200,bus
20,200,203,bus
19,192,199,bus
23,192,194,bus
19,180,183,bus
20,200,206,bus
24,190,189,bus
19,191,195,bus
19,181,185,bus
19,195,200,bus
22,194,195,bus
19,179,182,bus
19,185,191,bus
19,179,183,bus
19,180,182,bus
19,179,182,bus
19,180,185,bus
25,187,186,bus
19,179,183,bus
19,186,190,bus
19,181,184,bus
19,179,182,bus
24,186,194,opel
19,187,192,opel
19,184,188,opel
22,190,197,opel
23,193,203,opel
19,188,197,opel
18,178,184,opel
21,189,194,opel
25,187,201,opel
17,177,184,opel
20,192,198,opel
24,186,194,opel
23,189,196,opel
23,197,206,opel
23,192,202,opel
22,193,198,opel
25,186,198,opel
23,191,202,opel
17,179,183,opel
19,193,198,opel
18,203,209,opel
24,191,201,opel
18,184,194,opel
24,188,198,opel
19,181,189,opel
20,190,196,opel
18,192,197,opel
22,193,200,opel
18,177,184,opel
21,201,209,opel
18,183,191,opel
25,188,200,opel
23,189,196,opel
23,194,205,opel
21,198,206,opel
24,192,206,opel
18,187,190,opel
19,181,187,opel
20,199,204,opel
24,185,194,opel
20,190,195,opel
22,191,200,opel
24,190,201,opel
25,186,196,opel
25,186,196,opel
25,187,198,opel
18,193,203,opel
20,192,198,opel
19,197,203,opel
19,188,193,opel
19,206,211,opel
25,188,198,opel
19,184,189,opel
19,186,191,opel
20,189,198,opel
24,188,197,opel
18,187,192,opel
25,186,195,opel
24,188,197,opel
23,187,194,opel
22,198,204,opel
24,186,195,opel
22,191,198,opel
17,178,185,opel
19,183,189,opel
24,187,195,opel
18,183,190,opel
21,202,209,opel
25,185,196,opel
20,186,192,opel
21,197,204,opel
17,182,187,opel
18,179,188,opel
24,187,195,opel
23,186,194,opel
18,177,184,opel
20,185,191,opel
19,192,198,opel
24,189,201,opel
17,195,201,opel
20,195,201,opel
21,187,193,opel
24,187,196,opel
20,203,211,opel
23,192,201,opel
25,187,195,opel
24,185,192,opel
24,190,200,opel
24,191,202,opel
21,193,200,opel
20,198,204,opel
18,180,187,opel
19,180,183,opel
20,191,198,opel
19,198,205,opel
18,185,190,opel
21,195,201,opel
21,193,200,opel
18,197,202,opel
18,185,188,opel
25,189,198,opel
18,176,184,opel
19,181,187,opel
23,192,201,opel
19,191,198,opel
25,186,195,opel
24,188,199,opel
20,187,193,opel
22,196,202,opel
25,186,196,opel
19,190,196,opel
18,194,202,opel
24,190,202,opel
24,186,193,opel
25,186,198,opel
25,190,198,opel
25,187,198,opel
21,192,199,opel
21,192,200,opel
24,188,196,opel
25,189,198,opel
23,189,196,opel
19,193,197,opel
19,202,208,opel
21,192,198,opel
24,185,193,opel
19,181,193,opel
19,184,193,opel
18,183,191,opel
19,180,186,opel
20,198,205,opel
24,184,193,opel
24,187,194,opel
21,190,198,opel
24,189,199,opel
20,200,208,opel
24,186,195,opel
25,188,197,opel
24,187,196,opel
22,187,194,opel
23,195,204,opel
25,186,196,opel
19,191,197,opel
18,193,200,opel
23,189,195,opel
22,194,201,opel
25,185,198,opel
21,189,199,opel
22,195,203,opel
25,186,198,opel
19,197,203,opel
18,188,198,opel
19,191,198,opel
23,193,202,opel
25,189,196,opel
25,187,195,opel
20,188,192,opel
24,191,203,opel
18,199,206,opel
25,188,197,opel
18,204,210,opel
21,197,206,opel
24,187,198,opel
25,188,199,opel
22,195,204,opel
20,183,190,opel
25,189,200,opel
20,191,198,opel
18,201,207,opel
24,191,201,opel
22,191,198,opel
24,186,193,opel
24,186,194,opel
23,195,206,opel
24,186,195,opel
22,188,195,opel
21,199,203,opel
23,186,193,opel
25,187,196,opel
23,188,196,opel
24,187,194,opel
18,183,187,opel
21,189,197,opel
24,188,196,opel
25,186,197,opel
22,197,205,opel
23,194,201,opel
25,187,201,opel
23,186,194,opel
19,203,210,opel
25,187,196,opel
