@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
55,6,125,290,saab
68,8,134,378,saab
63,11,172,707,saab
63,6,131,291,saab
60,8,134,445,saab
58,7,124,270,saab
59,7,143,349,saab
54,7,131,318,saab
63,9,132,457,saab
64,12,163,627,saab
58,9,132,373,saab
66,11,169,704,saab
60,10,169,681,saab
59,7,131,396,saab
58,11,159,639,saab
64,6,125,385,saab
65,8,136,430,saab
62,10,165,697,saab
63,7,135,321,bus
74,5,149,408,bus
50,7,147,328,bus
51,6,141,324,bus
66,6,131,414,bus
67,4,162,923,bus
55,8,145,320,bus
63,6,156,719,bus
56,6,145,317,bus
73,6,126,374,bus
72,8,133,365,bus
68,7,143,330,bus
64,6,142,317,bus
53,6,147,333,bus
73,6,134,379,bus
65,5,159,671,bus
74,6,145,525,bus
64,6,146,570,bus
75,6,167,855,bus
56,6,175,982,bus
69,5,144,322,bus
64,7,138,341,bus
64,7,131,345,bus
62,7,145,323,bus
74,5,128,419,bus
53,8,144,326,bus
73,6,146,336,bus
56,6,150,331,bus
54,7,147,329,bus
62,7,145,341,bus
70,7,145,372,bus
69,5,131,427,bus
66,7,140,325,bus
70,6,156,517,bus
53,7,145,325,bus
64,7,143,339,bus
64,6,141,322,bus
65,7,158,463,bus
57,8,145,321,bus
60,6,162,731,bus
48,5,165,891,bus
62,5,158,625,bus
67,7,135,332,bus
64,6,147,340,bus
56,6,145,319,bus
65,8,146,331,bus
66,5,161,666,bus
55,7,142,336,bus
62,7,142,337,bus
75,6,141,326,bus
70,6,147,338,bus
72,8,144,361,bus
75,7,143,359,bus
69,22,147,335,bus
65,5,138,362,bus
55,7,146,326,bus
71,5,144,399,bus
64,5,134,485,bus
63,6,145,335,bus
53,6,141,335,bus
54,7,145,326,bus
62,7,143,323,bus
72,7,145,341,bus
54,4,159,735,bus
64,6,145,322,bus
53,8,146,333,bus
50,8,141,332,bus
72,4,163,844,bus
64,7,138,328,bus
66,6,134,318,bus
61,6,139,457,bus
68,7,131,347,bus
51,7,165,703,bus
56,8,144,324,bus
61,8,143,311,bus
71,7,127,362,bus
65,6,144,312,bus
64,7,144,350,bus
54,5,145,320,bus
72,6,150,429,bus
52,7,147,340,bus
67,6,171,987,bus
68,5,124,371,bus
56,7,142,340,bus
66,7,134,332,bus
56,7,147,337,bus
64,6,145,354,bus
70,6,131,363,bus
103,52,144,325,bus
65,6,161,636,bus
52,7,160,816,bus
53,7,147,327,bus
69,5,161,570,bus
51,6,165,870,bus
58,6,145,323,bus
54,8,145,329,bus
68,6,146,356,bus
71,6,159,579,bus
76,7,136,342,bus
69,6,139,484,bus
70,6,127,341,bus
56,8,145,332,bus
71,5,154,465,bus
64,7,144,330,bus
71,7,152,476,bus
61,7,136,307,bus
55,5,141,534,bus
74,5,148,629,bus
59,7,168,866,bus
60,7,148,596,bus
59,8,145,329,bus
56,7,144,324,bus
55,8,148,325,bus
63,6,147,563,bus
54,6,143,319,bus
59,6,152,680,bus
65,6,143,361,bus
57,6,143,333,bus
58,7,144,320,bus
55,7,146,323,bus
66,5,136,352,bus
65,8,145,319,bus
64,7,142,331,bus
69,6,144,373,bus
47,4,164,838,bus
68,7,137,341,bus
60,6,146,347,bus
75,7,147,362,bus
74,7,143,375,bus
61,8,143,325,bus
61,7,143,317,bus
70,6,148,427,bus
57,6,170,857,bus
74,7,154,558,bus
49,7,172,904,bus
71,5,138,479,bus
53,7,143,321,bus
64,6,143,320,bus
70,7,141,312,bus
68,6,136,413,bus
57,5,169,928,bus
67,6,158,531,bus
59,6,146,336,bus
57,8,146,323,bus
67,6,142,310,bus
54,8,146,332,bus
72,6,133,385,bus
75,6,138,446,bus
55,7,171,822,bus
52,6,169,968,bus
61,7,149,349,bus
54,6,141,317,bus
64,6,143,299,bus
53,6,168,956,bus
50,6,169,957,bus
70,7,153,406,bus
62,8,144,344,bus
73,7,157,487,bus
54,7,147,324,bus
54,4,153,682,bus
68,7,150,605,bus
73,6,127,401,bus
57,6,147,334,bus
72,7,161,520,bus
74,19,143,342,bus
69,6,130,393,bus
56,8,143,322,bus
68,7,138,336,bus
66,7,147,312,bus
54,6,144,325,bus
56,7,149,342,bus
61,6,165,766,bus
56,7,145,328,bus
68,6,129,450,bus
65,7,143,341,bus
68,6,148,349,bus
67,6,139,341,bus
51,6,171,998,bus
60,7,146,330,bus
69,7,145,523,bus
51,5,170,966,bus
58,8,146,334,bus
47,4,166,892,bus
71,5,145,533,bus
66,7,144,322,bus
66,7,129,346,bus
69,6,139,485,bus
66,6,146,343,bus
57,7,164,833,bus
51,8,172,954,bus
61,7,148,347,bus
69,5,143,306,bus
65,6,159,622,bus
69,5,137,434,bus
67,7,144,333,bus
64,5,169,928,bus
55,6,139,312,opel
53,9,132,261,opel
53,11,178,737,opel
68,11,171,709,opel
59,6,128,304,opel
59,10,161,553,opel
69,11,173,706,opel
59,9,161,530,opel
63,10,140,481,opel
64,12,174,728,opel
59,6,145,343,opel
69,11,176,708,opel
58,11,166,693,opel
54,12,159,644,opel
55,6,125,229,opel
62,9,166,600,opel
62,10,148,526,opel
59,10,173,648,opel
55,11,175,681,opel
59,8,134,331,opel
56,6,124,221,opel
65,9,137,504,opel
56,7,129,395,opel
52,10,164,631,opel
70,10,141,535,opel
59,6,132,315,opel
61,11,152,650,opel
55,7,138,284,opel
68,10,165,731,opel
68,11,169,623,opel
66,11,176,725,opel
57,11,162,676,opel
65,11,165,673,opel
54,10,175,683,opel
68,10,178,737,opel
70,11,163,722,opel
63,11,180,756,opel
74,10,175,670,opel
57,6,146,335,opel
69,8,133,416,opel
60,8,142,322,opel
57,8,133,358,opel
57,10,177,731,opel
64,8,126,367,opel
55,7,130,219,opel
54,13,188,726,opel
65,10,143,534,opel
62,10,158,624,opel
59,8,152,438,opel
60,11,167,701,opel
72,12,177,718,opel
70,11,182,752,opel
62,8,147,521,opel
57,11,170,707,opel
54,12,172,685,opel
68,10,154,641,opel
65,6,156,481,opel
60,7,147,417,opel
56,5,130,261,opel
65,9,146,574,opel
62,8,131,389,opel
70,10,177,737,opel
61,7,127,314,opel
59,7,146,379,opel
64,11,164,610,opel
62,11,175,666,opel
67,9,161,536,opel
55,7,134,330,opel
62,6,135,290,opel
56,9,175,713,opel
67,9,151,628,opel
68,10,162,653,opel
61,9,150,557,opel
56,6,131,281,opel
62,8,148,418,opel
56,7,143,333,opel
56,8,143,296,opel
55,7,136,266,opel
60,7,148,371,opel
62,7,124,334,opel
69,10,169,651,opel
54,7,134,338,opel
63,9,155,494,opel
65,9,166,624,opel
63,9,156,519,opel
67,12,174,706,opel
55,7,135,311,opel
64,9,153,471,opel
56,4,124,209,opel
65,12,182,748,opel
66,11,163,653,opel
56,10,171,706,opel
61,10,158,494,opel
63,9,142,455,opel
57,5,122,284,opel
62,9,161,562,opel
64,8,149,396,opel
64,11,155,602,opel
64,11,173,696,opel
58,8,138,290,opel
54,5,131,274,opel
62,6,132,232,opel
61,11,179,725,opel
57,8,133,342,opel
56,7,126,286,opel
59,8,126,259,opel
55,7,128,321,opel
64,10,157,616,opel
62,8,161,602,opel
58,6,137,260,opel
60,8,144,366,opel
61,11,178,730,opel
60,8,131,391,opel
53,10,166,711,opel
68,9,148,602,opel
61,8,132,472,opel
67,9,163,589,opel
59,10,177,678,opel
66,6,143,396,opel
62,12,178,757,opel
71,10,153,633,opel
57,11,156,630,opel
63,9,161,567,opel
63,8,156,473,opel
52,4,133,340,opel
69,11,178,748,opel
62,10,141,504,opel
60,7,131,469,opel
67,10,156,601,opel
54,7,127,352,opel
67,10,163,597,opel
58,10,171,728,opel
62,9,135,444,opel
59,10,172,665,opel
57,10,162,663,opel
57,8,149,388,opel
74,11,172,713,opel
56,7,137,317,opel
62,12,158,595,opel
69,10,147,598,opel
59,7,134,252,opel
53,10,173,669,opel
59,7,133,394,opel
70,11,186,732,opel
63,9,161,543,opel
62,7,138,462,opel
57,7,126,266,opel
68,11,170,679,opel
62,9,135,388,opel
67,9,162,704,opel
54,10,173,685,opel
59,5,128,259,opel
60,11,160,661,opel
60,8,125,331,opel
64,11,152,575,opel
61,8,129,402,opel
59,9,132,428,opel
63,11,167,710,opel
60,7,141,345,opel
67,10,147,573,opel
62,6,123,287,opel
53,9,135,295,opel
63,11,172,677,opel
70,9,168,661,opel
53,10,163,669,opel
62,8,125,367,opel
58,8,149,409,opel
59,7,141,342,opel
65,10,156,683,opel
64,10,159,517,opel
65,9,141,474,opel
71,10,164,682,opel
58,5,122,192,opel
57,8,127,252,opel
50,11,172,727,opel
69,11,176,716,opel
54,6,144,332,opel
65,8,147,611,opel
56,11,174,729,opel
58,5,127,259,opel
63,9,162,571,opel
57,10,170,706,opel
66,8,151,546,opel
59,7,145,350,opel
62,7,131,388,opel
55,10,166,657,opel
57,13,177,741,opel
62,13,180,722,opel
59,5,130,247,opel
57,8,127,282,opel
62,10,161,587,opel
