@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Praxis_rectangular numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
108,105,23,200,saab
109,104,24,199,saab
82,51,18,182,saab
96,101,22,197,saab
89,69,18,204,saab
89,52,17,184,saab
91,75,19,191,saab
106,98,24,197,saab
95,95,22,196,saab
104,106,23,196,saab
90,90,21,199,saab
101,108,24,199,saab
87,66,19,185,saab
104,108,24,201,saab
93,81,20,199,saab
98,109,23,208,saab
84,53,17,190,saab
98,96,22,199,saab
98,90,21,201,saab
104,101,24,198,saab
104,105,24,197,saab
90,85,20,203,saab
108,100,23,205,saab
104,100,23,198,saab
107,108,25,203,saab
90,72,19,209,saab
89,54,18,185,saab
88,77,18,205,saab
80,63,19,185,saab
108,103,25,199,saab
103,106,24,197,saab
104,101,24,198,saab
100,102,23,196,saab
103,100,22,208,saab
83,54,18,184,saab
93,90,22,196,saab
109,96,23,198,saab
104,96,22,206,saab
97,104,24,196,saab
96,94,22,201,saab
88,57,18,184,saab
98,90,21,208,saab
93,86,20,204,saab
108,109,24,199,saab
116,110,24,206,saab
91,83,21,194,saab
87,74,19,196,saab
90,80,20,209,saab
101,98,22,201,saab
93,88,21,202,saab
79,55,19,183,saab
90,85,20,192,saab
89,85,20,201,saab
82,66,18,187,saab
113,98,23,204,saab
92,76,20,195,saab
105,108,24,201,saab
102,104,23,197,saab
105,105,22,205,saab
97,101,22,206,saab
82,54,18,184,saab
105,100,25,199,saab
104,105,24,207,saab
86,77,19,203,saab
106,108,25,205,saab
96,100,21,202,saab
87,60,18,192,saab
89,77,19,193,saab
106,98,24,197,saab
89,77,19,201,saab
91,72,19,189,saab
90,66,17,202,saab
88,58,19,183,saab
91,98,21,205,saab
85,75,19,187,saab
99,104,23,197,saab
92,71,19,195,saab
98,78,20,199,saab
98,81,20,205,saab
101,101,24,197,saab
112,110,24,202,saab
91,83,20,199,saab
84,75,18,195,saab
86,66,18,189,saab
108,103,24,197,saab
89,82,19,192,saab
95,71,20,208,saab
91,79,20,208,saab
86,66,18,190,saab
105,108,25,200,saab
85,50,17,185,saab
99,105,23,201,saab
92,83,20,191,saab
85,53,17,189,saab
108,104,25,199,saab
107,108,23,205,saab
117,110,24,205,saab
86,63,18,191,saab
104,101,24,196,saab
104,100,24,194,saab
109,103,25,199,saab
84,83,19,191,saab
109,103,25,200,saab
90,89,21,195,saab
111,103,24,200,saab
103,106,23,199,saab
90,74,19,204,saab
85,75,19,188,saab
93,72,18,206,saab
96,74,20,197,saab
105,105,24,197,saab
86,62,19,185,saab
90,83,21,195,saab
105,100,23,200,saab
86,64,19,185,saab
106,101,23,204,saab
111,108,23,205,saab
94,69,19,198,saab
96,78,21,200,saab
85,66,19,186,saab
90,66,18,207,saab
97,105,25,200,saab
86,78,18,195,saab
93,98,22,197,saab
94,77,20,199,saab
113,93,24,199,saab
95,104,22,200,saab
91,88,21,198,saab
85,72,18,195,saab
110,100,22,203,saab
89,80,20,197,saab
83,54,18,183,saab
89,80,19,189,saab
83,54,18,183,saab
92,78,19,211,saab
112,104,24,202,saab
93,76,19,194,saab
106,107,24,203,saab
104,107,24,199,saab
102,101,25,199,saab
106,106,24,202,saab
97,88,21,205,saab
84,77,19,187,saab
109,109,24,202,saab
108,109,25,201,saab
89,77,20,201,saab
92,86,20,196,saab
97,95,22,197,saab
82,59,18,185,saab
86,86,21,199,saab
108,109,24,201,saab
91,72,19,191,saab
94,88,21,204,saab
93,63,18,204,saab
91,72,19,205,saab
109,109,25,201,saab
101,101,22,202,saab
115,100,23,208,saab
109,109,24,202,saab
95,105,22,211,saab
100,81,20,207,saab
102,106,24,200,saab
107,103,24,198,saab
107,104,25,196,saab
104,108,24,201,saab
93,98,22,204,saab
95,81,20,198,saab
115,100,25,199,saab
110,104,24,199,saab
100,88,21,210,saab
100,92,21,205,saab
85,40,17,183,saab
97,96,22,199,saab
91,77,19,201,saab
100,104,23,197,saab
101,112,24,206,saab
88,90,21,199,saab
108,103,25,197,saab
110,102,24,198,saab
91,83,19,200,saab
99,89,22,199,saab
107,98,25,199,saab
88,63,18,188,saab
90,57,17,195,saab
115,100,24,197,saab
93,87,20,195,saab
108,103,23,198,saab
98,104,23,196,saab
101,85,21,210,saab
107,98,24,197,saab
87,65,19,182,bus
81,71,19,186,bus
90,71,19,197,bus
84,66,19,188,bus
95,73,19,204,bus
88,70,19,189,bus
83,68,19,191,bus
91,81,20,204,bus
89,72,19,196,bus
100,89,23,193,bus
81,68,19,184,bus
89,75,19,195,bus
99,77,21,199,bus
96,74,19,205,bus
92,74,19,201,bus
85,66,19,182,bus
86,73,19,196,bus
83,70,19,195,bus
83,71,19,190,bus
99,88,23,190,bus
83,68,19,191,bus
96,82,22,196,bus
86,61,19,182,bus
96,74,20,200,bus
94,72,19,198,bus
85,70,19,184,bus
85,66,19,182,bus
86,71,19,196,bus
102,85,22,193,bus
98,77,20,203,bus
107,102,26,187,bus
91,76,19,200,bus
96,98,24,189,bus
89,70,18,199,bus
92,75,19,202,bus
106,98,26,184,bus
91,76,19,201,bus
88,78,20,197,bus
101,91,23,192,bus
110,106,28,182,bus
84,76,19,190,bus
85,69,19,184,bus
100,95,23,194,bus
98,77,21,201,bus
92,76,19,200,bus
79,74,19,189,bus
101,104,28,184,bus
81,68,19,183,bus
82,68,19,184,bus
87,70,18,199,bus
86,75,19,194,bus
106,105,27,182,bus
94,75,19,200,bus
96,70,20,203,bus
109,95,25,186,bus
86,64,19,182,bus
87,76,19,195,bus
103,103,26,184,bus
86,66,19,182,bus
93,84,21,201,bus
108,102,26,185,bus
98,86,22,195,bus
104,94,24,191,bus
82,66,19,185,bus
95,71,19,200,bus
84,75,19,192,bus
98,72,20,202,bus
106,107,28,184,bus
97,72,20,203,bus
111,105,29,183,bus
86,68,19,192,bus
94,84,22,197,bus
95,73,20,206,bus
105,93,24,188,bus
80,71,19,187,bus
82,71,19,186,bus
85,66,19,183,bus
86,65,19,183,bus
98,88,22,197,bus
87,73,19,194,bus
104,89,24,189,bus
102,83,22,191,bus
85,66,19,181,bus
105,93,25,184,bus
85,66,19,183,bus
85,64,19,184,bus
94,79,21,199,bus
85,59,19,182,bus
84,76,19,193,bus
89,76,19,197,bus
98,70,19,205,bus
87,71,19,190,bus
94,72,19,204,bus
81,68,19,189,bus
87,76,19,193,bus
110,103,27,183,bus
107,106,28,183,bus
83,71,19,186,bus
109,102,26,183,bus
82,72,19,185,bus
87,60,19,182,bus
88,70,19,201,bus
80,68,19,185,bus
86,65,19,183,bus
86,65,19,183,bus
86,71,19,191,bus
91,75,19,199,bus
85,66,19,182,bus
98,84,21,199,bus
99,74,20,202,bus
86,65,19,182,bus
82,73,19,189,bus
82,63,19,182,bus
106,103,27,183,bus
89,72,19,198,bus
101,62,19,209,bus
102,101,26,184,bus
100,81,22,198,bus
99,92,24,189,bus
86,70,19,183,bus
86,70,19,182,bus
97,70,19,208,bus
86,70,19,183,bus
96,77,21,198,bus
98,70,20,203,bus
81,71,19,187,bus
93,86,22,197,bus
86,66,19,185,bus
90,63,19,184,bus
97,75,20,199,bus
80,71,19,184,bus
100,73,20,204,bus
81,63,19,182,bus
98,84,22,195,bus
88,70,18,203,bus
96,68,19,206,bus
82,73,19,188,bus
88,71,19,193,bus
96,77,20,203,bus
87,65,19,182,bus
87,70,19,188,bus
90,75,19,204,bus
106,100,27,182,bus
83,66,19,188,bus
99,91,23,191,bus
90,79,20,205,bus
94,89,22,198,bus
113,109,28,183,bus
85,70,19,183,bus
105,80,22,194,bus
81,68,19,184,bus
100,98,24,189,bus
109,96,26,184,bus
84,68,19,187,bus
114,102,28,184,bus
81,69,19,188,bus
92,75,20,202,bus
86,73,19,184,bus
102,92,25,186,bus
91,84,20,201,bus
101,106,26,185,bus
81,72,19,186,bus
85,66,19,182,bus
87,70,19,201,bus
80,68,19,185,bus
85,70,19,185,bus
86,70,19,188,bus
97,88,23,191,bus
82,72,19,185,bus
100,80,21,199,bus
89,76,19,195,bus
93,79,21,202,bus
89,68,19,182,bus
89,70,19,189,bus
82,72,19,187,bus
81,68,19,185,bus
84,70,19,184,bus
94,64,19,206,bus
100,75,21,197,bus
110,109,27,183,bus
81,68,19,185,bus
83,73,19,191,bus
87,70,19,187,bus
99,79,22,195,bus
107,103,28,186,bus
108,106,28,181,bus
94,70,19,206,bus
100,70,20,205,bus
88,73,19,200,bus
82,70,19,195,bus
78,70,19,186,bus
85,66,19,182,bus
102,98,25,187,bus
97,73,19,204,bus
88,74,19,195,bus
85,66,19,191,bus
98,101,25,195,opel
100,101,25,197,opel
106,98,24,198,opel
88,71,19,197,opel
109,107,23,206,opel
104,96,25,195,opel
107,103,24,201,opel
99,88,22,201,opel
85,72,18,194,opel
97,108,25,198,opel
93,72,19,210,opel
93,88,21,197,opel
97,105,23,202,opel
100,107,25,198,opel
105,100,22,202,opel
96,103,23,194,opel
101,105,24,195,opel
89,78,19,194,opel
98,76,20,196,opel
101,105,24,195,opel
85,78,19,203,opel
104,103,25,196,opel
102,98,24,198,opel
102,100,24,195,opel
95,96,22,197,opel
84,74,18,191,opel
85,77,19,193,opel
99,104,24,194,opel
102,101,25,198,opel
100,109,25,198,opel
91,98,22,199,opel
104,109,24,202,opel
86,89,20,202,opel
94,79,20,198,opel
98,101,23,196,opel
97,76,20,192,opel
95,80,20,204,opel
111,103,25,198,opel
104,110,25,198,opel
104,105,23,196,opel
89,80,20,199,opel
92,82,20,208,opel
76,58,18,184,opel
96,103,23,194,opel
101,100,24,193,opel
102,98,24,196,opel
103,100,24,194,opel
83,69,18,190,opel
91,86,21,198,opel
106,107,23,201,opel
88,69,18,210,opel
87,85,20,205,opel
84,71,19,186,opel
86,66,18,187,opel
102,98,25,196,opel
91,75,19,198,opel
82,53,18,183,opel
89,69,18,209,opel
96,104,23,201,opel
103,105,24,196,opel
85,72,18,198,opel
92,69,19,203,opel
93,78,19,198,opel
101,103,23,196,opel
79,72,19,189,opel
101,107,24,202,opel
100,109,25,199,opel
96,83,21,201,opel
103,107,24,200,opel
91,76,20,198,opel
80,64,18,188,opel
95,104,24,193,opel
87,82,19,196,opel
85,80,19,197,opel
97,81,20,198,opel
97,101,22,200,opel
80,69,18,191,opel
104,105,25,196,opel
103,101,23,202,opel
103,100,24,194,opel
92,91,21,200,opel
97,103,24,194,opel
73,53,18,184,opel
97,94,22,197,opel
90,78,18,197,opel
95,96,22,198,opel
82,86,19,189,opel
104,103,25,196,opel
108,105,24,197,opel
95,92,21,206,opel
90,86,20,191,opel
86,66,18,187,opel
100,100,23,195,opel
94,74,20,204,opel
88,78,18,202,opel
99,105,23,205,opel
88,77,20,198,opel
98,101,25,196,opel
85,66,19,183,opel
101,105,24,194,opel
106,98,25,197,opel
107,101,23,206,opel
100,109,24,199,opel
93,83,20,192,opel
99,101,25,196,opel
84,90,21,198,opel
88,50,17,187,opel
105,107,24,203,opel
85,63,17,201,opel
84,66,18,190,opel
101,103,22,198,opel
107,92,22,203,opel
88,79,21,199,opel
104,103,25,195,opel
89,83,21,194,opel
105,105,23,198,opel
108,103,24,200,opel
102,108,24,201,opel
87,77,19,189,opel
94,89,21,209,opel
92,93,22,195,opel
97,96,24,193,opel
86,77,19,191,opel
89,82,19,193,opel
105,96,25,195,opel
97,94,21,203,opel
103,83,21,206,opel
103,91,25,198,opel
100,96,22,205,opel
98,108,25,198,opel
90,83,21,193,opel
77,75,19,187,opel
93,66,18,207,opel
81,53,18,184,opel
89,69,18,203,opel
91,93,21,200,opel
89,75,19,198,opel
82,73,19,187,opel
95,104,23,193,opel
99,100,23,198,opel
89,81,20,193,opel
107,103,24,198,opel
80,60,18,186,opel
92,74,20,206,opel
103,107,25,200,opel
102,101,23,203,opel
90,78,19,198,opel
80,42,17,183,opel
87,98,22,194,opel
106,107,24,206,opel
100,104,23,196,opel
77,63,18,187,opel
106,96,21,209,opel
91,66,19,203,opel
105,96,25,194,opel
104,91,24,196,opel
95,96,21,200,opel
99,109,25,200,opel
101,108,24,201,opel
92,75,19,211,opel
107,105,25,196,opel
95,105,23,202,opel
96,104,24,194,opel
100,93,22,198,opel
89,77,19,205,opel
93,73,20,201,opel
98,104,24,195,opel
102,96,22,204,opel
103,105,24,195,opel
86,84,20,190,opel
87,86,21,199,opel
91,101,23,194,opel
93,66,18,202,opel
84,60,18,188,opel
93,78,19,197,opel
104,101,23,204,opel
103,96,23,196,opel
99,101,25,196,opel
94,84,20,195,opel
97,108,24,197,opel
86,77,19,192,opel
106,96,25,196,opel
100,109,25,198,opel
101,100,24,192,opel
96,98,24,193,opel
101,100,25,197,opel
88,88,20,192,opel
105,98,24,199,opel
109,103,23,201,opel
78,60,17,185,opel
103,107,25,201,opel
