@relation ecoli

@attribute Mcg numeric
@attribute Gvh numeric
@attribute Aac numeric
@attribute Alm1 numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
7,4,56,86,83,im
23,48,59,88,89,im
68,51,71,75,78,im
33,45,45,88,89,im
51,4,57,62,67,im
63,54,65,79,81,im
27,35,51,77,79,im
55,47,57,78,8,im
61,47,0,8,32,im
44,52,43,47,54,im
45,4,61,74,77,im
48,45,6,78,8,im
0,51,35,67,44,im
33,37,46,65,69,im
54,49,4,87,88,im
1,49,41,67,21,im
4,5,65,82,84,im
69,39,57,76,79,im
66,53,59,66,66,im
48,49,52,77,71,im
5,57,71,61,66,im
29,47,71,65,69,im
36,45,38,79,17,im
48,41,51,9,88,im
7,46,56,78,73,im
31,5,57,84,85,im
59,56,55,8,82,im
85,53,53,52,35,imS
63,49,54,76,79,imS
7,39,51,82,84,imL
84,49,55,78,74,imU
86,39,59,89,9,imU
79,36,46,82,7,imU
81,52,57,78,8,imU
76,41,5,59,62,imU
57,38,6,49,33,imU
63,51,64,72,76,imU
81,44,42,67,68,imU
69,43,59,74,77,imU
62,42,58,79,81,imU
72,42,65,77,79,imU
59,29,64,75,77,imU
76,71,5,71,75,imU
7,53,7,86,87,imU
67,37,54,64,68,imU
84,54,75,92,7,imU
77,55,51,78,74,imU
79,54,5,66,68,imU
79,41,66,81,83,imU
64,45,67,61,66,imU
66,48,54,7,74,imU
58,6,59,73,76,imU
47,46,62,74,77,imU
64,46,48,73,76,imU
78,33,57,77,79,imU
73,26,57,75,78,imU
86,55,63,81,83,imU
75,37,64,7,74,imU
63,42,48,77,8,imU
49,61,56,71,74,imU
87,49,61,76,79,imU
83,48,65,76,79,imU
61,75,51,33,33,om
63,69,65,41,28,om
64,57,7,33,26,om
74,78,75,54,15,om
74,9,57,53,29,om
67,84,74,54,37,om
63,49,79,45,28,om
77,57,88,53,2,om
6,76,77,59,52,om
67,88,73,5,25,om
71,71,68,43,36,om
69,59,77,39,21,om
75,76,83,57,3,om
56,68,77,36,45,om
73,84,86,58,29,om
65,51,66,54,33,om
78,68,83,4,29,om
68,63,73,4,3,om
71,46,52,59,3,omL
66,49,54,56,36,omL
77,57,37,54,1,omL
67,55,66,58,16,omL
7,71,42,84,85,pp
29,39,52,4,48,pp
67,7,46,45,33,pp
71,71,4,54,39,pp
65,57,47,47,51,pp
69,65,63,48,41,pp
66,74,31,38,43,pp
67,81,25,42,25,pp
43,59,52,49,56,pp
66,71,41,5,35,pp
7,61,56,52,43,pp
64,72,49,42,19,pp
76,73,44,39,39,pp
68,82,38,65,56,pp
74,56,47,68,3,pp
62,78,47,49,54,pp
68,67,49,4,34,pp
67,81,54,49,23,pp
75,84,35,52,33,pp
56,54,43,37,3,pp
32,39,53,28,38,pp
71,57,48,35,32,pp
57,59,39,47,33,pp
63,65,39,44,35,pp
61,6,44,39,38,pp
69,66,41,5,25,pp
69,67,3,39,24,pp
71,86,4,54,32,pp
62,83,46,36,4,pp
74,49,42,54,36,pp
64,81,37,39,44,pp
74,47,5,57,42,pp
69,59,46,44,52,pp
63,83,4,39,19,pp
69,8,46,57,26,pp
72,86,17,55,21,pp
63,57,49,7,2,pp
73,78,58,51,31,pp
7,64,47,51,47,pp
74,82,49,49,41,pp
63,71,6,4,39,pp
66,86,34,41,36,pp
64,84,37,45,4,pp
59,61,42,42,37,pp
63,8,46,31,29,pp
68,78,43,44,42,pp
67,61,51,37,38,pp
