@relation ecoli

@attribute Mcg numeric
@attribute Gvh numeric
@attribute Aac numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
25,26,39,42,cp
3,45,36,32,cp
17,39,53,39,cp
22,34,42,39,cp
21,34,51,39,cp
42,35,58,27,cp
29,52,42,39,cp
47,28,56,25,cp
25,37,43,36,cp
61,45,48,41,cp
38,44,43,31,cp
22,43,48,28,cp
3,37,43,3,cp
44,28,43,37,cp
49,29,56,35,cp
7,4,54,44,cp
65,55,34,28,cp
51,37,35,45,cp
25,37,41,42,cp
35,37,3,43,cp
51,54,41,43,cp
23,34,43,37,cp
32,33,6,2,cp
52,44,37,42,cp
44,56,5,54,cp
36,56,43,53,cp
41,57,39,32,cp
38,3,43,39,cp
5,49,49,53,cp
36,41,48,54,cp
24,43,37,38,cp
25,48,44,29,cp
28,33,45,33,cp
4,35,45,42,cp
2,44,46,57,cp
29,47,41,34,cp
3,16,56,23,cp
57,54,37,33,cp
52,36,41,38,cp
29,3,45,17,cp
71,4,71,74,im
1,49,41,21,im
59,56,55,82,im
4,5,65,84,im
7,46,56,73,im
34,51,67,9,im
11,5,58,68,im
31,44,5,82,im
33,45,45,89,im
44,52,43,54,im
48,41,51,88,im
52,39,65,73,im
61,52,54,52,im
52,54,62,79,im
54,57,56,83,im
33,56,33,8,im
58,34,56,81,im
36,45,38,17,im
49,42,53,81,im
12,67,74,63,im
74,7,66,69,im
27,35,51,79,im
34,49,58,8,im
47,59,52,79,im
55,47,57,8,im
48,49,52,71,im
7,4,56,83,im
54,49,4,88,im
72,46,51,7,im
66,53,59,66,im
6,5,54,8,im
6,46,45,83,im
68,51,71,78,im
47,55,58,75,im
51,4,57,67,im
48,45,6,8,im
12,43,63,74,im
16,51,33,48,im
2,46,57,81,im
84,44,48,74,im
63,47,51,84,im
63,75,64,66,im
64,58,48,73,im
31,36,58,94,im
23,48,59,89,im
63,65,66,71,im
39,41,52,75,im
46,59,36,23,im
6,61,49,37,im
63,54,65,81,im
36,47,51,72,im
41,51,53,78,im
73,36,53,92,im
89,55,51,76,im
71,52,64,99,im
6,61,54,71,im
43,4,58,78,im
61,66,46,88,im
31,5,57,85,im
74,44,55,89,im
58,55,57,74,im
46,61,48,87,im
29,47,71,69,im
33,37,46,69,im
63,5,59,86,im
37,47,39,79,im
34,67,52,79,im
69,39,57,79,im
61,47,0,32,im
63,49,54,79,imS
85,53,53,35,imS
75,55,4,3,imL
7,39,51,84,imL
76,41,5,62,imU
81,53,57,88,imU
66,48,54,74,imU
7,53,7,87,imU
81,44,42,68,imU
76,71,5,75,imU
81,52,57,8,imU
63,51,64,76,imU
79,36,46,7,imU
72,42,65,79,imU
69,43,59,77,imU
86,55,63,83,imU
84,54,75,7,imU
79,54,5,68,imU
58,6,59,76,imU
79,41,66,83,imU
73,26,57,78,imU
86,39,59,9,imU
59,29,64,77,imU
64,46,48,76,imU
78,33,57,79,imU
63,42,48,8,imU
83,48,65,79,imU
62,42,58,81,imU
77,55,51,74,imU
47,46,62,77,imU
67,37,54,68,imU
88,42,52,75,imU
64,45,67,66,imU
78,44,45,68,imU
87,49,61,79,imU
61,75,51,33,om
65,51,66,33,om
77,57,88,2,om
74,9,57,29,om
52,81,72,38,om
64,57,7,26,om
75,76,83,3,om
63,49,79,28,om
63,69,65,28,om
68,63,73,3,om
56,68,77,45,om
71,71,68,36,om
74,78,75,15,om
68,76,84,27,om
69,59,77,21,om
6,76,77,52,om
78,68,83,29,om
73,84,86,29,om
66,49,54,36,omL
68,49,62,28,omL
77,57,37,1,omL
67,55,66,16,omL
71,46,52,3,omL
65,57,47,51,pp
63,86,39,34,pp
64,72,49,19,pp
67,81,25,25,pp
67,7,46,33,pp
32,39,53,38,pp
69,66,41,25,pp
69,8,46,26,pp
64,66,41,2,pp
7,61,56,43,pp
62,83,46,4,pp
57,59,39,33,pp
7,64,47,47,pp
66,86,34,36,pp
69,65,63,41,pp
67,61,51,38,pp
71,57,48,32,pp
71,71,4,39,pp
43,59,52,56,pp
68,82,38,56,pp
68,67,49,34,pp
63,71,6,39,pp
64,84,37,4,pp
74,74,31,52,pp
74,49,42,36,pp
63,8,46,29,pp
71,86,4,32,pp
62,78,47,54,pp
63,57,49,2,pp
29,39,52,48,pp
76,73,44,39,pp
74,56,47,3,pp
64,78,5,38,pp
73,78,58,31,pp
66,71,41,35,pp
68,78,43,42,pp
66,74,31,43,pp
63,1,35,49,pp
64,81,37,44,pp
63,83,4,19,pp
56,54,43,3,pp
67,81,54,23,pp
61,6,44,38,pp
63,65,39,35,pp
69,67,3,24,pp
74,82,49,41,pp
59,61,42,37,pp
