@relation contraceptive

@attribute Wife_education numeric
@attribute Husband_education numeric
@attribute Children numeric
@attribute Contraceptive_method {1,2,3}

@data
3,4,3,2
2,1,6,2
4,4,5,2
4,4,5,2
4,4,1,2
4,4,3,2
4,4,3,2
4,4,3,2
3,4,4,2
3,3,8,2
4,4,6,2
4,4,4,2
3,4,2,2
4,4,5,2
4,4,6,2
2,3,1,2
4,4,5,2
3,1,1,2
1,3,4,2
3,4,5,2
4,4,6,2
3,4,3,2
4,4,1,2
3,4,3,2
1,2,9,2
1,2,5,2
4,4,2,2
4,4,4,2
4,3,5,2
4,4,3,2
4,4,3,2
4,4,3,2
4,4,3,2
4,4,4,2
4,4,2,2
4,4,2,3
1,2,5,3
2,4,3,3
2,3,4,3
3,3,7,3
4,4,5,3
2,4,7,3
2,3,2,3
2,3,6,3
3,4,3,3
4,4,4,3
4,4,3,3
4,4,2,3
4,4,3,3
2,3,7,3
4,4,5,3
3,4,4,3
3,3,1,3
3,3,2,3
3,4,5,3
4,4,1,3
2,2,1,3
3,3,4,3
4,4,2,3
4,4,2,3
3,4,4,3
4,4,2,3
3,4,2,3
4,4,1,3
4,3,4,3
3,3,2,3
1,4,9,3
3,3,6,3
3,3,2,3
3,3,8,3
3,3,1,3
1,3,3,3
3,3,8,3
4,4,1,3
2,4,4,3
4,4,1,3
4,4,4,3
4,4,5,3
4,4,1,3
2,4,11,3
3,4,3,3
2,2,3,3
4,4,2,3
3,3,4,3
4,4,3,3
4,4,4,3
4,4,1,3
3,3,3,3
1,2,4,3
4,3,3,3
4,4,2,3
2,4,1,3
4,4,1,3
3,4,3,3
3,4,5,3
2,3,2,3
4,4,11,3
4,3,2,3
3,4,3,3
2,3,5,3
2,4,2,3
2,4,3,3
4,4,3,3
3,3,3,3
4,4,4,3
1,3,4,3
4,4,7,3
4,4,2,3
4,3,13,3
4,4,8,3
3,4,4,3
4,4,4,3
1,2,3,3
3,4,5,3
1,2,4,3
4,4,1,3
3,4,5,3
4,3,3,3
4,4,6,3
4,4,1,3
4,4,1,3
3,4,1,3
4,4,3,3
4,4,2,3
3,4,7,3
4,4,1,3
4,4,1,3
2,4,3,3
2,3,2,3
2,2,5,3
2,2,1,3
4,4,5,3
4,3,5,3
4,4,3,3
3,3,6,3
4,4,1,3
1,3,9,3
4,4,2,3
3,3,4,3
4,4,3,3
4,4,2,3
3,4,2,3
3,3,3,3
3,3,4,3
3,4,4,3
1,2,5,3
4,4,3,3
2,2,5,3
4,4,2,3
2,1,3,3
4,4,1,3
3,4,4,3
4,4,4,3
4,3,4,3
3,4,4,3
1,3,4,3
2,3,3,3
3,4,4,3
3,3,2,3
4,4,4,3
4,4,1,3
4,4,2,3
4,4,1,3
3,4,1,3
4,4,3,3
1,3,2,3
2,3,6,3
1,2,9,3
3,3,3,3
3,3,6,3
4,4,3,3
4,3,1,3
3,4,2,3
4,4,3,3
4,4,3,3
3,4,1,3
3,4,2,3
3,4,2,3
2,3,1,3
2,4,3,3
3,4,1,3
3,4,3,3
2,4,2,3
3,3,1,3
3,4,9,3
4,4,5,3
2,3,3,3
3,4,8,3
4,4,8,3
3,4,2,3
4,4,5,3
2,2,1,3
1,4,4,3
2,3,1,3
1,2,5,3
4,4,3,3
2,3,3,3
4,4,2,3
4,4,3,3
2,3,1,3
4,4,3,3
4,4,3,3
4,4,4,3
4,4,4,3
3,4,1,3
4,3,9,3
2,3,4,3
1,1,5,3
2,3,2,3
4,4,1,3
4,4,2,3
4,4,2,3
2,2,7,3
2,4,2,3
4,4,2,3
2,3,3,3
2,2,2,3
4,4,1,3
2,4,7,3
3,4,1,3
1,3,2,3
3,4,1,3
4,4,1,3
3,2,4,3
3,4,2,3
3,4,6,3
4,4,2,3
3,4,3,3
2,3,9,3
4,4,1,3
1,3,5,3
4,4,2,3
4,4,3,3
3,4,4,3
3,3,5,3
4,4,3,3
1,2,4,3
2,4,4,3
3,3,1,3
2,3,7,3
4,4,4,3
4,4,3,3
4,4,5,3
4,4,2,3
4,4,3,3
3,3,3,3
4,4,3,3
3,3,3,3
4,4,4,3
4,4,5,3
2,3,4,3
3,2,1,3
3,3,1,3
4,4,1,3
4,4,5,3
3,4,5,3
3,3,3,3
3,3,5,3
4,4,1,3
2,4,3,3
3,2,5,3
4,4,3,3
1,2,4,3
3,4,8,3
4,4,2,3
2,4,1,3
2,3,2,3
4,4,3,3
3,4,9,3
4,4,6,3
1,3,6,3
4,4,2,3
4,4,2,3
4,4,5,3
4,4,3,3
3,2,2,3
3,4,1,3
3,2,3,3
3,4,6,3
2,4,6,3
3,4,3,3
3,3,3,3
4,4,2,3
1,1,3,3
3,4,2,3
2,3,2,3
1,2,3,3
1,2,3,3
3,2,5,3
4,4,2,3
2,4,3,3
3,4,3,3
2,3,6,3
3,3,4,3
4,4,2,3
2,3,5,3
3,4,5,3
1,4,4,3
4,4,5,3
3,3,1,3
2,2,2,3
2,3,6,3
2,2,2,3
4,4,1,3
2,4,3,3
2,3,7,3
4,4,5,3
4,4,3,3
4,4,1,3
4,4,2,3
2,2,5,3
3,3,2,3
4,4,3,3
2,4,4,3
3,4,4,3
4,4,3,3
3,4,2,3
2,3,3,3
3,3,1,3
1,2,2,3
2,3,5,3
2,2,2,3
2,4,6,3
4,4,4,3
3,3,6,3
4,4,2,3
3,4,5,3
3,4,3,3
3,4,5,3
1,2,1,3
4,4,2,3
3,3,2,3
3,3,1,3
2,4,3,3
4,4,3,3
4,4,4,3
4,4,1,3
3,4,3,3
4,4,6,3
2,3,7,3
3,4,2,3
4,3,2,3
2,4,5,3
3,2,1,3
4,4,1,3
4,4,3,3
1,2,3,3
3,4,1,3
2,2,1,3
3,3,1,3
4,4,3,3
3,4,2,3
4,4,2,3
3,3,3,3
3,4,3,3
2,2,6,3
2,2,6,3
3,3,2,3
4,4,6,3
4,4,3,3
3,3,1,3
4,4,2,3
3,3,2,3
2,2,1,3
4,4,1,3
3,4,3,3
3,3,7,3
4,4,5,3
4,4,1,3
2,2,3,3
4,3,1,3
3,4,3,3
3,4,3,3
2,2,7,3
1,3,2,3
3,3,3,3
2,4,2,3
1,2,6,3
4,4,4,3
3,4,2,3
2,3,3,3
2,3,5,3
4,4,1,3
3,4,5,3
3,3,4,3
3,4,2,3
2,2,5,3
2,4,3,3
2,4,4,3
2,3,3,3
3,4,5,3
3,3,3,3
2,4,8,3
2,3,3,3
2,4,3,3
4,4,4,3
2,4,3,3
4,4,2,3
1,2,3,3
4,4,3,3
2,4,1,3
4,4,1,3
2,2,4,3
4,4,1,3
4,4,3,3
3,4,4,3
2,4,4,3
2,2,5,3
4,4,5,3
2,2,6,3
3,4,4,3
3,3,4,3
4,4,4,3
4,3,2,3
2,2,4,3
3,2,9,3
2,3,4,3
4,4,4,3
2,2,0,3
4,4,2,3
3,3,3,3
2,3,5,3
1,2,2,3
4,4,2,3
4,3,1,3
2,2,4,3
4,4,3,3
3,2,2,3
2,4,6,3
2,3,2,3
2,2,1,3
4,4,2,3
4,4,2,3
3,4,1,3
3,4,4,3
3,4,2,3
2,2,8,3
4,4,3,3
4,4,2,3
4,4,3,3
2,2,6,3
4,4,2,3
3,3,3,3
3,4,2,3
3,4,4,3
3,4,3,3
3,4,5,3
2,3,6,3
3,3,4,3
4,4,2,3
3,4,3,3
4,4,2,3
2,2,0,3
3,3,11,3
2,3,5,3
4,4,5,3
4,4,6,3
4,4,4,3
2,4,3,3
2,4,3,3
2,3,4,3
2,4,3,3
3,3,1,3
2,3,4,3
4,4,4,3
2,2,4,3
4,4,3,3
1,2,3,3
4,4,2,3
3,4,4,3
3,3,2,3
1,4,5,3
4,4,2,3
4,4,5,3
2,3,3,3
3,4,5,3
3,3,1,3
1,2,2,3
4,3,3,3
4,4,4,3
3,3,3,3
4,4,6,3
3,3,3,3
1,3,1,3
2,3,2,3
4,4,1,3
4,4,2,3
4,4,3,3
2,4,4,3
3,3,3,3
3,3,2,3
2,3,4,3
4,4,16,3
1,3,5,3
4,4,2,3
