@relation german

@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute Age numeric
@attribute Job {A173,A172,A174,A171}
@attribute NPeopleMain numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A43,46,A173,1,A201,1
A43,35,A173,1,A201,1
A46,61,A173,1,A201,1
A43,27,A173,1,A201,1
A40,63,A174,1,A201,1
A40,66,A171,1,A201,1
A42,33,A172,1,A201,1
A46,50,A172,1,A201,1
A43,22,A173,1,A201,1
A48,39,A172,1,A201,1
A40,35,A173,1,A201,1
A40,49,A172,1,A201,1
A43,58,A172,1,A201,1
A42,39,A173,1,A201,1
A43,36,A174,1,A201,1
A49,34,A173,1,A201,1
A40,44,A173,1,A201,1
A42,34,A173,2,A201,1
A43,23,A172,1,A201,1
A43,52,A172,1,A201,1
A49,35,A172,1,A201,1
A44,62,A173,1,A201,1
A41,27,A173,1,A201,1
A43,20,A173,1,A201,1
A41,33,A173,1,A201,1
A40,34,A174,1,A201,1
A43,32,A173,2,A201,1
A40,28,A174,1,A201,1
A40,23,A174,1,A201,1
A41,44,A174,2,A201,1
A42,34,A173,1,A201,1
A48,27,A172,1,A201,1
A41,43,A173,1,A201,1
A43,32,A173,2,A201,1
A40,32,A172,2,A202,1
A40,54,A173,1,A201,1
A43,26,A173,1,A201,1
A43,29,A173,1,A202,1
A44,24,A173,1,A201,1
A40,28,A173,2,A201,1
A43,59,A173,1,A201,1
A41,27,A173,1,A201,1
A41,63,A173,2,A201,1
A48,36,A174,2,A201,1
A43,26,A173,1,A201,1
A43,23,A173,1,A201,1
A42,20,A173,1,A201,1
A49,43,A174,2,A201,1
A43,24,A173,1,A201,1
A43,51,A173,1,A201,1
A49,50,A173,1,A201,1
A41,39,A172,2,A201,1
A45,48,A173,2,A201,1
A43,38,A173,1,A201,1
A40,30,A173,1,A201,1
A41,23,A173,1,A201,1
A42,45,A172,1,A201,1
A42,34,A174,1,A201,1
A43,25,A173,1,A201,1
A43,46,A173,1,A201,1
A43,25,A173,1,A201,1
A43,37,A173,1,A201,1
A49,25,A173,1,A201,1
A49,26,A173,1,A201,1
A40,38,A174,1,A201,1
A43,37,A174,1,A201,1
A40,48,A172,2,A202,1
A41,27,A173,1,A201,1
A40,37,A173,2,A201,1
A42,21,A172,1,A201,1
A44,27,A173,1,A201,1
A43,25,A173,1,A201,1
A40,22,A173,1,A201,1
A45,22,A172,1,A201,1
A40,47,A172,2,A201,1
A41,41,A174,1,A201,1
A43,26,A173,1,A201,1
A41,35,A174,1,A201,1
A44,29,A171,1,A201,1
A49,30,A173,1,A201,1
A42,20,A173,1,A201,1
A42,35,A173,1,A202,1
A49,28,A173,1,A201,1
A42,31,A172,1,A201,1
A43,35,A173,1,A201,1
A42,27,A173,1,A201,1
A41,23,A173,1,A201,1
A43,21,A173,1,A201,1
A46,23,A173,1,A201,1
A42,22,A173,1,A201,1
A43,42,A173,2,A201,1
A42,36,A173,1,A201,1
A41,50,A173,1,A201,1
A43,25,A173,1,A201,1
A40,28,A172,1,A201,1
A43,31,A173,1,A201,1
A42,26,A173,1,A201,1
A42,24,A173,1,A201,1
A40,26,A173,2,A202,1
A43,28,A173,1,A201,1
A41,26,A173,1,A201,1
A40,34,A173,2,A201,1
A42,35,A173,1,A201,1
A42,41,A173,1,A201,1
A40,37,A173,1,A202,1
A43,28,A173,1,A201,1
A49,57,A172,1,A201,1
A41,75,A174,1,A201,1
A42,43,A173,1,A201,1
A40,54,A173,1,A201,1
A43,35,A173,1,A201,1
A41,26,A174,1,A201,1
A43,55,A173,1,A201,1
A42,46,A172,1,A201,1
A40,43,A173,2,A201,1
A41,32,A174,1,A201,1
A40,54,A171,1,A201,1
A43,31,A173,1,A201,1
A43,23,A172,1,A201,1
A43,32,A174,1,A201,1
A43,27,A173,1,A201,1
A41,63,A173,1,A201,1
A43,20,A174,2,A201,1
A42,28,A173,1,A201,1
A40,43,A172,2,A201,1
A42,30,A174,1,A201,1
A43,31,A173,2,A201,1
A43,37,A172,2,A201,1
A42,30,A173,1,A201,1
A42,30,A174,1,A201,1
A49,46,A174,2,A201,1
A40,41,A172,1,A201,1
A49,37,A174,1,A201,1
A49,27,A173,1,A201,1
A42,33,A173,1,A201,1
A40,30,A173,1,A201,1
A42,30,A173,1,A202,1
A46,23,A173,1,A201,1
A40,60,A173,1,A201,1
A43,34,A172,2,A201,1
A43,44,A172,1,A201,1
A43,47,A173,1,A201,1
A43,23,A173,1,A201,1
A48,38,A173,1,A201,1
A40,45,A173,2,A201,1
A45,27,A173,1,A201,1
A41,30,A173,1,A201,1
A42,31,A173,1,A201,1
A43,26,A174,1,A201,1
A49,74,A172,1,A201,1
A44,36,A173,1,A201,1
A43,34,A173,1,A201,1
A42,30,A173,1,A201,1
A43,29,A173,1,A201,1
A40,62,A173,1,A201,1
A45,67,A173,1,A201,1
A49,40,A171,2,A201,1
A42,24,A172,1,A202,1
A43,34,A173,1,A201,1
A43,35,A173,1,A201,1
A42,24,A173,1,A201,1
A42,20,A173,1,A201,1
A43,65,A171,1,A201,1
A40,47,A173,1,A201,1
A41,35,A174,1,A201,1
A43,28,A173,2,A201,1
A43,38,A173,1,A201,1
A43,26,A173,1,A201,1
A42,28,A173,1,A201,1
A43,40,A173,2,A201,1
A43,34,A172,2,A201,1
A40,35,A171,1,A201,1
A43,37,A172,1,A201,1
A43,42,A173,1,A201,1
A40,37,A173,1,A201,1
A40,31,A173,2,A201,1
A46,40,A174,1,A201,1
A42,29,A172,2,A201,1
A43,35,A173,1,A201,1
A42,22,A173,1,A201,1
A43,25,A173,1,A201,1
A46,32,A173,1,A201,1
A40,31,A172,2,A202,1
A41,35,A173,1,A201,1
A42,46,A173,1,A201,1
A41,35,A172,1,A201,1
A42,42,A173,1,A201,1
A41,24,A173,1,A201,1
A43,26,A173,1,A201,1
A43,35,A173,1,A201,1
A43,52,A173,1,A201,1
A42,32,A173,1,A201,1
A42,28,A173,1,A201,1
A43,53,A173,1,A201,1
A46,67,A174,1,A201,1
A43,32,A173,1,A201,1
A43,49,A173,1,A201,1
A46,32,A173,2,A201,1
A41,21,A173,1,A201,1
A40,45,A174,2,A201,1
A41,24,A173,1,A201,1
A43,25,A173,1,A201,1
A42,55,A174,1,A201,1
A41,38,A174,1,A201,1
A41,38,A174,1,A201,1
A43,28,A173,1,A201,1
A43,25,A173,1,A201,1
A41,43,A173,2,A201,1
A40,48,A173,1,A201,1
A42,22,A173,1,A201,1
A41,45,A174,1,A201,1
A40,30,A173,1,A201,1
A40,37,A173,1,A201,1
A41,29,A174,1,A201,1
A43,65,A173,1,A201,1
A49,34,A172,1,A201,1
A43,40,A172,1,A201,1
A42,35,A174,1,A201,1
A43,33,A173,1,A202,1
A49,37,A173,1,A201,1
A49,31,A173,1,A201,1
A41,54,A173,1,A201,1
A41,48,A173,1,A201,1
A40,35,A172,1,A202,1
A40,42,A173,1,A201,1
A40,39,A172,1,A202,1
A43,42,A172,2,A201,1
A43,57,A172,1,A201,1
A42,41,A173,1,A201,1
A46,37,A172,2,A201,1
A43,23,A173,1,A201,1
A43,21,A173,1,A201,1
A43,42,A173,1,A201,1
A41,46,A174,1,A201,1
A40,37,A173,1,A201,1
A42,31,A174,1,A201,1
A40,52,A174,1,A201,1
A46,41,A172,1,A201,1
A40,30,A174,1,A201,1
A41,55,A174,1,A201,1
A42,22,A172,1,A201,1
A42,22,A173,1,A201,1
A43,52,A173,1,A201,1
A410,43,A174,1,A201,1
A43,21,A173,1,A201,1
A40,27,A171,1,A202,1
A43,30,A174,1,A201,1
A40,40,A172,2,A202,1
A42,47,A173,1,A201,1
A49,26,A173,1,A201,1
A43,27,A172,1,A201,1
A40,30,A173,2,A201,1
A42,21,A173,1,A201,1
A42,33,A174,1,A201,1
A42,49,A173,1,A201,1
A41,45,A173,2,A201,1
A42,37,A173,2,A201,1
A43,23,A172,1,A201,1
A40,26,A173,1,A201,1
A42,33,A173,1,A201,1
A45,44,A173,1,A201,1
A40,36,A173,1,A201,1
A42,22,A173,1,A201,1
A42,26,A173,1,A201,1
A46,64,A172,1,A201,1
A41,30,A174,1,A201,1
A43,41,A173,2,A201,1
A40,39,A172,1,A201,1
A41,36,A173,1,A201,1
A40,36,A173,1,A201,1
A40,32,A173,1,A201,1
A43,26,A174,1,A201,1
A41,63,A173,1,A201,1
A40,26,A172,2,A201,1
A40,74,A171,2,A202,1
A43,25,A173,1,A201,1
A43,27,A173,1,A202,1
A43,58,A173,1,A201,1
A43,24,A172,1,A201,1
A410,29,A173,1,A201,1
A410,51,A174,2,A201,1
A43,29,A173,1,A201,1
A40,24,A171,1,A201,1
A42,24,A172,1,A201,1
A41,60,A174,1,A201,1
A41,31,A173,1,A201,1
A46,23,A173,1,A201,1
A49,32,A173,1,A201,1
A44,23,A173,1,A201,1
A43,32,A173,2,A201,1
A42,47,A173,2,A201,1
A46,32,A173,1,A201,1
A41,46,A174,2,A201,1
A40,75,A174,1,A201,1
A43,64,A173,1,A201,1
A43,42,A173,2,A201,1
A42,48,A172,1,A201,1
A49,31,A173,2,A201,1
A43,47,A173,1,A201,1
A43,31,A173,1,A201,1
A42,57,A173,1,A201,1
A41,32,A173,2,A201,1
A43,36,A173,2,A201,1
A43,25,A172,1,A201,1
A42,22,A173,1,A201,1
A43,35,A173,1,A201,1
A42,63,A173,1,A201,1
A43,29,A173,1,A201,1
A49,44,A173,2,A201,1
A40,27,A173,1,A201,1
A43,29,A173,1,A201,1
A40,29,A173,1,A201,1
A41,40,A174,1,A201,1
A40,39,A172,1,A201,1
A42,49,A172,1,A201,1
A40,36,A173,1,A201,1
A49,26,A173,1,A201,1
A43,33,A173,1,A201,1
A41,31,A173,1,A201,1
A42,27,A173,1,A201,1
A41,35,A173,2,A201,1
A45,33,A173,1,A201,1
A49,27,A172,1,A201,1
A41,22,A173,1,A202,1
A49,23,A172,1,A201,1
A49,27,A173,1,A201,1
A49,35,A173,1,A201,1
A40,63,A173,1,A201,1
A43,47,A172,1,A201,1
A43,29,A173,1,A201,1
A42,32,A173,1,A201,1
A42,37,A173,1,A201,1
A42,23,A173,1,A201,1
A49,29,A174,1,A201,1
A40,50,A173,1,A201,1
A41,42,A173,1,A201,1
A40,32,A173,1,A201,1
A42,35,A174,1,A201,1
A43,32,A174,1,A201,1
A49,41,A173,1,A201,1
A49,36,A173,1,A201,1
A40,45,A174,2,A201,1
A42,24,A173,1,A201,1
A42,33,A173,1,A201,1
A49,34,A173,2,A201,1
A410,31,A174,1,A201,1
A40,24,A173,1,A201,1
A41,28,A173,1,A201,1
A40,35,A172,1,A201,1
A40,20,A173,1,A201,1
A43,46,A172,1,A201,1
A42,28,A173,1,A201,1
A43,28,A173,1,A201,1
A43,36,A173,1,A201,1
A41,42,A173,2,A201,1
A46,57,A172,1,A201,1
A43,63,A172,1,A201,1
A43,49,A172,1,A201,1
A40,22,A172,1,A201,1
A43,26,A172,1,A202,1
A40,54,A173,1,A201,1
A40,31,A174,1,A201,1
A49,21,A172,1,A201,1
A40,38,A172,1,A202,1
A40,38,A171,1,A201,1
A42,27,A173,1,A201,1
A40,27,A172,1,A201,1
A43,23,A173,1,A201,1
A49,32,A173,2,A201,1
A49,74,A174,1,A201,1
A43,51,A173,1,A201,1
A49,27,A173,1,A201,1
A42,21,A173,1,A201,1
A41,36,A173,1,A201,1
A43,43,A172,1,A201,1
A43,45,A172,1,A201,1
A42,23,A173,1,A201,1
A43,31,A173,1,A201,1
A40,33,A173,1,A201,1
A41,46,A172,1,A201,1
A42,25,A173,1,A201,1
A40,39,A173,1,A201,1
A49,26,A173,1,A201,1
A43,24,A173,1,A201,1
A49,36,A172,1,A201,1
A40,27,A173,1,A201,1
A42,37,A173,1,A201,1
A40,49,A173,1,A201,1
A41,56,A173,1,A201,1
A43,29,A173,1,A201,1
A41,26,A173,2,A201,1
A43,24,A173,1,A201,1
A46,56,A173,1,A201,1
A43,28,A173,1,A201,1
A42,26,A173,1,A201,1
A40,45,A172,1,A202,1
A49,28,A173,1,A201,1
A43,54,A174,1,A201,1
A43,44,A172,1,A201,1
A49,33,A173,1,A201,1
A40,27,A173,1,A201,1
A43,45,A172,2,A201,1
A42,25,A173,1,A201,1
A40,40,A172,2,A202,1
A43,30,A174,1,A201,1
A42,40,A173,1,A201,1
A48,45,A172,1,A201,1
A45,25,A172,1,A201,1
A40,35,A174,1,A201,1
A43,31,A173,1,A201,1
A40,30,A174,2,A201,1
A40,36,A173,2,A201,1
A40,36,A174,1,A201,1
A49,41,A172,1,A201,1
A49,31,A173,1,A201,1
A410,27,A174,1,A201,1
A43,35,A173,1,A201,1
A40,64,A173,1,A201,1
A43,36,A174,1,A201,1
A43,30,A173,1,A201,1
A49,32,A173,2,A201,1
A42,34,A174,1,A201,1
A41,31,A174,2,A201,1
A42,46,A173,1,A201,1
A40,70,A174,1,A201,1
A41,26,A173,1,A201,1
A42,36,A172,1,A201,1
A40,36,A174,1,A201,1
A45,23,A173,1,A201,1
A43,33,A173,1,A201,1
A40,29,A173,1,A201,1
A41,26,A173,1,A201,1
A41,34,A174,1,A201,1
A46,54,A173,2,A201,1
A43,32,A174,1,A201,1
A49,27,A173,1,A201,1
A40,34,A173,2,A201,1
A43,39,A173,1,A201,1
A43,24,A173,1,A201,1
A42,25,A173,1,A201,1
A40,25,A173,1,A201,1
A40,41,A172,1,A201,1
A43,52,A173,1,A201,1
A40,36,A173,2,A201,1
A40,27,A172,1,A201,1
A42,45,A173,2,A201,1
A43,47,A173,1,A201,1
A45,65,A171,1,A201,1
A41,38,A174,1,A201,1
A43,51,A173,2,A201,1
A46,31,A173,1,A201,1
A43,32,A172,1,A201,1
A49,27,A173,1,A201,1
A41,41,A174,2,A201,1
A49,22,A172,1,A201,1
A46,33,A173,1,A201,1
A49,36,A173,1,A201,1
A46,46,A173,1,A201,1
A43,48,A172,1,A201,1
A42,20,A173,1,A201,1
A40,29,A172,2,A202,1
A42,42,A173,1,A201,1
A41,34,A173,1,A201,1
A43,33,A173,2,A201,1
A43,40,A173,1,A201,1
A40,43,A172,2,A201,1
A41,24,A172,1,A201,1
A46,35,A172,2,A201,1
A43,64,A172,1,A201,1
A43,28,A173,1,A201,1
A41,35,A173,1,A201,1
A46,52,A173,1,A201,1
A46,50,A174,1,A201,1
A45,22,A173,1,A201,1
A40,36,A173,1,A201,1
A42,32,A173,1,A201,1
A43,25,A172,1,A201,1
A42,24,A172,1,A201,1
A410,58,A172,1,A201,1
A42,26,A172,1,A201,1
A41,55,A173,1,A202,1
A43,23,A171,1,A201,1
A40,42,A172,2,A201,1
A41,29,A174,1,A201,1
A43,36,A173,1,A201,1
A41,35,A174,1,A201,1
A40,52,A172,1,A201,1
A49,28,A172,1,A201,1
A42,27,A172,1,A201,1
A43,34,A173,1,A201,1
A46,27,A173,1,A201,1
A43,40,A172,1,A201,1
A49,36,A173,1,A201,1
A40,24,A173,1,A201,1
A43,30,A173,1,A201,1
A40,30,A173,1,A201,1
A40,24,A172,1,A202,1
A40,35,A173,1,A202,1
A43,25,A173,1,A201,1
A43,39,A173,2,A201,1
A43,35,A172,1,A201,1
A40,51,A172,1,A201,1
A40,49,A172,2,A201,1
A40,39,A174,2,A201,1
A42,23,A173,1,A201,1
A43,28,A174,1,A201,1
A41,30,A173,1,A201,1
A40,31,A173,1,A201,1
A42,50,A173,1,A201,1
A42,36,A174,1,A201,1
A42,40,A173,1,A201,1
A43,26,A173,1,A201,1
A46,61,A173,1,A201,1
A43,24,A173,1,A201,1
A42,26,A173,1,A202,1
A45,38,A172,1,A201,1
A42,43,A173,1,A201,1
A40,54,A173,1,A201,1
A43,43,A172,1,A201,1
A40,42,A174,1,A201,1
A41,49,A173,2,A201,1
A42,27,A173,1,A202,1
A43,29,A174,1,A201,1
A43,23,A173,1,A201,1
A42,29,A172,1,A201,1
A42,49,A173,1,A201,1
A40,47,A172,1,A201,1
A42,55,A174,1,A201,1
A46,31,A173,1,A201,1
A42,30,A173,1,A201,1
A49,25,A173,1,A201,1
A42,32,A173,1,A201,1
A43,27,A174,1,A201,1
A43,31,A174,2,A201,1
A41,31,A173,1,A201,1
A43,26,A172,2,A201,1
A46,47,A173,2,A201,1
A40,36,A174,1,A201,1
A43,49,A173,1,A201,1
A43,37,A174,1,A201,1
A40,26,A173,1,A201,1
A43,37,A173,1,A201,1
A40,68,A171,1,A201,1
A41,30,A173,1,A201,1
A42,24,A173,1,A201,1
A42,50,A173,1,A201,1
A42,38,A172,2,A201,1
A43,57,A174,1,A201,1
A43,45,A173,1,A201,1
A43,38,A173,1,A201,1
A42,28,A173,1,A201,1
A45,44,A172,2,A201,1
A41,24,A172,1,A201,2
A43,37,A173,1,A201,2
A43,22,A173,1,A201,2
A43,39,A173,1,A201,2
A40,34,A173,1,A201,2
A42,25,A173,1,A201,2
A40,47,A174,1,A201,2
A40,45,A174,1,A202,2
A410,60,A174,1,A201,2
A42,27,A173,1,A201,2
A42,23,A173,2,A201,2
A41,35,A173,1,A201,2
A40,20,A172,1,A201,2
A43,52,A174,1,A201,2
A40,33,A173,1,A201,2
A42,22,A173,1,A201,2
A42,53,A174,1,A201,2
A43,32,A172,1,A201,2
A40,37,A172,2,A201,2
A46,50,A173,1,A201,2
A46,25,A174,1,A201,2
A41,24,A173,2,A201,2
A45,23,A173,1,A201,2
A42,39,A174,1,A201,2
A43,22,A173,1,A201,2
A40,33,A173,1,A202,2
A40,24,A173,1,A201,2
A46,30,A173,1,A201,2
A42,28,A174,1,A201,2
A43,25,A172,1,A201,2
A40,23,A173,1,A201,2
A40,33,A173,2,A201,2
A42,29,A172,1,A201,2
A42,49,A173,1,A201,2
A40,32,A172,2,A201,2
A46,40,A174,1,A201,2
A49,25,A173,1,A201,2
A40,25,A173,1,A201,2
A43,34,A173,1,A201,2
A49,42,A174,1,A201,2
A40,57,A173,1,A201,2
A40,53,A173,2,A201,2
A43,37,A173,2,A201,2
A40,47,A172,2,A201,2
A42,44,A174,1,A201,2
A43,25,A173,1,A201,2
A42,34,A172,2,A201,2
A42,22,A173,1,A201,2
A42,23,A172,1,A201,2
A40,25,A173,1,A201,2
A42,20,A173,1,A201,2
A45,61,A173,1,A201,2
A42,29,A173,1,A201,2
A40,39,A174,2,A201,2
A43,30,A174,1,A201,2
A40,24,A173,1,A201,2
A40,44,A173,1,A201,2
A49,59,A173,1,A201,2
A49,28,A173,1,A201,2
A43,25,A173,1,A201,2
A40,29,A173,1,A201,2
A43,57,A172,1,A201,2
A40,32,A173,1,A201,2
A43,34,A174,1,A201,2
A41,28,A174,1,A201,2
A42,43,A173,1,A201,2
A42,42,A173,1,A201,2
A43,23,A172,1,A201,2
A43,31,A173,1,A201,2
A42,29,A173,1,A202,2
A49,58,A173,1,A201,2
A410,39,A174,2,A201,2
A43,26,A173,1,A201,2
A49,26,A171,1,A201,2
A40,43,A173,1,A201,2
A42,37,A172,1,A201,2
A42,26,A174,1,A201,2
A49,36,A173,1,A201,2
A43,21,A172,2,A201,2
A49,34,A172,2,A201,2
A43,33,A172,1,A201,2
A40,41,A172,2,A201,2
A46,42,A173,1,A201,2
A42,30,A174,1,A201,2
A40,23,A172,1,A201,2
A49,61,A172,1,A201,2
A43,30,A174,2,A201,2
A40,46,A173,1,A201,2
A40,29,A173,1,A201,2
A46,40,A172,2,A201,2
A49,27,A173,1,A201,2
A41,24,A173,1,A201,2
A42,33,A173,1,A201,2
A42,30,A173,1,A201,2
A40,24,A174,1,A201,2
A42,25,A172,1,A201,2
A41,53,A174,1,A201,2
A46,33,A173,1,A201,2
A40,23,A172,1,A201,2
A40,36,A173,1,A201,2
A40,30,A174,1,A201,2
A46,34,A174,1,A201,2
A49,24,A173,1,A201,2
A43,28,A173,1,A201,2
A43,28,A172,1,A201,2
A40,35,A173,1,A201,2
A40,21,A173,1,A201,2
A43,21,A173,1,A201,2
A40,34,A174,2,A201,2
A44,24,A173,1,A201,2
A43,48,A173,1,A201,2
A40,28,A174,1,A201,2
A40,48,A172,2,A201,2
A42,55,A173,1,A201,2
A40,46,A173,2,A201,2
A46,37,A173,1,A201,2
A43,24,A172,1,A201,2
A41,74,A174,2,A201,2
A42,33,A173,1,A201,2
A40,46,A173,1,A201,2
A43,35,A173,1,A201,2
A43,28,A173,1,A201,2
A45,28,A173,1,A201,2
A40,27,A172,1,A201,2
A43,22,A173,1,A201,2
A42,26,A173,1,A201,2
A40,27,A174,1,A201,2
A40,36,A173,2,A201,2
A40,24,A172,1,A201,2
A49,26,A172,1,A201,2
A46,34,A172,1,A201,2
A49,31,A173,1,A201,2
A40,25,A172,1,A201,2
A40,37,A173,1,A201,2
A42,19,A173,1,A201,2
A48,21,A173,1,A201,2
A46,29,A173,1,A201,2
A46,27,A173,1,A201,2
A40,42,A174,1,A201,2
A42,43,A172,2,A201,2
A40,26,A171,1,A201,2
A45,55,A173,2,A201,2
A43,30,A174,1,A201,2
A43,26,A173,1,A201,2
A42,24,A173,1,A201,2
A40,29,A173,1,A201,2
A41,46,A173,1,A201,2
A42,27,A173,1,A201,2
A43,31,A173,1,A201,2
A42,31,A172,1,A201,2
A40,60,A172,1,A201,2
A40,57,A174,1,A201,2
A42,21,A173,1,A201,2
A40,31,A173,1,A201,2
A40,43,A173,1,A201,2
A43,50,A173,1,A201,2
A45,55,A171,2,A201,2
A42,53,A173,2,A201,2
A40,27,A173,1,A201,2
A43,24,A173,1,A201,2
A45,34,A172,1,A201,2
A49,24,A173,1,A201,2
A40,35,A173,1,A201,2
A40,29,A171,1,A201,2
A49,31,A173,1,A201,2
A40,68,A173,1,A201,2
A40,24,A173,1,A201,2
A42,42,A173,2,A201,2
A43,23,A173,1,A201,2
A42,30,A173,2,A201,2
A46,40,A174,1,A201,2
A40,23,A172,1,A201,2
A42,25,A172,1,A201,2
A42,26,A173,1,A201,2
A42,27,A173,1,A201,2
A41,47,A173,1,A201,2
A40,28,A173,1,A201,2
A42,25,A171,1,A201,2
A40,37,A172,1,A201,2
A40,45,A173,1,A201,2
A40,32,A172,1,A201,2
A43,42,A173,1,A201,2
A46,23,A173,1,A201,2
A40,26,A173,1,A201,2
A42,32,A173,1,A201,2
A43,22,A173,1,A201,2
A43,22,A173,1,A201,2
A43,22,A173,1,A201,2
A40,25,A173,1,A201,2
A43,66,A172,1,A201,2
A42,20,A173,1,A201,2
A41,44,A174,1,A201,2
A43,35,A173,1,A201,2
A40,31,A173,1,A201,2
A43,22,A173,1,A201,2
A40,43,A173,2,A201,2
A40,29,A173,1,A201,2
A42,20,A173,1,A201,2
A49,36,A173,2,A201,2
A43,27,A173,1,A201,2
A41,51,A173,2,A201,2
A40,27,A174,1,A201,2
A40,40,A172,2,A201,2
A43,44,A173,1,A201,2
A49,30,A174,1,A201,2
A49,50,A173,1,A201,2
A40,30,A173,1,A201,2
A49,63,A173,1,A201,2
A43,25,A172,1,A201,2
A46,26,A173,1,A201,2
A40,33,A172,2,A201,2
A49,36,A172,1,A201,2
A49,41,A172,2,A201,2
A49,33,A174,1,A201,2
A42,31,A173,1,A201,2
A43,20,A173,1,A201,2
A46,53,A173,1,A201,2
A42,23,A173,1,A201,2
A43,32,A173,1,A201,2
A41,28,A173,1,A201,2
A42,24,A173,1,A201,2
A40,28,A172,1,A201,2
A40,68,A174,1,A201,2
A43,24,A172,1,A201,2
A41,58,A172,1,A201,2
A42,44,A173,1,A201,2
A41,39,A173,2,A201,2
A40,25,A172,1,A201,2
A42,41,A173,2,A201,2
A49,23,A173,1,A201,2
A40,24,A173,1,A201,2
A40,48,A173,1,A201,2
A49,36,A173,2,A201,2
A40,28,A173,1,A201,2
A43,65,A173,1,A201,2
A40,28,A173,1,A201,2
A44,54,A173,1,A201,2
A45,33,A172,1,A201,2
A410,32,A174,1,A202,2
A43,29,A172,1,A201,2
A46,35,A173,1,A201,2
A43,26,A173,2,A201,2
A40,45,A172,1,A201,2
A49,42,A174,1,A201,2
A42,60,A173,1,A201,2
A40,32,A173,1,A201,2
A49,66,A174,1,A201,2
A49,37,A173,1,A201,2
A49,28,A173,1,A201,2
A40,28,A174,1,A201,2
A49,61,A174,1,A201,2
A49,27,A173,1,A201,2
A40,29,A173,1,A201,2
A49,29,A173,1,A201,2
A43,22,A173,1,A201,2
A40,23,A173,1,A201,2
A41,23,A174,1,A201,2
A42,40,A174,1,A201,2
A46,47,A173,2,A201,2
A40,23,A173,1,A201,2
A49,39,A173,2,A201,2
A41,26,A173,2,A201,2
A49,38,A173,1,A201,2
A41,38,A174,1,A201,2
A40,42,A174,1,A201,2
A49,54,A174,1,A201,2
A43,25,A173,1,A201,2
A40,38,A173,2,A201,2
A46,24,A173,2,A201,2
A40,23,A171,1,A201,2
