@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Age numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A12,20,6468,A91,60,A192,1
A11,6,343,A92,27,A191,1
A11,12,385,A92,58,A192,1
A13,10,1347,A93,27,A192,1
A12,12,1424,A93,26,A191,1
A14,24,1258,A93,25,A192,1
A11,30,2522,A93,39,A191,1
A14,24,1559,A93,50,A192,1
A14,12,1393,A93,47,A192,1
A12,30,3832,A94,22,A191,1
A14,12,926,A92,38,A191,1
A14,12,682,A92,51,A192,1
A13,42,6289,A91,33,A191,1
A14,12,1934,A93,26,A191,1
A14,22,2675,A93,40,A191,1
A14,10,2069,A94,26,A191,1
A14,24,1413,A94,28,A191,1
A14,60,10366,A93,42,A192,1
A14,27,5117,A93,26,A191,1
A11,10,2241,A93,48,A191,1
A14,12,1264,A93,57,A191,1
A12,24,4712,A93,37,A192,1
A14,18,2238,A92,25,A191,1
A14,20,3485,A91,44,A192,1
A12,20,6148,A94,31,A192,1
A14,24,2872,A93,36,A192,1
A14,18,2404,A92,26,A191,1
A14,15,2788,A92,24,A191,1
A13,6,1047,A92,50,A191,1
A11,6,2647,A93,44,A191,1
A12,36,6948,A93,35,A192,1
A11,20,2212,A93,39,A192,1
A13,36,4473,A93,31,A191,1
A14,54,9436,A93,39,A191,1
A14,21,2993,A93,28,A191,1
A14,12,3447,A92,35,A191,1
A11,6,609,A92,37,A191,1
A11,15,806,A92,22,A191,1
A12,24,5743,A92,24,A192,1
A11,39,14179,A93,30,A192,1
A14,21,3275,A93,36,A192,1
A13,6,1299,A93,74,A191,1
A14,6,518,A92,29,A191,1
A12,24,1553,A92,23,A192,1
A11,24,1382,A93,26,A192,1
A14,24,3105,A93,25,A191,1
A14,24,929,A93,31,A192,1
A12,6,932,A92,39,A191,1
A14,9,2134,A93,48,A192,1
A13,24,1925,A93,26,A191,1
A12,36,2273,A93,32,A191,1
A12,8,760,A92,44,A191,1
A12,12,1092,A92,49,A192,1
A13,10,1225,A93,37,A192,1
A11,12,2214,A93,24,A191,1
A14,15,3029,A93,33,A191,1
A11,30,6187,A94,24,A191,1
A12,10,1521,A91,31,A191,1
A14,24,2375,A93,44,A192,1
A12,15,1444,A93,23,A191,1
A12,24,2333,A93,29,A191,1
A14,24,6313,A93,41,A192,1
A14,12,1542,A93,36,A192,1
A14,18,629,A93,32,A192,1
A14,12,522,A93,42,A192,1
A14,18,1950,A93,34,A192,1
A14,4,1455,A93,42,A191,1
A11,6,4716,A93,44,A191,1
A12,21,3976,A93,35,A192,1
A11,24,2924,A93,63,A192,1
A14,36,2394,A92,25,A191,1
A14,12,1413,A93,55,A191,1
A11,21,571,A93,65,A191,1
A12,39,11760,A93,32,A192,1
A11,24,2384,A93,64,A191,1
A11,6,662,A93,41,A192,1
A14,24,3430,A93,31,A192,1
A14,6,362,A92,52,A191,1
A14,12,996,A92,23,A191,1
A14,12,3565,A93,37,A191,1
A14,24,7393,A93,43,A191,1
A11,30,4583,A91,32,A191,1
A11,11,3939,A93,40,A191,1
A12,42,9283,A93,55,A192,1
A14,24,1851,A94,33,A192,1
A14,15,960,A92,30,A191,1
A14,24,2424,A93,53,A191,1
A11,12,1200,A92,23,A192,1
A11,24,1603,A92,55,A191,1
A14,6,660,A94,23,A191,1
A14,10,1546,A93,31,A191,1
A12,18,3612,A92,37,A192,1
A12,9,1919,A93,35,A192,1
A12,24,6403,A93,33,A191,1
A14,48,12749,A93,37,A192,1
A14,12,1101,A94,27,A192,1
A12,48,3566,A93,30,A191,1
A14,21,2241,A93,50,A191,1
A14,18,6070,A93,33,A192,1
A12,12,625,A94,26,A191,1
A14,60,15653,A93,21,A192,1
A12,24,3878,A91,37,A192,1
A12,24,3512,A93,38,A192,1
A14,4,1544,A93,42,A191,1
A12,18,7374,A93,40,A192,1
A14,6,3518,A93,26,A191,1
A14,10,2146,A92,23,A191,1
A12,27,5965,A93,30,A192,1
A14,24,1597,A93,54,A191,1
A12,12,1567,A92,22,A192,1
A11,15,1053,A94,27,A191,1
A12,11,4771,A93,51,A191,1
A14,12,1185,A92,27,A191,1
A12,12,7472,A92,24,A191,1
A11,12,1409,A93,54,A191,1
A14,24,717,A94,54,A192,1
A12,36,2323,A93,24,A191,1
A14,24,2022,A92,37,A192,1
A14,12,1503,A94,41,A191,1
A14,6,426,A94,39,A191,1
A14,12,2133,A92,52,A192,1
A12,15,2326,A93,27,A191,1
A14,11,1393,A92,35,A191,1
A12,9,1206,A92,25,A191,1
A11,12,1168,A94,27,A191,1
A11,12,3651,A93,31,A191,1
A13,6,1343,A93,46,A191,1
A11,12,1344,A93,43,A191,1
A14,48,8858,A93,35,A192,1
A14,24,1249,A94,28,A191,1
A11,12,2121,A93,30,A191,1
A12,12,585,A94,20,A191,1
A14,36,3835,A92,45,A192,1
A14,7,730,A93,46,A192,1
A12,36,5800,A93,34,A192,1
A11,6,428,A92,49,A192,1
A14,9,3074,A93,33,A191,1
A11,36,5493,A93,42,A191,1
A14,36,3342,A93,51,A192,1
A14,12,1291,A92,35,A191,1
A13,12,3399,A93,37,A191,1
A14,60,6527,A93,34,A192,1
A12,18,3872,A92,67,A192,1
A14,30,5954,A93,38,A191,1
A14,18,1817,A92,28,A191,1
A14,6,1750,A93,45,A191,1
A14,12,1768,A93,24,A191,1
A14,15,3186,A92,20,A191,1
A12,12,1155,A94,40,A191,1
A14,60,10144,A92,21,A192,1
A14,24,2670,A93,35,A192,1
A12,15,2728,A93,35,A192,1
A14,21,1591,A93,34,A191,1
A11,18,3509,A92,25,A191,1
A14,36,2613,A93,27,A191,1
A12,21,2745,A93,32,A192,1
A14,6,1743,A93,34,A191,1
A12,18,1941,A93,35,A192,1
A12,21,3652,A93,27,A191,1
A14,27,5190,A93,48,A192,1
A11,6,1374,A92,75,A192,1
A14,24,1278,A93,36,A192,1
A12,7,2415,A93,34,A191,1
A14,15,1569,A93,34,A191,1
A14,24,4139,A93,27,A192,1
A11,27,2442,A93,43,A192,1
A12,9,2030,A93,24,A192,1
A14,24,2058,A91,33,A192,1
A14,10,2901,A92,31,A191,1
A12,6,1068,A93,28,A191,1
A14,12,2073,A92,28,A191,1
A11,6,338,A93,52,A191,1
A11,12,1289,A93,21,A191,1
A12,18,4439,A93,33,A192,1
A12,9,1082,A93,27,A191,1
A11,24,2483,A93,22,A192,1
A14,10,1597,A93,40,A191,1
A11,6,860,A92,39,A192,1
A12,24,3069,A93,30,A191,1
A12,12,841,A92,23,A191,1
A14,24,3235,A91,26,A192,1
A11,36,3249,A93,39,A192,1
A14,48,10222,A93,37,A192,1
A14,6,1898,A93,34,A191,1
A11,18,8471,A92,23,A192,1
A13,6,2116,A93,41,A192,1
A11,15,1433,A92,25,A191,1
A12,18,2779,A94,21,A192,1
A14,24,5433,A92,26,A192,1
A12,12,6078,A93,32,A191,1
A14,18,2051,A93,33,A191,1
A14,6,1346,A93,42,A192,1
A14,36,3535,A93,37,A192,1
A11,21,3357,A92,29,A191,1
A14,10,1287,A93,45,A191,1
A14,18,1473,A94,39,A192,1
A14,6,1538,A92,56,A191,1
A12,18,6361,A93,41,A192,1
A14,36,9055,A93,35,A192,1
A14,9,936,A93,52,A192,1
A14,9,2753,A93,35,A192,1
A14,15,3812,A92,23,A192,1
A14,6,932,A92,24,A191,1
A14,12,3059,A91,61,A191,1
A14,24,1469,A94,41,A191,1
A11,15,1478,A93,44,A192,1
A11,48,7476,A93,50,A192,1
A14,60,13756,A93,63,A192,1
A11,12,1680,A94,35,A191,1
A14,36,8133,A92,30,A191,1
A14,12,5801,A93,49,A192,1
A14,12,1402,A92,37,A192,1
A14,12,2171,A92,29,A191,1
A14,36,4454,A92,34,A191,1
A12,48,8358,A92,30,A191,1
A14,15,1262,A93,36,A192,1
A14,36,5742,A93,31,A192,1
A14,36,6614,A93,34,A192,1
A14,24,1525,A92,34,A192,1
A12,6,454,A94,22,A191,1
A14,24,2463,A94,27,A192,1
A14,18,2320,A94,34,A191,1
A12,24,4351,A92,48,A192,1
A14,36,6304,A93,36,A191,1
A14,48,3578,A93,47,A192,1
A11,8,1164,A93,51,A192,1
A12,15,1537,A93,50,A192,1
A14,30,3077,A93,40,A192,1
A14,15,4657,A93,30,A192,1
A11,24,2828,A93,22,A192,1
A12,42,5954,A92,41,A191,1
A14,15,1979,A93,35,A191,1
A12,9,1154,A93,37,A191,1
A14,12,2759,A93,34,A191,1
A14,36,7678,A92,40,A192,1
A14,12,3527,A93,45,A192,1
A14,21,2782,A92,31,A191,1
A13,6,709,A94,27,A191,1
A13,24,5152,A93,25,A191,1
A14,48,6110,A93,31,A192,1
A12,18,2427,A93,42,A191,1
A14,12,2445,A94,26,A192,1
A11,12,1262,A91,49,A192,1
A13,12,2247,A92,36,A192,1
A14,15,2708,A93,27,A191,1
A14,15,1532,A92,31,A191,1
A14,24,4151,A93,35,A191,1
A14,15,1213,A93,47,A192,1
A11,47,10722,A92,35,A192,1
A11,18,1940,A93,36,A192,1
A14,22,1283,A92,25,A191,1
A12,24,6967,A93,36,A192,1
A14,12,776,A94,28,A191,1
A11,24,3632,A92,22,A191,1
A14,21,1572,A92,36,A191,1
A14,30,2333,A93,30,A191,1
A12,36,7432,A92,54,A191,1
A14,11,7228,A93,39,A191,1
A12,9,3195,A92,33,A191,1
A11,11,3905,A93,36,A191,1
A11,24,2325,A93,32,A191,1
A12,20,2629,A93,29,A192,1
A13,12,1480,A93,66,A191,1
A14,24,3777,A93,50,A192,1
A14,36,11054,A93,30,A192,1
A14,18,1453,A92,26,A191,1
A12,18,6204,A93,44,A192,1
A14,6,1543,A91,33,A191,1
A11,6,1957,A92,31,A191,1
A12,48,8487,A92,24,A191,1
A11,24,1747,A93,24,A191,1
A12,13,882,A93,23,A191,1
A12,9,790,A92,66,A191,1
A14,24,2684,A93,35,A191,1
A14,12,707,A93,30,A191,1
A14,24,1393,A93,31,A192,1
A14,12,1495,A93,38,A191,1
A14,24,3972,A92,25,A192,1
A14,24,7814,A93,38,A192,1
A14,24,937,A94,27,A191,1
A12,10,7308,A93,70,A192,1
A14,24,1311,A94,26,A192,1
A14,24,1940,A93,60,A192,1
A12,12,3017,A92,34,A191,1
A13,10,3949,A93,37,A191,1
A14,12,717,A93,52,A191,1
A14,10,1924,A93,38,A192,1
A12,12,958,A93,47,A191,1
A14,4,3380,A92,37,A191,1
A11,12,1526,A93,66,A191,1
A12,36,2862,A93,30,A191,1
A12,24,7758,A92,29,A191,1
A14,12,1240,A92,38,A192,1
A13,36,3913,A93,23,A192,1
A12,36,3711,A94,27,A191,1
A13,24,1258,A92,57,A191,1
A12,26,7966,A93,30,A191,1
A12,21,2353,A91,47,A191,1
A11,12,3590,A93,29,A191,1
A14,30,4530,A92,26,A192,1
A14,12,1412,A92,29,A192,1
A14,39,2569,A93,24,A191,1
A14,24,2679,A92,29,A192,1
A12,6,753,A92,64,A191,1
A14,12,618,A93,56,A191,1
A14,15,5324,A92,35,A191,1
A14,36,3079,A93,36,A191,1
A11,12,1657,A93,27,A191,1
A14,9,3577,A93,26,A191,1
A12,24,2825,A93,34,A192,1
A11,9,1288,A93,48,A191,1
A14,12,640,A91,49,A191,1
A12,18,5866,A93,30,A192,1
A14,24,3062,A93,32,A192,1
A12,6,368,A93,38,A191,1
A12,7,2576,A93,35,A191,1
A12,48,12204,A93,48,A192,1
A11,15,1845,A92,46,A191,1
A14,6,1338,A91,62,A191,1
A14,6,1237,A92,27,A191,1
A11,6,1374,A93,36,A192,1
A14,24,1533,A92,38,A192,1
A11,36,5371,A93,28,A191,1
A14,12,763,A92,26,A192,1
A14,12,1255,A93,61,A191,1
A12,30,2991,A92,25,A191,1
A11,13,1797,A93,28,A191,1
A14,36,10875,A93,45,A192,1
A12,18,1913,A94,36,A192,1
A14,36,5711,A93,38,A192,1
A11,18,2249,A93,30,A192,1
A12,24,4736,A92,25,A191,2
A11,18,7511,A93,51,A192,2
A12,24,2064,A92,34,A192,2
A12,12,1295,A92,25,A191,2
A11,12,727,A94,33,A192,2
A12,15,1778,A92,26,A191,2
A11,12,2579,A93,33,A191,2
A12,9,1501,A92,34,A192,2
A12,36,3804,A92,42,A192,2
A11,48,3051,A93,54,A191,2
A11,48,7119,A93,53,A191,2
A12,36,9034,A93,29,A192,2
A11,24,3234,A92,23,A192,2
A12,48,6416,A92,59,A191,2
A12,12,1331,A93,22,A191,2
A12,24,4057,A91,43,A192,2
A11,21,1835,A92,25,A192,2
A12,12,888,A93,41,A191,2
A12,36,2384,A93,33,A191,2
A12,48,9960,A92,26,A192,2
A12,24,1935,A91,31,A192,2
A14,36,7855,A92,25,A192,2
A14,6,4611,A92,32,A191,2
A11,18,1216,A92,23,A192,2
A11,18,1442,A93,32,A191,2
A11,36,6229,A92,23,A192,2
A11,24,1371,A92,25,A191,2
A12,30,4280,A92,26,A191,2
A11,18,2039,A92,20,A191,2
A12,6,1209,A93,47,A192,2
A12,48,3060,A93,28,A191,2
A11,6,14896,A93,68,A192,2
A12,24,11938,A93,39,A192,2
A11,12,3386,A93,35,A192,2
A12,15,6850,A93,34,A192,2
A11,30,11998,A91,34,A192,2
A11,12,2149,A91,29,A191,2
A11,24,1546,A93,24,A191,2
A14,18,4165,A93,36,A191,2
A11,9,1422,A93,27,A192,2
A11,33,4281,A92,23,A191,2
A12,18,1056,A93,30,A191,2
A14,18,6458,A93,39,A192,2
A12,24,12579,A92,44,A192,2
A11,12,709,A93,57,A191,2
A14,12,797,A92,33,A191,2
A11,36,2712,A93,41,A191,2
A12,30,8386,A93,49,A191,2
A11,16,2625,A93,43,A192,2
A12,48,3844,A93,34,A191,2
A12,48,10961,A93,27,A192,2
A12,15,2631,A92,28,A192,2
A12,9,1437,A93,29,A191,2
A11,24,2996,A94,20,A191,2
A11,24,2303,A93,45,A191,2
A11,24,1358,A93,40,A192,2
A11,12,1228,A92,24,A191,2
A12,48,5096,A92,30,A192,2
A12,24,2039,A94,22,A192,2
A11,42,3965,A93,34,A191,2
A11,12,697,A93,46,A192,2
A14,36,3349,A92,28,A192,2
A11,48,6143,A92,58,A191,2
A11,18,4153,A93,42,A191,2
A12,48,14421,A93,25,A192,2
A12,60,14782,A92,60,A192,2
A12,54,15945,A93,58,A192,2
A12,12,1223,A91,46,A191,2
A14,18,1808,A92,22,A191,2
A11,12,674,A94,20,A191,2
A14,12,1386,A92,26,A191,2
A13,24,947,A93,38,A191,2
A14,12,1123,A92,29,A191,2
A11,24,3123,A92,27,A191,2
A13,10,1240,A92,48,A191,2
A11,12,6199,A93,28,A192,2
A13,15,1271,A93,39,A192,2
A14,36,4463,A93,26,A192,2
A12,24,1246,A93,23,A191,2
A12,15,1264,A94,25,A191,2
A12,24,4113,A92,28,A191,2
A12,30,1919,A93,30,A191,2
A11,36,9271,A93,24,A192,2
A12,48,5951,A92,22,A191,2
A11,6,3384,A91,44,A192,2
A11,12,4843,A93,43,A192,2
A14,18,1943,A92,23,A191,2
A12,48,6560,A93,24,A191,2
A12,36,4455,A91,30,A192,2
A14,24,2538,A93,47,A191,2
A12,27,8318,A92,42,A192,2
A12,18,1924,A92,27,A191,2
A11,48,10297,A93,39,A192,2
A12,12,2762,A92,25,A192,2
A11,12,1108,A93,28,A191,2
A12,12,1922,A93,37,A191,2
A13,30,1908,A93,66,A192,2
A12,18,12976,A92,38,A192,2
A14,36,7980,A93,27,A192,2
A12,45,3031,A93,21,A191,2
A11,15,1275,A92,24,A191,2
A11,9,1366,A92,22,A191,2
A14,21,12680,A93,30,A192,2
A11,36,1842,A92,34,A192,2
A14,18,1533,A94,43,A191,2
A11,36,8065,A92,25,A192,2
A11,36,2145,A93,24,A192,2
A12,9,1136,A93,32,A191,2
A11,42,4370,A93,26,A192,2
A12,60,6288,A93,42,A191,2
A11,12,795,A92,53,A191,2
A14,12,2292,A93,42,A192,2
A12,12,6468,A93,52,A192,2
A14,48,11590,A92,24,A191,2
A12,30,2150,A92,24,A191,2
A11,12,900,A94,23,A191,2
A11,36,2302,A91,31,A191,2
A11,18,1882,A92,25,A191,2
A11,24,1024,A94,48,A191,2
A11,18,2124,A92,24,A191,2
A14,18,2169,A94,28,A192,2
A11,18,3114,A92,26,A191,2
A12,18,2278,A92,28,A191,2
A11,36,5179,A93,29,A191,2
A12,21,1188,A92,39,A191,2
A13,21,2319,A91,33,A191,2
A12,18,1928,A93,31,A191,2
A14,27,2570,A92,21,A191,2
A14,18,1530,A93,32,A191,2
A13,12,609,A92,26,A191,2
A11,12,759,A93,26,A191,2
A13,12,939,A94,28,A192,2
A11,24,1442,A92,23,A191,2
A11,48,7685,A92,37,A191,2
A11,36,9629,A93,24,A192,2
A11,60,6836,A93,63,A192,2
A12,12,766,A93,66,A191,2
A11,12,7865,A93,53,A192,2
