@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute ResidenceSince numeric
@attribute Customer {1,2}

@data
A14,12,A93,1,1
A14,21,A93,4,1
A14,12,A93,2,1
A14,15,A93,4,1
A13,12,A92,4,1
A12,6,A94,3,1
A14,15,A93,4,1
A11,30,A91,2,1
A11,24,A93,4,1
A12,18,A94,3,1
A14,21,A93,2,1
A12,24,A92,4,1
A11,18,A92,4,1
A14,24,A93,2,1
A11,30,A92,4,1
A11,21,A92,4,1
A14,24,A93,4,1
A14,12,A92,2,1
A11,24,A93,1,1
A11,21,A92,2,1
A14,24,A92,2,1
A14,24,A93,1,1
A11,12,A91,1,1
A14,15,A92,4,1
A14,28,A93,2,1
A14,21,A92,4,1
A14,12,A92,2,1
A14,24,A93,4,1
A14,24,A92,4,1
A11,24,A94,2,1
A13,12,A93,1,1
A14,12,A92,2,1
A12,18,A93,1,1
A14,24,A93,4,1
A12,24,A93,3,1
A14,36,A93,2,1
A12,18,A93,4,1
A13,21,A92,1,1
A14,12,A93,4,1
A14,18,A94,3,1
A11,24,A92,2,1
A14,12,A93,3,1
A13,6,A92,1,1
A14,12,A92,2,1
A14,36,A93,4,1
A14,10,A92,4,1
A12,10,A93,4,1
A14,24,A94,3,1
A11,48,A93,1,1
A14,21,A93,2,1
A12,9,A93,2,1
A14,30,A93,4,1
A14,9,A93,1,1
A14,12,A92,4,1
A13,24,A93,2,1
A14,10,A92,3,1
A12,12,A93,3,1
A11,24,A93,2,1
A12,6,A93,1,1
A14,12,A93,3,1
A12,36,A92,2,1
A11,10,A93,3,1
A12,30,A92,1,1
A14,24,A92,4,1
A14,24,A93,3,1
A14,6,A93,3,1
A14,15,A93,3,1
A11,9,A93,2,1
A14,48,A93,3,1
A14,48,A93,1,1
A14,24,A93,1,1
A12,9,A93,4,1
A12,26,A93,3,1
A14,4,A92,3,1
A14,18,A92,4,1
A14,24,A93,3,1
A14,48,A93,1,1
A12,18,A93,4,1
A14,21,A93,3,1
A12,36,A93,4,1
A14,24,A92,3,1
A11,12,A93,2,1
A14,24,A92,4,1
A12,15,A92,2,1
A11,24,A92,4,1
A12,11,A92,4,1
A14,12,A93,4,1
A12,6,A94,3,1
A11,15,A92,4,1
A14,18,A92,1,1
A14,24,A94,2,1
A12,24,A92,4,1
A14,24,A93,4,1
A14,27,A93,4,1
A12,27,A92,1,1
A12,12,A92,1,1
A14,28,A93,4,1
A14,12,A93,4,1
A11,39,A93,4,1
A14,18,A91,2,1
A14,24,A91,4,1
A14,6,A94,4,1
A11,9,A93,2,1
A12,18,A92,4,1
A14,18,A92,2,1
A11,14,A93,4,1
A14,18,A93,3,1
A14,15,A92,4,1
A11,24,A92,4,1
A14,11,A92,4,1
A14,24,A92,2,1
A13,36,A93,2,1
A14,36,A93,4,1
A14,12,A93,4,1
A14,12,A92,3,1
A14,15,A93,2,1
A12,12,A92,1,1
A12,36,A93,4,1
A14,12,A91,4,1
A12,20,A93,4,1
A14,6,A92,1,1
A11,18,A92,4,1
A12,12,A93,2,1
A12,12,A92,4,1
A12,12,A91,3,1
A11,6,A93,4,1
A11,18,A92,1,1
A12,30,A93,4,1
A14,18,A92,3,1
A14,36,A92,4,1
A14,36,A93,4,1
A14,15,A94,3,1
A14,6,A93,2,1
A13,12,A93,3,1
A14,15,A92,2,1
A14,24,A93,1,1
A13,4,A93,2,1
A14,12,A93,4,1
A14,10,A94,1,1
A11,15,A92,4,1
A12,18,A92,4,1
A14,18,A93,4,1
A12,18,A94,2,1
A11,24,A93,1,1
A12,30,A92,4,1
A14,42,A94,4,1
A14,12,A92,4,1
A12,48,A93,4,1
A12,60,A93,2,1
A14,24,A93,3,1
A14,9,A93,4,1
A11,12,A93,2,1
A13,12,A92,2,1
A14,9,A92,4,1
A14,6,A93,4,1
A14,18,A93,2,1
A14,9,A93,2,1
A14,6,A92,4,1
A14,10,A93,4,1
A14,6,A93,4,1
A13,42,A93,4,1
A14,12,A93,2,1
A13,12,A92,1,1
A14,12,A93,4,1
A12,39,A93,3,1
A11,9,A93,4,1
A14,24,A91,2,1
A13,24,A93,2,1
A13,36,A93,1,1
A14,24,A93,4,1
A11,8,A93,4,1
A12,24,A93,4,1
A14,9,A93,2,1
A12,12,A94,1,1
A14,12,A93,4,1
A14,24,A92,1,1
A11,24,A91,2,1
A12,18,A94,3,1
A14,15,A92,4,1
A12,18,A93,2,1
A11,12,A93,3,1
A14,11,A92,4,1
A12,24,A92,4,1
A11,15,A94,2,1
A11,24,A93,3,1
A14,24,A94,3,1
A12,24,A93,3,1
A14,12,A93,4,1
A14,24,A93,2,1
A14,6,A92,2,1
A11,12,A92,4,1
A11,12,A92,1,1
A12,9,A93,4,1
A13,6,A94,2,1
A12,30,A93,2,1
A14,6,A93,2,1
A14,6,A93,2,1
A13,24,A91,4,1
A12,15,A93,4,1
A11,24,A93,4,1
A11,6,A92,2,1
A14,18,A93,3,1
A14,12,A91,2,1
A14,12,A93,4,1
A14,24,A94,2,1
A14,15,A93,4,1
A12,15,A93,2,1
A14,27,A93,2,1
A14,6,A93,2,1
A11,6,A92,4,1
A12,6,A94,3,1
A12,6,A93,4,1
A14,30,A93,3,1
A14,36,A93,2,1
A14,21,A92,4,1
A12,9,A93,1,1
A14,12,A94,2,1
A13,18,A92,2,1
A11,30,A93,3,1
A14,12,A92,4,1
A11,24,A92,4,1
A14,9,A93,3,1
A11,9,A93,4,1
A12,36,A92,1,1
A12,18,A92,4,1
A14,12,A93,3,1
A14,15,A93,2,1
A14,30,A92,2,1
A12,18,A94,2,1
A11,36,A93,2,1
A14,6,A91,2,1
A12,12,A93,3,1
A14,18,A93,1,1
A14,22,A93,4,1
A14,42,A93,4,1
A14,24,A93,2,1
A12,12,A93,4,1
A14,36,A92,4,1
A11,21,A92,4,1
A12,24,A92,4,1
A14,12,A93,1,1
A11,6,A93,4,1
A14,24,A93,4,1
A14,18,A93,2,1
A14,30,A92,4,1
A14,9,A92,2,1
A12,60,A92,4,2
A12,12,A92,4,2
A14,12,A93,4,2
A11,36,A93,2,2
A12,6,A92,2,2
A12,36,A93,2,2
A12,9,A92,1,2
A11,24,A93,2,2
A11,18,A92,3,2
A11,18,A92,4,2
A11,12,A93,3,2
A11,18,A92,2,2
A14,18,A93,2,2
A12,12,A92,1,2
A11,12,A91,1,2
A12,24,A92,2,2
A12,18,A93,2,2
A12,15,A94,2,2
A11,9,A92,4,2
A14,12,A92,3,2
A11,24,A92,2,2
A12,24,A91,4,2
A12,18,A91,3,2
A11,18,A92,4,2
A11,12,A93,4,2
A14,12,A92,2,2
A11,36,A93,4,2
A14,36,A92,2,2
A11,20,A94,2,2
A12,30,A92,4,2
A11,48,A93,4,2
A11,36,A93,1,2
A11,24,A92,2,2
A11,24,A94,4,2
A12,12,A93,1,2
A12,9,A92,3,2
A11,24,A93,3,2
A14,36,A92,4,2
A12,48,A93,2,2
A11,36,A91,4,2
A11,24,A93,2,2
A11,24,A92,1,2
A11,48,A92,2,2
A11,18,A92,4,2
A12,30,A92,4,2
A12,6,A93,4,2
A11,24,A93,4,2
A12,60,A93,2,2
A14,36,A92,2,2
A14,18,A92,1,2
A11,24,A93,2,2
A12,36,A93,1,2
A12,36,A93,4,2
A11,9,A93,2,2
A13,9,A92,2,2
A12,18,A92,2,2
A12,15,A93,2,2
A11,30,A92,4,2
A14,36,A91,1,2
A12,9,A92,2,2
A11,18,A94,3,2
A14,18,A92,2,2
A14,48,A93,2,2
A11,18,A93,3,2
A14,10,A93,4,2
A11,24,A93,2,2
A11,24,A93,4,2
A14,48,A93,2,2
A12,30,A93,2,2
A14,24,A93,3,2
A14,18,A94,2,2
A12,27,A93,2,2
A11,33,A92,4,2
A12,72,A94,2,2
A14,36,A93,2,2
A11,16,A93,4,2
A12,12,A92,2,2
A14,24,A92,1,2
A12,48,A92,2,2
A12,39,A93,2,2
A11,45,A93,4,2
A12,9,A92,2,2
A12,36,A91,4,2
A12,48,A93,4,2
A12,36,A93,4,2
A11,12,A93,4,2
A11,9,A93,3,2
A11,24,A91,3,2
A11,18,A93,2,2
A11,60,A93,4,2
A13,9,A93,2,2
A14,18,A93,4,2
A12,27,A93,2,2
A12,12,A94,1,2
A14,18,A92,4,2
A11,30,A91,4,2
A11,24,A92,4,2
A14,21,A92,4,2
A14,18,A93,4,2
A12,8,A92,4,2
A12,30,A93,3,2
A11,12,A92,3,2
A12,36,A93,4,2
A11,36,A92,2,2
A11,12,A94,2,2
A12,24,A92,2,2
A11,24,A93,4,2
A12,9,A93,3,2
A12,21,A92,4,2
A11,36,A93,4,2
A12,24,A94,1,2
A14,24,A93,4,2
A11,18,A93,3,2
A12,9,A92,4,2
A11,18,A92,4,2
A11,18,A92,4,2
A11,18,A92,2,2
A11,15,A92,2,2
A13,30,A93,4,2
A12,12,A93,3,2
A14,36,A92,2,2
A12,60,A92,2,2
A11,24,A92,4,2
A12,21,A91,2,2
A14,9,A93,2,2
A14,21,A93,4,2
A11,12,A92,2,2
A12,24,A92,4,2
A12,24,A92,4,2
A11,36,A93,3,2
A14,36,A93,4,2
A11,48,A93,4,2
A13,10,A92,4,2
A11,15,A93,3,2
A12,36,A93,4,2
A12,24,A92,4,2
A11,18,A93,1,2
A11,12,A93,3,2
A12,48,A92,2,2
A12,48,A92,2,2
A14,15,A93,2,2
A12,24,A93,3,2
A12,18,A93,4,2
A12,48,A93,2,2
A11,6,A92,4,2
A14,36,A93,4,2
A11,36,A92,4,2
A12,24,A93,3,2
A12,48,A92,3,2
A12,36,A94,4,2
A12,12,A92,3,2
A12,48,A93,4,2
A11,18,A92,1,2
A13,12,A94,2,2
A13,36,A93,2,2
A14,12,A92,4,2
A11,36,A93,2,2
A14,48,A92,4,2
A11,36,A93,4,2
A12,30,A94,2,2
A13,24,A93,3,2
A12,54,A93,4,2
A11,24,A92,4,2
A12,24,A91,3,2
A14,6,A92,4,2
A14,18,A94,1,2
A11,60,A93,4,2
A11,48,A92,4,2
A11,12,A92,4,2
A11,12,A93,4,2
A11,24,A93,4,2
A12,18,A93,3,2
A12,12,A93,2,2
A11,6,A92,4,2
A13,15,A92,3,2
A11,24,A92,2,2
A11,27,A93,4,2
A12,36,A92,4,2
A11,12,A93,2,2
A12,48,A93,2,2
A12,48,A93,2,2
A12,12,A93,4,2
A11,18,A93,4,2
A11,48,A94,1,2
A11,12,A92,4,2
A12,48,A93,4,2
A12,24,A92,4,2
A12,45,A93,4,2
A11,12,A94,4,2
A11,48,A93,4,2
A14,12,A93,4,2
A11,42,A93,3,2
A11,12,A92,2,2
A11,6,A91,4,2
A11,24,A91,1,2
A14,30,A92,1,2
A13,12,A92,1,2
A11,6,A93,4,2
A12,24,A93,2,2
A11,40,A93,3,2
A12,36,A92,1,2
A11,12,A91,3,2
A12,24,A93,4,2
A12,15,A92,4,2
A11,21,A92,2,2
A12,36,A93,4,2
A11,36,A93,2,2
A12,12,A91,1,2
A12,12,A94,1,2
A14,18,A93,2,2
A12,36,A93,1,2
A12,9,A93,3,2
A13,18,A93,2,2
A12,12,A94,3,2
A11,30,A91,1,2
A11,48,A93,4,2
A11,24,A91,1,2
A11,12,A92,1,2
A11,24,A93,1,2
A12,18,A94,2,2
A12,12,A92,2,2
A11,24,A93,4,2
A11,36,A93,2,2
A13,15,A93,4,2
A11,18,A93,4,2
A11,24,A92,4,2
A12,6,A93,2,2
A11,12,A93,2,2
A12,15,A94,3,2
A11,12,A93,1,2
A11,12,A93,3,2
A14,24,A93,4,2
A12,24,A93,4,2
A11,12,A92,4,2
A12,12,A93,2,2
A11,30,A93,4,2
A11,14,A91,4,2
A12,18,A92,3,2
A11,24,A92,4,2
A11,12,A94,1,2
A11,28,A93,2,2
A11,21,A93,2,2
A12,60,A93,4,2
A11,48,A92,4,2
A11,18,A92,4,2
A11,24,A93,4,2
A11,18,A94,3,2
A12,18,A92,3,2
A11,24,A92,2,2
A13,21,A91,1,2
A12,24,A92,4,2
A14,9,A92,2,2
A11,12,A93,4,2
A11,45,A93,4,2
A14,48,A91,2,2
A11,48,A93,4,2
A11,12,A93,4,2
A14,12,A93,2,2
A12,24,A94,2,2
A14,24,A93,2,2
A12,36,A91,2,2
A13,18,A93,1,2
A11,48,A92,4,2
A11,18,A93,4,2
A11,24,A93,4,2
A12,12,A93,1,2
A14,24,A93,2,2
A12,30,A94,2,2
A11,18,A92,2,2
A11,24,A92,4,2
