@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute NCredits numeric
@attribute Customer {1,2}

@data
A12,8,760,1,1
A11,8,731,2,1
A13,15,2687,1,1
A12,12,983,1,1
A13,24,5152,1,1
A14,36,3835,1,1
A14,15,1386,1,1
A12,18,1295,2,1
A14,15,1360,2,1
A11,42,3394,2,1
A11,39,14179,2,1
A11,18,4380,1,1
A11,21,3599,1,1
A13,10,1275,1,1
A11,15,1433,2,1
A14,36,5742,2,1
A12,48,12169,1,1
A14,12,1963,2,1
A11,9,1364,1,1
A12,18,6361,1,1
A11,24,6579,1,1
A12,12,625,1,1
A14,30,4272,2,1
A13,24,3749,1,1
A12,24,6403,1,1
A11,6,3676,3,1
A14,12,1258,2,1
A12,21,3976,1,1
A11,12,3590,1,1
A14,12,1934,2,1
A12,27,2528,1,1
A14,24,1278,1,1
A12,36,6948,1,1
A14,10,1364,1,1
A13,24,1377,1,1
A14,4,1544,3,1
A12,18,6260,1,1
A14,24,1516,2,1
A14,18,1098,2,1
A13,12,1474,1,1
A12,9,458,1,1
A12,6,1068,1,1
A11,15,806,1,1
A14,54,9436,1,1
A14,9,1244,2,1
A14,12,3447,1,1
A12,12,1092,2,1
A12,12,2002,1,1
A14,24,2611,2,1
A14,6,1543,1,1
A12,12,1567,1,1
A14,18,1800,2,1
A11,6,1374,1,1
A12,48,6681,1,1
A13,21,2923,1,1
A13,12,2247,2,1
A11,6,860,2,1
A12,13,2101,1,1
A14,9,2753,1,1
A11,24,2924,1,1
A14,12,2073,1,1
A14,6,1382,2,1
A14,27,5190,4,1
A14,18,1028,2,1
A14,24,4526,1,1
A14,9,3074,2,1
A12,24,3758,1,1
A11,18,5302,3,1
A11,6,2647,1,1
A14,10,1418,1,1
A14,24,2872,1,1
A14,10,2901,1,1
A11,12,1620,1,1
A12,36,2337,1,1
A14,12,707,2,1
A11,24,2828,1,1
A12,15,1308,2,1
A13,18,1961,1,1
A12,6,1050,2,1
A11,21,2606,1,1
A14,18,1950,2,1
A12,20,2629,2,1
A14,36,9566,2,1
A12,24,2825,2,1
A14,39,8588,1,1
A12,8,1414,1,1
A14,18,1126,1,1
A13,6,683,1,1
A14,10,1287,1,1
A11,12,385,4,1
A12,39,11760,1,1
A12,15,1537,2,1
A14,9,2507,1,1
A12,24,1201,1,1
A14,60,6527,1,1
A14,48,7238,2,1
A14,24,3062,1,1
A12,26,7966,2,1
A14,24,2679,1,1
A12,30,2503,2,1
A11,20,2212,1,1
A12,7,2415,1,1
A12,18,7374,2,1
A11,11,3939,2,1
A11,12,1200,1,1
A12,48,8487,1,1
A12,48,5381,1,1
A13,10,3949,1,1
A14,24,2197,2,1
A12,12,1410,1,1
A14,15,4657,1,1
A14,21,1572,1,1
A14,18,2320,2,1
A14,24,5511,1,1
A11,15,975,2,1
A11,10,2241,2,1
A14,12,3565,2,1
A11,24,3632,1,1
A14,24,4042,2,1
A14,36,4686,1,1
A14,36,6614,2,1
A11,24,2964,1,1
A14,36,7409,2,1
A14,15,1471,2,1
A14,12,1495,2,1
A14,15,1532,1,1
A14,24,5804,2,1
A13,15,1905,1,1
A12,12,3124,2,1
A14,24,1552,1,1
A14,15,3812,1,1
A14,36,9055,1,1
A13,12,3399,1,1
A12,24,3512,2,1
A11,36,5493,1,1
A11,30,6187,2,1
A14,4,1503,2,1
A12,9,276,1,1
A14,9,1313,1,1
A12,9,1391,1,1
A14,18,1505,1,1
A12,11,1577,1,1
A14,12,3077,1,1
A14,9,2697,1,1
A14,12,618,1,1
A11,48,7476,1,1
A14,6,1338,1,1
A11,6,1361,1,1
A12,24,1967,1,1
A14,24,4151,2,1
A13,15,2360,1,1
A12,36,9857,2,1
A12,24,2333,1,1
A11,18,3509,1,1
A14,12,1076,1,1
A14,28,2743,2,1
A12,18,3244,2,1
A14,24,2463,2,1
A14,4,601,1,1
A14,12,1655,2,1
A14,21,2476,1,1
A11,12,1893,1,1
A11,18,2659,1,1
A14,12,1262,1,1
A14,30,5954,1,1
A11,12,701,1,1
A12,24,1965,2,1
A14,60,10366,1,1
A12,18,2622,1,1
A13,42,6289,2,1
A14,12,1185,2,1
A13,6,1323,2,1
A13,6,709,1,1
A14,15,3029,1,1
A11,21,571,2,1
A12,36,3990,1,1
A14,5,3448,1,1
A14,15,2708,2,1
A14,48,12749,1,1
A14,6,1538,1,1
A14,21,3275,1,1
A12,21,2353,2,1
A14,24,1249,1,1
A14,24,2670,1,1
A13,12,409,2,1
A14,12,1493,1,1
A14,12,1413,1,1
A14,30,4811,1,1
A12,12,3617,3,1
A14,36,2613,2,1
A14,24,3235,1,1
A12,6,753,1,1
A14,15,5324,1,1
A12,24,4351,1,1
A14,12,2445,1,1
A12,12,1318,1,1
A12,48,7582,1,1
A12,12,3573,1,1
A12,18,2427,2,1
A14,24,2255,1,1
A14,6,700,2,1
A14,36,2299,1,1
A12,48,12204,1,1
A14,24,2223,2,1
A14,24,1469,1,1
A11,12,339,1,1
A14,60,13756,1,1
A11,30,4583,2,1
A14,36,5711,2,1
A12,12,1155,2,1
A14,6,660,1,1
A14,24,2284,1,1
A14,12,1412,2,1
A13,30,3017,1,1
A14,24,3777,1,1
A11,6,609,2,1
A14,6,250,2,1
A12,9,1082,2,1
A14,10,2848,1,1
A12,30,1715,1,1
A12,24,1553,2,1
A14,60,15653,2,1
A14,21,2993,2,1
A14,18,3422,3,1
A14,15,3368,2,1
A12,9,1549,1,1
A14,12,2012,1,1
A12,9,2118,1,1
A11,18,1880,2,1
A14,12,926,1,1
A11,18,1049,1,1
A11,15,2511,1,1
A14,12,1240,2,1
A11,30,3622,2,1
A14,48,2751,2,1
A14,10,1231,2,1
A12,20,6148,2,1
A14,18,1817,2,1
A14,6,672,1,1
A11,24,2483,1,1
A14,12,717,3,1
A14,15,1459,1,1
A14,6,1238,1,1
A14,12,2279,1,1
A14,11,2142,1,1
A14,6,1740,2,1
A14,12,1884,1,1
A11,24,3660,1,1
A11,12,3651,1,1
A13,6,1047,1,1
A14,15,1300,1,1
A14,12,4675,1,1
A14,6,1221,2,1
A14,15,1213,1,1
A14,15,1262,2,1
A11,30,3857,1,1
A11,24,4169,1,1
A14,12,2859,1,1
A14,15,5045,1,1
A12,45,4576,1,1
A12,12,958,2,1
A14,24,2346,2,1
A14,24,3863,1,1
A13,12,3016,1,1
A13,15,392,1,1
A14,27,8613,2,1
A12,18,1887,2,1
A14,15,1316,2,1
A14,12,640,1,1
A11,10,1038,2,1
A14,24,2058,2,1
A11,6,1203,1,1
A14,10,894,1,1
A14,18,1169,2,1
A14,24,7393,1,1
A14,15,960,2,1
A14,21,1591,2,1
A12,42,5954,2,1
A12,24,3878,1,1
A13,24,3617,2,1
A11,15,1721,1,1
A14,12,3059,1,1
A11,24,6568,1,1
A14,12,1574,1,1
A14,6,932,1,1
A11,15,3643,2,1
A14,10,1546,1,1
A14,24,1311,1,1
A14,12,1935,3,1
A12,9,1154,3,1
A11,24,3021,1,1
A14,12,1503,1,1
A11,10,2132,2,1
A11,36,3249,1,1
A11,6,1169,2,1
A11,24,6615,2,1
A14,36,10477,2,1
A12,18,866,1,1
A14,13,1409,1,1
A14,21,3160,1,1
A14,15,1520,1,1
A11,36,3620,1,1
A14,24,717,2,1
A14,15,2186,1,1
A14,12,1592,1,1
A14,33,2764,2,1
A14,12,2759,2,1
A13,24,1258,1,1
A11,24,2910,1,1
A11,15,1845,1,1
A14,6,2080,1,1
A11,20,4272,2,1
A11,36,3959,1,1
A11,21,1602,2,1
A11,6,338,2,1
A14,24,2684,2,1
A14,36,3595,1,1
A12,6,368,1,1
A12,36,7432,1,1
A12,60,7418,1,1
A11,15,1403,1,1
A11,11,3905,2,1
A12,7,2329,1,1
A11,6,4716,2,1
A11,6,343,1,1
A11,6,662,1,1
A12,6,454,1,1
A14,36,3535,2,1
A12,20,6468,1,1
A11,18,8471,2,1
A11,12,2121,2,1
A13,9,1126,1,1
A13,24,2892,1,1
A13,36,4473,1,1
A14,24,2375,2,1
A11,12,1409,1,1
A11,24,2812,1,1
A12,6,590,1,1
A12,12,1007,1,1
A14,12,2171,1,1
A14,30,6742,2,1
A14,12,2133,1,1
A12,15,1514,1,1
A13,42,4796,1,1
A14,24,1474,1,1
A11,18,1940,1,1
A12,18,1239,1,1
A14,24,1585,2,1
A14,15,1569,1,1
A14,36,7678,2,1
A11,12,708,1,1
A14,12,804,1,1
A11,12,2578,1,1
A11,24,7721,1,1
A11,18,1936,2,1
A14,30,2831,1,1
A14,12,1542,1,1
A12,30,3496,1,1
A14,24,5507,2,1
A13,10,1347,2,1
A14,30,2333,1,1
A12,12,754,2,1
A12,12,1037,1,1
A13,12,1330,1,1
A12,7,2576,1,1
A12,12,1103,2,1
A12,24,4712,2,1
A14,12,976,2,1
A11,18,3650,1,1
A11,24,6419,2,1
A12,13,882,2,1
A11,24,1231,2,1
A14,24,2022,1,1
A14,18,1568,1,1
A12,18,1941,1,1
A14,36,8133,1,1
A14,6,1236,1,1
A14,20,3485,2,1
A14,18,2404,2,1
A12,9,2030,1,1
A14,21,2288,1,1
A12,48,3979,2,1
A14,12,2390,1,1
A12,48,8358,2,1
A11,6,428,1,1
A11,30,8072,3,1
A14,18,6070,2,1
A14,9,936,2,1
A11,15,1478,2,1
A11,12,1680,1,1
A14,9,1449,2,1
A14,24,2578,1,1
A14,18,1582,2,1
A14,9,1388,1,1
A11,12,1262,1,1
A14,24,1940,1,1
A12,18,2899,1,1
A14,27,4526,2,1
A14,10,1597,1,1
A12,9,1206,1,1
A14,24,2603,1,1
A14,24,2835,1,1
A14,6,3518,1,1
A13,18,3049,1,1
A14,36,4454,2,1
A14,24,1533,1,1
A14,30,5771,2,1
A14,24,937,2,1
A11,12,1498,1,1
A14,24,6314,2,1
A14,36,11054,1,1
A12,6,2063,1,1
A14,30,7596,2,1
A12,12,585,2,1
A14,18,2238,2,1
A13,12,1297,1,1
A11,8,3398,2,1
A14,21,2782,1,1
A12,18,1795,2,1
A14,30,4530,1,1
A11,12,2171,2,1
A11,6,1374,1,1
A11,14,3973,1,1
A14,11,1154,3,1
A12,16,1175,3,1
A12,9,3195,1,1
A12,12,7472,1,1
A11,9,1288,2,1
A14,30,3077,2,1
A14,9,3832,1,1
A14,10,727,1,1
A12,30,4221,2,1
A14,24,2028,2,1
A14,18,1473,1,1
A14,36,2394,1,1
A12,36,4795,1,1
A14,48,8858,2,1
A14,36,6304,2,1
A14,6,1595,1,1
A11,8,1164,2,1
A14,6,6761,2,1
A14,24,1258,1,1
A14,12,1291,2,1
A11,6,666,2,1
A12,36,5800,2,1
A14,6,1766,1,1
A14,6,1237,2,1
A11,21,3763,1,1
A11,36,15857,1,1
A14,12,1402,1,1
A14,18,3850,2,1
A11,30,2522,1,1
A14,12,1255,2,1
A13,24,1275,2,1
A13,36,3913,1,1
A11,6,1872,3,1
A14,15,874,1,1
A14,6,783,1,1
A14,12,2331,1,1
A14,24,3105,2,1
A13,6,1299,3,1
A12,10,1048,1,1
A14,4,1455,3,1
A14,24,2032,2,1
A14,24,9277,1,1
A14,24,1376,1,1
A11,12,1168,1,1
A14,18,629,2,1
A13,24,3148,2,1
A12,18,3612,1,1
A14,24,999,2,1
A11,9,2799,2,1
A14,18,3229,1,1
A11,18,2249,1,1
A12,9,790,1,1
A14,9,1236,1,1
A11,12,2214,1,1
A12,12,1804,1,1
A14,24,6313,1,1
A12,18,2779,1,1
A12,24,11328,2,2
A14,18,1864,2,2
A14,24,8648,2,2
A12,24,2039,1,2
A11,12,6199,2,2
A11,24,1199,2,2
A11,18,750,1,2
A11,18,3190,1,2
A13,15,2327,1,2
A11,18,1216,1,2
A11,21,1647,2,2
A11,24,4817,1,2
A11,24,2439,1,2
A12,36,9034,1,2
A11,9,1366,1,2
A11,18,3114,1,2
A14,6,4611,1,2
A11,36,9629,2,2
A11,20,2235,2,2
A11,18,1882,2,2
A12,12,1223,2,2
A11,48,6758,1,2
A14,30,7485,1,2
A12,27,3915,1,2
A11,18,1217,1,2
A11,15,950,2,2
A13,9,745,1,2
A12,15,1778,2,2
A12,48,15672,1,2
A12,36,4455,2,2
A12,60,14027,1,2
A14,36,4463,2,2
A13,18,2864,1,2
A12,24,2064,1,2
A12,18,1056,2,2
A14,36,1819,1,2
A13,9,1337,2,2
A11,14,8978,1,2
A11,36,1977,1,2
A11,15,1275,1,2
A12,36,12612,1,2
A11,12,759,1,2
A14,21,5003,2,2
A12,15,6850,1,2
A12,18,2278,2,2
A14,24,2397,2,2
A12,30,4249,2,2
A11,36,8229,1,2
A11,24,1659,1,2
A12,18,1245,1,2
A12,12,2969,2,2
A12,12,1331,1,2
A12,45,3031,1,2
A11,12,727,1,2
A12,72,5595,1,2
A13,12,609,1,2
A11,6,1198,1,2
A12,6,931,1,2
A11,33,4281,2,2
A12,30,3441,1,2
A12,48,3844,1,2
A14,18,1808,1,2
A11,30,2406,1,2
A14,24,2538,2,2
A11,21,1835,2,2
A11,18,976,1,2
A12,12,836,1,2
A11,24,1371,1,2
A12,36,3804,1,2
A12,48,6224,1,2
A14,36,10974,2,2
A14,21,2580,1,2
A11,18,2039,1,2
A12,18,1928,2,2
A11,36,2302,1,2
A14,21,12680,1,2
A12,45,4746,2,2
A12,30,4280,2,2
A14,48,10127,1,2
A12,21,1188,1,2
A11,28,4006,1,2
A12,60,14782,2,2
A14,9,1980,2,2
A12,24,4241,3,2
A12,9,1136,2,2
A12,36,12389,1,2
A11,12,1372,1,2
A11,36,8335,1,2
A11,45,1845,1,2
A12,30,8386,1,2
A14,24,3621,2,2
A12,30,2150,1,2
A11,60,6836,2,2
A11,24,1282,1,2
A11,12,3386,1,2
A14,18,2169,1,2
A12,36,9398,1,2
A11,16,2625,1,2
A11,15,3959,1,2
A11,24,4110,2,2
A12,48,3060,2,2
A11,36,2145,2,2
A12,12,639,1,2
A11,6,448,1,2
A12,24,4057,1,2
A14,9,1478,1,2
A11,48,3931,1,2
A14,24,5943,2,2
A11,24,1207,1,2
A11,24,1442,2,2
A11,18,2124,2,2
A11,9,654,1,2
A14,15,4623,1,2
A12,9,959,1,2
A12,12,1484,1,2
A11,24,3234,1,2
A14,18,2775,2,2
A14,10,2210,1,2
A11,12,7865,1,2
A12,54,15945,1,2
A12,12,6468,1,2
A13,24,1344,2,2
A11,24,1546,1,2
A11,24,1193,2,2
A11,24,915,1,2
A14,36,7855,2,2
A12,12,766,1,2
A11,42,7174,1,2
A13,24,947,1,2
A12,24,1246,1,2
A11,18,3966,3,2
A11,12,1082,2,2
A11,12,709,1,2
A13,10,1240,1,2
A11,36,3446,1,2
A12,48,14421,1,2
A11,24,2996,1,2
A14,36,3349,1,2
A14,27,2570,1,2
A11,12,697,2,2
A12,24,11938,2,2
A12,48,5096,1,2
A12,48,10961,2,2
A12,12,1534,1,2
A12,60,7408,1,2
A14,18,6458,2,2
A11,18,1553,1,2
A11,48,6331,2,2
A12,12,2762,1,2
A12,9,5129,1,2
A14,18,1530,2,2
A12,12,888,1,2
A11,12,2246,2,2
A11,24,1024,1,2
A12,48,9960,1,2
A11,12,741,1,2
A12,48,6416,1,2
A11,24,3552,1,2
A13,12,939,3,2
A11,48,4308,1,2
A11,48,7763,1,2
A11,24,1285,1,2
A11,24,1987,1,2
A11,30,6350,1,2
A11,24,3123,1,2
A14,24,4591,3,2
A11,27,5293,2,2
A12,60,6288,1,2
A11,18,2462,1,2
A11,42,3965,1,2
A13,15,1271,2,2
A14,12,1386,1,2
A11,30,11998,1,2
A12,15,2631,2,2
A11,48,4605,2,2
A11,6,14896,1,2
A12,9,1670,1,2
A14,36,9572,2,2
A12,8,1237,1,2
A12,36,14318,1,2
A11,36,1842,1,2
A11,12,4843,2,2
A12,27,2520,2,2
A11,48,6999,2,2
A11,36,2712,1,2
A11,30,3108,1,2
A11,12,1108,2,2
A14,12,1123,1,2
A13,18,2100,1,2
A11,24,2359,1,2
A11,48,3051,1,2
A12,24,11560,2,2
A12,18,884,1,2
A12,18,1042,1,2
A12,30,1919,2,2
A14,18,4165,2,2
A13,21,2319,1,2
A12,24,4113,1,2
A12,36,2384,1,2
A14,48,11590,2,2
A12,24,3092,1,2
A12,24,2718,1,2
A12,48,18424,1,2
A11,9,1422,1,2
A11,12,684,1,2
A12,24,1355,1,2
A14,18,6761,2,2
A13,36,4210,1,2
A11,12,2149,1,2
A11,45,11816,2,2
A12,36,2671,1,2
A11,18,1190,3,2
A12,12,685,1,2
A12,6,433,1,2
A11,21,3414,2,2
A11,24,1333,2,2
A14,12,719,1,2
A11,24,2303,1,2
A12,48,5951,1,2
A12,15,802,1,2
A11,24,4870,2,2
A11,48,10297,3,2
A12,27,8318,2,2
A11,36,9271,1,2
A11,36,8065,2,2
A11,18,2600,2,2
A11,42,4370,2,2
A14,18,1943,1,2
A12,39,4933,2,2
A11,18,1131,1,2
A12,24,1935,2,2
A12,18,12976,1,2
A12,24,1216,2,2
A11,24,1358,1,2
A11,48,7685,1,2
A11,12,626,1,2
A11,12,1274,1,2
A11,36,6887,1,2
A12,9,1501,2,2
A12,18,1924,1,2
A12,21,2767,2,2
A12,30,5234,2,2
A13,30,1908,1,2
A12,6,14555,1,2
A11,40,5998,1,2
A12,15,1512,2,2
A14,12,797,1,2
A14,12,1555,2,2
A12,24,12579,1,2
A11,12,900,1,2
A12,9,918,1,2
A11,12,674,1,2
A11,24,3349,1,2
A14,36,7127,2,2
A14,48,3914,1,2
A11,36,2746,1,2
A11,24,6872,1,2
A11,60,7297,1,2
A12,48,6560,1,2
A14,36,7980,2,2
A12,12,951,4,2
A11,24,3345,1,2
A11,12,795,1,2
A12,36,1953,1,2
A11,12,902,1,2
A11,12,691,2,2
A12,9,1437,1,2
A11,18,1345,1,2
A12,12,1295,1,2
A11,48,6143,2,2
