@relation german

@attribute Age numeric
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
21,A152,A173,1
23,A152,A172,1
51,A152,A173,1
61,A152,A172,1
30,A152,A174,1
33,A152,A173,1
36,A152,A173,1
37,A152,A173,1
30,A151,A173,1
38,A153,A174,1
22,A152,A172,1
26,A152,A172,1
50,A152,A173,1
40,A152,A171,1
29,A152,A173,1
30,A152,A174,1
38,A152,A171,1
44,A152,A172,1
26,A152,A173,1
24,A151,A172,1
28,A152,A173,1
63,A152,A173,1
35,A152,A173,1
33,A151,A172,1
63,A152,A173,1
36,A153,A174,1
27,A152,A174,1
31,A152,A173,1
31,A152,A173,1
40,A151,A172,1
48,A152,A173,1
25,A152,A173,1
31,A151,A174,1
37,A152,A173,1
23,A152,A173,1
55,A152,A174,1
24,A152,A173,1
65,A152,A173,1
38,A152,A173,1
35,A152,A173,1
59,A152,A173,1
29,A152,A172,1
45,A152,A172,1
26,A152,A173,1
20,A151,A173,1
26,A151,A173,1
45,A152,A172,1
30,A151,A174,1
49,A152,A172,1
24,A152,A173,1
29,A152,A173,1
32,A152,A173,1
23,A151,A173,1
38,A152,A172,1
58,A152,A172,1
20,A152,A173,1
21,A152,A172,1
28,A151,A173,1
38,A152,A172,1
39,A152,A172,1
37,A152,A172,1
28,A152,A174,1
28,A153,A173,1
54,A152,A173,1
38,A152,A172,1
34,A153,A173,1
33,A152,A174,1
26,A152,A173,1
38,A152,A173,1
42,A153,A173,1
42,A152,A172,1
46,A152,A172,1
37,A152,A173,1
30,A152,A173,1
44,A152,A173,1
47,A152,A173,1
53,A152,A173,1
54,A152,A173,1
27,A152,A173,1
23,A151,A173,1
23,A151,A173,1
43,A152,A173,1
40,A153,A171,1
26,A151,A172,1
25,A151,A173,1
64,A151,A172,1
35,A151,A172,1
36,A152,A173,1
32,A152,A173,1
30,A152,A174,1
28,A152,A173,1
43,A152,A173,1
24,A152,A173,1
39,A153,A174,1
41,A152,A173,1
50,A152,A173,1
55,A153,A174,1
43,A152,A173,1
26,A152,A173,1
33,A152,A173,1
26,A152,A173,1
49,A152,A172,1
35,A153,A173,1
37,A151,A173,1
32,A152,A173,1
48,A152,A172,1
38,A152,A173,1
24,A152,A173,1
49,A151,A173,1
23,A151,A173,1
59,A152,A173,1
35,A153,A173,1
31,A152,A174,1
28,A151,A173,1
24,A152,A173,1
33,A152,A173,1
42,A152,A173,1
64,A152,A173,1
36,A152,A174,1
37,A152,A174,1
36,A153,A173,1
42,A152,A172,1
32,A152,A173,1
30,A152,A173,1
27,A152,A173,1
30,A153,A173,1
29,A152,A173,1
47,A152,A173,1
27,A152,A173,1
55,A153,A174,1
66,A153,A174,1
22,A152,A173,1
24,A153,A173,1
30,A152,A174,1
31,A152,A172,1
35,A151,A173,1
42,A152,A173,1
67,A152,A174,1
27,A152,A173,1
34,A152,A174,1
27,A152,A173,1
63,A152,A172,1
25,A152,A173,1
22,A151,A173,1
32,A152,A173,1
45,A153,A173,1
30,A152,A173,1
38,A152,A173,1
25,A152,A173,1
36,A152,A172,1
23,A152,A173,1
34,A152,A173,1
28,A152,A173,1
28,A152,A173,1
23,A152,A172,1
26,A151,A173,1
33,A152,A173,1
39,A152,A172,1
45,A152,A174,1
45,A152,A172,1
39,A152,A173,1
43,A152,A172,1
49,A152,A172,1
53,A152,A173,1
38,A152,A174,1
37,A152,A174,1
32,A152,A174,1
34,A152,A172,1
66,A152,A172,1
20,A152,A173,1
19,A151,A172,1
39,A152,A173,1
24,A152,A174,2
27,A151,A173,2
24,A151,A173,2
55,A153,A171,2
28,A152,A173,2
38,A152,A173,2
26,A152,A173,2
32,A152,A173,2
32,A153,A172,2
29,A152,A173,2
35,A152,A173,2
23,A152,A173,2
30,A152,A173,2
24,A151,A173,2
66,A152,A174,2
28,A151,A174,2
48,A152,A173,2
33,A152,A172,2
24,A152,A173,2
25,A152,A173,2
29,A152,A173,2
24,A152,A173,2
34,A152,A172,2
31,A152,A173,2
29,A152,A173,2
37,A152,A173,2
23,A152,A172,2
26,A152,A173,2
44,A152,A173,2
25,A152,A172,2
24,A152,A172,2
53,A152,A173,2
26,A152,A173,2
28,A151,A173,2
23,A151,A172,2
57,A152,A172,2
25,A151,A173,2
43,A151,A173,2
37,A152,A172,2
34,A152,A172,2
45,A152,A174,2
50,A152,A173,2
23,A152,A172,2
32,A152,A172,2
26,A152,A173,2
27,A152,A173,2
31,A152,A172,2
26,A152,A173,2
20,A152,A173,2
31,A152,A173,2
34,A152,A174,2
24,A151,A172,2
24,A151,A173,2
23,A152,A173,2
54,A152,A174,2
47,A153,A173,2
24,A152,A173,2
28,A152,A174,2
25,A152,A173,2
68,A152,A174,2
22,A152,A173,2
36,A151,A173,2
29,A151,A173,2
30,A152,A173,2
34,A152,A173,2
34,A153,A172,2
30,A153,A173,2
47,A152,A172,2
20,A151,A173,2
51,A153,A173,2
34,A152,A173,2
35,A153,A173,2
23,A151,A174,2
28,A152,A174,2
26,A152,A174,2
23,A152,A173,2
43,A152,A173,2
22,A151,A173,2
44,A153,A173,2
34,A152,A174,2
30,A152,A173,2
24,A151,A172,2
35,A152,A173,2
25,A152,A173,2
25,A152,A172,2
27,A152,A172,2
40,A152,A172,2
27,A152,A173,2
28,A152,A173,2
33,A151,A174,2
24,A152,A173,2
25,A152,A172,2
20,A151,A173,2
37,A152,A172,2
27,A152,A173,2
39,A153,A173,2
26,A152,A174,2
57,A153,A174,2
37,A151,A173,2
44,A151,A174,2
29,A151,A172,2
28,A151,A173,2
25,A152,A174,2
33,A152,A173,2
42,A152,A174,2
33,A151,A173,2
45,A152,A172,2
63,A152,A173,2
35,A153,A173,2
25,A152,A172,2
22,A152,A173,2
26,A151,A173,2
40,A151,A172,2
24,A153,A173,2
25,A152,A172,2
27,A152,A171,2
34,A152,A174,2
33,A151,A173,2
29,A152,A173,2
33,A152,A172,2
27,A153,A174,2
58,A153,A172,2
38,A153,A173,2
29,A152,A174,2
23,A152,A171,2
26,A152,A173,2
30,A152,A174,2
28,A152,A173,2
41,A152,A172,2
37,A152,A172,2
48,A152,A173,2
30,A153,A174,2
29,A152,A173,2
42,A153,A174,2
27,A152,A173,2
52,A152,A174,2
50,A153,A173,2
29,A151,A172,2
28,A152,A172,2
32,A152,A172,2
53,A152,A174,2
41,A152,A172,2
21,A151,A173,2
37,A153,A173,2
22,A151,A173,2
25,A151,A173,2
27,A152,A173,2
57,A153,A173,2
53,A153,A174,2
20,A151,A172,2
36,A152,A173,2
22,A151,A173,2
42,A152,A173,2
33,A152,A173,2
46,A151,A173,2
24,A151,A173,2
23,A151,A173,2
47,A152,A174,2
42,A152,A173,2
21,A151,A173,2
38,A152,A173,2
33,A152,A173,2
35,A152,A173,2
36,A152,A173,2
59,A151,A173,2
23,A152,A172,2
25,A152,A171,2
25,A152,A173,2
25,A151,A172,2
41,A152,A172,2
25,A151,A173,2
23,A151,A173,2
31,A151,A173,2
19,A151,A173,2
29,A152,A173,2
39,A152,A174,2
29,A151,A174,2
31,A152,A173,2
22,A152,A173,2
38,A153,A174,2
60,A152,A173,2
21,A151,A172,2
33,A151,A173,2
31,A152,A172,2
24,A152,A173,2
42,A152,A174,2
55,A152,A173,2
25,A152,A173,2
31,A152,A173,2
47,A153,A173,2
21,A151,A173,2
24,A152,A172,2
32,A151,A173,2
23,A153,A173,2
28,A152,A172,2
46,A153,A173,2
28,A152,A173,2
55,A153,A173,2
23,A152,A173,2
23,A151,A173,2
31,A152,A173,2
44,A152,A173,2
50,A153,A173,2
40,A152,A174,2
32,A153,A173,2
41,A152,A173,2
37,A152,A173,2
27,A152,A173,2
27,A151,A173,2
33,A151,A172,2
26,A152,A173,2
61,A151,A172,2
31,A152,A173,2
24,A152,A173,2
39,A152,A173,2
34,A152,A173,2
23,A151,A173,2
42,A153,A174,2
22,A152,A173,2
29,A151,A171,2
43,A152,A172,2
53,A153,A173,2
47,A152,A172,2
30,A152,A174,2
58,A151,A173,2
46,A152,A173,2
37,A153,A173,2
26,A152,A171,2
40,A152,A174,2
42,A152,A173,2
65,A153,A173,2
31,A151,A173,2
32,A152,A173,2
54,A152,A173,2
39,A153,A173,2
29,A152,A173,2
24,A152,A173,2
33,A152,A173,2
23,A151,A173,2
40,A152,A174,2
30,A152,A174,2
36,A152,A173,2
35,A152,A173,2
23,A152,A172,2
33,A151,A173,2
61,A152,A173,2
44,A153,A174,2
26,A152,A173,2
26,A151,A171,2
68,A151,A173,2
48,A153,A172,2
32,A152,A173,2
30,A152,A173,2
53,A153,A173,2
23,A151,A172,2
26,A151,A172,2
22,A152,A173,2
22,A152,A173,2
27,A151,A173,2
45,A152,A173,2
34,A153,A172,2
40,A152,A174,2
25,A152,A173,2
36,A152,A173,2
34,A152,A174,2
74,A153,A174,2
23,A151,A173,2
29,A153,A173,2
28,A152,A174,2
33,A152,A172,2
