@relation automobile

@attribute Normalized-losses numeric
@attribute Drive-wheels {4wd,fwd,rwd}
@attribute Width numeric
@attribute Height numeric
@attribute Compression-ratio numeric
@attribute Highway-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
101,fwd,64,52.6,10.1,42,1
128,fwd,63.8,54.5,9.4,37,1
101,fwd,64,52.6,9.2,34,1
129,fwd,66.5,53.7,8.6,32,1
129,fwd,66.5,53.7,8.6,32,1
119,fwd,63.8,50.8,7.6,30,1
154,fwd,63.8,50.8,9.4,38,1
87,fwd,63.6,54.5,9,38,1
104,fwd,64.2,54.1,9,31,1
125,fwd,65.4,51.6,8.5,32,1
74,fwd,63.6,54.5,9,38,1
158,fwd,71.4,55.7,8.5,25,1
148,fwd,63.8,50.6,9.4,38,1
168,rwd,64,52.6,9,34,1
137,fwd,63.9,50.8,9.6,54,2
134,rwd,65.6,52,9.3,30,2
94,fwd,65.5,55.7,9,34,2
137,fwd,63.9,50.8,9.2,38,2
134,rwd,65.6,52,9.3,30,2
168,fwd,63.8,53.3,9.4,37,2
134,rwd,65.6,52,9.3,30,2
94,fwd,65.5,55.7,23,46,2
94,fwd,65.5,55.7,9,34,2
83,4wd,63.8,55.7,8.7,31,2
192,rwd,64.8,54.3,8.8,29,2
121,fwd,60.3,53.2,9.5,53,2
122,fwd,65.5,55.7,23,46,2
134,rwd,65.6,52,9.3,30,2
161,fwd,64.4,50.8,9.4,38,2
164,4wd,66.4,54.3,8,22,2
94,fwd,65.5,55.7,10,32,2
83,fwd,63.6,53.7,8.7,31,2
104,fwd,66.5,56.1,9.3,28,2
164,fwd,66.2,54.3,10,30,2
134,rwd,65.6,52,9.3,30,2
161,fwd,64.4,50.8,9.4,38,2
122,fwd,65.5,55.7,9,34,2
161,fwd,64.4,50.8,9.4,41,2
104,fwd,66.5,56.1,9.3,28,2
104,fwd,66.5,56.1,9,26,2
153,fwd,65.4,49.4,8.5,32,3
150,fwd,66.5,56.1,9.31,28,3
197,rwd,67.7,52,9.3,24,3
150,fwd,66.5,56.1,9.3,28,3
194,rwd,67.9,49.7,9,25,3
186,rwd,68.3,50.2,9.5,27,3
150,fwd,66.5,56.1,9,26,3
194,rwd,67.9,49.7,7.8,23,3
153,fwd,65.4,49.4,7.5,30,3
142,rwd,70.5,50.8,8.3,18,3
197,rwd,67.7,52,9.3,24,3
256,fwd,64,51.4,8.5,29,3
