@relation glass

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517665,13.21045,3.69078,1
1.517528,12.57205,3.47077,1
1.52213,14.20795,3.82099,1
1.517779,13.21045,3.38995,1
1.516184,13.52965,3.55159,1
1.51762,13.88875,3.60098,1
1.52475,11.4482,0,2
1.522221,14.4274,0,2
1.517893,13.1905,3.90181,2
1.526139,13.70255,0,2
1.518121,13.33015,3.84793,2
1.516184,13.01095,3.5022,2
1.515934,13.25035,3.44832,2
1.516458,13.40995,3.55159,2
1.51828,13.23705,3.90181,2
1.518918,13.46315,3.82997,2
1.515729,14.85965,3.66833,2
1.516298,12.7117,3.33158,2
1.517073,13.7225,3.6818,2
1.531242,10.73,0,2
1.518713,12.93115,3.65935,2
1.515683,13.23705,3.48873,2
1.520672,13.5496,2.08785,2
1.517096,12.99765,3.47077,2
1.52664,11.22875,0,2
1.518189,13.7225,0,2
1.516458,13.4033,3.48873,2
1.514089,14.24785,3.08912,2
1.527255,13.8023,3.15198,2
1.516891,13.33015,3.53812,2
1.518417,12.93115,3.74017,2
1.517118,12.89125,3.61894,2
1.521765,13.19715,3.6818,2
1.520809,13.78235,2.28092,2
1.515911,12.8181,3.52016,2
1.515911,13.0176,3.57853,2
1.521765,13.7491,1.01025,2
1.517073,13.4831,3.47975,2
1.515934,13.09075,3.592,2
1.516139,13.922,3.52016,2
1.515934,13.09075,3.52016,2
1.515888,13.11735,3.40791,2
1.516868,13.2304,3.53812,2
1.516594,12.991,3.17892,2
1.516731,13.2969,3.64139,2
1.520194,13.98185,1.35149,2
1.524089,13.8289,2.90054,2
1.516321,13.3368,3.56955,2
1.518599,13.35675,3.43036,2
1.518417,13.0176,3.61894,2
1.516731,12.7915,3.52016,2
1.518189,12.6186,2.76135,2
1.516526,13.5629,3.56955,2
1.51664,12.93115,3.53812,2
1.527392,11.0226,0,2
1.518007,13.7092,3.92875,2
1.515911,12.858,3.52016,2
1.516389,12.5521,3.47975,2
1.51844,13.25035,3.75813,2
1.518394,12.85135,3.66833,2
1.53393,12.2994,0,2
1.516663,12.9378,3.60996,2
1.516048,12.8979,3.43934,2
1.518485,13.6427,3.87038,2
1.515911,13.23705,3.34056,2
1.517301,12.3526,2.72094,2
1.515957,13.0176,3.56057,2
1.516458,13.4432,3.60996,2
1.518052,12.99765,3.79854,2
1.516617,12.85135,3.51118,2
1.518462,13.40995,3.88834,2
1.516549,12.7516,2.85115,2
1.516891,12.6718,2.87809,2
1.518508,13.19715,3.62792,2
1.518121,12.95775,2.95891,2
1.521264,14.321,3.90181,3
1.517779,13.6427,3.65037,3
1.519351,13.6427,3.53812,3
1.517688,13.64935,3.65935,3
1.516093,13.33015,3.52914,3
1.521219,14.0284,3.75813,3
1.516549,13.40995,3.38995,3
1.522107,14.188,3.78058,3
1.516708,13.23705,3.56955,3
1.51664,13.1373,3.44832,3
1.516435,12.15975,3.52016,3
1.516093,13.42325,3.39893,3
1.517961,13.50305,3.35852,3
1.518326,13.33015,3.34056,3
1.517756,13.52965,3.40791,3
1.516458,13.03755,3.39893,3
1.519943,13.2703,0,5
1.5132,12.99765,0,5
1.513155,13.0176,0,5
1.52172,11.56125,1.88131,5
1.520581,12.85135,1.61191,5
1.521515,11.02925,1.71069,5
1.521196,12.97105,0.32777,5
1.516663,12.858,0,5
1.519693,12.63855,0,5
1.519146,12.73165,1.84988,5
1.520421,13.3767,0,5
1.515137,14.00845,2.68053,5
1.519169,14.1481,0,6
1.51828,14.46065,2.24051,6
1.51115,17.38,0,6
1.519055,14.0018,2.38868,6
1.518531,14.08825,2.19112,6
1.519374,13.789,2.41113,6
1.512995,14.4008,1.74212,6
1.519693,14.5604,0,6
1.517187,14.75325,0,7
1.516458,14.93945,0,7
1.516093,15.126,0,7
1.516389,14.36755,0,7
1.515137,14.853,0,7
1.515319,14.38085,0,7
1.511309,13.68925,3.20137,7
1.516503,14.38085,0,7
1.520649,14.3609,0,7
1.51623,14.2013,0,7
1.516526,11.94695,0,7
1.516162,14.95275,0,7
1.516025,14.853,0,7
1.518371,14.321,3.25974,7
1.517323,14.95275,0,7
1.517278,14.70005,0,7
1.522472,14.85965,2.2001,7
1.515569,13.8688,0,7
1.517118,14.2279,0,7
1.523656,15.79065,1.83192,7
1.51623,14.14145,0,7
1.515091,15.15225,0,7
1.516139,13.8821,1.77804,7
1.523155,13.4432,3.34056,7
1.518303,14.3875,0,7
1.516822,14.5604,0,7
