@relation page-blocks
@attribute Height integer [1,  804]
@attribute Lenght integer [1,  553]
@attribute Area integer [7,  143993]
@attribute Eccen real [0.0070,  537.0]
@attribute P_black real [0.052,  1.0]
@attribute P_and real [0.062,  1.0]
@attribute Mean_tr real [1.0,  4955.0]
@attribute Blackpix integer [1,  33017]
@attribute Blackand integer [7,  46133]
@attribute Wb_trans integer [1,  3212]
@attribute Class {1, 2, 3, 4, 5}
@data
10, 105, 1050, 10.5, 0.234, 0.811, 1.7, 246, 852, 145, 1
13, 84, 1092, 6.462, 0.35, 0.59, 3.16, 382, 644, 121, 1
8, 185, 1480, 23.125, 0.265, 0.611, 1.97, 392, 905, 199, 1
6, 89, 534, 14.833, 0.298, 0.758, 1.61, 159, 405, 99, 1
12, 118, 1416, 9.833, 0.35, 0.778, 2.98, 495, 1102, 166, 1
12, 105, 1260, 8.75, 0.37, 0.717, 2.91, 466, 903, 160, 1
10, 33, 330, 3.3, 0.282, 0.839, 1.82, 93, 277, 51, 1
7, 389, 2723, 55.571, 0.167, 0.584, 1.19, 455, 1591, 381, 1
18, 48, 864, 2.667, 0.264, 0.524, 4.3, 228, 453, 53, 1
7, 41, 287, 5.857, 0.425, 0.993, 1.97, 122, 285, 62, 1
10, 271, 2710, 27.1, 0.251, 0.754, 1.88, 679, 2044, 362, 1
9, 271, 2439, 30.111, 0.292, 0.727, 1.9, 712, 1774, 374, 1
8, 69, 552, 8.625, 0.279, 0.687, 1.5, 154, 379, 103, 1
8, 272, 2176, 34.0, 0.189, 0.688, 1.32, 411, 1497, 311, 1
8, 54, 432, 6.75, 0.245, 0.745, 1.29, 106, 322, 82, 1
8, 25, 200, 3.125, 0.33, 1.0, 1.65, 66, 200, 40, 1
81, 49, 3969, 0.605, 0.113, 0.398, 2.26, 449, 1580, 199, 5
6, 6, 36, 1.0, 0.194, 0.417, 3.5, 7, 15, 2, 5
10, 272, 2720, 27.2, 0.187, 0.649, 1.38, 508, 1765, 368, 1
13, 8, 104, 0.615, 0.154, 0.769, 1.07, 16, 80, 15, 5
10, 272, 2720, 27.2, 0.211, 0.772, 1.43, 573, 2101, 401, 1
10, 272, 2720, 27.2, 0.206, 0.786, 1.4, 559, 2139, 399, 1
8, 62, 496, 7.75, 0.218, 0.629, 1.57, 108, 312, 69, 1
6, 24, 144, 4.0, 0.292, 0.764, 1.56, 42, 110, 27, 1
11, 271, 2981, 24.636, 0.176, 0.671, 1.39, 525, 2001, 378, 1
7, 7, 49, 1.0, 0.429, 1.0, 1.91, 21, 49, 11, 1
10, 271, 2710, 27.1, 0.193, 0.769, 1.28, 524, 2084, 409, 1
7, 7, 49, 1.0, 0.347, 0.939, 1.89, 17, 46, 9, 1
7, 8, 56, 1.143, 0.25, 0.768, 1.56, 14, 43, 9, 1
5, 7, 35, 1.4, 0.4, 0.657, 2.33, 14, 23, 6, 1
9, 81, 729, 9.0, 0.187, 0.542, 1.49, 136, 395, 91, 1
5, 52, 260, 10.4, 0.208, 0.542, 1.35, 54, 141, 40, 1
5, 38, 190, 7.6, 0.426, 0.989, 1.42, 81, 188, 57, 1
6, 25, 150, 4.167, 0.34, 0.887, 1.42, 51, 133, 36, 1
10, 79, 790, 7.9, 0.163, 0.42, 1.25, 129, 332, 103, 1
7, 41, 287, 5.857, 0.22, 0.756, 1.47, 63, 217, 43, 1
6, 40, 240, 6.667, 0.221, 0.983, 1.26, 53, 236, 42, 1
8, 17, 136, 2.125, 0.265, 0.566, 1.71, 36, 77, 21, 1
6, 17, 102, 2.833, 0.382, 0.951, 1.63, 39, 97, 24, 1
6, 13, 78, 2.167, 0.282, 0.936, 1.57, 22, 73, 14, 1
5, 3, 15, 0.6, 0.6, 0.867, 4.5, 9, 13, 2, 1
7, 9, 63, 1.286, 0.365, 0.857, 1.77, 23, 54, 13, 1
10, 151, 1510, 15.1, 0.193, 0.77, 1.48, 291, 1162, 197, 1
9, 37, 333, 4.111, 0.213, 0.706, 1.54, 71, 235, 46, 1
8, 23, 184, 2.875, 0.31, 0.88, 1.84, 57, 162, 31, 1
7, 11, 77, 1.571, 0.351, 0.922, 1.59, 27, 71, 17, 1
7, 36, 252, 5.143, 0.365, 0.96, 1.67, 92, 242, 55, 1
7, 29, 203, 4.143, 0.36, 0.936, 1.4, 73, 190, 52, 1
7, 9, 63, 1.286, 0.286, 0.968, 1.2, 18, 61, 15, 1
7, 9, 63, 1.286, 0.381, 0.952, 1.85, 24, 60, 13, 1
7, 4, 28, 0.571, 0.25, 0.857, 2.33, 7, 24, 3, 1
7, 18, 126, 2.571, 0.365, 0.968, 2.0, 46, 122, 23, 1
7, 32, 224, 4.571, 0.232, 0.804, 1.3, 52, 180, 40, 1
9, 29, 261, 3.222, 0.234, 0.889, 1.39, 61, 232, 44, 1
7, 13, 91, 1.857, 0.363, 0.934, 2.2, 33, 85, 15, 1
8, 11, 88, 1.375, 0.318, 1.0, 1.4, 28, 88, 20, 1
7, 24, 168, 3.429, 0.274, 0.661, 1.48, 46, 111, 31, 1
7, 18, 126, 2.571, 0.27, 0.825, 1.31, 34, 104, 26, 1
7, 13, 91, 1.857, 0.33, 0.835, 1.43, 30, 76, 21, 1
7, 19, 133, 2.714, 0.286, 0.669, 1.36, 38, 89, 28, 1
7, 11, 77, 1.571, 0.39, 0.792, 1.58, 30, 61, 19, 1
7, 39, 273, 5.571, 0.293, 0.733, 1.43, 80, 200, 56, 1
6, 11, 66, 1.833, 0.364, 0.955, 1.33, 24, 63, 18, 1
6, 26, 156, 4.333, 0.288, 0.872, 1.29, 45, 136, 35, 1
7, 41, 287, 5.857, 0.328, 0.774, 1.42, 94, 222, 66, 1
7, 32, 224, 4.571, 0.308, 0.777, 1.25, 69, 174, 55, 1
7, 24, 168, 3.429, 0.28, 0.607, 1.38, 47, 102, 34, 1
6, 11, 66, 1.833, 0.348, 1.0, 1.53, 23, 66, 15, 1
6, 11, 66, 1.833, 0.364, 0.833, 1.6, 24, 55, 15, 1
7, 4, 28, 0.571, 0.25, 0.893, 1.75, 7, 25, 4, 1
7, 25, 175, 3.571, 0.189, 0.806, 1.22, 33, 141, 27, 1
7, 8, 56, 1.143, 0.393, 1.0, 1.69, 22, 56, 13, 1
6, 13, 78, 2.167, 0.333, 0.846, 1.37, 26, 66, 19, 1
4, 22, 88, 5.5, 0.432, 0.977, 1.46, 38, 86, 26, 1
9, 29, 261, 3.222, 0.23, 0.613, 1.3, 60, 160, 46, 1
7, 6, 42, 0.857, 0.452, 0.976, 1.73, 19, 41, 11, 1
7, 41, 287, 5.857, 0.341, 0.721, 1.58, 98, 207, 62, 1
8, 19, 152, 2.375, 0.178, 0.724, 1.5, 27, 110, 18, 1
8, 19, 152, 2.375, 0.184, 0.849, 1.47, 28, 129, 19, 1
7, 86, 602, 12.286, 0.294, 0.701, 1.69, 177, 422, 105, 1
7, 47, 329, 6.714, 0.286, 0.717, 1.4, 94, 236, 67, 1
7, 19, 133, 2.714, 0.331, 0.729, 1.69, 44, 97, 26, 1
6, 11, 66, 1.833, 0.318, 0.712, 1.31, 21, 47, 16, 1
7, 43, 301, 6.143, 0.319, 0.801, 1.41, 96, 241, 68, 1
5, 40, 200, 8.0, 0.44, 0.935, 1.4, 88, 187, 63, 1
9, 52, 468, 5.778, 0.306, 0.718, 1.66, 143, 336, 86, 1
7, 17, 119, 2.429, 0.336, 0.874, 1.74, 40, 104, 23, 1
7, 33, 231, 4.714, 0.364, 0.753, 1.68, 84, 174, 50, 1
5, 4, 20, 0.8, 0.6, 1.0, 2.4, 12, 20, 5, 1
7, 13, 91, 1.857, 0.374, 0.901, 1.7, 34, 82, 20, 1
6, 8, 48, 1.333, 0.313, 0.875, 1.07, 15, 42, 14, 1
9, 16, 144, 1.778, 0.278, 0.917, 1.48, 40, 132, 27, 1
6, 20, 120, 3.333, 0.333, 0.942, 1.21, 40, 113, 33, 1
7, 11, 77, 1.571, 0.338, 0.883, 1.63, 26, 68, 16, 1
7, 47, 329, 6.714, 0.322, 0.833, 1.74, 106, 274, 61, 1
5, 7, 35, 1.4, 0.457, 1.0, 1.45, 16, 35, 11, 1
7, 11, 77, 1.571, 0.234, 0.675, 1.29, 18, 52, 14, 1
9, 201, 1809, 22.333, 0.152, 0.456, 1.27, 275, 825, 216, 1
6, 5, 30, 0.833, 0.333, 0.833, 1.67, 10, 25, 6, 1
9, 39, 351, 4.333, 0.256, 0.698, 1.64, 90, 245, 55, 1
7, 18, 126, 2.571, 0.27, 0.881, 1.36, 34, 111, 25, 1
9, 6, 54, 0.667, 0.407, 0.519, 5.5, 22, 28, 4, 5
11, 25, 275, 2.273, 0.276, 0.629, 1.9, 76, 173, 40, 1
10, 12, 120, 1.2, 0.333, 0.867, 1.82, 40, 104, 22, 1
8, 13, 104, 1.625, 0.49, 0.933, 2.32, 51, 97, 22, 1
9, 39, 351, 4.333, 0.368, 0.729, 2.58, 129, 256, 50, 1
12, 271, 3252, 22.583, 0.238, 0.571, 1.98, 773, 1857, 391, 1
11, 94, 1034, 8.545, 0.28, 0.675, 2.03, 290, 698, 143, 1
10, 6, 60, 0.6, 0.433, 1.0, 2.6, 26, 60, 10, 1
8, 4, 32, 0.5, 0.375, 1.0, 1.5, 12, 32, 8, 1
10, 25, 250, 2.5, 0.392, 0.904, 2.09, 98, 226, 47, 1
8, 31, 248, 3.875, 0.427, 0.992, 2.16, 106, 246, 49, 1
8, 6, 48, 0.75, 0.375, 0.792, 3.0, 18, 38, 6, 1
9, 4, 36, 0.444, 0.472, 0.861, 5.67, 17, 31, 3, 1
10, 30, 300, 3.0, 0.427, 0.78, 2.78, 128, 234, 46, 1
8, 53, 424, 6.625, 0.33, 0.906, 2.09, 140, 384, 67, 1
8, 12, 96, 1.5, 0.583, 0.896, 2.8, 56, 86, 20, 1
12, 271, 3252, 22.583, 0.259, 0.689, 1.99, 843, 2241, 423, 1
10, 11, 110, 1.1, 0.273, 0.927, 1.58, 30, 102, 19, 1
8, 16, 128, 2.0, 0.375, 0.93, 2.09, 48, 119, 23, 1
8, 25, 200, 3.125, 0.405, 0.755, 1.98, 81, 151, 41, 1
6, 4, 24, 0.667, 0.667, 1.0, 8.0, 16, 24, 2, 1
11, 32, 352, 2.909, 0.344, 0.767, 2.69, 121, 270, 45, 1
8, 12, 96, 1.5, 0.375, 0.792, 2.57, 36, 76, 14, 1
11, 86, 946, 7.818, 0.297, 0.748, 1.95, 281, 708, 144, 1
7, 17, 119, 2.429, 0.429, 0.748, 2.22, 51, 89, 23, 1
9, 37, 333, 4.111, 0.333, 0.655, 2.22, 111, 218, 50, 1
8, 53, 424, 6.625, 0.344, 0.884, 1.83, 146, 375, 80, 1
7, 5, 35, 0.714, 0.514, 0.8, 9.0, 18, 28, 2, 1
11, 185, 2035, 16.818, 0.295, 0.826, 1.94, 600, 1681, 310, 1
8, 10, 80, 1.25, 0.388, 0.913, 2.21, 31, 73, 14, 1
9, 47, 423, 5.222, 0.336, 0.891, 1.78, 142, 377, 80, 1
8, 15, 120, 1.875, 0.433, 0.975, 2.0, 52, 117, 26, 1
9, 29, 261, 3.222, 0.414, 0.966, 2.4, 108, 252, 45, 1
9, 19, 171, 2.111, 0.386, 0.912, 2.2, 66, 156, 30, 1
8, 34, 272, 4.25, 0.419, 0.783, 2.0, 114, 213, 57, 1
9, 26, 234, 2.889, 0.316, 0.88, 1.85, 74, 206, 40, 1
10, 21, 210, 2.1, 0.3, 0.81, 1.91, 63, 170, 33, 1
8, 7, 56, 0.875, 0.446, 0.768, 3.13, 25, 43, 8, 1
10, 28, 280, 2.8, 0.293, 0.8, 2.0, 82, 224, 41, 1
8, 8, 64, 1.0, 0.344, 0.922, 1.83, 22, 59, 12, 1
8, 69, 552, 8.625, 0.366, 0.897, 1.94, 202, 495, 104, 1
8, 21, 168, 2.625, 0.357, 0.964, 2.07, 60, 162, 29, 1
9, 7, 63, 0.778, 0.365, 0.937, 1.77, 23, 59, 13, 1
8, 8, 64, 1.0, 0.438, 1.0, 2.33, 28, 64, 12, 1
8, 26, 208, 3.25, 0.399, 0.976, 1.93, 83, 203, 43, 1
10, 145, 1450, 14.5, 0.278, 0.724, 1.9, 403, 1050, 212, 1
8, 7, 56, 0.875, 0.411, 1.0, 2.09, 23, 56, 11, 1
11, 44, 484, 4.0, 0.314, 0.75, 1.92, 152, 363, 79, 1
8, 16, 128, 2.0, 0.344, 0.742, 1.52, 44, 95, 29, 1
8, 10, 80, 1.25, 0.375, 0.85, 1.88, 30, 68, 16, 1
10, 40, 400, 4.0, 0.333, 0.783, 1.82, 133, 313, 73, 1
10, 35, 350, 3.5, 0.326, 0.583, 2.24, 114, 204, 51, 1
8, 57, 456, 7.125, 0.309, 0.838, 1.81, 141, 382, 78, 1
10, 13, 130, 1.3, 0.315, 0.915, 2.41, 41, 119, 17, 1
8, 13, 104, 1.625, 0.365, 0.808, 1.9, 38, 84, 20, 1
8, 51, 408, 6.375, 0.306, 0.637, 1.95, 125, 260, 64, 1
1, 25, 25, 25.0, 1.0, 1.0, 25.0, 25, 25, 1, 1
8, 19, 152, 2.375, 0.388, 0.664, 2.19, 59, 101, 27, 1
8, 25, 200, 3.125, 0.355, 0.78, 1.73, 71, 156, 41, 1
8, 5, 40, 0.625, 0.35, 0.6, 3.5, 14, 24, 4, 1
68, 34, 2312, 0.5, 0.224, 0.526, 2.44, 519, 1215, 213, 5
9, 19, 171, 2.111, 0.298, 0.737, 2.68, 51, 126, 19, 1
10, 34, 340, 3.4, 0.321, 0.853, 2.02, 109, 290, 54, 1
9, 20, 180, 2.222, 0.322, 0.717, 2.15, 58, 129, 27, 1
9, 13, 117, 1.444, 0.368, 1.0, 2.69, 43, 117, 16, 1
4, 10, 40, 2.5, 0.5, 0.9, 4.0, 20, 36, 5, 1
9, 91, 819, 10.111, 0.161, 0.44, 1.86, 132, 360, 71, 1
5, 3, 15, 0.6, 0.6, 0.6, 9.0, 9, 9, 1, 1
5, 10, 50, 2.0, 0.56, 0.96, 2.33, 28, 48, 12, 1
10, 228, 2280, 22.8, 0.26, 0.61, 1.87, 592, 1390, 316, 1
8, 7, 56, 0.875, 0.482, 0.946, 2.7, 27, 53, 10, 1
6, 4, 24, 0.667, 0.583, 1.0, 4.67, 14, 24, 3, 1
10, 262, 2620, 26.2, 0.288, 0.742, 1.79, 754, 1945, 421, 1
8, 23, 184, 2.875, 0.364, 0.967, 2.03, 67, 178, 33, 1
8, 20, 160, 2.5, 0.425, 1.0, 2.27, 68, 160, 30, 1
8, 14, 112, 1.75, 0.429, 1.0, 2.4, 48, 112, 20, 1
8, 23, 184, 2.875, 0.451, 0.832, 2.08, 83, 153, 40, 1
8, 14, 112, 1.75, 0.384, 0.795, 1.72, 43, 89, 25, 1
5, 14, 70, 2.8, 0.586, 0.943, 2.28, 41, 66, 18, 1
11, 261, 2871, 23.727, 0.243, 0.524, 1.93, 698, 1505, 361, 1
9, 18, 162, 2.0, 0.327, 0.914, 1.89, 53, 148, 28, 1
10, 38, 380, 3.8, 0.308, 0.632, 2.13, 117, 240, 55, 1
10, 99, 990, 9.9, 0.264, 0.774, 1.92, 261, 766, 136, 1
10, 31, 310, 3.1, 0.339, 0.713, 2.14, 105, 221, 49, 1
10, 31, 310, 3.1, 0.329, 0.952, 2.08, 102, 295, 49, 1
7, 18, 126, 2.571, 0.357, 0.865, 2.14, 45, 109, 21, 1
10, 63, 630, 6.3, 0.298, 0.795, 1.72, 188, 501, 109, 1
7, 14, 98, 2.0, 0.286, 1.0, 1.87, 28, 98, 15, 1
8, 22, 176, 2.75, 0.375, 0.909, 1.78, 66, 160, 37, 1
7, 53, 371, 7.571, 0.342, 0.58, 2.4, 127, 215, 53, 1
5, 14, 70, 2.8, 0.543, 0.929, 2.0, 38, 65, 19, 1
5, 27, 135, 5.4, 0.548, 1.0, 2.18, 74, 135, 34, 1
8, 22, 176, 2.75, 0.426, 1.0, 2.42, 75, 176, 31, 1
10, 119, 1190, 11.9, 0.275, 0.665, 1.84, 327, 791, 178, 1
10, 34, 340, 3.4, 0.303, 0.8, 1.81, 103, 272, 57, 1
10, 157, 1570, 15.7, 0.233, 0.565, 1.65, 366, 887, 222, 1
8, 9, 72, 1.125, 0.389, 0.792, 2.0, 28, 57, 14, 1
10, 45, 450, 4.5, 0.282, 0.718, 1.84, 127, 323, 69, 1
11, 262, 2882, 23.818, 0.251, 0.677, 1.85, 722, 1951, 391, 1
11, 132, 1452, 12.0, 0.189, 0.44, 2.04, 274, 639, 134, 1
8, 9, 72, 1.125, 0.278, 0.5, 2.86, 20, 36, 7, 1
8, 28, 224, 3.5, 0.397, 0.996, 2.07, 89, 223, 43, 1
8, 18, 144, 2.25, 0.174, 0.458, 2.5, 25, 66, 10, 1
8, 119, 952, 14.875, 0.337, 0.92, 1.7, 321, 876, 189, 1
8, 33, 264, 4.125, 0.371, 0.678, 1.88, 98, 179, 52, 1
10, 22, 220, 2.2, 0.318, 0.777, 1.79, 70, 171, 39, 1
13, 225, 2925, 17.308, 0.253, 0.893, 3.27, 740, 2612, 226, 1
25, 185, 4625, 7.4, 0.479, 0.95, 7.24, 2214, 4395, 306, 1
25, 291, 7275, 11.64, 0.466, 0.957, 7.34, 3392, 6963, 462, 1
8, 82, 656, 10.25, 0.396, 0.713, 2.63, 260, 468, 99, 1
9, 510, 4590, 56.667, 0.149, 0.541, 1.22, 686, 2484, 561, 1
7, 12, 84, 1.714, 0.226, 0.786, 1.9, 19, 66, 10, 1
1, 35, 35, 35.0, 0.2, 1.0, 1.17, 7, 35, 6, 1
8, 280, 2240, 35.0, 0.191, 0.709, 1.28, 427, 1589, 333, 1
7, 80, 560, 11.429, 0.102, 0.468, 1.39, 57, 262, 41, 1
1, 60, 60, 60.0, 0.217, 1.0, 1.08, 13, 60, 12, 1
8, 82, 656, 10.25, 0.418, 0.753, 2.51, 274, 494, 109, 1
5, 4, 20, 0.8, 0.35, 0.6, 2.33, 7, 12, 3, 1
9, 180, 1620, 20.0, 0.374, 0.759, 2.86, 606, 1230, 212, 1
