@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute InstallmentRate numeric
@attribute Guarantors {A101,A103,A102}
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
A12,6948,2,A101,A151,1
A14,1364,2,A101,A152,1
A13,1377,4,A101,A153,1
A14,1544,2,A101,A152,1
A12,6260,3,A101,A151,1
A14,1516,4,A101,A152,1
A14,1098,4,A101,A152,1
A13,1474,4,A101,A152,1
A12,458,4,A101,A152,1
A12,1068,4,A101,A152,1
A11,806,4,A101,A152,1
A14,9436,2,A101,A152,1
A14,1244,4,A101,A151,1
A14,3447,4,A101,A152,1
A12,1092,4,A103,A152,1
A12,2002,3,A101,A151,1
A14,2611,4,A102,A152,1
A14,1543,4,A101,A152,1
A12,1567,1,A101,A152,1
A14,1800,4,A101,A152,1
A11,1374,1,A101,A152,1
A12,6681,4,A101,A153,1
A13,2923,1,A101,A152,1
A13,2247,2,A101,A152,1
A11,860,1,A101,A152,1
A12,2101,2,A103,A152,1
A14,2753,3,A102,A152,1
A11,2924,3,A103,A152,1
A14,2073,4,A102,A152,1
A14,1382,1,A101,A152,1
A14,5190,4,A101,A152,1
A14,1028,4,A101,A152,1
A14,4526,3,A101,A152,1
A14,3074,1,A101,A152,1
A12,3758,1,A101,A151,1
A11,5302,2,A101,A153,1
A11,2647,2,A101,A151,1
A14,1418,3,A101,A151,1
A14,2872,3,A101,A152,1
A14,2901,1,A101,A151,1
A11,1620,2,A102,A152,1
A12,2337,4,A101,A152,1
A14,707,4,A101,A152,1
A11,2828,4,A101,A152,1
A12,1308,4,A101,A152,1
A13,1961,3,A101,A152,1
A12,1050,4,A101,A152,1
A11,2606,4,A101,A151,1
A14,1950,4,A101,A152,1
A12,2629,2,A101,A152,1
A14,9566,2,A101,A152,1
A12,2825,4,A101,A152,1
A14,8588,4,A101,A152,1
A12,1414,4,A103,A152,1
A14,1126,4,A101,A151,1
A13,683,2,A101,A152,1
A14,1287,4,A102,A152,1
A11,385,4,A101,A152,1
A12,11760,2,A101,A151,1
A12,1537,4,A103,A152,1
A14,2507,2,A101,A153,1
A12,1201,4,A101,A152,1
A14,6527,4,A101,A153,1
A14,7238,3,A101,A152,1
A14,3062,4,A101,A151,1
A12,7966,2,A101,A152,1
A14,2679,4,A101,A152,1
A12,2503,4,A101,A152,1
A11,2212,4,A101,A152,1
A12,2415,3,A103,A152,1
A12,7374,4,A101,A152,1
A11,3939,1,A101,A152,1
A11,1200,4,A101,A151,1
A12,8487,1,A101,A152,1
A12,5381,3,A101,A153,1
A13,3949,1,A103,A152,1
A14,2197,4,A101,A152,1
A12,1410,2,A101,A152,1
A14,4657,3,A101,A152,1
A14,1572,4,A101,A152,1
A14,2320,2,A101,A152,1
A14,5511,4,A101,A152,1
A11,975,2,A101,A152,1
A11,2241,1,A101,A151,1
A14,3565,2,A101,A152,1
A11,3632,1,A103,A151,1
A14,4042,3,A101,A152,1
A14,4686,2,A101,A153,1
A14,6614,4,A101,A152,1
A11,2964,4,A101,A153,1
A14,7409,3,A101,A152,1
A14,1471,4,A101,A153,1
A14,1495,4,A101,A152,1
A14,1532,4,A101,A152,1
A14,5804,4,A101,A152,1
A13,1905,4,A101,A151,1
A12,3124,1,A101,A152,1
A14,1552,3,A101,A152,1
A14,3812,1,A101,A152,1
A14,9055,2,A101,A153,1
A13,3399,2,A101,A152,1
A12,3512,2,A101,A152,1
A11,5493,2,A101,A153,1
A11,6187,1,A101,A151,1
A14,1503,2,A101,A152,1
A12,276,4,A101,A151,1
A14,1313,1,A101,A152,1
A12,1391,2,A101,A152,1
A14,1505,4,A101,A153,1
A12,1577,4,A101,A152,1
A14,3077,2,A101,A152,1
A14,2697,1,A101,A152,1
A14,618,4,A101,A152,1
A11,7476,4,A101,A153,1
A14,1338,1,A101,A152,1
A11,1361,2,A101,A152,1
A12,1967,4,A101,A152,1
A14,4151,2,A101,A152,1
A13,2360,2,A101,A152,1
A12,9857,1,A101,A152,1
A12,2333,4,A101,A152,1
A11,3509,4,A103,A152,1
A14,1076,2,A101,A152,1
A14,2743,4,A101,A152,1
A12,3244,1,A101,A152,1
A14,2463,4,A101,A152,1
A14,601,1,A101,A151,1
A14,1655,2,A101,A152,1
A14,2476,4,A101,A152,1
A11,1893,4,A103,A152,1
A11,2659,4,A101,A152,1
A14,1262,3,A101,A152,1
A14,5954,3,A102,A152,1
A11,701,4,A101,A152,1
A12,1965,4,A101,A151,1
A14,10366,2,A101,A152,1
A12,2622,4,A101,A152,1
A13,6289,2,A101,A152,1
A14,1185,3,A101,A152,1
A13,1323,2,A101,A152,1
A13,709,2,A101,A152,1
A14,3029,2,A101,A152,1
A11,571,4,A101,A152,1
A12,3990,3,A101,A152,1
A14,3448,1,A101,A152,1
A14,2708,2,A101,A152,1
A14,12749,4,A101,A152,1
A14,1538,1,A101,A152,1
A14,3275,1,A101,A152,1
A12,2353,1,A101,A152,1
A14,1249,4,A101,A152,1
A14,2670,4,A101,A152,1
A13,409,3,A101,A151,1
A14,1493,4,A101,A152,1
A14,1413,3,A101,A152,1
A14,4811,2,A101,A151,1
A12,3617,1,A101,A151,1
A14,2613,4,A101,A152,1
A14,3235,3,A101,A152,1
A12,753,2,A103,A152,1
A14,5324,1,A101,A153,1
A12,4351,1,A101,A152,1
A14,2445,2,A101,A151,1
A12,1318,4,A101,A152,1
A12,7582,2,A101,A153,1
A12,3573,1,A101,A152,1
A12,2427,4,A101,A152,1
A14,2255,4,A101,A152,1
A14,700,4,A101,A153,1
A14,2299,4,A101,A152,1
A12,12204,2,A101,A152,1
A14,2223,4,A101,A152,1
A14,1469,4,A101,A151,1
A11,339,4,A101,A152,1
A14,13756,2,A101,A153,1
A11,4583,2,A103,A152,1
A14,5711,4,A101,A152,1
A12,1155,3,A103,A152,1
A14,660,2,A101,A151,1
A14,2284,4,A101,A152,1
A14,1412,4,A103,A152,1
A13,3017,4,A101,A152,1
A14,3777,4,A101,A152,1
A11,609,4,A101,A152,1
A14,250,2,A101,A152,1
A12,1082,4,A101,A152,1
A14,2848,1,A102,A152,1
A12,1715,4,A101,A152,1
A12,1553,3,A101,A151,1
A14,15653,2,A101,A152,1
A14,2993,3,A101,A152,1
A14,3422,4,A101,A152,1
A14,3368,3,A101,A151,1
A12,1549,4,A101,A152,1
A14,2012,4,A101,A152,1
A12,2118,2,A101,A152,1
A11,1880,4,A101,A152,1
A14,926,1,A101,A152,1
A11,1049,4,A101,A151,1
A11,2511,1,A101,A151,1
A14,1240,4,A101,A152,1
A11,3622,4,A101,A151,1
A14,2751,4,A101,A152,1
A14,1231,3,A101,A152,1
A12,6148,3,A101,A152,1
A14,1817,4,A101,A152,1
A14,672,1,A101,A152,1
A11,2483,4,A101,A152,1
A14,717,4,A101,A152,1
A14,1459,4,A101,A152,1
A14,1238,4,A101,A152,1
A14,2279,4,A101,A153,1
A14,2142,1,A101,A152,1
A14,1740,2,A101,A151,1
A14,1884,4,A101,A152,1
A11,3660,2,A101,A152,1
A11,3651,1,A101,A152,1
A13,1047,2,A101,A152,1
A14,1300,4,A101,A153,1
A14,4675,1,A101,A151,1
A14,1221,1,A101,A152,1
A14,1213,4,A101,A152,1
A14,1262,4,A101,A152,1
A11,3857,4,A101,A152,1
A11,4169,4,A101,A152,1
A14,2859,4,A101,A152,1
A14,5045,1,A101,A152,1
A12,4576,3,A101,A152,1
A12,958,2,A101,A152,1
A14,2346,4,A101,A152,1
A14,3863,1,A101,A153,1
A13,3016,3,A101,A152,1
A13,392,4,A101,A151,1
A14,8613,2,A101,A152,1
A12,1887,4,A101,A152,1
A14,1316,2,A101,A152,1
A14,640,4,A101,A152,1
A11,1038,4,A102,A152,1
A14,2058,4,A101,A152,1
A11,1203,3,A101,A152,1
A14,894,4,A101,A152,1
A14,1169,4,A101,A152,1
A14,7393,1,A101,A152,1
A14,960,3,A101,A152,1
A14,1591,4,A101,A152,1
A12,5954,2,A101,A152,1
A12,3878,4,A101,A152,1
A13,3617,4,A102,A151,1
A11,1721,2,A101,A152,1
A14,3059,2,A101,A152,1
A11,6568,2,A101,A152,1
A14,1574,4,A101,A152,1
A14,932,3,A101,A152,1
A11,3643,1,A101,A152,1
A14,1546,3,A101,A152,1
A14,1311,4,A101,A152,1
A14,1935,4,A101,A152,1
A12,1154,2,A101,A152,1
A11,3021,2,A101,A151,1
A14,1503,4,A101,A151,1
A11,2132,2,A102,A151,1
A11,3249,2,A101,A153,1
A11,1169,4,A101,A152,1
A11,6615,2,A101,A153,1
A14,10477,2,A101,A153,1
A12,866,4,A103,A152,1
A14,1409,2,A101,A152,1
A14,3160,4,A101,A152,1
A14,1520,4,A101,A152,1
A11,3620,1,A103,A152,1
A14,717,4,A101,A152,1
A14,2186,1,A101,A151,1
A14,1592,3,A101,A152,1
A14,2764,2,A101,A152,1
A14,2759,2,A101,A152,1
A13,1258,3,A101,A152,1
A11,2910,2,A101,A153,1
A11,1845,4,A103,A151,1
A14,2080,1,A101,A152,1
A11,4272,1,A101,A152,1
A11,3959,4,A101,A152,1
A11,1602,4,A101,A152,1
A11,338,4,A101,A152,1
A14,2684,4,A101,A152,1
A14,3595,4,A101,A152,1
A12,368,4,A101,A152,1
A12,7432,2,A101,A151,1
A12,7418,1,A101,A152,1
A11,1403,2,A101,A151,1
A11,3905,2,A101,A151,1
A12,2329,1,A103,A152,1
A11,4716,1,A101,A152,1
A11,343,4,A101,A152,1
A11,662,3,A101,A152,1
A12,454,3,A101,A152,1
A14,3535,4,A101,A152,1
A12,6468,1,A101,A152,1
A11,8471,1,A101,A151,1
A11,2121,4,A101,A152,1
A13,1126,2,A101,A152,1
A13,2892,3,A101,A153,1
A13,4473,4,A101,A152,1
A14,2375,4,A101,A152,1
A11,1409,4,A101,A152,1
A11,2812,2,A101,A151,1
A12,590,3,A101,A152,1
A12,1007,4,A101,A152,1
A14,2171,2,A101,A152,1
A14,6742,2,A101,A152,1
A14,2133,4,A101,A153,1
A12,1514,4,A103,A152,1
A13,4796,4,A101,A153,1
A14,1474,4,A101,A152,1
A11,1940,3,A102,A153,1
A12,1239,4,A101,A153,1
A14,1585,4,A101,A152,1
A14,1569,4,A101,A152,1
A14,7678,2,A101,A152,1
A11,708,2,A103,A152,1
A14,804,4,A101,A152,1
A11,2578,3,A101,A153,1
A11,7721,1,A101,A152,1
A11,1936,2,A101,A151,1
A14,2831,4,A101,A152,1
A14,1542,2,A101,A152,1
A12,3496,4,A101,A152,1
A14,5507,3,A101,A153,1
A13,1347,4,A101,A152,1
A14,2333,4,A101,A152,1
A12,754,4,A101,A152,1
A12,1037,3,A101,A152,1
A13,1330,4,A101,A152,1
A12,2576,2,A103,A152,1
A12,1103,4,A103,A152,1
A12,4712,4,A101,A152,1
A14,976,4,A101,A152,1
A11,3650,1,A101,A151,1
A11,6419,2,A101,A153,1
A12,882,4,A103,A152,1
A11,1231,4,A101,A151,1
A14,2022,4,A101,A152,1
A14,1568,3,A101,A151,1
A12,1941,4,A101,A152,1
A14,8133,1,A101,A152,1
A14,1236,2,A101,A151,1
A14,3485,2,A101,A152,1
A14,2404,2,A101,A152,1
A12,2030,2,A101,A152,1
A14,2288,4,A101,A152,1
A12,3979,4,A101,A152,1
A14,2390,4,A101,A152,1
A12,8358,1,A101,A152,1
A11,428,2,A101,A152,1
A11,8072,2,A101,A152,1
A14,6070,3,A101,A152,1
A14,936,4,A101,A152,1
A11,1478,4,A101,A152,1
A11,1680,3,A101,A152,1
A14,1449,3,A101,A152,1
A14,2578,2,A101,A152,1
A14,1582,4,A101,A152,1
A14,1388,4,A101,A151,1
A11,1262,2,A101,A152,1
A14,1940,4,A101,A152,1
A12,2899,4,A101,A152,1
A14,4526,4,A101,A152,1
A14,1597,3,A101,A151,1
A12,1206,4,A101,A152,1
A14,2603,2,A101,A151,1
A14,2835,3,A101,A152,1
A14,3518,2,A103,A151,1
A13,3049,1,A101,A152,1
A14,4454,4,A101,A152,1
A14,1533,4,A101,A152,1
A14,5771,4,A101,A152,1
A14,937,4,A101,A152,1
A11,1498,4,A101,A152,1
A14,6314,4,A102,A152,1
A14,11054,4,A101,A152,1
A12,2063,4,A101,A151,1
A14,7596,1,A101,A152,1
A12,585,4,A102,A151,1
A14,2238,2,A101,A152,1
A13,1297,3,A101,A151,1
A11,3398,1,A101,A152,1
A14,2782,1,A101,A152,1
A12,1795,3,A103,A151,1
A14,4530,4,A101,A151,1
A11,2171,4,A101,A152,1
A11,1374,4,A101,A152,1
A11,3973,1,A101,A153,1
A14,1154,4,A101,A152,1
A12,1175,2,A101,A153,1
A12,3195,1,A101,A152,1
A12,7472,1,A101,A151,1
A11,1288,3,A103,A152,1
A14,3077,3,A101,A152,1
A14,3832,1,A101,A152,1
A14,727,4,A101,A153,1
A12,4221,2,A101,A152,1
A14,2028,2,A101,A152,1
A14,1473,3,A101,A152,1
A14,2394,4,A101,A152,1
A12,4795,4,A101,A152,1
A14,8858,2,A101,A153,1
A14,6304,4,A101,A152,1
A14,1595,3,A101,A152,1
A11,1164,3,A101,A153,1
A14,6761,1,A101,A152,1
A14,1258,4,A101,A152,1
A14,1291,4,A101,A152,1
A11,666,3,A101,A152,1
A12,5800,3,A101,A152,1
A14,1766,1,A101,A151,1
A14,1237,1,A101,A152,1
A11,3763,2,A102,A152,1
A11,15857,2,A102,A152,1
A14,1402,3,A101,A151,1
A14,3850,3,A101,A152,1
A11,2522,1,A103,A152,1
A14,1255,4,A101,A152,1
A13,1275,2,A101,A152,1
A13,3913,2,A101,A152,1
A11,1872,4,A101,A153,1
A14,874,4,A101,A152,1
A14,783,1,A103,A152,1
A14,2331,1,A102,A152,1
A14,3105,4,A101,A152,1
A13,1299,1,A101,A152,1
A12,1048,4,A101,A152,1
A14,1455,2,A101,A152,1
A14,2032,4,A101,A153,1
A14,9277,2,A101,A153,1
A14,1376,4,A101,A152,1
A11,1168,4,A101,A152,1
A14,629,4,A101,A152,1
A13,3148,3,A101,A152,1
A12,3612,3,A101,A152,1
A14,999,4,A101,A152,1
A11,2799,2,A101,A151,1
A14,3229,2,A101,A152,1
A11,2249,4,A101,A152,1
A12,790,4,A101,A152,1
A14,1236,1,A101,A151,1
A11,2214,4,A101,A152,1
A12,1804,3,A101,A152,1
A14,6313,3,A101,A152,1
A12,2779,1,A101,A151,1
A12,11328,2,A102,A152,2
A14,1864,4,A101,A152,2
A14,8648,2,A101,A152,2
A12,2039,1,A101,A152,2
A11,6199,4,A101,A151,2
A11,1199,4,A101,A152,2
A11,750,4,A101,A152,2
A11,3190,2,A101,A152,2
A13,2327,2,A101,A152,2
A11,1216,4,A101,A151,2
A11,1647,4,A101,A152,2
A11,4817,2,A102,A152,2
A11,2439,4,A101,A152,2
A12,9034,4,A102,A151,2
A11,1366,3,A101,A151,2
A11,3114,1,A101,A151,2
A14,4611,1,A101,A152,2
A11,9629,4,A101,A152,2
A11,2235,4,A103,A151,2
A11,1882,4,A101,A151,2
A12,1223,1,A101,A151,2
A11,6758,3,A101,A152,2
A14,7485,4,A101,A152,2
A12,3915,4,A101,A152,2
A11,1217,4,A101,A152,2
A11,950,4,A101,A151,2
A13,745,3,A101,A152,2
A12,1778,2,A101,A151,2
A12,15672,2,A101,A152,2
A12,4455,2,A101,A152,2
A12,14027,4,A101,A152,2
A14,4463,4,A101,A152,2
A13,2864,2,A101,A152,2
A12,2064,3,A101,A152,2
A12,1056,3,A103,A152,2
A14,1819,4,A101,A153,2
A13,1337,4,A101,A152,2
A11,8978,1,A101,A152,2
A11,1977,4,A101,A152,2
A11,1275,4,A101,A151,2
A12,12612,1,A101,A153,2
A11,759,4,A101,A152,2
A14,5003,1,A101,A152,2
A12,6850,1,A101,A152,2
A12,2278,3,A101,A152,2
A14,2397,3,A101,A152,2
A12,4249,4,A101,A152,2
A11,8229,2,A101,A152,2
A11,1659,4,A101,A151,2
A12,1245,4,A101,A152,2
A12,2969,4,A101,A151,2
A12,1331,2,A101,A152,2
A12,3031,4,A103,A151,2
A11,727,4,A101,A152,2
A12,5595,2,A101,A152,2
A13,609,4,A101,A152,2
A11,1198,4,A101,A153,2
A12,931,1,A101,A152,2
A11,4281,1,A101,A152,2
A12,3441,2,A102,A151,2
A12,3844,4,A101,A153,2
A14,1808,4,A101,A152,2
A11,2406,4,A101,A151,2
A14,2538,4,A101,A152,2
A11,1835,3,A101,A152,2
A11,976,1,A101,A152,2
A12,836,4,A101,A152,2
A11,1371,4,A101,A151,2
A12,3804,4,A101,A152,2
A12,6224,4,A101,A153,2
A14,10974,4,A101,A152,2
A14,2580,4,A101,A152,2
A11,2039,1,A101,A151,2
A12,1928,2,A101,A152,2
A11,2302,4,A101,A151,2
A14,12680,4,A101,A153,2
A12,4746,4,A101,A152,2
A12,4280,4,A101,A151,2
A14,10127,2,A101,A153,2
A12,1188,2,A101,A152,2
A11,4006,3,A101,A152,2
A12,14782,3,A101,A153,2
A14,1980,2,A102,A151,2
A12,4241,1,A101,A152,2
A12,1136,4,A101,A153,2
A12,12389,1,A101,A153,2
A11,1372,2,A101,A152,2
A11,8335,3,A101,A153,2
A11,1845,4,A101,A153,2
A12,8386,2,A101,A152,2
A14,3621,2,A101,A152,2
A12,2150,4,A103,A152,2
A11,6836,3,A101,A152,2
A11,1282,4,A101,A152,2
A11,3386,3,A101,A153,2
A14,2169,4,A101,A152,2
A12,9398,1,A101,A151,2
A11,2625,2,A103,A151,2
A11,3959,3,A101,A152,2
A11,4110,3,A101,A151,2
A12,3060,4,A101,A152,2
A11,2145,2,A101,A152,2
A12,639,4,A101,A152,2
A11,448,4,A101,A152,2
A12,4057,3,A101,A152,2
A14,1478,4,A101,A152,2
A11,3931,4,A101,A153,2
A14,5943,1,A101,A152,2
A11,1207,4,A101,A151,2
A11,1442,4,A101,A151,2
A11,2124,4,A101,A151,2
A11,654,4,A101,A152,2
A14,4623,3,A101,A152,2
A12,959,1,A101,A152,2
A12,1484,2,A101,A152,2
A11,3234,4,A101,A151,2
A14,2775,2,A101,A152,2
A14,2210,2,A101,A151,2
A11,7865,4,A101,A153,2
A12,15945,3,A101,A151,2
A12,6468,2,A101,A152,2
A13,1344,4,A101,A152,2
A11,1546,4,A103,A151,2
A11,1193,1,A102,A151,2
A11,915,4,A101,A152,2
A14,7855,4,A101,A152,2
A12,766,4,A101,A152,2
A11,7174,4,A101,A152,2
A13,947,4,A101,A153,2
A12,1246,4,A101,A152,2
A11,3966,1,A101,A151,2
A11,1082,4,A101,A152,2
A11,709,4,A101,A152,2
A13,1240,1,A101,A153,2
A11,3446,4,A101,A152,2
A12,14421,2,A101,A152,2
A11,2996,2,A101,A152,2
A14,3349,4,A101,A152,2
A14,2570,3,A101,A151,2
A11,697,4,A101,A152,2
A12,11938,2,A102,A152,2
A12,5096,2,A101,A152,2
A12,10961,1,A102,A152,2
A12,1534,1,A101,A151,2
A12,7408,4,A101,A152,2
A14,6458,2,A101,A152,2
A11,1553,4,A101,A152,2
A11,6331,4,A101,A153,2
A12,2762,1,A101,A152,2
A12,5129,2,A101,A153,2
A14,1530,3,A101,A152,2
A12,888,4,A101,A152,2
A11,2246,3,A101,A152,2
A11,1024,4,A101,A152,2
A12,9960,1,A101,A152,2
A11,741,4,A101,A152,2
A12,6416,4,A101,A151,2
A11,3552,3,A101,A152,2
A13,939,4,A101,A152,2
A11,4308,3,A101,A151,2
A11,7763,4,A101,A153,2
A11,1285,4,A101,A151,2
A11,1987,2,A101,A151,2
A11,6350,4,A101,A152,2
A11,3123,4,A101,A152,2
A14,4591,2,A101,A152,2
A11,5293,2,A101,A152,2
A12,6288,4,A101,A153,2
A11,2462,2,A101,A152,2
A11,3965,4,A101,A152,2
A13,1271,3,A101,A153,2
A14,1386,2,A101,A152,2
A11,11998,1,A101,A152,2
A12,2631,2,A101,A151,2
A11,4605,3,A101,A153,2
A11,14896,1,A101,A152,2
A12,1670,4,A101,A152,2
A14,9572,1,A101,A152,2
A12,1237,3,A101,A152,2
A12,14318,4,A101,A153,2
A11,1842,4,A101,A152,2
A11,4843,3,A102,A151,2
A12,2520,4,A101,A152,2
A11,6999,1,A103,A152,2
A11,2712,2,A101,A152,2
A11,3108,2,A101,A152,2
A11,1108,4,A101,A152,2
A14,1123,4,A101,A151,2
A13,2100,4,A102,A152,2
A11,2359,1,A101,A152,2
A11,3051,3,A101,A152,2
A12,11560,1,A101,A151,2
A12,884,4,A101,A152,2
A12,1042,4,A101,A152,2
A12,1919,4,A101,A152,2
A14,4165,2,A101,A152,2
A13,2319,2,A101,A151,2
A12,4113,3,A101,A151,2
A12,2384,4,A101,A151,2
A14,11590,2,A101,A151,2
A12,3092,3,A101,A151,2
A12,2718,3,A101,A151,2
A12,18424,1,A101,A152,2
A11,1422,3,A101,A153,2
A11,684,4,A101,A151,2
A12,1355,3,A101,A152,2
A14,6761,2,A101,A151,2
A13,4210,4,A101,A152,2
A11,2149,4,A101,A153,2
A11,11816,2,A101,A151,2
A12,2671,4,A102,A153,2
A11,1190,2,A101,A153,2
A12,685,2,A101,A152,2
A12,433,4,A101,A151,2
A11,3414,2,A101,A152,2
A11,1333,4,A101,A153,2
A14,719,4,A101,A152,2
A11,2303,4,A102,A152,2
A12,5951,2,A101,A152,2
A12,802,4,A101,A152,2
A11,4870,3,A101,A153,2
A11,10297,4,A101,A153,2
A12,8318,2,A101,A153,2
A11,9271,2,A101,A152,2
A11,8065,3,A101,A152,2
A11,2600,4,A101,A153,2
A11,4370,3,A101,A152,2
A14,1943,4,A101,A152,2
A12,4933,2,A103,A152,2
A11,1131,4,A101,A152,2
A12,1935,4,A101,A152,2
A12,12976,3,A101,A153,2
A12,1216,4,A101,A152,2
A11,1358,4,A101,A152,2
A11,7685,2,A103,A151,2
A11,626,4,A101,A152,2
A11,1274,3,A101,A152,2
