@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Property {A121,A122,A124,A123}
@attribute Job {A173,A172,A174,A171}
@attribute Telephone {A192,A191}
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A14,60,A74,A123,A173,A192,A201,1
A14,6,A74,A123,A173,A192,A201,1
A14,6,A73,A122,A173,A191,A201,1
A14,60,A75,A124,A174,A192,A201,1
A11,30,A75,A124,A174,A192,A201,1
A14,15,A73,A123,A173,A191,A201,1
A14,48,A73,A124,A173,A192,A201,1
A14,12,A73,A121,A173,A191,A201,1
A11,6,A75,A121,A173,A192,A201,1
A14,24,A73,A121,A173,A191,A201,1
A14,18,A72,A121,A173,A192,A201,1
A11,12,A73,A123,A173,A191,A201,1
A14,20,A72,A121,A173,A192,A201,1
A14,21,A75,A121,A174,A192,A201,1
A14,36,A73,A121,A173,A191,A201,1
A14,12,A73,A121,A173,A192,A202,1
A11,12,A73,A122,A172,A191,A201,1
A12,12,A74,A123,A174,A192,A201,1
A14,24,A75,A123,A173,A192,A201,1
A14,12,A74,A121,A172,A191,A201,1
A12,9,A72,A121,A171,A191,A201,1
A14,12,A75,A122,A173,A192,A201,1
A13,4,A72,A121,A172,A191,A202,1
A14,24,A71,A124,A174,A192,A201,1
A14,7,A75,A122,A172,A192,A201,1
A12,18,A72,A121,A173,A192,A201,1
A13,24,A75,A124,A173,A192,A201,1
A12,24,A72,A123,A173,A191,A201,1
A12,36,A72,A124,A174,A192,A201,1
A12,36,A75,A124,A173,A191,A201,1
A14,48,A75,A123,A173,A191,A201,1
A11,21,A74,A123,A172,A191,A201,1
A12,20,A75,A123,A173,A192,A201,1
A11,18,A74,A123,A172,A191,A201,1
A14,10,A73,A121,A172,A191,A202,1
A14,15,A74,A123,A173,A191,A201,1
A14,24,A74,A123,A173,A192,A201,1
A12,45,A71,A123,A173,A191,A201,1
A14,33,A74,A123,A174,A192,A201,1
A13,24,A73,A123,A172,A191,A201,1
A14,24,A74,A123,A173,A191,A201,1
A14,9,A73,A121,A173,A191,A201,1
A14,30,A73,A122,A172,A191,A201,1
A12,12,A73,A123,A173,A191,A201,1
A14,15,A73,A123,A173,A191,A201,1
A12,7,A73,A121,A173,A191,A201,1
A14,10,A75,A121,A172,A191,A202,1
A12,6,A74,A122,A172,A191,A201,1
A14,18,A73,A121,A173,A192,A201,1
A12,9,A73,A121,A172,A191,A201,1
A13,6,A75,A123,A173,A192,A201,1
A14,42,A74,A122,A173,A192,A201,1
A11,30,A75,A122,A173,A191,A201,1
A14,6,A73,A121,A172,A191,A201,1
A13,6,A75,A121,A173,A191,A202,1
A12,9,A75,A123,A172,A191,A201,1
A14,12,A75,A121,A172,A192,A201,1
A14,24,A73,A123,A174,A192,A201,1
A11,21,A74,A121,A172,A191,A202,1
A14,36,A75,A122,A173,A191,A201,1
A14,10,A74,A122,A173,A192,A201,1
A14,24,A75,A124,A173,A192,A201,1
A11,18,A75,A124,A174,A192,A201,1
A12,30,A75,A122,A173,A191,A201,1
A14,4,A74,A121,A172,A191,A201,1
A14,6,A74,A121,A173,A191,A201,1
A11,18,A74,A123,A174,A192,A201,1
A14,24,A75,A121,A172,A191,A201,1
A14,12,A72,A122,A172,A191,A201,1
A14,60,A73,A124,A173,A192,A201,1
A11,42,A74,A122,A173,A191,A201,1
A14,30,A75,A123,A173,A192,A201,1
A12,12,A74,A121,A173,A191,A202,1
A14,15,A73,A124,A173,A192,A201,1
A14,27,A73,A123,A173,A191,A201,1
A11,30,A72,A123,A173,A191,A201,1
A12,12,A72,A121,A174,A191,A201,1
A12,48,A71,A124,A174,A192,A201,1
A14,12,A75,A122,A173,A191,A201,1
A12,36,A72,A124,A171,A191,A201,1
A12,12,A72,A123,A173,A191,A201,1
A14,9,A72,A122,A173,A191,A201,1
A11,36,A73,A122,A173,A191,A201,1
A11,18,A73,A123,A172,A192,A201,1
A14,18,A73,A122,A174,A192,A201,1
A14,36,A75,A123,A173,A191,A201,1
A11,9,A74,A121,A173,A191,A201,1
A12,9,A74,A123,A173,A192,A201,1
A14,36,A73,A123,A173,A191,A201,1
A14,15,A73,A122,A172,A191,A201,1
A14,6,A73,A121,A172,A191,A201,1
A11,12,A73,A122,A172,A191,A201,1
A14,21,A75,A123,A174,A192,A201,1
A13,9,A75,A121,A173,A191,A201,1
A11,30,A74,A123,A173,A191,A201,1
A11,24,A75,A124,A173,A192,A201,1
A11,30,A75,A122,A173,A192,A201,1
A14,24,A73,A124,A173,A191,A201,1
A14,15,A72,A122,A172,A191,A201,1
A11,10,A72,A121,A172,A191,A202,1
A14,15,A72,A123,A173,A192,A201,1
A12,18,A73,A123,A173,A191,A201,1
A12,15,A75,A123,A172,A191,A201,1
A14,12,A73,A122,A173,A191,A201,1
A13,12,A72,A121,A173,A191,A201,1
A14,12,A75,A121,A172,A191,A201,1
A14,12,A74,A123,A173,A192,A201,1
A14,27,A72,A121,A172,A192,A201,1
A14,36,A74,A123,A173,A192,A201,1
A14,15,A74,A122,A173,A192,A201,1
A14,15,A75,A122,A173,A192,A201,1
A12,12,A73,A121,A173,A191,A201,1
A11,15,A73,A122,A173,A191,A201,1
A14,24,A73,A122,A173,A191,A201,1
A14,24,A75,A123,A173,A192,A201,1
A11,12,A75,A124,A174,A191,A201,1
A12,12,A74,A121,A172,A191,A201,1
A14,12,A71,A124,A174,A192,A201,1
A12,6,A75,A123,A173,A191,A201,1
A14,18,A73,A124,A174,A192,A201,1
A12,24,A74,A122,A173,A192,A201,1
A12,24,A75,A124,A173,A191,A201,1
A11,18,A72,A122,A173,A191,A201,1
A12,6,A71,A122,A174,A192,A201,1
A14,12,A75,A123,A174,A192,A201,1
A12,24,A75,A122,A172,A191,A201,1
A14,18,A72,A123,A174,A192,A201,1
A12,9,A73,A121,A172,A191,A201,1
A11,30,A73,A122,A174,A192,A201,1
A14,9,A74,A123,A173,A191,A201,1
A12,24,A73,A122,A172,A192,A201,1
A14,24,A75,A123,A174,A192,A201,1
A13,24,A75,A124,A173,A191,A201,1
A11,24,A72,A122,A173,A192,A202,1
A14,18,A71,A123,A171,A191,A201,1
A12,36,A74,A123,A173,A191,A201,1
A14,24,A73,A123,A173,A192,A201,1
A11,24,A72,A124,A173,A191,A201,1
A14,15,A75,A122,A173,A191,A201,1
A13,6,A72,A121,A171,A191,A202,1
A14,4,A74,A121,A173,A191,A201,1
A14,18,A71,A121,A173,A191,A201,1
A14,6,A74,A121,A172,A191,A201,1
A14,12,A72,A122,A174,A192,A201,1
A14,9,A75,A124,A172,A191,A201,1
A11,18,A74,A122,A174,A192,A201,1
A12,18,A73,A124,A173,A191,A201,1
A14,36,A75,A123,A174,A192,A201,1
A12,7,A72,A121,A173,A191,A201,1
A12,18,A71,A123,A171,A192,A201,1
A14,24,A75,A123,A173,A192,A201,1
A14,48,A73,A121,A173,A191,A201,1
A12,42,A74,A121,A172,A191,A201,1
A12,18,A72,A121,A173,A191,A201,1
A11,6,A75,A124,A173,A192,A201,1
A11,21,A72,A123,A173,A191,A201,1
A12,18,A73,A121,A173,A191,A201,1
A14,15,A75,A124,A173,A191,A201,1
A14,18,A72,A121,A173,A192,A201,1
A11,12,A73,A122,A172,A191,A201,1
A14,12,A74,A121,A173,A191,A201,1
A14,24,A73,A122,A174,A192,A201,1
A11,6,A71,A124,A174,A192,A201,1
A12,11,A74,A122,A173,A191,A201,1
A14,24,A73,A122,A173,A191,A201,1
A14,12,A73,A124,A173,A192,A201,1
A14,36,A73,A123,A174,A192,A201,1
A12,36,A75,A121,A173,A191,A201,1
A12,48,A71,A124,A174,A192,A201,1
A12,48,A74,A123,A173,A192,A201,1
A13,21,A73,A123,A174,A192,A201,1
A14,24,A73,A122,A172,A192,A201,1
A14,11,A71,A121,A172,A191,A201,1
A14,12,A74,A123,A173,A192,A201,1
A11,36,A73,A122,A173,A192,A201,1
A13,12,A75,A123,A174,A191,A201,1
A12,42,A71,A124,A174,A192,A201,1
A11,12,A73,A122,A172,A191,A201,1
A14,6,A73,A121,A172,A191,A201,1
A13,10,A72,A122,A172,A191,A201,1
A13,6,A72,A122,A173,A191,A201,1
A14,24,A74,A122,A173,A192,A201,1
A14,36,A75,A124,A173,A191,A201,1
A14,12,A73,A121,A174,A192,A201,1
A14,24,A75,A123,A174,A192,A201,1
