@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Guarantors {A101,A103,A102}
@attribute Age numeric
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A12,A32,A43,A61,A101,22,A173,1
A12,A34,A48,A65,A101,39,A172,1
A14,A32,A40,A63,A101,35,A173,1
A14,A32,A40,A61,A101,49,A172,1
A11,A34,A43,A61,A101,58,A172,1
A11,A32,A42,A65,A101,39,A173,1
A14,A32,A43,A61,A101,36,A174,1
A12,A32,A49,A62,A101,34,A173,1
A14,A34,A40,A63,A101,44,A173,1
A12,A31,A42,A64,A101,34,A173,1
A12,A32,A43,A61,A103,23,A172,1
A11,A32,A43,A61,A101,52,A172,1
A12,A32,A49,A64,A101,35,A172,1
A14,A32,A44,A63,A101,62,A173,1
A14,A34,A41,A64,A101,27,A173,1
A12,A33,A43,A61,A102,20,A173,1
A14,A32,A41,A61,A101,33,A173,1
A14,A34,A40,A61,A101,34,A174,1
A14,A33,A43,A65,A101,32,A173,1
A13,A32,A40,A62,A101,28,A174,1
A13,A32,A40,A61,A101,23,A174,1
A11,A34,A41,A61,A101,44,A174,1
A14,A30,A42,A61,A101,34,A173,1
A14,A32,A48,A61,A101,27,A172,1
A14,A34,A41,A65,A101,43,A173,1
A14,A32,A43,A61,A101,32,A173,1
A14,A34,A40,A61,A101,32,A172,1
A14,A32,A40,A65,A101,54,A173,1
A12,A32,A43,A65,A101,26,A173,1
A12,A32,A43,A61,A103,29,A173,1
A14,A32,A44,A65,A101,24,A173,1
A13,A34,A40,A62,A101,28,A173,1
A11,A32,A43,A61,A101,59,A173,1
A14,A33,A41,A64,A101,27,A173,1
A11,A32,A41,A61,A103,63,A173,1
A14,A32,A48,A65,A101,36,A174,1
A14,A32,A43,A61,A101,26,A173,1
A12,A33,A43,A62,A101,23,A173,1
A13,A34,A42,A65,A102,20,A173,1
A11,A34,A49,A61,A101,43,A174,1
A14,A34,A43,A61,A101,24,A173,1
A12,A33,A43,A61,A101,51,A173,1
A14,A31,A49,A61,A101,50,A173,1
A14,A30,A41,A65,A101,39,A172,1
A14,A32,A45,A65,A101,48,A173,1
A14,A34,A43,A61,A102,38,A173,1
A11,A34,A40,A61,A101,30,A173,1
A14,A32,A41,A62,A101,23,A173,1
A13,A32,A42,A61,A101,45,A172,1
A12,A32,A42,A61,A101,34,A174,1
A14,A32,A43,A65,A101,25,A173,1
A14,A34,A43,A64,A101,46,A173,1
A13,A32,A43,A61,A101,25,A173,1
A14,A32,A43,A65,A101,37,A173,1
A14,A32,A49,A61,A101,25,A173,1
A14,A33,A49,A61,A101,26,A173,1
A14,A32,A40,A65,A101,38,A174,1
A14,A33,A43,A63,A101,37,A174,1
A11,A34,A40,A61,A101,48,A172,1
A12,A34,A41,A62,A101,27,A173,1
A11,A34,A40,A61,A101,37,A173,1
A11,A32,A42,A61,A103,21,A172,1
A11,A32,A44,A61,A101,27,A173,1
A14,A34,A43,A61,A101,25,A173,1
A12,A32,A40,A64,A101,22,A173,1
A12,A32,A45,A61,A101,22,A172,1
A12,A34,A40,A61,A101,47,A172,1
A14,A34,A41,A61,A101,41,A174,1
A14,A34,A43,A61,A101,26,A173,1
A14,A34,A41,A61,A101,35,A174,1
A12,A31,A44,A65,A101,29,A171,1
A12,A31,A49,A62,A101,30,A173,1
A12,A32,A42,A64,A101,20,A173,1
A14,A34,A42,A64,A101,35,A173,1
A12,A34,A49,A65,A101,28,A173,1
A12,A32,A42,A61,A101,31,A172,1
A14,A32,A43,A62,A102,35,A173,1
A12,A34,A42,A61,A101,27,A173,1
A14,A32,A41,A62,A101,23,A173,1
A14,A32,A43,A65,A101,21,A173,1
A13,A32,A46,A61,A101,23,A173,1
A12,A32,A42,A61,A101,22,A173,1
A14,A34,A43,A63,A101,42,A173,1
A14,A34,A42,A63,A101,36,A173,1
A14,A32,A41,A63,A101,50,A173,1
A12,A32,A43,A65,A101,25,A173,1
A12,A32,A40,A61,A101,28,A172,1
A11,A34,A43,A61,A101,31,A173,1
A13,A32,A42,A61,A101,26,A173,1
A11,A32,A42,A61,A101,24,A173,1
A14,A32,A40,A62,A103,26,A173,1
A14,A34,A43,A61,A101,28,A173,1
A11,A32,A41,A65,A101,26,A173,1
A14,A32,A40,A65,A101,34,A173,1
A12,A32,A42,A65,A101,35,A173,1
A13,A32,A42,A61,A101,41,A173,1
A11,A34,A40,A61,A101,37,A173,1
A14,A32,A43,A62,A102,28,A173,1
A14,A34,A49,A65,A101,57,A172,1
A11,A34,A41,A61,A101,75,A174,1
A14,A32,A42,A61,A101,43,A173,1
A14,A33,A40,A65,A101,54,A173,1
A14,A32,A43,A62,A101,35,A173,1
A14,A32,A41,A65,A101,26,A174,1
A11,A32,A43,A61,A101,55,A173,1
A13,A32,A42,A61,A101,46,A172,1
A12,A33,A40,A65,A101,43,A173,1
A14,A32,A41,A61,A101,32,A174,1
A14,A32,A40,A61,A101,54,A171,1
A14,A34,A43,A61,A101,31,A173,1
A12,A31,A43,A61,A101,23,A172,1
A11,A34,A43,A61,A101,32,A174,1
A13,A34,A43,A65,A101,27,A173,1
A14,A34,A41,A65,A101,63,A173,1
A11,A32,A43,A61,A101,20,A174,1
A14,A34,A42,A61,A101,28,A173,1
A11,A33,A40,A61,A101,43,A172,1
A11,A32,A42,A61,A101,30,A174,1
A14,A32,A43,A63,A101,31,A173,1
A12,A32,A43,A61,A101,37,A172,1
A11,A32,A42,A61,A102,30,A173,1
A11,A34,A42,A65,A101,30,A174,1
A14,A34,A49,A65,A101,46,A174,1
A14,A34,A40,A64,A101,41,A172,1
A12,A33,A49,A65,A101,37,A174,1
A12,A32,A49,A61,A101,27,A173,1
A14,A32,A42,A64,A101,33,A173,1
A14,A34,A40,A61,A101,30,A173,1
A11,A32,A42,A65,A101,30,A173,1
A11,A33,A46,A65,A101,23,A173,1
A14,A33,A40,A61,A101,60,A173,1
A14,A31,A43,A62,A101,34,A172,1
A13,A32,A43,A61,A101,44,A172,1
A14,A34,A43,A65,A101,47,A173,1
A12,A32,A43,A65,A101,23,A173,1
A12,A32,A48,A65,A101,38,A173,1
A14,A33,A40,A61,A101,45,A173,1
A14,A30,A45,A61,A101,27,A173,1
A12,A32,A41,A61,A101,30,A173,1
A14,A32,A42,A65,A101,31,A173,1
A14,A32,A43,A63,A101,26,A174,1
A14,A32,A49,A61,A101,74,A172,1
A14,A32,A44,A63,A101,36,A173,1
A14,A33,A43,A61,A101,34,A173,1
A14,A33,A42,A64,A101,30,A173,1
A14,A32,A43,A65,A101,29,A173,1
A14,A32,A40,A61,A102,62,A173,1
A12,A32,A45,A61,A101,67,A173,1
A12,A34,A49,A61,A101,40,A171,1
A11,A32,A42,A61,A102,24,A172,1
A12,A32,A43,A61,A103,34,A173,1
A12,A32,A43,A61,A103,35,A173,1
A12,A32,A42,A65,A101,24,A173,1
A14,A32,A42,A63,A101,20,A173,1
A14,A34,A43,A61,A101,65,A171,1
A12,A33,A40,A61,A101,47,A173,1
A12,A32,A41,A61,A101,35,A174,1
A12,A32,A43,A61,A101,28,A173,1
A14,A32,A43,A61,A101,38,A173,1
A14,A32,A43,A62,A101,26,A173,1
A12,A34,A42,A61,A101,28,A173,1
A14,A34,A43,A65,A101,40,A173,1
A14,A34,A43,A65,A101,34,A172,1
A12,A32,A40,A65,A101,35,A171,1
A12,A34,A43,A61,A101,37,A172,1
A13,A31,A43,A64,A101,42,A173,1
A12,A34,A40,A62,A101,37,A173,1
A11,A32,A40,A64,A101,31,A173,1
A13,A32,A46,A61,A101,40,A174,1
A11,A32,A42,A61,A102,29,A172,1
A14,A34,A43,A65,A101,35,A173,1
A11,A32,A42,A61,A101,22,A173,1
A14,A32,A43,A65,A101,25,A173,1
A14,A34,A46,A61,A101,32,A173,1
A14,A32,A40,A61,A101,31,A172,1
A14,A34,A41,A61,A101,35,A173,1
A11,A32,A42,A61,A103,46,A173,1
A14,A33,A41,A61,A101,35,A172,1
A11,A32,A42,A61,A101,42,A173,1
A14,A32,A41,A63,A101,24,A173,1
A14,A34,A43,A61,A101,26,A173,1
A11,A32,A43,A63,A101,35,A173,1
A14,A34,A43,A62,A101,52,A173,1
A12,A34,A42,A64,A101,32,A173,1
A11,A34,A42,A61,A103,28,A173,1
A14,A34,A43,A65,A101,53,A173,1
A12,A32,A46,A61,A101,67,A174,1
A14,A32,A43,A61,A101,32,A173,1
A14,A34,A43,A65,A102,49,A173,1
A12,A32,A46,A61,A101,32,A173,1
A12,A32,A41,A61,A101,21,A173,1
A14,A34,A40,A61,A101,45,A174,1
A11,A34,A41,A62,A101,24,A173,1
A14,A32,A43,A61,A101,25,A173,1
A11,A32,A42,A61,A101,55,A174,1
A14,A32,A41,A61,A101,38,A174,1
A14,A34,A41,A65,A101,38,A174,1
A14,A32,A43,A63,A101,28,A173,1
A14,A32,A43,A65,A101,25,A173,1
A14,A34,A41,A65,A101,43,A173,1
A14,A34,A40,A61,A101,48,A173,1
A11,A32,A42,A61,A101,22,A173,1
A14,A32,A41,A62,A101,45,A174,1
A12,A30,A40,A63,A101,30,A173,1
A14,A34,A40,A61,A101,37,A173,1
A11,A32,A41,A61,A101,29,A174,1
A14,A34,A43,A65,A101,65,A173,1
A14,A33,A49,A62,A101,34,A172,1
A11,A32,A43,A61,A101,40,A172,1
A12,A33,A42,A61,A101,35,A174,1
A12,A32,A43,A61,A103,33,A173,1
A14,A32,A49,A65,A101,37,A173,1
A11,A30,A49,A61,A101,31,A173,1
A11,A34,A41,A61,A101,54,A173,1
A14,A32,A41,A65,A101,48,A173,1
A14,A32,A40,A62,A101,35,A172,1
A12,A33,A40,A65,A101,42,A173,1
A11,A34,A40,A61,A101,39,A172,1
A14,A34,A43,A61,A101,42,A172,1
A13,A32,A43,A63,A101,57,A172,1
A12,A34,A42,A61,A101,41,A173,1
A14,A34,A46,A65,A101,37,A172,1
A13,A32,A43,A61,A101,23,A173,1
A14,A32,A43,A62,A101,21,A173,1
A12,A32,A43,A65,A101,42,A173,1
A14,A32,A41,A65,A101,46,A174,1
A14,A34,A40,A64,A101,37,A173,1
A14,A34,A42,A61,A101,31,A174,1
A14,A32,A40,A65,A101,52,A174,1
A14,A34,A46,A65,A101,41,A172,1
A14,A32,A40,A61,A101,30,A174,1
A12,A31,A41,A61,A101,55,A174,1
A14,A34,A42,A61,A101,22,A172,1
A11,A31,A42,A63,A101,22,A173,1
A11,A34,A43,A63,A101,52,A173,1
A11,A32,A410,A61,A102,43,A174,1
A14,A33,A43,A61,A101,21,A173,1
A13,A32,A40,A64,A101,27,A171,1
A12,A32,A43,A61,A101,30,A174,1
A11,A34,A40,A61,A101,40,A172,1
A14,A32,A42,A61,A101,47,A173,1
A12,A32,A49,A61,A101,26,A173,1
A12,A33,A43,A65,A101,27,A172,1
A12,A32,A40,A61,A101,30,A173,1
A14,A32,A42,A61,A101,21,A173,1
A13,A32,A42,A61,A101,33,A174,1
A14,A34,A42,A65,A101,49,A173,1
A14,A32,A41,A65,A101,45,A173,1
A11,A32,A42,A61,A103,37,A173,1
A12,A34,A43,A61,A101,23,A172,1
A14,A32,A40,A61,A103,26,A173,1
A12,A30,A42,A61,A101,33,A173,1
A14,A34,A45,A61,A101,44,A173,1
A12,A34,A40,A65,A101,36,A173,1
A11,A31,A42,A63,A101,22,A173,1
A14,A32,A42,A61,A101,26,A173,1
A14,A32,A46,A65,A101,64,A172,1
A12,A33,A41,A61,A101,30,A174,1
A12,A32,A43,A65,A101,41,A173,1
A14,A34,A40,A61,A101,39,A172,1
A13,A34,A41,A63,A101,36,A173,1
A14,A32,A40,A63,A101,36,A173,1
A12,A32,A40,A61,A101,32,A173,1
A14,A34,A43,A61,A101,26,A174,1
A11,A34,A41,A61,A101,63,A173,1
A14,A31,A40,A65,A103,26,A172,1
A13,A34,A40,A61,A101,74,A171,1
A11,A32,A43,A61,A103,25,A173,1
A11,A32,A43,A61,A101,27,A173,1
A14,A32,A43,A65,A101,58,A173,1
A11,A32,A43,A61,A101,24,A172,1
A12,A33,A410,A61,A101,29,A173,1
A11,A34,A410,A61,A101,51,A174,1
A14,A32,A43,A61,A101,29,A173,1
A12,A32,A40,A65,A101,24,A171,1
A14,A32,A42,A61,A101,24,A172,1
A12,A32,A41,A65,A101,60,A174,1
A14,A32,A41,A65,A101,31,A173,1
A11,A32,A46,A65,A101,23,A173,1
A14,A33,A49,A61,A101,32,A173,1
A14,A32,A44,A61,A101,23,A173,1
A14,A32,A43,A61,A101,32,A173,1
A14,A32,A42,A61,A101,47,A173,1
A12,A33,A46,A62,A101,32,A173,1
A14,A34,A41,A65,A101,46,A174,1
A11,A32,A40,A65,A101,75,A174,1
A14,A32,A43,A62,A101,64,A173,1
A14,A32,A43,A62,A101,42,A173,1
A12,A32,A42,A65,A101,48,A172,1
A12,A33,A49,A62,A101,31,A173,1
A13,A34,A43,A61,A101,47,A173,1
A13,A34,A43,A65,A101,31,A173,1
A11,A32,A42,A64,A101,57,A173,1
A14,A32,A41,A62,A102,32,A173,1
A14,A34,A43,A62,A101,36,A173,1
A12,A32,A43,A61,A103,25,A172,1
A14,A32,A42,A62,A101,22,A173,1
A12,A34,A43,A65,A103,35,A173,1
A14,A34,A42,A65,A101,63,A173,1
A14,A34,A43,A65,A101,29,A173,1
A14,A33,A49,A63,A101,44,A173,1
A12,A34,A40,A62,A101,27,A173,1
A14,A32,A43,A61,A101,29,A173,1
A11,A32,A40,A61,A103,29,A173,1
A11,A32,A41,A61,A101,40,A174,1
A11,A34,A40,A64,A101,39,A172,1
A11,A32,A42,A65,A101,49,A172,1
A14,A32,A40,A65,A101,36,A173,1
A13,A32,A49,A61,A101,26,A173,1
A12,A33,A43,A61,A101,33,A173,1
A14,A32,A41,A65,A101,31,A173,1
A11,A32,A42,A61,A101,27,A173,1
A14,A34,A41,A61,A101,35,A173,1
A14,A34,A45,A61,A101,33,A173,1
A14,A34,A49,A62,A101,27,A172,1
A11,A31,A41,A61,A103,22,A173,1
A12,A32,A49,A62,A101,23,A172,1
A12,A34,A49,A63,A101,27,A173,1
A12,A32,A49,A63,A101,35,A173,1
A13,A34,A40,A61,A101,63,A173,1
A14,A34,A43,A63,A101,47,A172,1
A12,A32,A43,A62,A101,29,A173,1
A14,A32,A42,A63,A101,32,A173,1
A14,A34,A42,A63,A101,37,A173,1
A14,A34,A42,A61,A101,23,A173,1
A14,A34,A49,A61,A103,29,A174,1
A14,A32,A40,A65,A101,50,A173,1
A14,A34,A41,A65,A101,42,A173,1
A11,A31,A40,A62,A101,32,A173,1
A14,A34,A42,A61,A101,35,A174,1
A14,A32,A43,A61,A101,32,A174,1
A12,A33,A49,A62,A101,41,A173,1
A12,A32,A49,A64,A101,36,A173,1
A14,A32,A40,A65,A101,45,A174,1
A14,A34,A42,A61,A102,24,A173,1
A14,A34,A42,A61,A101,33,A173,1
A12,A34,A49,A65,A101,34,A173,1
A12,A33,A410,A62,A101,31,A174,1
A12,A32,A40,A65,A101,24,A173,1
A14,A32,A41,A64,A101,28,A173,1
A11,A32,A40,A61,A101,35,A172,1
A14,A32,A40,A64,A101,20,A173,1
A14,A34,A43,A65,A101,46,A172,1
A14,A34,A42,A61,A101,28,A173,1
A14,A32,A43,A61,A101,28,A173,1
A14,A33,A43,A65,A101,36,A173,1
A11,A32,A41,A61,A101,42,A173,1
A14,A34,A46,A61,A101,57,A172,1
A14,A34,A43,A61,A101,63,A172,1
A13,A34,A43,A65,A101,49,A172,1
A12,A32,A40,A61,A101,22,A172,1
A12,A32,A43,A61,A101,26,A172,1
A12,A33,A40,A61,A101,54,A173,1
A14,A32,A40,A63,A101,31,A174,1
A11,A32,A49,A61,A101,21,A172,1
A11,A34,A40,A61,A101,38,A172,1
A14,A34,A40,A61,A101,38,A171,1
A14,A34,A42,A65,A101,27,A173,1
A14,A33,A40,A61,A101,27,A172,1
A12,A34,A43,A61,A103,23,A173,1
A12,A32,A49,A61,A101,32,A173,1
A14,A34,A49,A61,A101,74,A174,1
A14,A34,A43,A65,A101,51,A173,1
A12,A34,A49,A61,A101,27,A173,1
A11,A34,A42,A61,A101,21,A173,1
A12,A32,A41,A65,A101,36,A173,1
A14,A34,A43,A61,A101,43,A172,1
A14,A32,A43,A65,A101,45,A172,1
A13,A32,A42,A61,A101,23,A173,1
A14,A34,A43,A61,A101,31,A173,1
A14,A32,A40,A62,A101,33,A173,1
A14,A33,A41,A61,A101,46,A172,1
A11,A32,A42,A61,A101,25,A173,1
A11,A34,A40,A61,A101,39,A173,1
A14,A33,A49,A61,A101,26,A173,1
A12,A32,A43,A61,A101,24,A173,1
A14,A32,A49,A64,A101,36,A172,1
A14,A34,A40,A62,A101,27,A173,1
A12,A34,A42,A61,A101,37,A173,1
A11,A34,A40,A61,A102,49,A173,1
A13,A34,A41,A61,A101,56,A173,1
A13,A33,A43,A61,A101,29,A173,1
A11,A32,A41,A61,A101,26,A173,1
A13,A32,A43,A61,A101,24,A173,1
A14,A32,A46,A61,A101,56,A173,1
A14,A32,A43,A61,A101,28,A173,1
A14,A32,A42,A61,A101,26,A173,1
A14,A32,A40,A65,A102,45,A172,1
A12,A30,A49,A61,A101,28,A173,1
A14,A32,A43,A61,A101,54,A174,1
A12,A32,A43,A61,A103,44,A172,1
A13,A30,A49,A61,A101,33,A173,1
A14,A32,A40,A61,A101,27,A173,1
A14,A31,A43,A63,A101,45,A172,1
A11,A34,A42,A61,A101,25,A173,1
A14,A32,A40,A63,A101,40,A172,1
A12,A32,A43,A61,A101,30,A174,1
A14,A34,A42,A61,A101,40,A173,1
A11,A31,A48,A61,A101,45,A172,1
A12,A32,A45,A62,A101,25,A172,1
A14,A34,A40,A61,A101,35,A174,1
A13,A32,A43,A61,A101,31,A173,1
A11,A32,A40,A62,A101,30,A174,1
A11,A34,A40,A61,A101,36,A173,1
A12,A31,A40,A65,A102,36,A174,1
A12,A34,A49,A61,A101,41,A172,1
A14,A32,A49,A62,A101,31,A173,1
A14,A34,A410,A61,A102,27,A174,1
A14,A34,A43,A61,A101,35,A173,1
A14,A32,A40,A61,A101,64,A173,1
A11,A31,A43,A61,A102,36,A174,1
A14,A34,A43,A61,A101,30,A173,1
A14,A33,A49,A65,A101,32,A173,1
A14,A33,A42,A62,A101,34,A174,1
A14,A33,A41,A65,A101,31,A174,1
A11,A34,A42,A61,A101,46,A173,1
A12,A32,A40,A61,A101,70,A174,1
A14,A32,A41,A65,A101,26,A173,1
A11,A32,A42,A61,A101,36,A172,1
A12,A34,A40,A63,A101,36,A174,1
A14,A34,A45,A65,A101,23,A173,1
A14,A32,A43,A61,A101,33,A173,1
A14,A32,A40,A65,A101,29,A173,1
A14,A32,A41,A65,A101,26,A173,1
A12,A34,A41,A61,A101,34,A174,1
A14,A34,A46,A61,A101,54,A173,1
A14,A34,A43,A63,A101,32,A174,1
A14,A34,A49,A61,A101,27,A173,1
A14,A32,A40,A64,A101,34,A173,1
A14,A32,A43,A63,A101,39,A173,1
A14,A34,A43,A61,A101,24,A173,1
A14,A32,A42,A62,A101,25,A173,1
A14,A32,A40,A65,A101,25,A173,1
A14,A32,A40,A62,A101,41,A172,1
A14,A32,A43,A61,A101,52,A173,1
A11,A34,A40,A61,A101,36,A173,1
A11,A32,A40,A61,A101,27,A172,1
A11,A32,A42,A61,A103,45,A173,1
A13,A32,A43,A62,A101,47,A173,1
A11,A34,A45,A61,A102,65,A171,1
A14,A34,A41,A64,A101,38,A174,1
A14,A32,A43,A61,A101,51,A173,1
A14,A34,A46,A62,A101,31,A173,1
A12,A32,A43,A61,A103,32,A172,1
A14,A32,A49,A61,A101,27,A173,1
A14,A32,A41,A65,A101,41,A174,1
A11,A32,A49,A61,A101,22,A172,1
A14,A34,A46,A65,A101,33,A173,1
A14,A34,A49,A65,A101,36,A173,1
A14,A32,A46,A63,A101,46,A173,1
A12,A34,A43,A61,A103,48,A172,1
A14,A32,A42,A61,A101,20,A173,1
A13,A32,A40,A65,A101,29,A172,1
A14,A34,A42,A61,A101,42,A173,1
A12,A34,A41,A61,A101,34,A173,1
A14,A34,A43,A65,A101,33,A173,1
A14,A32,A43,A63,A101,40,A173,1
A14,A32,A40,A61,A101,43,A172,1
A14,A32,A41,A65,A101,24,A172,1
A14,A32,A46,A65,A101,35,A172,1
A11,A32,A43,A61,A101,64,A172,1
A11,A32,A43,A61,A101,28,A173,1
A14,A34,A41,A65,A101,35,A173,1
A14,A34,A46,A63,A101,52,A173,1
A11,A32,A46,A61,A101,50,A174,1
A12,A32,A45,A62,A103,22,A173,1
A11,A32,A40,A61,A101,36,A173,1
A14,A32,A42,A63,A101,32,A173,1
A11,A34,A43,A61,A101,25,A172,1
A11,A32,A42,A61,A101,24,A172,1
A11,A32,A410,A61,A103,58,A172,1
A11,A32,A42,A61,A101,26,A172,1
A14,A32,A41,A64,A101,55,A173,1
A12,A32,A43,A63,A101,23,A171,1
A14,A34,A40,A61,A101,42,A172,1
A14,A32,A41,A61,A101,29,A174,1
A14,A34,A43,A65,A101,36,A173,1
A14,A32,A41,A61,A101,35,A174,1
A14,A34,A40,A62,A101,52,A172,1
A11,A34,A49,A61,A101,28,A172,1
A11,A33,A42,A61,A101,27,A172,1
A14,A33,A43,A61,A101,34,A173,1
A12,A32,A46,A65,A101,27,A173,1
A12,A32,A43,A61,A103,40,A172,1
A13,A34,A49,A64,A101,36,A173,1
A14,A34,A40,A63,A101,24,A173,1
A14,A32,A43,A61,A101,30,A173,1
A14,A34,A40,A61,A101,30,A173,1
A11,A32,A40,A65,A102,24,A172,1
A14,A30,A40,A62,A101,35,A173,1
A12,A32,A43,A61,A101,25,A173,1
A11,A32,A43,A61,A103,39,A173,1
A14,A34,A43,A61,A101,35,A172,1
A14,A32,A40,A63,A101,51,A172,1
A12,A34,A40,A61,A101,49,A172,1
A11,A32,A40,A61,A101,39,A174,1
A14,A34,A42,A61,A101,23,A173,1
A11,A32,A43,A61,A101,28,A174,1
A14,A32,A41,A61,A101,30,A173,1
A14,A32,A40,A61,A103,31,A173,1
A14,A32,A42,A61,A101,50,A173,1
A11,A34,A42,A61,A101,36,A174,1
A12,A32,A42,A61,A101,40,A173,1
A12,A32,A43,A63,A101,26,A173,1
A14,A34,A46,A65,A101,61,A173,1
A14,A33,A43,A61,A101,24,A173,1
A14,A34,A42,A65,A101,26,A173,1
A12,A32,A45,A61,A101,38,A172,1
A14,A34,A42,A61,A101,43,A173,1
A12,A32,A40,A64,A101,54,A173,1
A14,A34,A43,A64,A101,43,A172,1
A14,A32,A40,A61,A101,42,A174,1
A11,A32,A41,A65,A101,49,A173,1
A11,A34,A42,A65,A102,27,A173,1
A14,A32,A43,A62,A101,29,A174,1
A13,A32,A43,A61,A101,23,A173,1
A12,A33,A42,A65,A101,29,A172,1
A11,A32,A42,A61,A101,49,A173,1
A11,A34,A40,A61,A101,47,A172,1
A13,A32,A42,A65,A101,55,A174,1
A14,A34,A46,A61,A101,31,A173,1
A12,A32,A42,A62,A101,30,A173,1
A11,A30,A49,A65,A101,25,A173,1
A11,A30,A42,A61,A103,32,A173,1
A12,A33,A43,A65,A101,27,A174,1
A14,A32,A43,A61,A101,31,A174,1
A12,A30,A41,A62,A101,31,A173,1
A12,A32,A43,A61,A103,26,A172,1
A14,A32,A46,A61,A101,47,A173,1
A11,A34,A40,A61,A101,36,A174,1
A12,A32,A43,A61,A103,49,A173,1
A13,A32,A43,A65,A101,37,A174,1
A12,A32,A40,A61,A101,26,A173,1
