@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Telephone {A192,A191}
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A14,A61,A192,A201,2
A11,A61,A192,A201,2
A11,A61,A191,A201,2
A12,A62,A191,A201,2
A11,A61,A191,A201,2
A13,A65,A191,A201,2
A11,A61,A191,A201,2
A11,A61,A191,A201,2
A12,A64,A192,A201,2
A12,A62,A191,A201,2
A11,A61,A191,A201,2
A11,A61,A191,A201,2
A11,A61,A191,A201,2
A12,A61,A191,A201,2
A11,A61,A191,A201,2
A11,A65,A191,A201,2
A12,A65,A192,A201,2
A12,A62,A191,A201,2
A13,A61,A191,A201,2
A11,A61,A191,A201,2
A12,A61,A191,A201,2
A11,A61,A192,A201,2
A11,A61,A192,A201,2
A11,A61,A192,A201,2
A12,A62,A191,A201,2
A11,A61,A191,A201,2
A11,A62,A191,A201,2
A12,A61,A191,A201,2
A11,A61,A192,A201,2
A12,A61,A192,A201,2
A13,A61,A191,A201,2
A11,A61,A192,A201,2
A11,A61,A192,A201,2
A11,A61,A191,A201,2
A13,A61,A192,A201,2
A12,A61,A192,A201,2
A11,A61,A191,A201,2
A12,A61,A191,A201,2
A11,A61,A191,A201,2
A12,A62,A191,A201,2
A11,A61,A192,A201,2
A12,A61,A192,A201,2
A11,A61,A192,A201,2
A11,A61,A191,A201,2
A11,A61,A192,A201,2
A14,A61,A191,A201,2
A11,A61,A192,A201,2
A11,A65,A192,A201,2
A14,A61,A191,A201,2
A12,A62,A191,A201,2
A11,A65,A191,A201,2
A14,A65,A191,A201,2
A11,A61,A191,A201,2
A12,A61,A191,A201,2
A11,A61,A191,A201,2
