@relation german

@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Age numeric
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
A32,A42,A61,24,A151,1
A32,A42,A61,38,A152,1
A33,A40,A62,30,A153,1
A32,A40,A64,54,A152,1
A32,A40,A61,26,A152,1
A34,A43,A65,49,A152,1
A32,A43,A65,23,A151,1
A33,A49,A62,31,A152,1
A32,A46,A63,46,A153,1
A32,A43,A61,27,A152,1
A32,A42,A61,25,A151,1
A34,A42,A61,44,A152,1
A34,A42,A64,50,A152,1
A33,A49,A61,26,A152,1
A32,A43,A61,49,A152,1
A32,A42,A61,50,A152,1
A34,A41,A65,43,A152,1
A32,A49,A61,22,A152,1
A32,A44,A61,23,A151,1
A32,A43,A63,28,A152,1
A34,A40,A61,39,A152,1
A33,A40,A65,54,A152,1
A33,A40,A65,43,A152,1
A34,A40,A61,34,A152,1
A32,A46,A61,56,A152,1
A32,A49,A61,33,A152,1
A34,A40,A61,39,A151,1
A33,A410,A62,31,A153,1
A34,A41,A63,36,A152,1
A33,A49,A65,38,A153,1
A32,A42,A62,25,A152,1
A32,A40,A65,24,A152,1
A32,A40,A61,29,A152,1
A32,A49,A62,23,A151,1
A32,A42,A61,41,A152,1
A32,A40,A61,31,A152,1
A32,A43,A61,64,A152,1
A32,A41,A61,33,A152,1
A32,A41,A62,23,A152,1
A33,A43,A65,36,A153,1
A31,A48,A61,45,A152,1
A34,A41,A61,75,A153,1
A32,A44,A65,24,A152,1
A34,A40,A61,42,A152,1
A34,A41,A62,44,A152,1
A34,A43,A63,32,A152,1
A34,A43,A61,32,A152,1
A34,A40,A63,24,A152,1
A31,A43,A63,45,A152,1
A34,A43,A65,53,A152,1
A34,A42,A65,27,A152,1
A32,A43,A61,25,A152,1
A32,A43,A61,35,A152,1
A33,A49,A62,31,A152,1
A34,A42,A61,35,A151,1
A31,A49,A61,27,A152,1
A31,A43,A65,49,A152,1
A32,A42,A61,23,A152,1
A32,A43,A61,40,A152,1
A34,A46,A61,50,A152,1
A33,A43,A65,27,A152,1
A32,A40,A61,41,A152,1
A32,A49,A61,27,A152,1
A31,A40,A65,26,A152,1
A30,A49,A65,48,A152,1
A32,A40,A65,34,A153,1
A32,A43,A61,64,A151,1
A34,A46,A61,24,A153,1
A32,A43,A61,28,A152,1
A34,A43,A61,23,A152,1
A32,A42,A61,45,A153,1
A33,A41,A61,46,A152,1
A32,A40,A62,35,A151,1
A34,A40,A61,74,A152,1
A32,A41,A61,21,A151,1
A34,A49,A61,28,A152,1
A32,A40,A65,75,A152,1
A34,A40,A63,44,A152,1
A34,A40,A63,66,A153,1
A34,A43,A65,38,A152,1
A32,A43,A63,39,A152,1
A32,A43,A61,45,A152,1
A32,A41,A65,30,A152,1
A32,A45,A61,38,A152,1
A34,A410,A61,27,A152,1
A32,A43,A61,23,A152,1
A32,A41,A63,50,A151,1
A32,A42,A64,20,A152,1
A34,A43,A61,31,A152,1
A32,A43,A65,37,A152,1
A32,A49,A62,31,A152,1
A32,A43,A61,28,A152,1
A34,A43,A61,46,A152,1
A32,A42,A61,24,A151,1
A32,A43,A62,42,A153,1
A34,A40,A61,46,A152,1
A31,A40,A65,36,A153,1
A32,A40,A65,33,A152,1
A32,A43,A65,21,A152,1
A32,A43,A62,35,A152,1
A34,A40,A61,61,A152,1
A32,A40,A61,22,A151,1
A34,A40,A61,37,A152,1
A32,A43,A63,30,A152,1
A32,A42,A61,27,A152,1
A32,A43,A65,41,A152,1
A34,A44,A61,26,A152,1
A33,A40,A61,47,A152,1
A34,A43,A61,42,A152,1
A34,A41,A61,35,A152,1
A34,A43,A61,52,A152,1
A32,A43,A62,21,A152,1
A33,A42,A61,27,A152,1
A34,A46,A61,32,A152,1
A32,A43,A63,66,A152,1
A32,A49,A61,26,A151,1
A34,A42,A65,27,A151,1
A32,A43,A61,23,A152,1
A32,A40,A61,36,A152,1
A34,A43,A61,31,A152,1
A34,A40,A61,32,A152,1
A34,A40,A62,51,A152,1
A34,A43,A61,26,A151,1
A31,A42,A64,34,A152,1
A32,A42,A61,22,A153,1
A32,A46,A61,40,A151,1
A34,A40,A61,40,A152,1
A33,A40,A61,45,A152,1
A32,A41,A65,26,A151,1
A32,A43,A62,29,A152,1
A32,A48,A61,27,A152,1
A32,A43,A61,25,A152,1
A34,A45,A65,23,A152,1
A32,A42,A61,47,A152,1
A32,A49,A61,74,A152,1
A32,A42,A65,49,A152,1
A32,A40,A61,26,A151,1
A34,A43,A61,38,A152,1
A34,A40,A65,59,A152,1
A32,A43,A61,26,A152,1
A32,A43,A61,40,A152,1
A32,A40,A64,20,A151,1
A32,A49,A65,37,A152,1
A31,A43,A64,42,A151,1
A34,A40,A61,30,A152,1
A30,A49,A61,31,A152,1
A34,A42,A61,28,A151,1
A32,A43,A65,38,A152,1
A32,A43,A61,44,A151,1
A33,A41,A61,41,A151,1
A34,A43,A61,30,A151,1
A33,A40,A61,43,A152,1
A34,A41,A61,35,A152,1
A32,A42,A61,29,A152,1
A32,A43,A61,32,A152,1
A34,A49,A63,27,A152,1
A33,A41,A61,30,A152,1
A32,A40,A65,29,A152,1
A32,A40,A61,30,A151,1
A30,A41,A65,39,A152,1
A34,A42,A65,20,A151,1
A32,A42,A61,26,A152,1
A34,A40,A61,37,A152,1
A33,A49,A65,32,A152,1
A33,A46,A65,23,A151,1
A34,A40,A64,60,A152,1
A34,A45,A61,65,A152,1
A34,A40,A62,52,A152,1
A32,A42,A61,26,A151,1
A32,A43,A61,23,A151,1
A33,A43,A62,23,A151,1
A34,A46,A61,31,A153,1
A34,A42,A64,32,A152,1
A34,A42,A61,42,A152,1
A34,A40,A62,37,A152,1
A32,A49,A64,28,A152,1
A32,A40,A65,35,A152,1
A34,A43,A61,28,A152,1
A32,A40,A63,31,A152,1
A34,A40,A62,27,A152,1
A34,A49,A61,43,A152,1
A32,A41,A61,35,A151,1
A34,A40,A61,37,A152,1
A32,A42,A61,27,A152,1
A32,A45,A65,48,A152,1
A32,A43,A62,29,A151,1
A34,A43,A61,25,A152,1
A32,A49,A64,36,A152,1
A32,A49,A64,35,A152,1
A32,A41,A61,26,A152,1
A34,A43,A65,33,A152,1
A34,A49,A65,28,A152,1
A32,A49,A61,34,A152,1
A32,A43,A65,21,A151,1
A32,A41,A61,63,A152,1
A33,A40,A61,54,A151,1
A32,A43,A61,22,A152,1
A32,A43,A61,52,A152,1
A32,A49,A62,24,A151,1
A33,A41,A61,35,A152,1
A32,A42,A61,20,A152,1
A34,A43,A61,56,A152,1
A34,A43,A61,33,A152,1
A32,A43,A63,26,A152,1
A34,A40,A65,63,A153,1
A32,A43,A61,27,A152,1
A34,A49,A62,27,A152,1
A32,A43,A61,29,A152,1
A32,A42,A61,22,A152,1
A34,A42,A64,32,A152,1
A32,A41,A65,31,A152,1
A32,A49,A61,26,A152,1
A34,A43,A61,63,A152,1
A32,A42,A62,22,A151,1
A32,A43,A65,35,A152,1
A34,A49,A61,74,A152,1
A32,A42,A65,31,A152,1
A34,A42,A61,24,A152,1
A30,A43,A61,39,A152,1
A34,A41,A64,23,A151,1
A32,A42,A63,53,A152,1
A34,A43,A61,43,A152,1
A34,A40,A62,27,A152,1
A34,A40,A64,37,A152,1
A34,A40,A61,36,A153,1
A32,A43,A61,34,A152,1
A33,A410,A61,29,A152,1
A34,A40,A61,37,A151,1
A34,A42,A61,22,A151,1
A32,A40,A65,38,A152,1
A32,A43,A61,31,A152,1
A34,A43,A61,47,A153,1
A32,A41,A62,32,A152,1
A32,A43,A63,35,A152,1
A32,A43,A61,24,A152,1
A32,A40,A62,43,A152,1
A32,A43,A61,39,A152,1
A34,A46,A61,54,A153,1
A32,A43,A61,29,A152,1
A34,A45,A61,44,A153,1
A34,A41,A61,27,A152,1
A32,A43,A61,44,A152,1
A34,A43,A61,42,A152,1
A32,A41,A65,41,A152,1
A34,A40,A61,36,A151,1
A34,A40,A61,37,A152,1
A32,A41,A61,42,A153,1
A32,A40,A64,34,A152,1
A34,A45,A61,33,A152,1
A32,A43,A65,40,A151,1
A32,A41,A61,30,A152,1
A34,A42,A61,46,A152,1
A32,A42,A61,51,A153,1
A30,A48,A61,31,A152,1
A34,A410,A61,51,A153,1
A34,A41,A64,38,A152,1
A32,A42,A61,31,A152,1
A34,A40,A64,39,A152,1
A34,A40,A61,65,A152,1
A34,A43,A65,27,A152,1
A32,A42,A64,28,A152,1
A34,A41,A62,27,A152,1
A32,A43,A61,20,A152,1
A32,A43,A61,24,A152,1
A34,A42,A61,28,A152,1
A34,A43,A63,47,A152,1
A32,A40,A62,41,A151,1
A33,A43,A61,20,A151,1
A34,A43,A61,47,A152,1
A32,A43,A61,55,A152,1
A34,A49,A65,36,A152,1
A32,A42,A61,55,A153,1
A32,A41,A62,45,A152,1
A30,A41,A62,31,A152,1
A34,A42,A61,24,A152,1
A30,A42,A61,33,A152,1
A31,A43,A61,36,A153,1
A32,A46,A65,64,A152,1
A32,A41,A63,24,A152,1
A32,A46,A61,32,A152,1
A32,A49,A63,35,A152,1
A34,A49,A61,29,A152,1
A34,A42,A65,63,A152,1
A32,A43,A61,59,A152,1
A32,A40,A61,70,A153,1
A34,A41,A64,27,A152,1
A34,A42,A65,49,A151,1
A32,A43,A62,64,A152,1
A34,A41,A61,63,A152,1
A32,A42,A61,46,A151,1
A32,A43,A63,31,A152,1
A32,A40,A61,39,A153,1
A32,A42,A61,36,A152,1
A32,A40,A61,28,A151,1
A32,A40,A61,32,A152,1
A34,A42,A61,40,A152,1
A32,A40,A62,30,A152,1
A34,A40,A61,63,A153,1
A34,A40,A65,44,A152,1
A32,A43,A62,35,A152,1
A34,A41,A61,36,A152,1
A32,A41,A64,55,A152,1
A34,A43,A61,35,A153,1
A32,A42,A65,55,A152,1
A32,A43,A61,30,A151,1
A34,A43,A61,46,A152,1
A30,A42,A61,32,A152,1
A31,A42,A63,22,A152,1
A34,A49,A61,40,A152,1
A33,A41,A61,28,A152,1
A34,A41,A64,29,A151,1
A32,A42,A61,22,A151,1
A33,A49,A61,32,A153,1
A32,A42,A64,57,A151,1
A32,A42,A61,26,A151,1
A34,A43,A62,36,A152,1
A34,A49,A61,27,A152,1
A34,A49,A62,26,A152,1
A32,A43,A64,29,A152,1
A34,A41,A61,41,A151,1
A32,A49,A61,25,A152,1
A32,A42,A61,42,A152,1
A32,A42,A65,33,A151,1
A34,A43,A61,29,A152,1
A32,A49,A64,36,A152,1
A34,A46,A65,61,A152,1
A32,A40,A61,43,A152,1
A32,A41,A64,28,A151,1
A32,A49,A61,21,A152,1
A32,A40,A61,26,A152,1
A32,A43,A62,28,A152,1
A34,A42,A61,41,A152,1
A33,A40,A61,60,A153,1
A32,A40,A62,38,A152,1
A30,A45,A61,27,A152,1
A32,A46,A65,61,A153,1
A32,A40,A62,28,A152,1
A34,A42,A61,43,A152,1
A33,A43,A61,34,A152,1
A32,A42,A65,30,A152,1
A32,A40,A65,45,A152,1
A33,A43,A61,29,A152,1
A34,A40,A61,38,A152,1
A34,A41,A65,42,A153,1
A32,A41,A65,31,A151,1
A31,A43,A61,23,A152,1
A32,A40,A62,33,A152,1
A32,A46,A61,50,A153,1
A32,A42,A61,50,A152,1
A32,A43,A61,37,A152,1
A32,A43,A65,58,A152,1
A34,A40,A61,30,A152,1
A34,A42,A63,37,A151,1
A32,A42,A61,26,A152,1
A34,A42,A61,23,A151,1
A32,A43,A61,29,A152,1
A32,A41,A61,29,A153,1
A33,A42,A61,35,A152,1
A34,A46,A61,49,A152,1
A31,A44,A65,29,A152,1
A34,A40,A61,49,A152,1
A30,A49,A61,28,A152,1
A32,A40,A61,62,A153,1
A33,A42,A62,35,A152,1
A34,A40,A61,45,A152,1
A32,A44,A63,36,A152,1
A32,A42,A61,25,A152,1
A34,A41,A65,38,A152,1
A34,A41,A65,35,A153,1
A32,A40,A65,54,A152,1
A34,A43,A61,37,A152,1
A32,A41,A61,30,A152,1
A32,A42,A61,23,A151,1
A34,A43,A61,65,A152,1
A32,A41,A61,38,A152,1
A34,A43,A65,47,A152,1
A33,A45,A61,44,A152,1
A32,A43,A65,41,A152,1
A34,A41,A61,34,A152,1
A32,A43,A61,38,A152,1
A32,A43,A61,20,A151,1
A32,A41,A65,26,A151,1
A32,A45,A62,25,A152,1
A34,A43,A64,57,A151,1
A34,A40,A64,40,A152,1
A34,A49,A65,57,A151,1
A32,A43,A61,28,A152,1
A32,A40,A61,28,A151,1
A32,A43,A61,26,A152,1
A34,A43,A61,33,A152,1
A33,A40,A65,42,A151,1
A34,A43,A62,52,A152,1
A33,A49,A61,26,A152,1
A32,A49,A61,32,A152,1
A32,A43,A61,27,A152,1
A31,A41,A65,40,A151,1
A32,A49,A61,36,A152,1
A34,A42,A65,30,A152,1
A34,A42,A61,35,A152,1
A32,A41,A65,48,A153,1
A32,A45,A63,23,A151,1
A34,A40,A61,36,A151,1
A32,A42,A61,40,A151,1
A34,A42,A61,28,A152,1
A32,A40,A61,22,A153,1
A32,A40,A65,32,A152,1
A32,A40,A63,35,A153,1
A32,A410,A61,58,A152,1
A34,A43,A62,57,A152,1
A34,A46,A65,33,A152,1
A32,A43,A61,23,A152,1
A32,A46,A65,35,A153,1
A32,A43,A61,52,A152,1
A31,A48,A63,35,A152,1
A34,A43,A61,31,A152,1
A32,A42,A61,34,A151,1
A32,A43,A61,24,A151,1
A32,A43,A64,61,A152,1
A33,A41,A65,36,A151,1
A34,A43,A62,27,A152,1
A34,A42,A61,21,A151,1
A34,A41,A61,34,A152,1
A32,A42,A64,19,A151,1
A34,A40,A63,36,A152,1
A34,A42,A61,36,A153,1
A32,A43,A61,25,A152,1
A34,A40,A65,36,A152,1
A34,A40,A61,36,A152,1
A33,A43,A61,34,A152,1
A32,A40,A63,36,A152,1
A33,A43,A61,33,A152,1
A33,A49,A62,34,A152,1
A32,A43,A65,37,A152,1
A33,A42,A64,30,A152,1
A32,A43,A61,36,A152,1
A32,A40,A65,29,A152,1
A32,A40,A61,39,A152,1
A34,A42,A65,26,A152,1
A32,A40,A61,23,A151,1
A32,A45,A61,67,A152,1
A32,A42,A61,43,A152,1
A32,A43,A61,25,A152,1
A32,A42,A61,24,A152,1
A32,A43,A65,25,A152,1
A32,A43,A65,29,A151,1
A32,A42,A61,31,A152,1
A32,A410,A65,40,A153,1
A33,A43,A65,27,A153,1
A34,A42,A61,40,A152,1
A34,A40,A61,48,A152,1
A32,A42,A61,27,A152,1
A33,A40,A61,36,A152,1
A34,A46,A65,41,A151,1
A34,A43,A65,36,A153,1
A32,A43,A61,32,A153,1
A34,A46,A63,52,A152,1
A32,A40,A61,54,A152,1
A32,A43,A61,38,A152,1
A32,A48,A65,36,A152,1
A34,A41,A61,56,A153,1
A32,A43,A61,31,A151,1
A32,A42,A61,33,A152,1
A34,A43,A65,65,A152,1
A33,A46,A62,32,A151,1
A34,A45,A62,48,A152,1
A32,A43,A63,26,A152,1
A34,A43,A65,31,A152,1
A32,A43,A61,24,A152,1
A34,A41,A65,46,A152,1
A34,A40,A61,39,A152,1
A32,A42,A62,30,A153,1
A32,A40,A62,26,A151,1
A32,A40,A64,22,A152,1
A32,A46,A61,47,A152,1
A32,A41,A61,29,A152,1
A32,A42,A61,24,A151,1
A32,A43,A63,25,A151,1
A32,A42,A63,20,A151,1
A32,A40,A62,30,A152,1
A32,A40,A64,31,A152,1
A34,A40,A61,35,A152,1
A32,A42,A65,48,A152,1
A32,A43,A61,27,A152,1
A31,A40,A62,32,A152,1
A32,A43,A62,26,A152,1
A34,A49,A65,34,A152,1
A34,A43,A65,35,A152,1
A32,A43,A65,25,A152,1
A34,A40,A64,41,A152,1
A32,A46,A65,23,A151,1
A32,A42,A61,22,A151,1
A32,A43,A61,27,A152,1
A32,A40,A64,27,A152,1
A33,A49,A62,41,A152,1
A32,A42,A63,32,A152,1
A34,A43,A65,34,A152,1
A34,A49,A64,36,A152,1
A34,A43,A65,50,A152,1
A32,A42,A61,28,A152,1
A32,A41,A63,23,A151,1
A34,A43,A64,46,A152,1
A32,A40,A61,49,A152,1
A30,A42,A61,34,A152,1
A32,A40,A61,28,A152,1
A32,A41,A65,45,A153,1
A34,A43,A65,35,A152,1
A33,A41,A64,27,A152,1
A32,A43,A61,51,A152,1
A34,A40,A61,39,A152,1
A32,A43,A61,26,A152,1
A32,A43,A61,28,A152,1
A34,A43,A65,36,A152,1
A33,A41,A65,31,A152,1
A34,A42,A61,23,A152,1
A32,A42,A65,24,A152,1
A32,A43,A61,28,A152,1
A32,A40,A61,23,A152,1
A32,A43,A61,39,A152,1
A32,A40,A65,52,A153,1
A32,A43,A61,28,A152,1
A34,A42,A61,31,A152,1
A34,A43,A61,25,A152,1
A32,A43,A61,30,A152,1
A32,A43,A61,26,A152,1
A32,A40,A65,50,A152,1
A34,A42,A61,28,A153,1
A34,A43,A61,25,A152,1
A32,A43,A61,32,A152,1
A32,A42,A61,37,A152,1
A32,A42,A64,33,A152,1
A34,A40,A61,47,A152,1
A32,A43,A61,33,A152,1
A32,A43,A63,40,A152,1
A34,A42,A63,36,A152,1
A34,A43,A61,35,A152,1
A32,A49,A62,39,A152,1
A32,A43,A65,25,A152,1
A32,A43,A61,28,A151,1
A32,A43,A65,42,A152,1
A34,A40,A61,38,A152,1
A34,A43,A63,52,A152,1
A32,A41,A61,35,A152,1
A32,A43,A61,32,A152,1
A32,A41,A65,24,A151,1
A32,A49,A61,27,A152,1
A31,A410,A62,60,A153,2
A32,A42,A62,27,A151,2
A32,A46,A61,41,A152,2
A32,A42,A61,42,A152,2
A31,A46,A64,24,A151,2
A32,A40,A61,57,A153,2
A32,A42,A61,30,A152,2
A33,A40,A61,43,A153,2
A32,A40,A61,23,A151,2
A34,A40,A61,33,A151,2
A30,A45,A61,28,A152,2
A32,A43,A61,24,A152,2
A34,A40,A61,31,A152,2
A32,A40,A61,25,A151,2
A31,A43,A61,29,A153,2
A33,A42,A61,34,A152,2
A34,A42,A61,31,A152,2
A31,A40,A62,25,A151,2
A32,A43,A61,22,A151,2
A34,A43,A65,33,A152,2
A33,A43,A61,29,A151,2
A34,A49,A61,31,A152,2
A33,A42,A61,40,A152,2
A34,A45,A61,55,A153,2
A30,A40,A61,48,A152,2
A32,A40,A63,26,A152,2
A34,A41,A61,24,A152,2
A32,A42,A61,28,A152,2
A34,A40,A61,33,A151,2
A30,A49,A62,26,A151,2
A34,A41,A61,46,A153,2
A33,A49,A61,24,A152,2
A32,A40,A65,29,A152,2
A33,A43,A61,48,A152,2
A32,A43,A65,52,A152,2
A34,A46,A61,34,A152,2
A31,A410,A65,40,A152,2
A34,A42,A61,23,A151,2
A32,A43,A64,27,A152,2
A32,A43,A61,31,A151,2
A31,A49,A61,31,A151,2
A32,A40,A61,27,A152,2
A32,A43,A61,31,A152,2
A32,A42,A61,20,A151,2
A32,A42,A62,21,A151,2
A33,A40,A61,47,A152,2
A32,A43,A61,21,A151,2
A32,A40,A61,27,A152,2
A34,A40,A61,25,A152,2
A33,A42,A61,22,A152,2
A32,A43,A61,30,A152,2
A32,A45,A61,33,A151,2
A32,A46,A62,47,A153,2
A32,A40,A61,27,A153,2
A32,A43,A61,28,A152,2
A32,A40,A65,33,A152,2
A31,A40,A62,34,A152,2
A32,A42,A61,23,A151,2
A33,A49,A61,28,A152,2
A32,A42,A61,29,A152,2
A32,A43,A61,26,A152,2
A34,A46,A62,30,A152,2
A32,A49,A61,33,A151,2
A32,A42,A61,42,A152,2
A32,A40,A65,27,A152,2
A32,A42,A61,39,A151,2
A34,A40,A61,60,A152,2
A34,A40,A63,44,A153,2
A34,A42,A61,49,A152,2
A32,A49,A64,54,A152,2
A33,A49,A61,28,A152,2
A32,A49,A61,36,A152,2
A34,A42,A63,23,A152,2
A32,A43,A62,24,A152,2
A33,A43,A61,26,A152,2
A34,A40,A61,43,A151,2
A32,A40,A62,23,A152,2
A32,A43,A65,44,A152,2
A32,A42,A61,26,A152,2
A34,A43,A61,25,A152,2
A30,A49,A61,29,A151,2
A32,A43,A61,22,A152,2
A34,A40,A61,27,A152,2
A30,A49,A62,34,A153,2
A30,A49,A61,61,A153,2
A32,A41,A61,35,A153,2
A32,A40,A61,28,A152,2
A32,A43,A61,32,A152,2
A32,A42,A61,22,A152,2
A32,A49,A61,36,A151,2
A30,A43,A61,34,A152,2
A32,A40,A65,68,A151,2
A34,A43,A63,23,A152,2
A32,A43,A65,25,A152,2
A32,A43,A61,22,A151,2
A32,A42,A61,31,A152,2
A32,A40,A61,23,A151,2
A30,A40,A65,29,A152,2
A31,A40,A61,39,A152,2
A32,A42,A61,24,A152,2
A33,A43,A62,30,A152,2
A32,A44,A62,22,A152,2
A33,A40,A61,57,A153,2
A34,A46,A61,25,A152,2
A32,A40,A65,23,A152,2
A32,A41,A61,44,A153,2
A31,A42,A63,30,A153,2
A31,A40,A62,29,A152,2
A32,A49,A61,39,A152,2
A32,A46,A65,40,A152,2
A32,A43,A61,22,A152,2
A33,A40,A61,47,A152,2
A31,A42,A61,44,A152,2
A31,A41,A61,74,A153,2
A32,A43,A61,25,A151,2
A34,A42,A61,24,A151,2
A32,A42,A61,33,A152,2
A32,A40,A61,29,A152,2
A33,A49,A61,66,A152,2
A32,A43,A63,66,A152,2
A32,A42,A61,26,A152,2
A32,A40,A62,24,A152,2
A32,A42,A61,23,A151,2
A32,A49,A62,61,A151,2
A32,A43,A61,22,A152,2
A34,A40,A65,30,A153,2
A34,A40,A61,29,A152,2
A32,A41,A63,28,A151,2
A31,A46,A61,34,A153,2
A33,A46,A61,29,A152,2
A33,A49,A65,27,A151,2
A30,A41,A61,24,A153,2
A32,A40,A62,48,A153,2
A30,A40,A61,33,A151,2
A32,A40,A65,37,A153,2
A32,A41,A61,23,A151,2
A32,A42,A61,25,A152,2
A34,A40,A61,35,A152,2
A32,A43,A61,22,A152,2
A30,A410,A61,32,A152,2
A32,A46,A62,40,A152,2
A32,A410,A61,29,A152,2
A34,A40,A61,36,A152,2
A30,A49,A61,25,A152,2
A32,A46,A61,23,A152,2
A32,A46,A61,37,A153,2
A34,A42,A61,23,A151,2
A34,A410,A61,39,A152,2
A34,A42,A61,30,A152,2
A32,A41,A61,28,A151,2
A30,A42,A61,25,A151,2
A32,A43,A61,28,A152,2
A32,A46,A61,27,A152,2
A34,A40,A63,28,A152,2
A32,A43,A61,26,A152,2
A32,A42,A63,29,A151,2
A32,A41,A61,26,A152,2
A34,A41,A62,24,A151,2
A31,A42,A61,31,A152,2
A34,A40,A61,28,A152,2
A32,A40,A61,38,A153,2
A30,A49,A61,58,A151,2
A32,A40,A65,25,A151,2
A32,A42,A61,43,A152,2
A32,A42,A61,32,A152,2
A32,A42,A61,43,A152,2
A33,A49,A61,63,A152,2
A32,A49,A61,24,A151,2
A32,A42,A61,20,A151,2
A34,A40,A61,43,A151,2
A31,A42,A61,27,A152,2
A34,A40,A61,30,A152,2
A32,A45,A61,30,A152,2
A31,A46,A61,35,A153,2
A32,A43,A61,25,A152,2
A32,A40,A65,35,A152,2
A30,A49,A61,50,A152,2
A32,A43,A62,50,A153,2
A30,A43,A61,28,A151,2
A32,A40,A62,24,A152,2
A32,A49,A61,23,A152,2
A32,A40,A61,41,A152,2
A31,A40,A61,32,A153,2
A32,A43,A61,34,A152,2
A32,A46,A61,53,A152,2
A33,A46,A61,50,A153,2
A34,A42,A61,25,A152,2
A32,A43,A62,21,A151,2
A32,A48,A61,21,A151,2
A30,A42,A61,53,A153,2
A33,A45,A64,55,A153,2
A32,A43,A61,34,A152,2
A32,A40,A61,24,A152,2
A34,A42,A61,44,A151,2
A31,A42,A61,55,A152,2
A31,A41,A65,53,A152,2
A31,A49,A61,26,A152,2
A32,A40,A61,68,A152,2
A32,A40,A61,23,A152,2
A34,A46,A61,27,A152,2
A30,A43,A61,42,A152,2
A32,A40,A61,36,A152,2
A30,A49,A61,36,A152,2
A32,A40,A62,28,A151,2
A32,A43,A61,25,A152,2
A33,A40,A62,42,A152,2
A32,A42,A61,29,A152,2
A32,A40,A61,46,A151,2
A32,A43,A61,23,A151,2
A30,A49,A61,36,A152,2
A32,A42,A62,29,A151,2
A34,A46,A64,32,A153,2
A32,A43,A61,37,A152,2
A32,A40,A61,25,A152,2
A32,A45,A61,34,A152,2
A32,A40,A61,42,A153,2
A32,A42,A62,33,A152,2
A32,A40,A61,37,A152,2
A32,A40,A61,45,A152,2
A34,A43,A61,33,A152,2
A32,A42,A65,25,A152,2
A33,A40,A61,53,A153,2
A32,A42,A61,41,A152,2
A34,A43,A65,39,A153,2
A32,A41,A65,51,A153,2
A31,A40,A61,29,A151,2
A32,A40,A65,23,A152,2
