@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Length numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute Symboling {-2,-1,0,1,2,3}

@data
audi,176.6,ohc,mpfi,2
toyota,176.2,ohc,mpfi,2
toyota,176.2,ohc,mpfi,2
toyota,176.2,ohc,mpfi,2
toyota,176.2,ohc,mpfi,2
subaru,157.3,ohcf,2bbl,2
mitsubishi,157.3,ohc,2bbl,2
subaru,157.9,ohcf,2bbl,2
volkswagen,171.7,ohc,mpfi,2
saab,186.6,ohc,mpfi,2
honda,144.6,ohc,1bbl,2
volkswagen,171.7,ohc,mpfi,2
volkswagen,171.7,ohc,mpfi,2
audi,176.6,ohc,mpfi,2
toyota,176.2,ohc,mpfi,2
volkswagen,171.7,ohc,idi,2
mitsubishi,157.3,ohc,2bbl,2
volkswagen,171.7,ohc,mpfi,2
subaru,156.9,ohcf,2bbl,2
mitsubishi,157.3,ohc,2bbl,2
volkswagen,171.7,ohc,idi,2
saab,186.6,ohc,mpfi,2
volkswagen,171.7,ohc,idi,2
mitsubishi,173,ohc,2bbl,3
porsche,168.9,ohc,mpfi,3
nissan,170.7,ohcv,mpfi,3
saab,186.6,dohc,mpfi,3
toyota,183.5,dohc,mpfi,3
saab,186.6,ohc,mpfi,3
toyota,183.5,dohc,mpfi,3
saab,186.6,ohc,mpfi,3
dodge,173.2,ohc,mfi,3
nissan,170.7,ohcv,mpfi,3
mitsubishi,173,ohc,spdi,3
