@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075,  0.815]
@attribute Diameter real [0.055,  0.65]
@attribute Height real [0.0,  1.13]
@attribute Whole_weight real [0.0020,  2.8255]
@attribute Shucked_weight real [0.0010,  1.488]
@attribute Viscera_weight real [5.0E-4,  0.76]
@attribute Shell_weight real [0.0015,  1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@data
I, 0.51, 0.4, 0.125, 0.5575, 0.2615, 0.1195, 0.1525, 9
I, 0.515, 0.385, 0.125, 0.6115, 0.3175, 0.1265, 0.15, 8
M, 0.545, 0.415, 0.14, 0.82, 0.4615, 0.127, 0.218, 9
M, 0.565, 0.455, 0.15, 0.9595, 0.4565, 0.2395, 0.23, 9
I, 0.57, 0.44, 0.15, 0.755, 0.3425, 0.16, 0.224, 8
I, 0.575, 0.435, 0.13, 0.805, 0.3155, 0.2155, 0.245, 10
M, 0.585, 0.465, 0.16, 0.9555, 0.4595, 0.236, 0.265, 7
M, 0.6, 0.465, 0.155, 1.0165, 0.512, 0.2465, 0.225, 10
F, 0.615, 0.475, 0.155, 1.027, 0.447, 0.25, 0.285, 9
F, 0.625, 0.485, 0.175, 1.3745, 0.7335, 0.2715, 0.332, 9
M, 0.625, 0.48, 0.185, 1.2065, 0.587, 0.29, 0.286, 8
M, 0.685, 0.52, 0.165, 1.519, 0.699, 0.3685, 0.4, 10
M, 0.715, 0.55, 0.19, 2.0045, 1.0465, 0.407, 0.5075, 12
I, 0.245, 0.205, 0.06, 0.0765, 0.034, 0.014, 0.0215, 4
I, 0.365, 0.27, 0.085, 0.1875, 0.081, 0.042, 0.058, 6
I, 0.365, 0.27, 0.085, 0.196, 0.0825, 0.0375, 0.06, 7
I, 0.375, 0.28, 0.08, 0.2025, 0.0825, 0.048, 0.065, 8
I, 0.385, 0.28, 0.085, 0.2175, 0.097, 0.038, 0.067, 8
I, 0.435, 0.315, 0.11, 0.3685, 0.1615, 0.0715, 0.12, 7
I, 0.46, 0.35, 0.105, 0.3705, 0.1575, 0.077, 0.114, 9
I, 0.47, 0.355, 0.18, 0.48, 0.2055, 0.105, 0.1505, 8
I, 0.475, 0.355, 0.1, 0.5035, 0.2535, 0.091, 0.14, 8
M, 0.495, 0.395, 0.12, 0.553, 0.224, 0.1375, 0.167, 8
I, 0.53, 0.415, 0.11, 0.5745, 0.2525, 0.1235, 0.189, 9
F, 0.595, 0.465, 0.155, 1.026, 0.4645, 0.112, 0.305, 12
F, 0.6, 0.465, 0.155, 1.04, 0.4755, 0.25, 0.28, 11
M, 0.61, 0.475, 0.17, 1.0265, 0.435, 0.2335, 0.3035, 10
F, 0.625, 0.515, 0.16, 1.264, 0.5715, 0.326, 0.321, 9
M, 0.635, 0.475, 0.17, 1.1935, 0.5205, 0.2695, 0.3665, 10
F, 0.66, 0.495, 0.21, 1.548, 0.724, 0.3525, 0.3925, 10
M, 0.685, 0.545, 0.205, 1.7925, 0.8145, 0.416, 0.461, 9
F, 0.7, 0.545, 0.13, 1.556, 0.6725, 0.374, 0.195, 12
I, 0.375, 0.28, 0.085, 0.3155, 0.187, 0.046, 0.067, 7
I, 0.405, 0.3, 0.105, 0.304, 0.1455, 0.061, 0.0805, 6
I, 0.47, 0.35, 0.125, 0.4315, 0.19, 0.1165, 0.1175, 6
I, 0.48, 0.36, 0.125, 0.542, 0.2795, 0.1025, 0.147, 7
M, 0.525, 0.4, 0.14, 0.7205, 0.3685, 0.145, 0.1735, 8
M, 0.53, 0.4, 0.125, 0.7575, 0.398, 0.151, 0.175, 8
M, 0.575, 0.465, 0.15, 1.08, 0.595, 0.2065, 0.238, 9
M, 0.625, 0.52, 0.175, 1.4105, 0.691, 0.322, 0.3465, 10
M, 0.63, 0.455, 0.15, 1.1315, 0.481, 0.2745, 0.305, 9
M, 0.67, 0.545, 0.2, 1.7025, 0.833, 0.374, 0.41, 11
M, 0.68, 0.515, 0.17, 1.6115, 0.8415, 0.306, 0.395, 11
I, 0.335, 0.255, 0.08, 0.168, 0.079, 0.0355, 0.05, 5
I, 0.375, 0.28, 0.08, 0.2165, 0.0935, 0.0925, 0.07, 7
I, 0.385, 0.29, 0.09, 0.2365, 0.1, 0.0505, 0.076, 8
I, 0.435, 0.335, 0.1, 0.3295, 0.129, 0.07, 0.11, 7
I, 0.435, 0.325, 0.11, 0.367, 0.1595, 0.08, 0.105, 6
I, 0.455, 0.36, 0.115, 0.457, 0.2085, 0.0855, 0.147, 10
I, 0.48, 0.37, 0.12, 0.536, 0.251, 0.114, 0.15, 8
I, 0.495, 0.37, 0.125, 0.4715, 0.2075, 0.091, 0.15, 8
I, 0.52, 0.39, 0.13, 0.5545, 0.2355, 0.1095, 0.1895, 7
I, 0.525, 0.4, 0.14, 0.654, 0.305, 0.16, 0.169, 7
I, 0.54, 0.43, 0.17, 0.836, 0.3725, 0.1815, 0.24, 9
I, 0.54, 0.425, 0.14, 0.742, 0.32, 0.1395, 0.25, 9
M, 0.575, 0.455, 0.165, 0.867, 0.3765, 0.1805, 0.268, 8
M, 0.575, 0.44, 0.16, 0.9615, 0.483, 0.166, 0.275, 13
M, 0.58, 0.43, 0.13, 0.798, 0.365, 0.173, 0.2285, 10
F, 0.595, 0.435, 0.15, 0.9, 0.4175, 0.17, 0.265, 8
M, 0.6, 0.48, 0.165, 0.9165, 0.4135, 0.1965, 0.2725, 9
F, 0.605, 0.455, 0.145, 0.9775, 0.468, 0.1775, 0.275, 9
F, 0.605, 0.47, 0.155, 0.974, 0.393, 0.224, 0.3345, 9
I, 0.62, 0.47, 0.14, 0.8565, 0.3595, 0.16, 0.295, 9
M, 0.645, 0.51, 0.19, 1.4745, 0.605, 0.345, 0.48, 9
M, 0.645, 0.485, 0.15, 1.2215, 0.5695, 0.2735, 0.33, 9
M, 0.65, 0.505, 0.19, 1.274, 0.59, 0.23, 0.391, 11
F, 0.655, 0.505, 0.19, 1.3485, 0.5935, 0.2745, 0.425, 12
M, 0.675, 0.525, 0.16, 1.2835, 0.572, 0.2755, 0.3545, 13
I, 0.375, 0.245, 0.1, 0.394, 0.166, 0.091, 0.1125, 6
M, 0.39, 0.28, 0.125, 0.564, 0.3035, 0.0955, 0.143, 7
I, 0.485, 0.365, 0.105, 0.5205, 0.195, 0.123, 0.182, 8
M, 0.515, 0.395, 0.135, 1.007, 0.472, 0.2495, 0.252, 8
F, 0.61, 0.475, 0.15, 1.1135, 0.5195, 0.2575, 0.3005, 11
M, 0.655, 0.545, 0.19, 1.4245, 0.6325, 0.333, 0.378, 10
M, 0.72, 0.56, 0.18, 1.5865, 0.691, 0.375, 0.4425, 11
I, 0.35, 0.265, 0.08, 0.2, 0.09, 0.042, 0.06, 7
I, 0.405, 0.3, 0.09, 0.269, 0.103, 0.067, 0.11, 6
I, 0.435, 0.345, 0.12, 0.3215, 0.13, 0.056, 0.1185, 7
I, 0.505, 0.405, 0.13, 0.599, 0.2245, 0.1175, 0.225, 11
I, 0.52, 0.395, 0.125, 0.5805, 0.2445, 0.146, 0.165, 9
I, 0.525, 0.415, 0.12, 0.596, 0.2805, 0.12, 0.1695, 9
M, 0.57, 0.46, 0.155, 1.0005, 0.454, 0.205, 0.265, 11
M, 0.575, 0.45, 0.13, 0.785, 0.318, 0.193, 0.2265, 9
M, 0.62, 0.47, 0.15, 1.309, 0.587, 0.4405, 0.325, 9
M, 0.625, 0.505, 0.185, 1.1565, 0.52, 0.2405, 0.3535, 10
F, 0.625, 0.52, 0.18, 1.354, 0.4845, 0.351, 0.375, 11
F, 0.66, 0.535, 0.205, 1.4415, 0.5925, 0.2775, 0.49, 10
I, 0.35, 0.25, 0.07, 0.1605, 0.0715, 0.0335, 0.046, 6
M, 0.505, 0.39, 0.12, 0.653, 0.3315, 0.1385, 0.167, 9
F, 0.55, 0.47, 0.15, 0.9205, 0.381, 0.2435, 0.2675, 10
M, 0.605, 0.445, 0.14, 0.982, 0.4295, 0.2085, 0.295, 12
M, 0.61, 0.49, 0.16, 1.112, 0.465, 0.228, 0.341, 10
I, 0.285, 0.215, 0.07, 0.1075, 0.051, 0.0225, 0.027, 6
I, 0.325, 0.24, 0.07, 0.152, 0.0565, 0.0305, 0.054, 8
I, 0.405, 0.31, 0.09, 0.312, 0.138, 0.06, 0.087, 8
M, 0.535, 0.42, 0.125, 0.738, 0.355, 0.1895, 0.1795, 8
F, 0.61, 0.43, 0.14, 0.909, 0.438, 0.2, 0.22, 8
F, 0.69, 0.54, 0.195, 1.2525, 0.73, 0.3975, 0.462, 12
I, 0.325, 0.25, 0.055, 0.166, 0.076, 0.051, 0.045, 5
I, 0.13, 0.095, 0.035, 0.0105, 0.0050, 0.0065, 0.0035, 4
I, 0.18, 0.13, 0.045, 0.0275, 0.0125, 0.01, 0.0090, 3
F, 0.29, 0.21, 0.075, 0.275, 0.113, 0.0675, 0.035, 6
M, 0.595, 0.47, 0.15, 0.8915, 0.359, 0.2105, 0.245, 12
M, 0.68, 0.53, 0.205, 1.496, 0.5825, 0.337, 0.465, 14
M, 0.465, 0.35, 0.12, 0.5205, 0.2015, 0.1625, 0.185, 11
M, 0.58, 0.46, 0.165, 1.2275, 0.473, 0.1965, 0.435, 16
F, 0.37, 0.275, 0.085, 0.2405, 0.104, 0.0535, 0.07, 5
M, 0.335, 0.235, 0.085, 0.1545, 0.066, 0.0345, 0.045, 6
M, 0.285, 0.21, 0.075, 0.1185, 0.055, 0.0285, 0.04, 7
M, 0.535, 0.42, 0.165, 0.9195, 0.3355, 0.1985, 0.26, 16
I, 0.32, 0.235, 0.08, 0.1485, 0.064, 0.031, 0.045, 6
F, 0.575, 0.485, 0.165, 1.0405, 0.419, 0.264, 0.3, 14
F, 0.645, 0.49, 0.215, 1.406, 0.4265, 0.2285, 0.51, 25
F, 0.43, 0.325, 0.12, 0.445, 0.165, 0.0995, 0.155, 8
F, 0.515, 0.415, 0.13, 0.764, 0.276, 0.196, 0.25, 13
F, 0.56, 0.445, 0.18, 0.903, 0.3575, 0.2045, 0.295, 9
M, 0.415, 0.315, 0.125, 0.388, 0.068, 0.09, 0.125, 12
M, 0.36, 0.27, 0.09, 0.2225, 0.083, 0.053, 0.075, 6
M, 0.585, 0.43, 0.16, 0.955, 0.3625, 0.176, 0.27, 11
F, 0.61, 0.48, 0.175, 1.0675, 0.391, 0.216, 0.42, 15
I, 0.405, 0.315, 0.105, 0.347, 0.1605, 0.0785, 0.1, 9
F, 0.5, 0.395, 0.15, 0.7145, 0.3235, 0.173, 0.195, 9
F, 0.48, 0.405, 0.13, 0.6375, 0.277, 0.1445, 0.21, 10
M, 0.515, 0.42, 0.14, 0.769, 0.2505, 0.154, 0.29, 13
F, 0.505, 0.395, 0.145, 0.6515, 0.2695, 0.153, 0.205, 15
M, 0.655, 0.485, 0.195, 1.62, 0.6275, 0.358, 0.485, 17
I, 0.56, 0.44, 0.17, 0.9445, 0.3545, 0.2175, 0.3, 12
F, 0.5, 0.405, 0.15, 0.5965, 0.253, 0.126, 0.185, 12
I, 0.3, 0.22, 0.09, 0.1425, 0.057, 0.0335, 0.043, 7
I, 0.62, 0.485, 0.17, 1.208, 0.4805, 0.3045, 0.33, 15
M, 0.425, 0.315, 0.125, 0.3525, 0.1135, 0.0565, 0.13, 18
F, 0.465, 0.38, 0.135, 0.579, 0.208, 0.1095, 0.22, 14
I, 0.325, 0.2, 0.08, 0.0995, 0.0395, 0.0225, 0.032, 8
I, 0.25, 0.18, 0.06, 0.073, 0.028, 0.017, 0.0225, 5
I, 0.2, 0.145, 0.05, 0.036, 0.0125, 0.0080, 0.011, 4
F, 0.5, 0.385, 0.13, 0.768, 0.2625, 0.095, 0.27, 13
F, 0.37, 0.275, 0.08, 0.227, 0.093, 0.0625, 0.07, 8
M, 0.57, 0.42, 0.155, 1.008, 0.377, 0.193, 0.34, 13
F, 0.515, 0.395, 0.165, 0.7565, 0.1905, 0.17, 0.3205, 10
I, 0.42, 0.31, 0.1, 0.2865, 0.115, 0.0735, 0.085, 8
M, 0.64, 0.585, 0.195, 1.647, 0.7225, 0.331, 0.471, 12
F, 0.64, 0.5, 0.18, 1.4995, 0.593, 0.314, 0.431, 11
F, 0.695, 0.53, 0.2, 2.0475, 0.75, 0.4195, 0.6095, 14
F, 0.455, 0.35, 0.12, 0.4555, 0.1945, 0.1045, 0.1375, 7
F, 0.55, 0.425, 0.125, 0.964, 0.5475, 0.159, 0.215, 8
F, 0.6, 0.46, 0.145, 0.9325, 0.3985, 0.2245, 0.248, 8
M, 0.6, 0.46, 0.15, 1.247, 0.5335, 0.2735, 0.29, 9
F, 0.615, 0.485, 0.16, 1.1575, 0.5005, 0.2495, 0.315, 10
M, 0.625, 0.48, 0.17, 1.3555, 0.671, 0.268, 0.3385, 10
F, 0.63, 0.495, 0.2, 1.4255, 0.659, 0.336, 0.38, 11
M, 0.63, 0.48, 0.165, 1.286, 0.604, 0.271, 0.35, 8
I, 0.22, 0.16, 0.05, 0.049, 0.0215, 0.01, 0.015, 4
I, 0.425, 0.33, 0.115, 0.3265, 0.1315, 0.077, 0.103, 6
I, 0.555, 0.425, 0.13, 0.648, 0.2835, 0.133, 0.2105, 8
M, 0.62, 0.49, 0.155, 1.1, 0.505, 0.2475, 0.31, 9
M, 0.67, 0.51, 0.18, 1.68, 0.926, 0.2975, 0.3935, 13
M, 0.68, 0.53, 0.18, 1.529, 0.7635, 0.3115, 0.4025, 11
M, 0.735, 0.57, 0.175, 1.88, 0.9095, 0.387, 0.488, 11
M, 0.75, 0.555, 0.215, 2.201, 1.0615, 0.5235, 0.5285, 11
I, 0.29, 0.215, 0.065, 0.0985, 0.0425, 0.021, 0.031, 5
I, 0.4, 0.305, 0.1, 0.3415, 0.176, 0.0625, 0.0865, 7
F, 0.515, 0.395, 0.135, 0.516, 0.2015, 0.132, 0.162, 9
F, 0.62, 0.48, 0.165, 1.0125, 0.5325, 0.4365, 0.324, 10
M, 0.63, 0.47, 0.15, 1.1355, 0.539, 0.2325, 0.3115, 12
M, 0.64, 0.485, 0.15, 1.098, 0.5195, 0.222, 0.3175, 10
M, 0.64, 0.515, 0.08, 1.042, 0.515, 0.1755, 0.175, 10
M, 0.725, 0.57, 0.19, 2.3305, 1.253, 0.541, 0.52, 9
M, 0.57, 0.42, 0.14, 0.8745, 0.416, 0.165, 0.25, 8
M, 0.58, 0.445, 0.16, 0.984, 0.49, 0.201, 0.27, 9
M, 0.63, 0.485, 0.16, 1.243, 0.623, 0.275, 0.3, 10
I, 0.54, 0.415, 0.11, 0.619, 0.2755, 0.15, 0.1765, 10
I, 0.545, 0.43, 0.13, 0.7595, 0.358, 0.153, 0.2055, 8
I, 0.56, 0.435, 0.13, 0.777, 0.354, 0.173, 0.222, 9
I, 0.59, 0.46, 0.125, 0.755, 0.334, 0.15, 0.238, 9
M, 0.595, 0.46, 0.17, 1.1295, 0.57, 0.2555, 0.265, 10
M, 0.605, 0.49, 0.18, 1.167, 0.457, 0.29, 0.3745, 9
F, 0.61, 0.47, 0.195, 1.2735, 0.469, 0.3315, 0.398, 12
F, 0.645, 0.52, 0.17, 1.197, 0.526, 0.2925, 0.317, 11
M, 0.67, 0.525, 0.195, 1.4405, 0.6595, 0.2675, 0.425, 9
I, 0.43, 0.345, 0.115, 0.4295, 0.212, 0.108, 0.109, 8
F, 0.525, 0.41, 0.135, 0.7905, 0.4065, 0.198, 0.177, 8
M, 0.645, 0.505, 0.185, 1.463, 0.592, 0.3905, 0.416, 10
M, 0.68, 0.54, 0.21, 1.7885, 0.8345, 0.408, 0.437, 13
I, 0.375, 0.26, 0.08, 0.2075, 0.09, 0.0415, 0.07, 6
I, 0.525, 0.4, 0.11, 0.6275, 0.3015, 0.126, 0.18, 8
M, 0.535, 0.41, 0.12, 0.6835, 0.3125, 0.1655, 0.159, 8
M, 0.59, 0.435, 0.165, 0.9765, 0.4525, 0.2395, 0.235, 9
F, 0.6, 0.45, 0.14, 0.869, 0.3425, 0.195, 0.291, 11
M, 0.615, 0.485, 0.215, 0.9615, 0.422, 0.176, 0.29, 11
F, 0.655, 0.455, 0.17, 1.2895, 0.587, 0.3165, 0.3415, 11
M, 0.71, 0.56, 0.175, 1.724, 0.566, 0.4575, 0.4625, 13
I, 0.29, 0.215, 0.06, 0.1115, 0.053, 0.0185, 0.032, 5
I, 0.44, 0.34, 0.12, 0.4995, 0.2965, 0.0945, 0.1185, 6
F, 0.47, 0.36, 0.1, 0.4705, 0.1635, 0.089, 0.1385, 8
F, 0.525, 0.4, 0.13, 0.6995, 0.3115, 0.131, 0.223, 9
M, 0.575, 0.45, 0.135, 0.9215, 0.354, 0.209, 0.2365, 9
F, 0.575, 0.45, 0.135, 0.8285, 0.362, 0.1655, 0.236, 10
M, 0.615, 0.495, 0.155, 1.2865, 0.435, 0.293, 0.3245, 11
F, 0.63, 0.495, 0.19, 1.1655, 0.536, 0.2115, 0.1625, 10
M, 0.46, 0.35, 0.125, 0.5165, 0.1885, 0.1145, 0.185, 9
I, 0.335, 0.26, 0.09, 0.1835, 0.078, 0.024, 0.065, 11
I, 0.215, 0.165, 0.055, 0.059, 0.0265, 0.0125, 0.0185, 5
M, 0.505, 0.395, 0.125, 0.635, 0.29, 0.1555, 0.175, 9
M, 0.605, 0.49, 0.155, 1.153, 0.503, 0.2505, 0.295, 15
F, 0.57, 0.465, 0.155, 0.872, 0.3245, 0.239, 0.285, 14
I, 0.51, 0.405, 0.12, 0.61, 0.229, 0.131, 0.235, 11
F, 0.51, 0.385, 0.135, 0.632, 0.282, 0.145, 0.17, 8
M, 0.55, 0.405, 0.15, 0.9235, 0.412, 0.2135, 0.24, 7
F, 0.525, 0.405, 0.115, 0.72, 0.3105, 0.1915, 0.2, 14
M, 0.335, 0.265, 0.095, 0.1975, 0.0795, 0.0375, 0.07, 9
F, 0.555, 0.42, 0.14, 0.868, 0.33, 0.243, 0.21, 13
M, 0.675, 0.525, 0.175, 1.402, 0.483, 0.3205, 0.465, 16
I, 0.42, 0.325, 0.125, 0.3915, 0.1575, 0.1025, 0.115, 9
M, 0.635, 0.51, 0.155, 1.156, 0.428, 0.289, 0.315, 18
M, 0.48, 0.38, 0.13, 0.6175, 0.3, 0.142, 0.175, 12
M, 0.455, 0.375, 0.125, 0.484, 0.2155, 0.102, 0.165, 7
