@relation crx
@attribute A1 {b, a}
@attribute A2 real [16.0,  8025.0]
@attribute A3 real [0.0,  26335.0]
@attribute A4 {u, y, l}
@attribute A5 {g, p, gg}
@attribute A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute A7 {v, h, bb, ff, j, z, o, dd, n}
@attribute A8 real [0.0,  14415.0]
@attribute A9 {t, f}
@attribute A10 {t, f}
@attribute A11 integer [0,  67]
@attribute A12 {f, t}
@attribute A13 {g, s, p}
@attribute A14 integer [0,  2000]
@attribute A15 integer [0,  100000]
@attribute Class {positive, negative}
@data
a,195.0,165.0,u,g,q,v,4.0,f,f,0,t,g,380,0,negative
b,2308.0,25.0,u,g,ff,ff,85.0,f,f,0,t,g,100,4208,negative
a,45.0,4585.0,u,g,k,h,1.0,f,f,0,t,s,240,0,negative
b,34.0,55.0,y,p,c,v,15.0,f,f,0,t,g,60,0,negative
b,31.0,2085.0,u,g,c,v,85.0,f,f,0,f,g,300,0,negative
a,695.0,6.0,u,g,ff,ff,0.0,f,f,0,f,s,0,0,negative
b,3125.0,2835.0,u,g,ff,ff,0.0,f,t,5,f,g,176,146,negative
b,1958.0,585.0,u,g,ff,ff,0.0,f,t,3,f,g,350,769,negative
b,2675.0,2.0,u,g,d,v,75.0,f,f,0,t,g,80,0,negative
b,7483.0,19.0,y,p,ff,ff,4.0,f,t,2,f,g,0,351,negative
b,1883.0,354.0,y,p,ff,ff,0.0,f,f,0,t,g,180,1,negative
a,4725.0,75.0,u,g,q,h,275.0,t,t,1,f,g,333,892,positive
a,6408.0,165.0,u,g,ff,ff,0.0,t,t,1,f,g,232,100,positive
b,3133.0,195.0,u,g,c,v,7.0,t,t,16,f,g,0,5000,positive
b,4092.0,835.0,u,g,ff,ff,0.0,t,f,0,f,g,130,1,negative
b,3008.0,104.0,y,p,i,bb,5.0,t,t,10,t,g,132,28,negative
b,4833.0,12.0,u,g,m,v,16.0,t,f,0,f,s,110,0,positive
b,4192.0,42.0,u,g,c,h,21.0,t,t,6,f,g,220,948,positive
b,2308.0,115.0,u,g,w,h,2125.0,t,t,11,t,g,290,284,positive
a,2033.0,10.0,u,g,c,h,1.0,t,t,4,f,g,50,1465,positive
b,2533.0,58.0,u,g,c,v,29.0,t,t,7,t,g,96,5124,positive
b,3017.0,65.0,u,g,cc,v,3125.0,t,t,8,f,g,330,1200,positive
b,2942.0,125.0,u,g,c,h,25.0,f,t,2,t,g,400,108,negative
a,2725.0,29.0,u,g,m,h,125.0,f,t,1,t,g,272,108,negative
a,2108.0,5.0,y,p,ff,ff,0.0,f,f,0,f,g,0,0,negative
a,3058.0,10665.0,u,g,q,h,85.0,f,t,12,t,g,129,3,negative
b,195.0,29.0,u,g,k,v,29.0,f,f,0,f,g,280,364,negative
