@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Class {van,saab,bus,opel}

@data
5,18,135,148,van
7,19,140,159,van
8,18,136,158,van
12,19,157,179,van
43,20,160,200,van
9,19,143,160,van
8,18,144,159,van
6,17,132,142,van
10,20,160,177,van
7,18,129,147,van
7,18,139,142,van
5,17,132,135,van
8,18,141,162,van
7,18,145,156,van
10,19,137,164,van
9,18,146,162,van
6,18,130,148,van
49,19,155,320,van
6,18,146,168,van
5,17,127,138,van
7,18,142,164,van
6,17,126,135,van
9,18,144,159,van
8,18,136,161,van
4,17,129,140,van
11,20,167,169,van
12,20,155,172,van
11,19,151,173,van
7,18,146,166,van
7,18,144,162,van
46,19,149,200,van
10,19,156,170,van
10,18,142,157,van
10,20,160,176,van
25,18,139,162,van
8,18,129,148,van
5,17,124,139,van
10,19,155,179,van
11,20,165,171,van
6,17,135,137,van
4,17,125,139,saab
10,21,158,211,saab
10,23,152,214,saab
7,19,129,174,saab
9,22,138,208,saab
12,25,168,226,saab
11,23,164,216,saab
10,25,168,224,saab
5,19,131,163,saab
9,20,139,184,saab
5,18,130,141,saab
7,21,151,197,saab
9,20,154,189,saab
5,18,127,151,saab
8,19,128,169,saab
11,25,172,229,saab
8,19,128,163,saab
11,24,167,229,saab
11,24,162,226,saab
11,24,163,222,saab
9,23,147,222,saab
11,24,173,232,saab
5,19,138,165,saab
8,21,134,205,saab
12,24,162,220,saab
8,20,153,188,saab
11,22,162,207,saab
10,22,160,202,saab
8,20,136,197,saab
4,18,126,150,saab
12,24,163,228,saab
11,24,156,223,saab
12,24,170,221,saab
11,25,168,228,saab
10,24,166,218,saab
7,18,134,149,saab
4,18,127,146,saab
5,19,143,175,saab
11,24,159,223,saab
12,24,168,229,saab
10,23,159,214,saab
7,19,143,172,saab
7,19,132,170,saab
8,19,129,180,saab
9,23,152,216,saab
9,22,162,208,saab
7,18,124,165,saab
9,20,132,172,saab
12,23,163,216,saab
8,19,129,179,saab
11,24,165,221,saab
9,20,138,184,saab
8,18,142,165,saab
10,24,156,225,saab
10,21,143,200,saab
6,18,125,151,saab
10,23,149,214,saab
4,17,118,136,saab
11,24,171,222,saab
6,20,125,187,saab
9,21,132,197,saab
10,22,157,207,saab
6,19,136,174,saab
8,21,132,200,saab
11,24,159,229,saab
5,18,135,159,saab
9,23,151,216,saab
9,22,144,216,saab
10,23,155,227,saab
12,24,162,226,saab
12,25,169,226,saab
11,24,162,228,saab
12,25,173,228,saab
8,22,156,211,saab
12,24,168,226,saab
6,17,121,137,saab
10,21,155,186,saab
8,19,133,166,saab
7,20,131,186,saab
9,20,149,180,saab
11,24,162,223,saab
11,25,175,229,saab
12,25,177,226,saab
11,24,164,228,saab
11,22,146,202,saab
10,23,150,213,saab
9,23,167,223,saab
11,25,167,226,saab
11,23,154,207,saab
10,24,162,220,saab
9,22,148,210,saab
8,20,148,181,saab
10,24,164,223,saab
11,25,172,226,saab
11,25,172,221,saab
12,24,171,229,saab
11,24,168,224,saab
7,21,131,188,saab
7,18,128,151,saab
9,24,158,224,saab
12,24,165,231,saab
6,17,118,148,saab
8,20,133,189,saab
8,21,152,200,saab
11,24,169,226,saab
10,22,161,219,saab
11,25,172,226,saab
10,24,163,220,saab
9,21,140,192,saab
7,20,147,180,saab
7,18,141,162,saab
9,22,149,209,saab
7,18,126,146,saab
7,20,147,184,saab
7,20,132,190,saab
6,20,148,185,saab
9,22,138,206,saab
9,20,151,190,saab
9,24,171,222,saab
10,23,152,221,saab
11,21,153,192,saab
11,23,158,214,saab
8,19,149,180,saab
10,24,173,225,saab
11,23,167,217,saab
8,19,128,177,saab
8,20,134,200,saab
12,25,167,226,saab
11,24,163,232,saab
9,21,134,191,saab
7,20,131,181,saab
7,19,143,175,saab
6,18,125,166,saab
10,24,165,229,saab
4,18,127,152,saab
9,21,155,195,saab
10,25,170,232,saab
11,25,174,229,saab
8,21,133,202,saab
12,25,170,223,saab
8,21,134,197,saab
6,19,130,162,saab
10,24,171,232,saab
7,20,152,196,saab
9,21,144,189,saab
8,20,134,183,saab
6,19,137,164,saab
7,19,134,173,saab
9,20,134,186,saab
6,19,136,164,saab
6,18,129,154,saab
12,24,167,223,saab
7,19,132,177,saab
7,21,139,197,saab
6,19,131,165,saab
10,22,160,220,saab
11,25,166,229,saab
10,22,156,207,saab
10,24,173,224,saab
10,24,169,224,saab
7,18,124,155,saab
10,24,166,217,saab
8,22,144,210,saab
12,23,162,207,saab
10,23,164,224,saab
9,20,134,178,saab
6,18,125,143,saab
9,22,158,214,saab
5,18,135,152,saab
7,19,133,165,saab
10,24,168,220,saab
7,19,126,177,saab
10,24,171,235,saab
8,20,150,189,saab
9,20,148,184,saab
10,24,153,227,saab
3,17,119,130,saab
11,25,167,229,saab
4,17,123,135,saab
6,18,131,164,saab
11,24,168,216,saab
8,20,134,191,saab
10,23,158,223,saab
6,18,123,158,saab
7,19,130,168,saab
7,18,127,148,saab
9,23,150,219,saab
5,19,128,153,saab
11,24,157,217,saab
11,25,163,232,saab
8,19,146,163,saab
7,21,154,205,saab
11,24,172,218,saab
8,18,127,158,saab
9,23,158,218,saab
4,26,164,263,bus
7,19,143,180,bus
7,26,160,254,bus
5,28,170,285,bus
7,19,147,166,bus
6,28,168,275,bus
5,22,161,212,bus
7,19,136,181,bus
7,26,168,258,bus
6,20,130,178,bus
6,26,170,267,bus
5,23,148,234,bus
7,19,143,173,bus
6,19,143,169,bus
7,19,143,176,bus
8,19,145,169,bus
6,19,145,170,bus
7,24,165,240,bus
7,19,127,171,bus
6,19,144,170,bus
6,19,146,167,bus
6,19,144,181,bus
7,19,146,170,bus
8,19,143,169,bus
6,19,146,172,bus
5,27,165,269,bus
7,20,153,179,bus
8,19,146,171,bus
5,21,134,205,bus
5,19,144,169,bus
7,19,141,167,bus
8,19,145,171,bus
4,24,153,238,bus
6,26,165,265,bus
5,20,149,185,bus
6,22,145,208,bus
7,19,135,175,bus
6,19,144,174,bus
6,19,143,173,bus
6,21,156,206,bus
8,19,144,175,bus
6,20,128,180,bus
7,19,142,179,bus
7,19,145,177,bus
7,19,142,177,bus
6,23,159,219,bus
6,25,162,247,bus
7,19,145,181,bus
7,19,134,167,bus
6,19,131,184,bus
7,19,131,175,bus
7,19,140,169,bus
6,19,141,175,bus
6,19,146,175,bus
7,19,131,168,bus
6,19,145,170,bus
5,20,131,189,bus
4,27,162,280,bus
6,20,138,189,bus
8,19,146,169,bus
5,24,159,232,bus
8,19,141,169,bus
6,19,134,173,bus
6,28,175,288,bus
7,19,147,169,bus
7,19,138,175,bus
6,19,145,166,bus
5,19,124,184,bus
8,19,133,175,bus
7,19,142,169,bus
5,27,169,272,bus
7,19,144,181,bus
8,19,145,170,bus
7,19,145,169,bus
5,24,161,227,bus
8,19,146,173,bus
5,21,154,196,bus
8,19,146,170,bus
6,29,174,285,bus
6,24,152,228,bus
7,19,147,166,bus
7,19,142,177,bus
7,19,141,168,bus
7,26,171,243,bus
19,19,143,180,bus
8,19,144,168,bus
7,19,145,178,bus
7,26,164,256,bus
6,22,146,217,bus
5,22,146,225,bus
5,19,138,184,bus
5,19,145,168,bus
7,19,151,167,bus
7,19,138,172,bus
6,19,131,179,bus
7,19,143,178,bus
7,19,147,169,bus
5,22,141,215,bus
7,21,161,199,bus
5,20,144,178,bus
7,19,144,166,bus
7,19,143,179,bus
7,19,140,171,bus
5,22,145,204,bus
6,19,146,173,bus
6,20,134,185,bus
7,19,144,174,bus
5,27,169,280,bus
6,19,127,178,bus
7,23,150,216,bus
6,28,171,278,bus
6,21,139,202,bus
7,19,145,173,bus
6,28,169,287,bus
6,19,141,172,bus
22,19,139,173,bus
6,19,141,167,bus
7,23,148,214,bus
4,25,159,254,bus
6,25,165,246,bus
5,21,138,204,bus
8,18,143,163,bus
7,19,137,174,bus
8,28,172,275,bus
5,18,143,166,bus
7,19,144,175,bus
8,19,145,170,bus
7,21,152,190,bus
6,19,147,170,bus
8,19,144,171,bus
8,19,148,169,bus
6,19,145,175,bus
6,22,153,202,bus
6,28,169,280,bus
6,19,141,169,bus
7,19,149,175,bus
6,21,139,197,bus
8,19,143,170,bus
7,19,145,172,bus
4,26,163,267,bus
6,19,146,176,bus
7,19,145,179,bus
6,19,144,168,bus
7,20,150,184,bus
52,19,144,241,bus
6,20,136,189,bus
6,19,146,172,bus
5,20,128,188,bus
7,19,143,171,bus
6,20,127,189,bus
7,19,140,171,bus
7,19,144,167,bus
8,19,146,170,bus
6,18,143,164,bus
6,19,146,180,bus
6,19,143,170,bus
6,20,131,193,bus
6,19,126,184,bus
8,19,144,169,bus
6,19,148,180,bus
6,26,167,264,bus
7,20,152,184,bus
6,19,150,168,bus
7,19,149,172,bus
6,24,156,232,bus
5,23,158,222,bus
6,18,142,164,bus
7,21,157,194,bus
7,22,154,208,bus
6,19,147,170,bus
7,21,158,189,bus
6,20,148,183,bus
22,19,147,186,bus
7,19,148,177,bus
4,25,158,262,bus
7,19,147,178,bus
7,19,144,170,bus
6,19,133,184,bus
6,19,142,168,bus
6,20,129,199,bus
5,20,137,184,bus
6,21,139,189,bus
6,19,143,176,bus
7,19,147,171,bus
7,19,143,169,bus
7,19,138,175,bus
6,19,141,169,bus
7,19,147,171,bus
52,19,144,237,bus
5,19,136,175,bus
8,19,145,166,bus
6,22,147,215,bus
6,19,145,170,bus
6,19,139,169,bus
7,19,146,167,bus
7,19,147,174,bus
11,25,176,234,opel
6,18,131,151,opel
8,19,125,172,opel
10,23,153,226,opel
11,25,163,238,opel
9,23,151,227,opel
11,23,152,212,opel
10,23,161,207,opel
8,20,129,186,opel
12,24,174,230,opel
8,21,137,196,opel
9,22,161,206,opel
10,24,163,226,opel
5,18,122,158,opel
12,25,173,225,opel
11,24,171,228,opel
8,18,127,148,opel
11,24,170,223,opel
6,18,123,161,opel
10,24,166,219,opel
11,24,175,219,opel
11,24,163,222,opel
9,20,130,196,opel
8,23,147,231,opel
10,24,172,223,opel
10,22,147,224,opel
11,25,178,231,opel
11,25,170,220,opel
8,19,125,174,opel
7,17,130,137,opel
13,25,177,225,opel
7,19,135,172,opel
6,18,137,155,opel
10,22,159,209,opel
6,19,144,170,opel
11,25,178,231,opel
10,24,154,232,opel
6,18,132,144,opel
12,25,182,225,opel
5,18,130,148,opel
6,21,156,207,opel
7,18,134,147,opel
5,18,128,152,opel
9,22,161,208,opel
8,21,132,199,opel
10,21,158,197,opel
11,25,176,228,opel
5,18,127,152,opel
11,25,180,234,opel
4,19,133,170,opel
6,18,128,135,opel
7,18,126,163,opel
11,23,169,221,opel
8,22,151,208,opel
9,21,135,191,opel
9,23,148,223,opel
9,21,142,199,opel
8,20,149,181,opel
10,24,175,226,opel
11,23,152,227,opel
10,25,177,225,opel
8,19,143,159,opel
6,18,135,158,opel
9,19,135,165,opel
9,20,132,190,opel
10,24,175,221,opel
7,18,126,154,opel
12,23,158,215,opel
10,22,148,202,opel
9,24,168,236,opel
9,25,175,231,opel
7,20,148,184,opel
10,24,173,219,opel
10,22,161,210,opel
10,24,174,228,opel
7,20,147,197,opel
9,22,156,202,opel
8,19,133,173,opel
11,24,162,217,opel
9,23,166,227,opel
7,19,127,166,opel
6,20,143,189,opel
7,19,141,182,opel
9,22,161,216,opel
7,21,131,209,opel
7,20,131,194,opel
7,19,143,170,opel
11,24,167,221,opel
7,19,131,169,opel
10,24,175,224,opel
8,21,156,203,opel
8,19,126,182,opel
8,20,149,187,opel
6,18,128,162,opel
10,23,164,217,opel
9,23,166,222,opel
8,18,138,165,opel
10,22,141,214,opel
10,22,142,202,opel
8,18,127,160,opel
10,23,163,214,opel
7,19,127,179,opel
10,22,143,217,opel
11,24,166,228,opel
9,22,161,214,opel
6,19,132,167,opel
10,25,171,224,opel
10,21,140,197,opel
12,25,174,221,opel
7,18,125,144,opel
11,23,156,212,opel
9,22,161,214,opel
7,19,145,181,opel
9,21,137,202,opel
9,21,153,197,opel
7,19,134,167,opel
9,18,132,145,opel
9,21,155,200,opel
10,23,147,220,opel
4,17,124,135,opel
8,21,152,195,opel
11,25,167,228,opel
11,24,173,226,opel
8,20,148,190,opel
10,25,171,219,opel
6,18,125,142,opel
10,24,173,219,opel
8,19,126,179,opel
8,19,142,174,opel
7,20,145,188,opel
11,24,170,222,opel
11,25,178,228,opel
11,24,161,224,opel
9,22,162,210,opel
7,20,129,184,opel
6,18,128,147,opel
8,23,161,218,opel
9,20,135,181,opel
10,25,166,235,opel
11,25,186,225,opel
12,25,178,231,opel
7,18,138,161,opel
13,25,180,225,opel
12,25,177,223,opel
8,20,134,196,opel
12,24,159,214,opel
9,23,163,217,opel
10,24,177,221,opel
8,18,126,152,opel
9,24,162,238,opel
7,18,120,151,opel
11,24,172,219,opel
8,20,133,199,opel
10,24,173,217,opel
8,20,150,193,opel
5,18,131,155,opel
6,19,145,175,opel
12,24,172,220,opel
8,20,131,189,opel
9,23,146,219,opel
7,18,124,147,opel
10,24,162,222,opel
6,19,146,170,opel
10,25,177,237,opel
10,24,164,228,opel
11,23,155,212,opel
10,23,156,215,opel
10,25,165,241,opel
8,20,133,185,opel
11,25,172,223,opel
3,17,119,131,opel
13,25,188,223,opel
10,23,158,222,opel
10,24,169,227,opel
11,24,173,219,opel
11,24,165,229,opel
6,19,139,170,opel
8,20,131,182,opel
8,19,134,176,opel
10,23,157,214,opel
7,18,136,154,opel
7,20,133,178,opel
7,19,137,170,opel
8,20,149,183,opel
11,24,173,225,opel
9,22,150,207,opel
8,19,144,181,opel
10,21,154,200,opel
7,19,124,169,opel
11,23,164,219,opel
11,25,174,225,opel
