@relation vehicle

@attribute Circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Minor_variance numeric
@attribute Gyration_radius numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
48,60,159,374,186,75,van
42,66,145,331,147,70,van
40,48,140,277,148,85,van
48,126,156,346,200,118,van
46,67,150,363,184,67,van
39,68,137,308,158,68,van
40,68,139,317,157,70,van
36,61,135,265,119,62,van
38,59,133,278,128,72,van
41,52,143,275,161,81,van
41,51,141,284,149,77,van
37,63,134,284,124,71,van
45,69,148,307,176,71,van
38,56,129,208,152,78,van
42,64,141,265,159,67,van
44,63,146,280,167,72,van
47,64,163,352,188,76,van
35,55,122,203,139,89,van
40,53,139,249,158,87,van
36,57,136,260,121,67,van
46,66,147,339,179,67,van
37,55,128,219,146,85,van
43,61,157,326,140,64,van
43,64,145,279,167,64,van
47,62,152,325,181,72,van
47,133,163,364,176,97,van
46,64,148,339,182,70,van
39,59,139,289,123,62,van
36,56,130,211,118,67,van
48,64,153,357,187,74,van
37,54,126,196,144,74,van
46,68,148,354,182,69,van
42,59,142,259,162,65,van
45,64,148,324,174,71,van
44,68,147,305,171,70,van
45,56,156,362,173,76,van
44,58,157,349,176,74,van
34,61,127,223,112,64,van
39,62,137,281,124,63,van
40,56,137,209,153,65,van
45,68,156,357,176,73,van
40,58,140,225,150,63,van
39,48,139,261,151,85,van
46,62,156,366,186,74,van
39,56,135,195,145,64,van
36,56,124,207,127,81,van
40,65,141,314,143,70,van
48,56,164,354,187,78,van
36,69,136,279,127,67,van
47,64,160,389,185,73,van
41,57,143,330,158,72,van
42,64,142,264,159,67,van
49,57,167,365,186,75,van
44,63,148,300,171,63,van
42,53,144,254,162,73,van
39,51,139,255,150,86,van
43,65,146,281,164,67,van
43,66,147,334,143,65,van
44,62,148,312,166,64,van
35,59,129,246,109,62,van
41,63,150,309,134,67,van
41,61,142,249,153,68,van
47,64,157,371,185,71,van
37,52,137,238,119,71,van
46,55,161,369,171,77,van
48,72,159,379,184,70,van
39,59,135,203,145,64,van
36,55,128,212,131,73,van
47,58,153,376,185,77,van
46,58,160,371,189,77,van
48,59,160,370,185,76,van
43,64,151,356,174,72,van
40,64,139,311,149,71,van
46,52,160,351,177,78,van
46,58,158,373,186,76,van
39,66,140,290,126,64,van
47,66,158,355,178,74,van
36,54,132,242,116,66,van
49,56,160,367,186,76,van
41,56,143,247,157,78,van
45,68,144,305,179,71,van
40,50,141,269,139,80,van
43,105,145,289,172,99,van
43,55,146,253,156,70,van
44,64,145,272,162,75,van
45,59,158,362,173,75,van
42,51,144,262,155,78,van
39,48,141,258,139,80,van
36,57,128,204,136,88,van
35,58,128,237,112,64,van
42,64,143,246,159,69,van
48,64,167,375,186,74,van
40,58,138,275,137,73,van
37,55,135,256,124,69,van
40,63,140,319,137,64,van
35,57,125,200,123,65,van
40,59,139,225,143,63,van
40,49,145,249,156,78,van
38,52,140,253,140,78,van
34,59,130,243,113,63,van
45,63,148,334,171,65,van
44,54,151,352,176,76,van
42,56,145,240,152,74,van
46,66,155,381,172,74,van
49,54,162,366,186,75,van
45,63,157,367,162,68,van
47,54,163,369,174,77,van
35,54,121,208,137,90,van
35,58,132,222,116,64,van
44,58,146,273,166,78,van
47,53,165,358,176,77,van
48,60,156,333,200,75,van
41,59,137,223,150,76,van
45,58,148,294,175,73,van
46,70,155,358,192,69,van
40,62,139,430,133,61,saab
40,56,135,262,166,70,saab
40,58,133,471,155,70,saab
39,63,132,457,156,69,saab
52,64,158,607,204,65,saab
40,59,133,279,151,74,saab
53,64,166,710,214,71,saab
35,57,125,220,128,82,saab
38,53,127,277,145,75,saab
54,68,170,700,224,67,saab
53,66,164,659,210,67,saab
50,65,156,527,195,65,saab
56,72,171,698,216,72,saab
39,62,132,458,154,70,saab
49,62,155,635,215,72,saab
47,64,150,586,191,70,saab
52,59,158,583,234,70,saab
51,56,162,673,217,72,saab
37,61,127,271,141,85,saab
51,56,163,650,222,73,saab
50,56,159,676,203,71,saab
45,56,149,357,170,69,saab
36,60,128,331,131,66,saab
46,61,149,561,160,65,saab
41,56,141,297,169,61,saab
41,58,136,318,178,79,saab
54,57,174,709,214,70,saab
42,63,138,508,173,70,saab
53,61,167,636,216,64,saab
53,66,165,623,224,68,saab
51,59,163,694,203,72,saab
47,61,150,402,190,72,saab
34,58,121,197,127,70,saab
42,58,142,293,158,64,saab
56,73,174,718,214,73,saab
44,59,143,344,177,77,saab
39,59,134,418,129,63,saab
37,54,127,252,142,72,saab
40,59,135,260,150,68,saab
38,60,134,433,138,68,saab
38,59,129,351,137,70,saab
36,60,128,367,123,61,saab
39,59,131,396,158,71,saab
49,61,157,637,168,64,saab
43,59,144,360,158,61,saab
37,53,127,266,146,79,saab
38,54,131,318,145,75,saab
44,63,144,512,165,66,saab
51,59,162,667,194,65,saab
53,65,160,559,237,71,saab
51,66,157,533,231,68,saab
51,69,156,506,230,70,saab
46,61,150,578,195,66,saab
39,59,132,426,142,67,saab
48,61,153,635,200,70,saab
39,60,134,445,152,72,saab
34,56,123,263,125,63,saab
44,66,144,526,175,72,saab
37,62,125,265,144,83,saab
37,68,134,378,134,69,saab
51,60,161,572,219,67,saab
48,65,152,584,174,68,saab
45,61,149,586,186,67,saab
36,55,125,290,138,71,saab
54,62,164,608,235,68,saab
38,54,132,327,149,74,saab
54,65,167,696,216,72,saab
46,60,147,578,198,73,saab
48,64,153,427,190,64,saab
53,63,168,704,198,69,saab
46,66,148,543,169,68,saab
52,65,163,668,220,66,saab
53,63,168,712,201,71,saab
37,58,132,373,115,60,saab
33,53,118,193,127,83,saab
54,68,169,675,212,68,saab
49,63,154,467,222,70,saab
43,63,144,521,166,68,saab
53,63,166,664,202,74,saab
55,67,167,629,220,72,saab
39,58,136,337,140,70,saab
40,56,134,339,160,76,saab
38,65,136,430,141,67,saab
53,64,172,707,203,71,saab
49,60,160,518,178,62,saab
36,57,127,216,132,68,saab
40,64,135,465,165,66,saab
52,59,163,642,197,70,saab
52,62,162,527,203,67,saab
36,63,131,291,126,66,saab
50,67,158,525,214,67,saab
48,62,151,613,183,64,saab
51,67,162,621,195,68,saab
43,59,143,349,187,67,saab
53,65,168,667,221,72,saab
36,64,125,385,139,66,saab
46,56,148,382,184,71,saab
43,57,143,335,176,69,saab
45,64,147,383,188,70,saab
45,57,147,381,177,69,saab
53,64,168,711,214,73,saab
36,61,128,298,137,63,saab
40,58,137,295,164,77,saab
37,57,129,243,132,71,saab
45,59,148,404,179,62,saab
36,53,126,268,144,86,saab
54,65,167,675,232,66,saab
53,60,169,681,218,73,saab
55,71,171,658,223,74,saab
52,55,171,687,214,72,saab
37,60,131,373,144,68,saab
53,71,167,713,202,70,saab
37,67,129,353,144,69,saab
37,55,127,245,140,81,saab
51,57,162,674,190,68,saab
50,63,155,472,197,65,saab
36,60,133,334,121,63,saab
36,56,126,361,123,65,saab
37,58,130,230,145,74,saab
45,60,149,370,169,63,saab
34,55,118,224,118,65,saab
55,68,173,703,229,71,saab
37,61,134,365,125,63,saab
50,61,158,492,220,69,saab
36,53,126,229,128,78,saab
53,56,167,712,214,72,saab
44,62,146,505,152,64,saab
56,71,172,705,217,71,saab
38,53,131,305,149,69,saab
38,66,133,355,130,70,saab
54,67,173,721,200,70,saab
49,59,156,635,213,70,saab
35,57,123,196,128,76,saab
46,60,148,373,181,67,saab
47,66,151,452,205,66,saab
41,56,136,274,162,74,saab
54,69,170,718,202,73,saab
34,59,124,298,117,61,saab
42,62,139,308,170,74,saab
50,66,158,635,220,73,saab
55,69,168,684,214,71,saab
54,65,162,648,240,71,saab
54,62,170,694,217,71,saab
53,61,168,694,209,67,saab
48,60,152,460,198,68,saab
36,57,128,349,124,60,saab
54,65,164,587,240,72,saab
53,69,169,712,212,72,saab
47,59,154,586,165,61,saab
36,58,124,270,148,66,saab
48,63,152,604,199,73,saab
38,51,130,299,146,77,saab
48,64,152,600,178,64,saab
38,55,130,314,158,83,saab
45,66,143,552,195,73,saab
53,55,168,660,223,73,saab
40,58,134,486,160,68,saab
39,58,134,246,158,63,saab
41,61,138,333,173,80,saab
39,64,138,415,131,62,saab
54,68,166,640,218,69,saab
46,66,149,612,210,70,saab
33,57,119,184,127,86,saab
54,66,167,677,212,70,saab
40,62,133,330,173,82,saab
45,64,151,390,174,66,saab
53,64,163,627,202,65,saab
37,63,128,264,143,82,saab
38,60,131,319,157,86,saab
51,62,163,711,202,72,saab
45,64,150,520,158,64,saab
38,62,129,327,153,71,saab
43,56,140,327,165,72,saab
43,54,146,308,174,64,saab
38,55,128,295,145,81,saab
51,60,162,573,184,62,saab
55,68,172,709,216,70,saab
51,60,162,545,194,64,saab
47,59,152,425,185,67,saab
40,60,133,383,155,72,saab
39,64,134,422,149,72,saab
40,58,139,455,160,68,saab
54,66,169,704,216,71,saab
42,59,138,511,168,67,saab
55,67,177,719,213,71,saab
48,60,153,458,187,62,saab
54,61,173,686,220,74,saab
46,61,154,415,175,63,saab
37,63,134,405,139,67,saab
50,58,159,639,186,67,saab
54,64,172,669,222,74,saab
42,61,144,480,138,61,saab
52,64,168,709,200,73,saab
51,63,159,576,201,65,saab
49,64,158,645,184,68,saab
42,75,138,446,161,69,bus
42,55,146,323,172,85,bus
47,70,152,430,185,69,bus
42,53,143,321,160,85,bus
43,55,141,534,162,75,bus
45,69,144,373,191,69,bus
44,53,146,333,190,80,bus
42,67,144,333,159,78,bus
52,66,161,666,218,76,bus
52,52,160,816,250,82,bus
46,70,148,427,171,69,bus
44,103,144,325,188,127,bus
45,56,144,324,186,84,bus
43,57,143,333,168,86,bus
39,66,134,318,139,70,bus
45,63,145,335,176,71,bus
46,71,150,422,180,69,bus
47,72,150,429,182,69,bus
46,70,147,338,198,80,bus
49,74,154,558,209,74,bus
43,56,142,340,173,81,bus
39,72,133,365,145,70,bus
57,50,169,957,264,85,bus
43,62,145,341,179,84,bus
44,50,147,328,189,88,bus
47,70,153,406,172,68,bus
45,69,147,335,186,88,bus
49,73,157,487,186,72,bus
43,53,147,327,176,81,bus
54,61,165,766,231,79,bus
43,68,145,337,173,80,bus
44,54,147,329,185,81,bus
42,54,143,319,171,87,bus
40,68,137,341,151,69,bus
45,71,145,533,182,71,bus
44,55,148,325,176,82,bus
42,62,143,323,153,76,bus
47,60,148,596,201,74,bus
48,68,153,524,171,74,bus
46,65,146,331,185,77,bus
57,56,175,982,261,85,bus
42,59,142,327,156,78,bus
43,56,145,317,171,86,bus
35,68,124,371,117,71,bus
42,64,143,339,157,75,bus
50,63,156,719,213,77,bus
53,72,163,844,242,85,bus
41,66,136,352,154,72,bus
53,47,164,838,222,82,bus
38,64,131,345,139,66,bus
54,48,165,891,243,84,bus
42,56,145,328,172,82,bus
45,126,144,326,185,119,bus
54,67,162,923,262,88,bus
52,69,161,570,221,75,bus
49,71,154,465,206,71,bus
45,74,143,375,183,70,bus
37,71,127,362,132,67,bus
55,51,165,870,247,84,bus
55,57,170,857,242,85,bus
43,74,143,342,168,76,bus
56,53,168,956,230,83,bus
44,66,147,312,169,69,bus
36,73,127,401,125,72,bus
43,53,144,326,172,85,bus
51,65,159,622,205,74,bus
41,69,139,485,151,72,bus
41,64,138,328,152,72,bus
37,66,129,346,119,65,bus
39,71,131,350,143,72,bus
38,68,136,413,129,71,bus
42,55,142,336,173,81,bus
46,63,147,563,174,73,bus
51,51,165,703,208,81,bus
55,49,172,904,239,83,bus
41,65,141,309,147,71,bus
51,72,161,520,198,72,bus
46,68,148,349,192,71,bus
43,54,146,332,176,81,bus
45,69,144,340,179,69,bus
43,64,144,330,171,80,bus
44,61,143,311,173,68,bus
42,67,139,341,165,65,bus
44,52,147,340,177,82,bus
40,63,135,321,145,72,bus
45,54,145,326,186,81,bus
56,75,167,855,228,82,bus
45,64,142,317,180,75,bus
57,52,169,968,261,85,bus
43,54,144,325,177,87,bus
42,58,144,320,172,83,bus
38,69,130,393,133,66,bus
42,64,142,331,158,74,bus
42,54,141,317,174,88,bus
43,64,141,322,171,67,bus
43,75,143,359,173,77,bus
45,69,145,523,183,72,bus
44,61,143,325,180,74,bus
51,71,159,579,188,75,bus
41,68,138,336,157,71,bus
45,64,146,570,163,76,bus
57,67,171,987,260,86,bus
47,68,146,356,190,74,bus
43,65,143,341,160,76,bus
42,51,141,324,171,85,bus
43,54,145,329,176,85,bus
38,69,131,427,138,70,bus
41,64,134,485,148,74,bus
49,70,156,517,198,73,bus
44,70,141,312,172,71,bus
58,51,174,1018,255,85,bus
43,69,142,344,177,68,bus
44,72,144,361,178,67,bus
43,56,143,322,171,85,bus
48,68,150,605,200,73,bus
45,64,143,320,184,80,bus
43,69,139,484,163,68,bus
45,71,144,399,186,70,bus
45,56,147,337,176,79,bus
50,67,158,531,198,74,bus
40,61,139,457,141,72,bus
44,59,145,329,173,80,bus
54,47,166,892,242,85,bus
42,65,138,362,157,76,bus
37,70,131,363,127,71,bus
53,65,161,636,214,78,bus
44,74,145,525,154,73,bus
43,60,146,330,176,81,bus
44,69,143,306,170,69,bus
57,51,172,954,232,83,bus
43,67,142,310,177,65,bus
37,72,133,385,127,70,bus
45,73,146,336,186,75,bus
43,56,144,324,173,82,bus
44,64,144,350,177,80,bus
42,54,140,327,172,85,bus
45,58,146,334,187,79,bus
47,64,147,340,195,75,bus
49,59,152,680,210,77,bus
57,55,171,822,229,77,bus
51,60,162,731,209,80,bus
44,56,144,321,171,87,bus
43,55,146,326,173,83,bus
41,67,140,327,152,72,bus
43,65,143,361,172,66,bus
40,67,135,332,144,68,bus
41,65,139,330,155,75,bus
43,56,145,319,171,85,bus
40,73,134,379,148,73,bus
47,61,149,349,199,77,bus
57,51,170,966,261,87,bus
50,54,159,735,206,83,bus
49,54,153,682,198,78,bus
40,76,136,342,148,72,bus
43,62,144,344,174,78,bus
55,59,168,866,245,80,bus
37,71,128,393,135,69,bus
51,62,158,625,219,77,bus
44,70,145,372,166,67,bus
44,53,147,333,178,86,bus
42,53,145,325,163,85,bus
49,65,158,463,194,70,bus
46,75,147,362,192,72,bus
45,60,151,333,179,81,bus
39,61,136,307,141,69,bus
43,62,142,337,164,75,bus
45,65,146,576,167,79,bus
42,66,140,325,159,67,bus
45,56,145,332,186,81,bus
46,56,149,342,191,81,bus
44,61,143,317,183,81,bus
45,57,145,321,186,86,bus
46,59,146,327,183,75,bus
44,64,145,322,185,82,bus
36,73,126,374,124,71,bus
45,70,146,321,189,71,bus
39,66,134,332,143,69,bus
44,56,150,331,177,83,bus
37,68,131,347,135,68,bus
46,59,146,336,183,74,bus
41,73,136,373,153,74,bus
43,72,145,341,171,76,bus
46,66,146,343,189,73,bus
43,68,143,330,173,78,bus
38,66,131,414,137,71,bus
52,58,158,776,217,82,bus
46,61,148,347,190,80,bus
46,57,147,334,188,82,bus
51,65,159,671,214,78,bus
42,50,141,332,171,85,bus
41,71,138,479,151,72,bus
42,69,137,434,156,68,bus
44,75,141,326,178,69,bus
37,74,128,419,136,72,bus
58,51,171,998,257,83,bus
43,54,147,324,175,87,bus
48,68,154,641,204,70,opel
46,62,148,418,193,67,opel
54,57,170,706,217,75,opel
55,54,173,685,218,75,opel
46,65,146,574,199,73,opel
38,55,130,430,155,69,opel
56,55,175,681,224,74,opel
55,68,169,623,216,71,opel
54,53,174,692,223,72,opel
52,60,167,701,197,66,opel
43,63,142,513,139,65,opel
54,64,174,728,199,67,opel
40,57,133,342,153,75,opel
36,57,126,266,128,66,opel
43,59,141,342,174,68,opel
44,62,147,521,151,66,opel
38,61,134,415,145,71,opel
45,62,145,406,178,65,opel
52,53,166,711,218,74,opel
39,59,134,331,133,73,opel
38,59,128,259,146,87,opel
49,63,156,519,176,62,opel
40,59,134,252,144,64,opel
36,56,124,209,135,84,opel
38,56,129,395,140,67,opel
50,64,159,517,193,66,opel
48,64,155,602,162,64,opel
57,69,176,708,219,73,opel
41,56,137,317,156,76,opel
49,54,159,644,183,66,opel
51,60,160,661,187,67,opel
38,55,130,219,144,64,opel
40,58,137,260,151,61,opel
35,59,131,322,123,64,opel
56,62,178,757,204,73,opel
56,59,173,648,218,72,opel
49,64,153,471,209,67,opel
40,52,133,340,163,87,opel
40,55,135,311,144,76,opel
57,66,176,725,236,70,opel
55,57,177,741,204,71,opel
38,59,126,259,135,76,opel
35,62,124,334,125,62,opel
56,69,169,651,223,74,opel
44,54,144,332,168,68,opel
51,68,162,653,224,73,opel
39,57,133,358,157,74,opel
55,67,174,706,226,67,opel
53,63,162,571,210,68,opel
45,60,148,371,186,69,opel
42,62,141,504,168,70,opel
45,57,146,335,180,66,opel
57,54,188,726,213,72,opel
36,56,124,221,121,78,opel
38,61,129,402,130,63,opel
55,70,177,737,218,75,opel
52,59,161,530,205,67,opel
38,53,132,261,123,65,opel
51,59,161,553,195,64,opel
48,63,155,494,189,64,opel
36,56,125,233,123,70,opel
44,59,145,343,177,64,opel
53,54,172,685,187,68,opel
58,69,176,716,246,71,opel
38,59,132,428,148,67,opel
48,67,151,628,202,74,opel
51,63,161,543,235,68,opel
37,55,125,229,132,81,opel
55,57,177,731,211,71,opel
42,65,141,474,149,67,opel
37,60,131,391,136,72,opel
54,53,173,669,201,76,opel
35,58,122,192,138,74,opel
57,72,177,718,218,72,opel
38,62,135,388,132,63,opel
55,68,178,737,213,74,opel
54,59,172,665,217,73,opel
52,68,165,731,207,73,opel
55,63,172,677,219,75,opel
48,62,158,595,164,66,opel
42,60,142,322,160,62,opel
37,62,131,389,117,62,opel
37,54,128,227,147,82,opel
46,68,148,602,201,69,opel
47,60,147,417,201,73,opel
59,70,186,732,218,70,opel
51,70,163,722,206,73,opel
52,53,163,669,204,74,opel
54,67,163,597,214,68,opel
38,58,127,259,145,87,opel
39,69,133,416,151,74,opel
53,58,166,693,191,71,opel
51,52,164,631,193,69,opel
41,63,142,455,138,65,opel
45,59,146,379,188,65,opel
54,50,172,727,201,69,opel
55,68,170,679,214,68,opel
54,58,171,728,203,71,opel
52,62,161,602,200,67,opel
39,56,131,281,142,80,opel
51,67,162,704,206,72,opel
41,55,138,284,158,67,opel
56,64,173,696,216,72,opel
39,53,135,295,144,77,opel
55,62,180,722,213,71,opel
39,54,134,338,139,71,opel
45,60,144,366,174,70,opel
39,62,135,444,121,63,opel
44,60,141,345,161,72,opel
34,57,122,284,120,62,opel
46,61,150,557,161,65,opel
52,67,161,536,240,72,opel
48,71,153,633,197,71,opel
42,55,139,312,166,71,opel
45,62,148,526,159,64,opel
53,63,167,710,214,71,opel
36,56,124,240,133,70,opel
44,66,143,396,180,66,opel
54,62,166,600,241,70,opel
57,63,180,756,205,72,opel
43,56,143,333,168,63,opel
46,67,147,573,194,70,opel
55,65,165,673,249,72,opel
54,56,171,706,223,72,opel
58,65,182,748,216,71,opel
52,57,162,676,189,66,opel
50,65,156,683,218,72,opel
52,55,166,657,215,73,opel
54,67,170,697,196,74,opel
38,58,128,259,148,83,opel
52,62,161,562,244,69,opel
49,57,161,670,172,67,opel
42,58,138,290,151,64,opel
53,66,163,653,212,66,opel
55,60,173,717,214,72,opel
54,56,174,729,200,70,opel
55,65,166,624,246,74,opel
46,64,152,575,159,65,opel
39,62,137,466,151,67,opel
56,74,172,713,218,73,opel
38,61,127,314,142,69,opel
52,67,163,589,226,67,opel
36,55,128,321,134,64,opel
49,57,156,630,186,65,opel
46,64,149,396,178,67,opel
55,68,171,709,210,69,opel
43,65,143,534,166,71,opel
37,59,126,348,136,69,opel
49,63,156,473,201,67,opel
55,53,178,737,217,73,opel
58,70,182,752,207,72,opel
40,62,138,462,150,66,opel
55,70,168,661,245,72,opel
48,61,152,650,193,71,opel
40,62,135,290,162,72,opel
37,59,133,394,130,63,opel
39,54,131,274,162,69,opel
55,62,175,666,219,73,opel
45,59,145,350,172,75,opel
48,62,158,624,168,65,opel
36,57,127,252,139,76,opel
36,64,126,367,142,66,opel
35,60,125,331,137,67,opel
51,57,162,663,184,66,opel
47,64,150,426,182,70,opel
56,61,179,725,212,72,opel
54,58,175,682,222,75,opel
57,69,173,706,250,73,opel
52,64,164,610,192,65,opel
49,62,154,478,171,64,opel
34,56,120,251,114,62,opel
34,57,119,191,121,87,opel
55,69,178,748,216,74,opel
55,56,175,713,216,74,opel
57,74,175,670,223,74,opel
56,59,173,684,219,75,opel
41,65,137,504,153,66,opel
52,71,164,682,199,71,opel
40,55,134,330,165,80,opel
49,61,158,494,180,62,opel
47,69,147,598,200,73,opel
55,61,178,730,204,74,opel
36,62,123,287,129,66,opel
39,60,131,469,145,71,opel
38,59,132,315,136,80,opel
38,57,127,282,127,72,opel
41,63,140,481,136,63,opel
50,65,156,481,210,71,opel
50,63,161,567,185,64,opel
38,59,130,247,139,79,opel
36,56,126,286,130,72,opel
