@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
6,18,142,bus
4,27,166,bus
6,23,161,bus
19,19,143,bus
6,19,145,bus
7,19,146,bus
7,19,151,bus
5,20,131,bus
7,18,136,bus
6,19,133,bus
6,20,138,bus
6,20,136,bus
6,21,156,bus
6,22,159,bus
8,18,143,bus
6,19,144,bus
6,19,147,bus
6,19,139,bus
7,23,148,bus
5,28,170,bus
7,19,134,bus
7,19,129,bus
7,19,144,bus
6,21,139,bus
5,23,158,bus
6,29,174,bus
7,19,149,bus
7,19,143,bus
5,21,154,bus
6,20,130,bus
6,19,126,bus
8,19,133,bus
7,20,150,bus
8,19,145,bus
8,19,141,bus
6,19,143,bus
6,19,146,bus
6,25,162,bus
5,19,136,bus
6,22,153,bus
7,19,142,bus
6,20,129,bus
6,19,141,bus
7,19,145,bus
6,20,128,bus
8,19,143,bus
7,19,140,bus
5,18,143,bus
6,19,127,bus
4,26,163,bus
6,19,143,bus
7,19,138,bus
6,19,145,bus
7,19,143,bus
6,28,168,bus
6,28,171,bus
7,19,143,bus
7,19,144,bus
4,25,159,bus
6,24,152,bus
7,19,138,bus
5,22,161,bus
7,19,145,bus
8,19,144,bus
7,19,143,bus
5,23,148,bus
7,19,145,bus
6,19,146,bus
4,25,158,bus
6,19,144,bus
5,27,169,bus
7,19,140,bus
7,19,144,bus
6,19,147,bus
7,19,143,bus
8,19,144,bus
8,19,144,bus
6,21,139,bus
5,19,145,bus
7,21,152,bus
6,19,146,bus
6,19,142,bus
7,19,144,bus
7,19,147,bus
8,19,146,bus
7,22,145,bus
8,19,146,bus
5,24,161,bus
6,19,150,bus
7,21,161,bus
7,21,158,bus
6,21,139,bus
7,19,136,bus
6,26,165,bus
7,19,141,bus
8,28,172,bus
7,19,144,bus
6,22,145,bus
6,25,165,bus
7,20,152,bus
7,19,142,bus
6,19,144,bus
6,28,171,bus
6,18,143,bus
6,19,147,bus
8,19,146,bus
7,19,144,bus
5,27,169,bus
7,19,147,bus
7,19,143,bus
6,20,127,bus
6,24,156,bus
6,20,148,bus
7,19,147,bus
7,19,131,bus
6,19,131,bus
7,19,148,bus
7,19,127,bus
5,22,146,bus
7,19,147,bus
7,21,157,bus
5,20,128,bus
7,19,147,bus
6,19,141,bus
5,19,144,bus
6,19,143,bus
7,19,142,bus
4,26,164,bus
7,28,172,bus
7,19,147,bus
8,19,145,bus
6,26,170,bus
6,28,169,bus
6,22,147,bus
6,26,167,bus
8,19,146,bus
7,19,142,bus
7,19,142,bus
5,24,159,bus
6,19,143,bus
7,19,135,bus
7,19,138,bus
7,19,131,bus
7,19,144,bus
6,22,146,bus
7,19,145,bus
7,19,147,bus
52,19,144,bus
6,19,141,bus
7,19,145,bus
8,19,145,bus
7,19,143,bus
8,19,145,bus
7,26,160,bus
6,19,145,bus
7,20,133,opel
10,24,175,opel
12,24,159,opel
13,25,180,opel
11,25,182,opel
11,23,156,opel
7,18,134,opel
9,22,150,opel
8,21,152,opel
5,18,127,opel
8,19,143,opel
7,18,126,opel
11,24,170,opel
7,18,120,opel
11,25,180,opel
11,24,161,opel
10,25,178,opel
8,19,142,opel
8,20,148,opel
8,22,147,opel
6,18,128,opel
8,20,129,opel
8,19,126,opel
11,25,176,opel
11,25,176,opel
11,24,171,opel
10,24,173,opel
11,24,165,opel
10,25,177,opel
6,18,128,opel
11,23,169,opel
8,19,144,opel
12,25,173,opel
11,23,164,opel
10,21,154,opel
7,20,146,opel
12,25,177,opel
9,22,161,opel
7,20,148,opel
5,18,130,opel
5,17,122,opel
10,22,159,opel
10,24,175,opel
9,21,153,opel
11,24,162,opel
7,21,138,opel
10,23,147,opel
11,24,173,opel
8,22,151,opel
8,20,149,opel
7,19,134,opel
7,18,125,opel
10,25,170,opel
10,24,156,opel
9,22,156,opel
7,19,143,opel
10,23,164,opel
10,25,166,opel
8,19,125,opel
4,19,133,opel
9,23,148,opel
8,20,133,opel
11,24,167,opel
7,19,134,opel
9,21,135,opel
7,19,141,opel
10,23,163,opel
10,24,175,opel
8,20,149,opel
7,17,130,opel
7,20,131,opel
6,18,137,opel
11,25,170,opel
7,20,129,opel
3,17,119,opel
10,21,140,opel
7,19,127,opel
11,24,175,opel
9,22,161,opel
10,21,141,opel
8,21,137,opel
11,24,160,opel
9,25,175,opel
9,20,132,opel
11,23,155,opel
9,21,141,opel
11,24,175,opel
11,25,178,opel
11,24,173,opel
8,20,131,opel
8,18,127,opel
10,24,173,opel
7,19,127,opel
6,18,128,opel
11,25,172,opel
11,23,152,opel
8,18,127,opel
4,17,124,opel
9,22,161,opel
7,19,135,opel
9,23,163,opel
11,25,178,opel
12,24,172,opel
8,23,161,opel
6,19,132,opel
6,18,125,opel
9,22,161,opel
11,24,170,opel
7,19,141,opel
10,22,147,opel
10,22,148,opel
10,24,172,opel
10,25,177,opel
9,21,155,opel
5,18,130,opel
7,18,126,opel
10,21,158,opel
9,22,161,opel
7,18,138,opel
6,20,143,opel
9,19,135,opel
10,23,157,opel
10,25,171,opel
9,23,151,opel
11,25,186,opel
10,24,174,opel
11,24,166,opel
6,19,145,opel
11,24,173,opel
8,23,147,opel
7,19,145,opel
6,18,135,opel
8,20,134,opel
10,24,169,opel
10,23,158,opel
9,24,162,opel
13,25,177,opel
9,20,130,opel
7,21,131,opel
7,19,131,opel
7,19,137,opel
11,23,152,opel
12,25,182,opel
10,22,143,opel
8,18,138,opel
6,19,139,opel
10,24,177,opel
8,20,150,opel
11,25,163,opel
10,22,141,opel
9,20,135,opel
7,19,124,opel
9,23,166,opel
10,23,153,opel
8,21,132,opel
10,24,162,opel
12,25,178,opel
11,24,172,opel
9,24,168,opel
6,18,123,opel
12,25,174,opel
13,25,188,opel
11,25,179,opel
6,18,131,opel
10,24,173,opel
8,20,149,opel
10,25,171,opel
6,19,144,opel
6,17,124,opel
8,19,125,opel
10,24,162,opel
10,23,156,opel
7,20,147,opel
7,18,136,opel
11,24,163,opel
9,23,166,opel
10,22,142,opel
7,19,128,opel
8,19,133,opel
11,25,178,opel
7,18,124,opel
11,25,176,opel
6,18,132,opel
6,19,146,opel
10,22,161,opel
5,18,128,opel
7,20,145,opel
11,25,172,opel
6,21,156,opel
10,23,161,opel
