@relation vehicle

@attribute Radius_ratio numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
151,58,8,saab
137,56,7,saab
133,56,6,saab
193,60,10,saab
187,63,7,saab
215,67,9,saab
132,57,6,saab
171,61,9,saab
213,67,9,saab
178,60,8,saab
192,63,9,saab
207,64,12,saab
193,59,11,saab
182,68,5,bus
154,47,4,bus
199,71,7,bus
147,65,8,bus
152,64,7,bus
155,65,7,bus
183,60,7,bus
252,126,52,bus
120,53,7,bus
219,74,7,bus
179,51,8,bus
123,56,6,bus
121,54,7,bus
199,74,5,bus
165,68,6,bus
159,64,6,bus
198,69,6,bus
199,59,7,bus
158,64,6,bus
213,71,5,bus
189,58,4,bus
164,48,5,bus
185,70,7,bus
160,66,7,bus
216,74,6,bus
126,55,7,bus
197,67,6,bus
194,65,6,bus
203,71,5,bus
194,56,6,bus
177,51,5,bus
159,65,5,bus
188,68,6,bus
238,72,4,bus
122,54,6,bus
137,59,6,bus
120,54,8,bus
128,56,8,bus
190,70,7,bus
155,63,7,bus
183,70,6,bus
149,65,8,bus
205,103,52,bus
172,50,6,bus
199,73,6,bus
141,61,7,bus
246,75,6,bus
130,57,6,bus
188,76,7,bus
199,68,6,bus
156,64,7,bus
186,68,6,bus
205,71,7,bus
116,53,6,bus
194,60,6,bus
160,51,7,bus
175,67,6,bus
132,58,7,bus
125,57,8,bus
123,55,7,bus
159,66,6,bus
130,56,7,bus
198,65,5,bus
141,62,8,bus
187,71,5,bus
173,66,7,bus
135,59,8,bus
209,75,6,bus
188,57,7,bus
195,70,7,bus
193,69,5,bus
155,64,7,bus
191,63,6,bus
203,65,5,bus
148,62,7,bus
144,61,8,bus
118,52,7,bus
205,71,5,bus
185,69,6,bus
122,56,7,bus
199,65,6,bus
124,56,6,bus
148,64,7,bus
128,56,8,bus
161,55,5,bus
165,66,6,bus
169,68,7,bus
183,51,6,bus
168,54,4,bus
150,69,5,bus
158,64,7,bus
169,72,7,bus
161,47,4,bus
201,61,6,bus
136,61,7,bus
139,59,6,bus
154,69,22,bus
125,57,6,bus
125,58,6,bus
151,61,8,bus
235,67,6,bus
184,66,6,bus
169,66,7,bus
179,75,6,bus
177,64,5,bus
165,70,7,bus
120,54,5,bus
204,63,6,bus
140,64,6,bus
201,69,7,bus
177,74,19,bus
154,68,7,bus
173,68,7,bus
113,50,7,bus
204,72,6,bus
130,56,7,bus
164,64,7,bus
199,57,5,bus
227,67,4,bus
171,68,6,bus
125,54,7,bus
133,60,7,bus
183,73,7,bus
139,64,6,bus
148,61,7,bus
123,54,6,bus
139,62,7,bus
128,55,8,bus
155,65,22,bus
123,53,7,bus
207,72,7,bus
166,66,7,bus
186,72,8,bus
226,74,5,bus
122,54,6,bus
209,68,7,bus
191,71,6,bus
203,73,7,bus
207,71,6,bus
155,66,7,bus
158,68,7,bus
113,50,8,bus
167,49,7,bus
120,54,7,bus
156,70,6,bus
193,72,6,bus
187,59,6,bus
119,53,8,bus
139,59,7,bus
169,73,6,bus
186,73,6,bus
180,51,6,bus
180,75,7,bus
153,64,6,bus
170,70,6,bus
185,75,7,bus
127,56,8,bus
174,68,7,bus
180,71,6,bus
126,57,8,bus
223,64,5,bus
170,67,6,bus
193,64,6,bus
137,60,7,bus
208,66,5,bus
141,62,7,bus
166,69,5,bus
146,64,6,bus
120,53,8,bus
154,65,7,bus
154,65,6,bus
171,67,7,bus
130,58,8,bus
170,52,7,bus
125,55,8,bus
184,70,6,bus
121,55,7,bus
173,69,7,bus
173,54,4,bus
194,70,6,bus
165,67,7,bus
130,56,7,bus
192,69,5,bus
171,69,7,bus
206,70,6,bus
148,64,6,bus
202,74,5,bus
120,53,6,bus
123,54,8,bus
139,60,6,bus
152,63,6,bus
187,74,7,bus
186,71,7,bus
171,61,6,bus
179,69,6,bus
173,65,6,bus
175,58,10,opel
155,60,7,opel
143,56,7,opel
209,67,11,opel
123,58,6,opel
153,59,7,opel
179,57,11,opel
178,61,8,opel
127,56,7,opel
164,60,8,opel
197,59,10,opel
204,62,12,opel
166,60,7,opel
154,57,6,opel
230,68,11,opel
129,55,7,opel
220,66,11,opel
211,65,10,opel
197,63,11,opel
222,72,12,opel
206,62,10,opel
168,55,11,opel
191,66,6,opel
224,68,11,opel
197,63,10,opel
193,57,10,opel
219,68,9,opel
228,70,9,opel
178,62,9,opel
216,69,11,opel
209,67,10,opel
221,69,11,opel
171,50,11,opel
183,62,7,opel
185,59,11,opel
179,54,12,opel
127,54,5,opel
225,71,10,opel
140,54,7,opel
212,67,10,opel
151,59,8,opel
110,57,3,opel
176,59,9,opel
128,56,5,opel
207,60,11,opel
166,59,7,opel
183,64,8,opel
125,58,5,opel
212,64,11,opel
223,70,10,opel
216,68,11,opel
199,62,9,opel
190,64,9,opel
215,69,10,opel
193,62,8,opel
177,61,8,opel
203,63,11,opel
194,57,11,opel
182,59,10,opel
121,52,4,opel
202,65,10,opel
196,63,9,opel
147,58,6,opel
230,70,11,opel
122,56,6,opel
194,62,11,opel
200,61,11,opel
203,63,9,opel
186,57,11,opel
195,61,11,opel
172,62,8,opel
180,60,7,opel
169,62,7,opel
197,60,11,opel
224,67,9,opel
181,62,8,opel
194,69,8,opel
188,62,10,opel
169,59,7,opel
218,64,12,opel
189,57,10,opel
231,70,11,opel
127,53,9,opel
214,67,9,opel
177,54,13,opel
162,60,8,opel
116,56,4,opel
156,57,8,opel
133,55,7,opel
197,65,9,opel
185,57,10,opel
179,64,8,opel
160,62,6,opel
158,55,9,opel
149,57,8,opel
138,62,6,opel
230,69,11,opel
154,59,6,opel
163,52,10,opel
222,68,10,opel
211,65,11,opel
227,70,11,opel
202,61,11,opel
111,54,6,opel
170,58,8,opel
116,55,6,opel
211,70,10,opel
130,55,7,opel
162,53,10,opel
186,62,7,opel
167,53,10,opel
208,65,12,opel
172,62,7,opel
172,61,8,opel
177,59,8,opel
199,65,9,opel
167,59,6,opel
197,65,9,opel
213,67,10,opel
146,62,6,opel
128,57,8,opel
190,58,10,opel
210,66,8,opel
195,61,9,opel
149,55,7,opel
159,59,7,opel
189,56,11,opel
204,67,9,opel
127,56,7,opel
176,64,8,opel
177,55,10,opel
125,59,5,opel
142,57,7,opel
196,60,12,opel
195,65,6,opel
153,61,7,opel
145,56,8,opel
207,63,11,opel
230,67,12,opel
161,54,10,opel
206,62,13,opel
152,57,5,opel
195,63,8,opel
188,59,9,opel
191,62,8,opel
135,59,5,opel
193,62,10,opel
116,56,6,opel
144,54,7,opel
186,59,10,opel
201,61,10,opel
130,53,9,opel
183,57,13,opel
192,58,11,opel
140,56,7,opel
158,59,8,opel
165,60,7,opel
213,64,10,opel
169,60,8,opel
144,59,6,opel
153,58,8,opel
181,56,9,opel
215,69,10,opel
225,68,10,opel
197,63,10,opel
196,62,9,opel
219,68,10,opel
186,57,11,opel
197,62,10,opel
181,62,8,opel
228,74,10,opel
156,56,7,opel
231,74,11,opel
184,54,12,opel
211,62,8,opel
140,55,6,opel
146,59,7,opel
209,65,8,opel
141,56,7,opel
194,63,9,opel
164,59,7,opel
212,63,9,opel
163,53,10,opel
158,56,7,opel
170,54,10,opel
130,59,8,opel
221,66,11,opel
183,59,10,opel
209,64,11,opel
121,58,5,opel
194,62,9,opel
