@relation vehicle

@attribute Major_variance numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
183,197,saab
169,211,saab
218,198,saab
202,199,saab
177,204,saab
202,204,saab
221,201,saab
190,201,saab
188,201,saab
232,200,saab
226,198,saab
226,199,saab
189,192,saab
220,196,saab
135,190,saab
224,197,saab
184,210,saab
232,197,saab
218,198,saab
192,205,saab
174,193,saab
158,186,saab
219,198,saab
229,201,saab
165,205,saab
166,195,saab
150,182,saab
207,208,saab
229,200,saab
181,195,saab
177,191,saab
162,185,saab
168,191,saab
149,204,saab
229,197,saab
232,202,saab
229,199,saab
207,205,saab
181,196,saab
163,201,saab
165,207,saab
211,196,saab
220,198,saab
202,208,saab
159,195,saab
173,187,saab
190,199,saab
226,200,saab
224,202,saab
175,198,saab
136,185,saab
208,206,saab
172,209,saab
229,205,saab
179,192,saab
232,197,saab
214,204,saab
165,185,saab
229,201,saab
158,206,saab
180,193,saab
223,202,saab
216,200,saab
174,203,saab
220,197,saab
197,200,saab
137,195,saab
189,207,saab
195,201,saab
229,199,saab
219,201,saab
164,204,saab
152,191,saab
200,205,saab
221,198,saab
165,185,saab
229,201,saab
189,191,saab
137,189,saab
221,199,saab
207,199,saab
222,197,saab
226,203,saab
166,205,saab
172,194,saab
225,195,saab
180,199,saab
206,197,saab
228,205,saab
218,196,saab
210,199,saab
202,211,saab
186,210,saab
217,205,saab
222,196,saab
226,199,saab
187,203,saab
216,204,saab
143,183,saab
217,207,saab
222,196,saab
226,196,saab
208,202,saab
188,204,saab
209,203,saab
162,190,saab
222,198,saab
213,205,saab
171,188,saab
232,199,saab
220,197,saab
207,208,saab
162,209,saab
151,185,saab
228,203,saab
229,199,saab
164,185,saab
229,199,saab
223,202,saab
231,206,saab
184,195,saab
226,201,saab
194,205,saab
227,198,saab
146,184,saab
226,203,saab
216,198,saab
220,197,saab
174,196,saab
197,202,saab
186,197,saab
278,182,bus
170,185,bus
172,182,bus
194,200,bus
170,201,bus
164,199,bus
280,182,bus
172,183,bus
177,185,bus
175,195,bus
272,183,bus
241,183,bus
184,193,bus
189,204,bus
180,186,bus
178,203,bus
232,189,bus
216,194,bus
169,184,bus
203,197,bus
243,187,bus
169,200,bus
173,184,bus
173,189,bus
267,184,bus
212,195,bus
183,203,bus
285,183,bus
173,184,bus
246,187,bus
171,195,bus
173,200,bus
171,186,bus
170,188,bus
228,189,bus
184,204,bus
169,207,bus
225,191,bus
167,183,bus
170,183,bus
269,182,bus
177,188,bus
280,183,bus
164,199,bus
181,198,bus
178,189,bus
188,203,bus
267,184,bus
167,208,bus
202,195,bus
168,204,bus
240,188,bus
174,182,bus
175,194,bus
175,189,bus
275,184,bus
170,182,bus
208,195,bus
178,205,bus
184,205,bus
204,198,bus
275,184,bus
287,184,bus
171,206,bus
164,203,bus
215,197,bus
169,184,bus
181,188,bus
170,191,bus
196,199,bus
177,187,bus
175,196,bus
247,186,bus
202,199,bus
184,206,bus
169,206,bus
232,189,bus
180,195,bus
168,188,bus
189,202,bus
171,182,bus
180,189,bus
169,209,bus
206,198,bus
262,186,bus
174,197,bus
178,205,bus
173,183,bus
168,181,bus
214,194,bus
188,200,bus
167,182,bus
167,196,bus
176,194,bus
171,186,bus
169,200,bus
166,182,bus
180,190,bus
170,183,bus
171,188,bus
189,202,bus
166,193,bus
254,184,bus
280,183,bus
172,191,bus
166,182,bus
193,202,bus
167,201,bus
173,185,bus
170,183,bus
199,199,bus
167,201,bus
171,183,bus
174,186,bus
173,191,bus
179,201,bus
189,198,bus
205,198,bus
175,183,bus
238,189,bus
169,184,bus
170,196,bus
179,200,bus
204,197,bus
166,198,bus
166,182,bus
163,203,bus
170,182,bus
237,185,bus
258,184,bus
184,204,bus
177,187,bus
168,195,bus
169,184,bus
169,183,bus
172,191,bus
169,186,bus
197,201,bus
175,200,bus
174,188,bus
265,183,bus
175,192,bus
234,191,bus
170,185,bus
176,204,bus
172,190,bus
176,189,bus
169,184,bus
170,184,bus
179,193,bus
285,181,bus
181,187,bus
167,193,bus
199,199,bus
179,206,bus
189,201,bus
166,182,bus
170,182,bus
185,200,bus
222,190,bus
169,182,bus
169,182,bus
179,205,bus
208,197,bus
168,183,bus
172,184,bus
170,184,bus
175,205,bus
266,183,bus
169,182,bus
256,185,bus
171,182,bus
175,190,bus
171,187,bus
285,184,bus
175,188,bus
184,204,bus
180,202,bus
181,195,bus
174,200,bus
219,193,bus
166,182,bus
227,191,bus
167,191,bus
184,203,bus
288,183,bus
179,192,bus
190,201,bus
170,183,bus
169,183,bus
172,186,bus
269,186,bus
231,192,bus
174,185,bus
178,199,bus
170,184,bus
151,186,opel
219,194,opel
215,196,opel
145,198,opel
196,195,opel
232,202,opel
202,205,opel
207,194,opel
231,196,opel
225,201,opel
217,197,opel
228,196,opel
219,193,opel
228,196,opel
152,183,opel
158,210,opel
160,191,opel
210,202,opel
219,194,opel
241,199,opel
174,211,opel
216,199,opel
169,203,opel
223,195,opel
208,198,opel
199,192,opel
162,202,opel
190,202,opel
159,197,opel
222,198,opel
219,196,opel
200,206,opel
228,201,opel
214,198,opel
147,191,opel
219,206,opel
182,201,opel
228,197,opel
131,183,opel
224,197,opel
225,199,opel
228,196,opel
173,187,opel
189,199,opel
152,188,opel
197,192,opel
200,203,opel
234,200,opel
226,194,opel
223,196,opel
238,198,opel
142,184,opel
178,204,opel
231,198,opel
227,198,opel
235,198,opel
206,200,opel
199,193,opel
227,194,opel
231,195,opel
225,196,opel
223,195,opel
184,196,opel
193,198,opel
217,201,opel
167,186,opel
196,198,opel
234,198,opel
144,190,opel
214,200,opel
220,198,opel
161,197,opel
223,202,opel
145,187,opel
221,195,opel
141,185,opel
225,198,opel
148,187,opel
163,192,opel
228,198,opel
222,200,opel
227,193,opel
226,196,opel
154,203,opel
200,199,opel
207,202,opel
197,199,opel
231,195,opel
170,183,opel
222,201,opel
219,201,opel
238,199,opel
214,204,opel
237,196,opel
174,205,opel
222,195,opel
228,197,opel
224,193,opel
231,197,opel
203,198,opel
212,205,opel
222,206,opel
223,198,opel
221,194,opel
230,202,opel
155,190,opel
217,196,opel
219,194,opel
135,184,opel
195,201,opel
208,200,opel
182,198,opel
148,188,opel
202,203,opel
217,194,opel
174,189,opel
214,194,opel
155,209,opel
169,210,opel
176,193,opel
165,189,opel
174,192,opel
147,200,opel
179,191,opel
154,187,opel
225,196,opel
189,192,opel
168,203,opel
214,195,opel
152,184,opel
224,206,opel
214,203,opel
181,189,opel
172,198,opel
220,201,opel
181,206,opel
212,202,opel
137,201,opel
207,204,opel
215,202,opel
183,198,opel
175,208,opel
234,198,opel
151,207,opel
222,201,opel
182,211,opel
197,204,opel
217,196,opel
208,197,opel
231,195,opel
210,198,opel
135,184,opel
158,190,opel
196,200,opel
234,196,opel
202,204,opel
209,201,opel
179,197,opel
217,198,opel
161,202,opel
147,184,opel
181,208,opel
202,200,opel
199,200,opel
231,194,opel
194,191,opel
202,198,opel
170,193,opel
199,206,opel
221,200,opel
236,197,opel
172,193,opel
219,195,opel
221,203,opel
232,197,opel
132,187,opel
209,198,opel
170,188,opel
229,196,opel
226,195,opel
225,196,opel
220,194,opel
226,193,opel
221,196,opel
165,206,opel
188,204,opel
144,194,opel
187,193,opel
182,197,opel
170,203,opel
166,194,opel
