@relation vehicle

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Major_variance numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
85,163,189,192,saab
85,169,188,201,saab
66,132,148,187,saab
98,203,216,204,saab
76,159,184,195,saab
108,215,226,201,saab
104,204,220,197,saab
105,191,207,205,saab
101,186,208,206,saab
54,125,146,184,saab
100,221,232,199,saab
105,207,217,207,saab
77,150,174,203,saab
108,221,229,205,saab
100,181,205,202,saab
60,128,154,192,saab
77,149,174,193,saab
98,216,235,197,saab
77,144,163,201,saab
72,146,170,189,saab
66,123,148,202,saab
58,148,163,183,saab
98,177,194,205,saab
75,152,173,187,saab
104,201,221,197,saab
71,154,181,195,saab
78,169,197,199,saab
81,166,184,205,saab
101,217,232,197,saab
110,214,232,202,saab
83,169,190,199,saab
75,140,166,195,saab
66,136,155,189,saab
103,208,228,197,saab
82,153,179,192,saab
71,157,178,208,saab
79,163,184,208,saab
66,137,162,190,saab
108,220,232,200,saab
50,115,136,185,saab
105,204,221,201,saab
83,160,185,191,saab
53,116,137,189,saab
104,220,226,199,saab
108,206,216,205,saab
110,212,228,205,saab
63,133,152,191,saab
101,213,218,196,saab
100,214,224,194,saab
103,219,229,199,saab
83,149,177,191,saab
103,222,229,200,saab
89,175,200,195,saab
103,211,223,200,saab
106,203,217,199,saab
74,157,177,204,saab
75,147,171,188,saab
72,133,158,206,saab
74,159,183,197,saab
105,211,224,197,saab
62,150,165,185,saab
83,176,205,195,saab
100,198,214,200,saab
64,150,165,185,saab
101,201,214,204,saab
108,207,217,205,saab
69,152,175,198,saab
78,174,197,200,saab
66,142,164,186,saab
66,140,165,207,saab
105,221,226,200,saab
78,135,155,195,saab
98,185,206,197,saab
77,158,181,199,saab
93,216,221,199,saab
104,191,210,200,saab
88,175,197,198,saab
72,132,159,195,saab
100,193,209,203,saab
80,161,186,197,saab
54,135,152,183,saab
80,144,166,189,saab
54,128,143,183,saab
78,153,169,211,saab
104,208,223,202,saab
76,149,172,194,saab
107,207,227,203,saab
107,218,232,199,saab
101,222,226,199,saab
106,208,224,202,saab
88,175,192,205,saab
77,152,175,187,saab
109,214,226,202,saab
109,220,229,201,saab
77,161,190,201,saab
86,158,181,196,saab
95,188,216,197,saab
59,135,151,185,saab
86,170,191,199,saab
109,216,229,201,saab
72,149,168,191,saab
88,170,188,204,saab
63,128,149,204,saab
72,150,166,205,saab
109,221,226,201,saab
101,188,208,202,saab
100,196,207,208,saab
109,207,225,202,saab
105,187,202,211,saab
81,166,189,207,saab
106,207,228,200,saab
103,213,226,198,saab
104,219,226,196,saab
108,217,232,201,saab
98,183,202,204,saab
81,168,196,198,saab
100,220,229,199,saab
104,213,226,199,saab
88,171,186,210,saab
92,180,200,205,saab
40,112,130,183,saab
96,185,202,199,saab
77,155,177,201,saab
104,197,222,197,saab
112,214,223,206,saab
90,175,200,199,saab
103,221,232,197,saab
102,213,222,198,saab
83,142,163,200,saab
89,186,210,199,saab
98,218,229,199,saab
63,125,141,188,saab
57,121,137,195,saab
100,217,229,197,saab
87,169,200,195,saab
103,206,227,198,saab
104,206,223,196,saab
85,175,192,210,saab
98,218,221,197,saab
65,149,169,182,bus
71,153,172,186,bus
71,150,175,197,bus
66,145,168,188,bus
73,156,184,204,bus
70,152,180,189,bus
68,150,172,191,bus
81,169,184,204,bus
72,146,175,196,bus
89,201,219,193,bus
68,149,172,184,bus
75,153,175,195,bus
77,177,202,199,bus
74,149,178,205,bus
74,157,179,201,bus
66,149,173,182,bus
73,149,170,196,bus
70,144,168,195,bus
71,149,172,190,bus
88,203,222,190,bus
68,147,170,191,bus
82,186,215,196,bus
61,150,169,182,bus
74,163,185,200,bus
72,156,181,198,bus
70,149,169,184,bus
66,148,166,182,bus
71,146,167,196,bus
85,192,217,193,bus
77,166,184,203,bus
102,234,243,187,bus
76,149,169,200,bus
98,213,228,189,bus
70,141,164,199,bus
75,154,184,202,bus
98,237,263,184,bus
76,150,170,201,bus
78,158,185,197,bus
91,204,231,192,bus
106,261,278,182,bus
76,155,180,190,bus
69,152,178,184,bus
95,199,216,194,bus
77,172,197,201,bus
76,152,179,200,bus
74,153,175,189,bus
104,257,275,184,bus
68,152,167,183,bus
68,148,169,184,bus
70,143,164,199,bus
75,154,176,194,bus
105,247,269,182,bus
75,155,175,200,bus
70,167,183,203,bus
95,227,262,186,bus
64,148,170,182,bus
76,148,171,195,bus
103,236,254,184,bus
66,148,170,182,bus
84,176,190,201,bus
102,239,264,185,bus
86,192,212,195,bus
94,208,227,191,bus
66,148,237,185,bus
71,145,169,200,bus
75,154,175,192,bus
72,166,189,202,bus
107,262,285,184,bus
72,161,178,203,bus
105,265,285,183,bus
68,150,179,192,bus
84,184,208,197,bus
73,167,184,206,bus
93,217,240,188,bus
71,151,171,187,bus
71,150,171,186,bus
66,150,172,183,bus
65,152,169,183,bus
88,192,215,197,bus
73,151,175,194,bus
89,212,238,189,bus
83,194,225,191,bus
66,148,168,181,bus
93,222,254,184,bus
66,148,170,183,bus
64,150,168,184,bus
79,174,196,199,bus
59,149,166,182,bus
76,151,179,193,bus
76,150,174,197,bus
70,155,184,205,bus
71,151,175,190,bus
72,158,184,204,bus
68,151,173,189,bus
76,155,184,193,bus
103,250,280,183,bus
106,255,280,183,bus
71,151,174,186,bus
102,241,265,183,bus
72,147,173,185,bus
60,150,169,182,bus
70,148,167,201,bus
68,151,170,185,bus
65,152,175,183,bus
65,152,168,183,bus
71,146,172,191,bus
75,154,178,199,bus
66,150,169,182,bus
84,184,199,199,bus
74,164,193,202,bus
65,150,171,182,bus
73,151,178,189,bus
63,151,166,182,bus
103,247,266,183,bus
72,144,166,198,bus
62,149,169,209,bus
101,238,267,184,bus
81,186,206,198,bus
92,209,232,189,bus
70,148,170,183,bus
70,148,166,182,bus
70,151,167,208,bus
70,148,170,183,bus
77,177,205,198,bus
70,164,189,203,bus
71,153,177,187,bus
86,184,203,197,bus
66,152,177,185,bus
63,152,173,184,bus
75,171,199,199,bus
71,150,170,184,bus
73,162,189,204,bus
63,149,166,182,bus
84,190,208,195,bus
70,143,163,203,bus
68,155,179,206,bus
73,151,181,188,bus
71,144,167,193,bus
77,167,188,203,bus
65,149,170,182,bus
70,149,177,188,bus
75,151,168,204,bus
100,250,280,182,bus
66,150,174,188,bus
91,202,234,191,bus
79,160,178,205,bus
89,186,204,198,bus
109,260,288,183,bus
70,149,241,183,bus
80,195,214,194,bus
68,149,169,184,bus
98,218,232,189,bus
96,241,267,184,bus
68,146,168,187,bus
102,257,287,184,bus
69,151,171,188,bus
75,161,180,202,bus
73,151,170,184,bus
92,220,247,186,bus
84,171,189,201,bus
106,236,256,185,bus
72,153,180,186,bus
66,149,169,182,bus
70,146,167,201,bus
68,150,170,185,bus
70,150,177,185,bus
70,149,170,188,bus
88,197,214,191,bus
72,152,174,185,bus
80,183,206,199,bus
76,157,181,195,bus
79,173,189,202,bus
68,150,171,182,bus
70,147,176,189,bus
72,154,181,187,bus
68,150,175,185,bus
70,151,173,184,bus
64,150,169,206,bus
75,176,204,197,bus
109,251,272,183,bus
68,151,186,185,bus
73,148,167,191,bus
70,152,177,187,bus
79,185,202,195,bus
103,252,269,186,bus
106,256,285,181,bus
70,153,171,206,bus
70,162,179,205,bus
73,150,174,200,bus
70,148,172,195,bus
70,147,169,186,bus
66,148,172,182,bus
98,225,246,187,bus
73,153,176,204,bus
74,152,180,195,bus
66,149,173,191,bus
101,225,231,195,opel
101,222,225,197,opel
98,217,228,198,opel
71,142,159,197,opel
107,205,222,206,opel
96,220,223,195,opel
103,209,222,201,opel
88,185,209,201,opel
72,127,144,194,opel
108,224,225,198,opel
72,149,169,210,opel
88,183,208,197,opel
105,201,212,202,opel
107,227,234,198,opel
100,193,207,202,opel
103,200,220,194,opel
105,209,222,195,opel
78,146,166,194,opel
76,157,184,196,opel
105,215,221,195,opel
78,147,168,203,opel
103,219,228,196,opel
98,217,228,198,opel
100,213,219,195,opel
96,189,217,197,opel
74,139,160,191,opel
77,150,176,193,opel
104,210,219,194,opel
101,222,224,198,opel
109,220,238,198,opel
98,193,216,199,opel
109,218,230,202,opel
89,169,190,202,opel
79,167,190,198,opel
101,207,227,196,opel
76,161,189,192,opel
80,164,188,204,opel
103,221,227,198,opel
110,219,235,198,opel
105,205,221,196,opel
80,162,189,199,opel
82,165,181,208,opel
58,133,152,184,opel
103,204,227,194,opel
100,208,227,193,opel
98,214,228,196,opel
100,212,217,194,opel
69,135,155,190,opel
86,177,203,198,opel
107,200,218,201,opel
69,138,158,210,opel
85,164,186,205,opel
71,150,167,186,opel
66,131,148,187,opel
98,219,219,196,opel
75,150,170,198,opel
53,133,152,183,opel
69,132,155,209,opel
104,198,217,201,opel
105,210,217,196,opel
72,134,145,198,opel
69,149,170,203,opel
78,150,172,198,opel
103,201,215,196,opel
72,142,165,189,opel
107,208,232,202,opel
109,222,241,199,opel
83,171,195,201,opel
107,208,214,200,opel
76,167,196,198,opel
64,134,152,188,opel
104,212,224,193,opel
82,156,181,196,opel
80,153,179,197,opel
81,168,193,198,opel
101,192,208,200,opel
69,128,147,191,opel
105,223,237,196,opel
101,200,215,202,opel
100,216,219,194,opel
91,176,196,200,opel
103,215,219,194,opel
53,126,135,184,opel
94,195,224,197,opel
78,138,161,197,opel
96,190,208,198,opel
86,153,174,189,opel
103,219,231,196,opel
105,218,228,197,opel
92,178,200,206,opel
86,162,194,191,opel
66,135,154,187,opel
100,201,231,195,opel
74,162,178,204,opel
78,140,161,202,opel
105,197,212,205,opel
77,163,184,198,opel
101,226,225,196,opel
66,152,170,183,opel
105,212,226,194,opel
98,220,228,197,opel
101,202,219,206,opel
109,217,238,199,opel
83,167,197,192,opel
101,224,228,196,opel
90,177,209,198,opel
50,114,132,187,opel
107,218,221,203,opel
63,122,137,201,opel
66,126,144,190,opel
103,195,210,198,opel
92,188,202,203,opel
79,176,200,199,opel
103,221,223,195,opel
83,178,207,194,opel
105,200,214,198,opel
103,211,222,200,opel
108,212,219,201,opel
77,154,181,189,opel
89,172,191,209,opel
93,189,214,195,opel
96,216,219,193,opel
77,154,179,191,opel
82,149,170,193,opel
96,219,231,195,opel
94,181,200,203,opel
83,175,199,206,opel
91,220,220,198,opel
96,186,202,205,opel
108,224,231,198,opel
83,178,199,193,opel
75,147,167,187,opel
66,130,151,207,opel
53,134,147,184,opel
69,135,154,203,opel
93,183,202,200,opel
75,145,170,198,opel
73,153,173,187,opel
104,205,227,193,opel
100,200,222,198,opel
81,161,187,193,opel
103,214,217,198,opel
60,139,151,186,opel
74,161,181,206,opel
107,222,221,200,opel
101,203,214,203,opel
78,157,182,198,opel
42,114,131,183,opel
98,189,214,194,opel
107,214,224,206,opel
104,206,217,196,opel
63,130,145,187,opel
96,181,197,209,opel
66,147,169,203,opel
96,219,231,194,opel
91,218,223,196,opel
96,178,199,200,opel
109,221,234,200,opel
108,216,220,201,opel
75,147,174,211,opel
105,221,234,196,opel
105,201,223,202,opel
104,215,221,194,opel
93,186,202,198,opel
77,157,174,205,opel
73,159,182,201,opel
104,213,223,195,opel
96,185,202,204,opel
105,218,226,195,opel
84,156,185,190,opel
86,177,197,199,opel
101,196,219,194,opel
66,142,162,202,opel
60,132,148,188,opel
78,151,182,197,opel
101,198,207,204,opel
96,205,226,196,opel
101,222,225,196,opel
84,169,196,195,opel
108,214,232,197,opel
77,152,174,192,opel
96,221,225,196,opel
109,226,234,198,opel
100,214,219,192,opel
98,215,226,193,opel
100,227,231,197,opel
88,168,199,192,opel
98,217,225,199,opel
103,206,212,201,opel
60,123,141,185,opel
107,223,225,201,opel
