@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
11,30,709,saab
10,35,527,saab
8,41,383,saab
4,50,268,saab
10,32,640,saab
7,45,327,saab
8,42,367,saab
9,39,430,saab
11,36,505,saab
10,31,691,saab
8,36,506,saab
10,32,641,saab
12,30,721,saab
5,50,266,saab
9,33,586,saab
7,51,264,saab
11,31,677,saab
11,31,688,saab
8,42,360,saab
12,31,700,saab
7,38,452,saab
7,52,252,saab
11,32,637,saab
10,30,718,saab
6,47,305,saab
11,31,694,saab
11,31,665,saab
7,39,435,saab
9,40,415,saab
7,54,229,saab
11,31,676,saab
8,40,405,saab
9,34,578,saab
10,32,635,saab
11,33,608,saab
10,36,492,saab
9,34,552,saab
9,34,561,saab
7,45,330,saab
9,32,629,saab
7,46,314,saab
9,32,658,saab
9,43,365,saab
10,31,686,saab
7,42,361,saab
7,45,327,saab
11,31,669,saab
5,45,333,saab
9,37,472,saab
12,31,712,saab
5,54,230,saab
4,55,220,saab
6,46,308,saab
11,31,694,saab
8,49,277,saab
11,31,667,saab
11,31,696,saab
7,39,425,saab
8,39,427,saab
9,33,584,saab
9,36,508,saab
12,31,692,saab
8,43,351,saab
12,31,709,saab
9,39,418,saab
11,32,638,saab
11,31,704,saab
6,48,290,saab
8,42,378,saab
11,30,707,saab
6,48,291,saab
8,38,445,saab
7,50,270,saab
7,43,349,saab
7,46,318,saab
9,38,457,saab
12,32,627,saab
9,42,373,saab
11,31,704,saab
10,31,681,saab
7,41,396,saab
11,32,639,saab
6,41,385,saab
8,39,430,saab
10,31,697,saab
7,45,321,bus
5,39,408,bus
7,45,328,bus
6,46,324,bus
6,39,414,bus
4,27,923,bus
8,46,320,bus
6,30,719,bus
6,46,317,bus
6,41,374,bus
8,42,365,bus
7,45,330,bus
6,46,317,bus
6,45,333,bus
6,41,379,bus
5,31,671,bus
6,35,525,bus
6,33,570,bus
6,28,855,bus
6,26,982,bus
5,45,322,bus
7,44,341,bus
7,43,345,bus
7,46,323,bus
5,39,419,bus
8,46,326,bus
6,44,336,bus
6,45,331,bus
7,45,329,bus
7,44,341,bus
7,41,372,bus
5,38,427,bus
7,44,325,bus
6,35,517,bus
7,45,325,bus
7,44,339,bus
6,45,322,bus
7,37,463,bus
8,46,321,bus
6,30,731,bus
5,27,891,bus
5,32,625,bus
7,44,332,bus
6,44,340,bus
6,46,319,bus
8,45,331,bus
5,31,666,bus
7,45,336,bus
7,44,337,bus
6,45,326,bus
6,44,338,bus
8,42,361,bus
7,43,359,bus
22,45,335,bus
5,42,362,bus
7,45,326,bus
5,40,399,bus
5,36,485,bus
6,44,335,bus
6,45,335,bus
7,45,326,bus
7,45,323,bus
7,44,341,bus
4,30,735,bus
6,45,322,bus
8,45,333,bus
8,45,332,bus
4,28,844,bus
7,45,328,bus
6,45,318,bus
6,37,457,bus
7,43,347,bus
7,30,703,bus
8,46,324,bus
8,46,311,bus
7,42,362,bus
6,46,312,bus
7,44,350,bus
5,46,320,bus
6,38,429,bus
7,44,340,bus
6,26,987,bus
5,41,371,bus
7,44,340,bus
7,44,332,bus
7,45,337,bus
6,43,354,bus
6,42,363,bus
52,45,325,bus
6,32,636,bus
7,28,816,bus
7,46,327,bus
5,33,570,bus
6,27,870,bus
6,45,323,bus
8,45,329,bus
6,43,356,bus
6,33,579,bus
7,44,342,bus
6,36,484,bus
6,43,341,bus
8,45,332,bus
5,37,465,bus
7,45,330,bus
7,36,476,bus
7,46,307,bus
5,34,534,bus
5,32,629,bus
7,27,866,bus
7,33,596,bus
8,45,329,bus
7,45,324,bus
8,46,325,bus
6,34,563,bus
6,46,319,bus
6,31,680,bus
6,42,361,bus
6,45,333,bus
7,46,320,bus
7,46,323,bus
5,43,352,bus
8,46,319,bus
7,45,331,bus
6,41,373,bus
4,28,838,bus
7,44,341,bus
6,44,347,bus
7,42,362,bus
7,41,375,bus
8,45,325,bus
7,46,317,bus
6,39,427,bus
6,28,857,bus
7,34,558,bus
7,27,904,bus
5,36,479,bus
7,46,321,bus
6,46,320,bus
7,46,312,bus
6,39,413,bus
5,27,928,bus
6,34,531,bus
6,44,336,bus
8,46,323,bus
6,46,310,bus
8,45,332,bus
6,41,385,bus
6,38,446,bus
7,28,822,bus
6,26,968,bus
7,43,349,bus
6,46,317,bus
6,47,299,bus
6,26,956,bus
6,26,957,bus
7,40,406,bus
8,44,344,bus
7,36,487,bus
7,46,324,bus
4,31,682,bus
7,32,605,bus
6,40,401,bus
6,45,334,bus
7,35,520,bus
19,44,342,bus
6,40,393,bus
8,46,322,bus
7,44,336,bus
7,46,312,bus
6,46,325,bus
7,44,342,bus
6,29,766,bus
7,45,328,bus
6,37,450,bus
7,44,341,bus
6,43,349,bus
6,43,341,bus
6,26,998,bus
7,45,330,bus
7,35,523,bus
5,26,966,bus
8,45,334,bus
4,27,892,bus
5,35,533,bus
7,45,322,bus
7,43,346,bus
6,36,485,bus
6,44,343,bus
7,28,833,bus
8,26,954,bus
7,44,347,bus
5,46,306,bus
6,32,622,bus
5,38,434,bus
7,45,333,bus
5,26,928,bus
6,46,312,opel
9,51,261,opel
11,30,737,opel
11,30,709,opel
6,46,304,opel
10,34,553,opel
11,30,706,opel
9,35,530,opel
10,37,481,opel
12,30,728,opel
6,44,343,opel
11,30,708,opel
11,31,693,opel
12,32,644,opel
6,54,229,opel
9,33,600,opel
10,35,526,opel
10,32,648,opel
11,31,681,opel
8,45,331,opel
6,55,221,opel
9,36,504,opel
7,41,395,opel
10,32,631,opel
10,35,535,opel
6,46,315,opel
11,31,650,opel
7,48,284,opel
10,30,731,opel
11,32,623,opel
11,30,725,opel
11,31,676,opel
11,31,673,opel
10,31,683,opel
10,30,737,opel
11,30,722,opel
11,30,756,opel
10,31,670,opel
6,44,335,opel
8,40,416,opel
8,45,322,opel
8,43,358,opel
10,30,731,opel
8,42,367,opel
7,55,219,opel
13,30,726,opel
10,35,534,opel
10,32,624,opel
8,39,438,opel
11,31,701,opel
12,30,718,opel
11,30,752,opel
8,35,521,opel
11,31,707,opel
12,31,685,opel
10,32,641,opel
6,37,481,opel
7,40,417,opel
5,50,261,opel
9,34,574,opel
8,41,389,opel
10,30,737,opel
7,46,314,opel
7,42,379,opel
11,33,610,opel
11,31,666,opel
9,35,536,opel
7,45,330,opel
6,48,290,opel
9,30,713,opel
9,32,628,opel
10,32,653,opel
9,34,557,opel
6,49,281,opel
8,40,418,opel
7,44,333,opel
8,48,296,opel
7,50,266,opel
7,42,371,opel
7,44,334,opel
10,32,651,opel
7,45,338,opel
9,36,494,opel
9,32,624,opel
9,35,519,opel
12,30,706,opel
7,47,311,opel
9,37,471,opel
4,57,209,opel
12,30,748,opel
11,32,653,opel
10,31,706,opel
10,36,494,opel
9,38,455,opel
5,48,284,opel
9,34,562,opel
8,41,396,opel
11,33,602,opel
11,31,696,opel
8,48,290,opel
5,49,274,opel
6,54,232,opel
11,30,725,opel
8,44,342,opel
7,48,286,opel
8,51,259,opel
7,45,321,opel
10,33,616,opel
8,33,602,opel
6,50,260,opel
8,42,366,opel
11,30,730,opel
8,41,391,opel
10,30,711,opel
9,33,602,opel
8,37,472,opel
9,33,589,opel
10,31,678,opel
6,40,396,opel
12,30,757,opel
10,32,633,opel
11,32,630,opel
9,34,567,opel
8,37,473,opel
4,44,340,opel
11,30,748,opel
10,36,504,opel
7,37,469,opel
10,33,601,opel
7,43,352,opel
10,33,597,opel
10,30,728,opel
9,38,444,opel
10,32,665,opel
10,31,663,opel
8,41,388,opel
11,30,713,opel
7,46,317,opel
12,33,595,opel
10,33,598,opel
7,51,252,opel
10,31,669,opel
7,41,394,opel
11,30,732,opel
9,35,543,opel
7,38,462,opel
7,50,266,opel
11,31,679,opel
9,41,388,opel
9,30,704,opel
10,31,685,opel
5,51,259,opel
11,31,661,opel
8,45,331,opel
11,34,575,opel
8,40,402,opel
9,39,428,opel
11,30,710,opel
7,44,345,opel
10,34,573,opel
6,48,287,opel
9,48,295,opel
11,31,677,opel
9,31,661,opel
10,31,669,opel
8,42,367,opel
8,40,409,opel
7,44,342,opel
10,31,683,opel
10,35,517,opel
9,37,474,opel
10,31,682,opel
5,59,192,opel
8,52,252,opel
11,30,727,opel
11,30,716,opel
6,45,332,opel
8,32,611,opel
11,30,729,opel
5,51,259,opel
9,34,571,opel
10,30,706,opel
8,35,546,opel
7,44,350,opel
7,41,388,opel
10,32,657,opel
13,30,741,opel
13,30,722,opel
5,52,247,opel
8,49,282,opel
10,33,587,opel
