@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
64,11,24,saab
54,10,24,saab
64,9,23,saab
56,11,25,saab
57,4,17,saab
59,9,23,saab
53,4,17,saab
60,10,22,saab
62,9,20,saab
59,7,20,saab
57,8,19,saab
55,12,24,saab
64,6,20,saab
66,10,23,saab
59,11,24,saab
64,11,25,saab
53,7,18,saab
63,10,23,saab
55,6,18,saab
58,6,19,saab
60,12,23,saab
70,12,24,saab
58,6,19,saab
60,8,19,saab
58,11,24,saab
60,5,19,saab
68,12,25,saab
60,12,24,saab
63,11,25,saab
64,9,20,saab
57,4,17,saab
67,12,25,saab
62,7,19,saab
57,11,24,saab
61,11,23,saab
55,4,18,saab
65,10,22,saab
59,9,22,saab
56,11,24,saab
53,8,18,saab
64,12,25,saab
55,7,19,saab
57,6,17,saab
68,11,25,saab
62,10,24,saab
64,10,22,saab
67,12,24,saab
65,8,20,saab
61,5,19,saab
60,10,24,saab
58,7,18,saab
54,7,19,saab
64,11,24,saab
65,9,23,saab
60,11,24,saab
61,8,20,saab
68,11,24,saab
60,10,21,saab
56,7,19,saab
64,8,20,saab
55,10,24,saab
60,7,21,saab
63,11,25,saab
62,9,22,saab
60,11,21,saab
61,11,24,saab
66,9,22,saab
65,10,22,saab
63,8,20,saab
61,11,24,saab
58,8,18,saab
59,4,18,saab
57,6,18,saab
65,12,24,saab
65,11,25,saab
64,7,20,saab
58,6,19,saab
64,9,24,saab
68,11,24,saab
62,10,21,saab
54,8,19,saab
58,7,21,saab
58,6,17,saab
67,9,23,saab
53,4,18,saab
62,10,23,saab
60,9,20,saab
61,10,23,saab
73,10,25,saab
69,12,24,saab
56,11,24,saab
61,10,24,saab
66,9,22,saab
66,11,24,saab
61,10,21,saab
62,9,23,saab
62,11,24,saab
59,11,24,saab
66,10,23,saab
59,11,23,saab
66,7,19,saab
64,9,20,saab
61,9,20,saab
57,6,18,saab
60,7,19,saab
59,5,19,saab
62,11,25,saab
66,10,24,saab
51,6,19,saab
53,6,19,saab
60,7,20,saab
54,7,18,saab
65,12,24,saab
55,7,19,saab
66,11,24,saab
71,9,24,saab
68,8,20,saab
63,7,18,saab
61,9,20,saab
58,9,20,saab
60,8,20,saab
56,6,18,saab
53,5,18,saab
63,11,25,saab
69,10,25,saab
58,8,21,saab
59,7,20,saab
69,8,22,saab
59,8,19,saab
63,9,21,saab
62,6,18,saab
64,10,25,saab
71,11,25,saab
57,11,25,saab
61,9,21,saab
59,7,20,saab
55,5,19,saab
61,10,23,saab
63,8,22,saab
64,9,21,saab
66,11,23,saab
57,3,17,saab
51,5,28,bus
51,6,29,bus
69,6,19,bus
68,6,19,bus
54,6,19,bus
74,5,20,bus
73,6,20,bus
66,7,19,bus
69,6,21,bus
64,6,19,bus
68,7,19,bus
61,7,19,bus
66,5,19,bus
54,7,19,bus
61,6,21,bus
68,6,20,bus
71,7,20,bus
53,6,19,bus
56,7,19,bus
71,5,22,bus
70,6,21,bus
53,8,19,bus
65,5,22,bus
62,7,19,bus
58,4,25,bus
54,7,19,bus
49,7,28,bus
61,8,18,bus
71,7,19,bus
68,7,23,bus
65,6,23,bus
54,8,19,bus
65,5,19,bus
66,7,19,bus
51,6,28,bus
53,7,19,bus
65,6,19,bus
47,4,27,bus
55,8,19,bus
71,6,20,bus
60,6,19,bus
71,7,21,bus
126,52,19,bus
65,8,19,bus
73,7,21,bus
67,6,28,bus
53,6,28,bus
66,6,20,bus
56,6,19,bus
72,6,20,bus
56,6,28,bus
70,6,19,bus
62,5,23,bus
56,7,19,bus
69,22,19,bus
65,6,23,bus
47,4,26,bus
64,6,22,bus
71,5,21,bus
55,7,19,bus
64,7,19,bus
59,6,19,bus
70,6,19,bus
72,7,19,bus
64,5,21,bus
67,7,19,bus
70,6,19,bus
69,7,22,bus
66,6,19,bus
63,6,24,bus
65,6,19,bus
56,7,19,bus
62,7,19,bus
53,6,19,bus
51,8,28,bus
63,7,19,bus
75,7,19,bus
68,6,22,bus
57,8,19,bus
61,6,25,bus
67,4,27,bus
69,5,19,bus
70,7,19,bus
70,7,20,bus
56,7,19,bus
57,5,27,bus
54,7,19,bus
69,6,20,bus
65,22,19,bus
60,7,19,bus
72,8,19,bus
67,7,19,bus
52,6,28,bus
64,6,19,bus
68,7,19,bus
67,6,19,bus
64,6,19,bus
69,5,18,bus
68,7,19,bus
57,6,26,bus
74,5,23,bus
55,7,19,bus
56,6,19,bus
70,7,19,bus
74,7,19,bus
56,8,19,bus
67,6,22,bus
56,7,19,bus
59,7,26,bus
56,6,19,bus
58,7,19,bus
64,6,19,bus
64,6,19,bus
64,6,19,bus
59,8,19,bus
74,19,19,bus
60,7,19,bus
56,8,19,bus
55,7,26,bus
64,7,19,bus
69,6,21,bus
61,7,18,bus
69,5,20,bus
55,7,19,bus
64,6,18,bus
54,6,19,bus
66,7,19,bus
70,6,19,bus
74,5,20,bus
70,6,20,bus
48,5,27,bus
66,5,24,bus
56,6,19,bus
51,7,24,bus
65,7,19,bus
64,7,19,bus
53,7,19,bus
55,5,22,bus
67,7,19,bus
52,7,19,bus
73,6,19,bus
54,5,19,bus
62,8,19,bus
57,8,19,bus
58,8,19,bus
64,7,19,bus
59,7,19,bus
53,8,19,bus
68,6,20,bus
50,6,28,bus
65,7,21,bus
55,8,19,bus
68,7,19,bus
73,7,19,bus
69,7,19,bus
75,6,19,bus
51,6,19,bus
64,5,27,bus
62,7,19,bus
65,7,19,bus
72,8,19,bus
56,8,19,bus
75,6,26,bus
54,7,19,bus
59,6,19,bus
61,8,19,bus
69,7,19,bus
69,5,22,bus
58,6,19,bus
54,4,24,bus
60,7,23,bus
67,6,18,bus
64,7,19,bus
51,6,26,bus
57,6,19,bus
68,6,19,bus
66,6,19,bus
54,8,19,bus
74,6,22,bus
66,7,19,bus
70,7,20,bus
71,6,22,bus
65,5,24,bus
72,6,19,bus
71,6,19,bus
62,7,19,bus
75,6,20,bus
64,7,19,bus
76,7,19,bus
74,7,22,bus
53,7,19,bus
71,5,21,bus
54,4,25,bus
68,7,19,bus
57,7,26,bus
64,7,19,bus
72,7,21,bus
55,7,19,opel
55,7,19,opel
55,6,19,opel
60,7,21,opel
63,9,22,opel
65,9,23,opel
63,9,21,opel
64,8,19,opel
62,7,21,opel
59,10,24,opel
60,8,19,opel
59,7,19,opel
67,10,23,opel
57,3,17,opel
70,9,24,opel
55,6,18,opel
71,10,23,opel
59,5,18,opel
57,13,25,opel
55,7,17,opel
61,11,25,opel
56,10,25,opel
62,6,18,opel
62,7,20,opel
70,11,25,opel
57,11,24,opel
68,11,23,opel
59,6,19,opel
69,10,24,opel
56,7,19,opel
58,11,24,opel
62,10,21,opel
65,8,23,opel
65,9,21,opel
67,10,23,opel
62,10,21,opel
53,11,25,opel
56,7,18,opel
62,12,25,opel
63,9,22,opel
59,8,19,opel
56,7,18,opel
65,10,22,opel
57,10,25,opel
55,10,24,opel
62,9,21,opel
57,11,23,opel
57,11,24,opel
52,4,19,opel
59,7,20,opel
64,8,20,opel
58,8,18,opel
63,8,21,opel
59,7,20,opel
56,6,18,opel
60,8,19,opel
62,10,23,opel
61,7,19,opel
69,10,23,opel
56,7,18,opel
62,8,22,opel
55,7,18,opel
62,10,22,opel
61,8,21,opel
57,8,20,opel
64,10,22,opel
59,6,19,opel
55,9,20,opel
59,9,20,opel
67,9,22,opel
58,8,20,opel
58,10,25,opel
55,7,18,opel
63,9,22,opel
58,5,17,opel
62,12,23,opel
57,8,18,opel
62,9,20,opel
64,10,23,opel
70,10,22,opel
59,11,24,opel
57,11,25,opel
71,10,24,opel
65,10,24,opel
62,8,23,opel
55,11,24,opel
60,7,20,opel
62,6,18,opel
68,11,24,opel
70,11,25,opel
54,6,18,opel
57,10,25,opel
59,6,18,opel
69,11,25,opel
61,10,21,opel
66,6,20,opel
57,8,18,opel
53,9,18,opel
54,6,19,opel
59,7,18,opel
68,10,25,opel
67,9,24,opel
62,8,21,opel
57,8,20,opel
64,11,23,opel
67,11,24,opel
66,8,22,opel
61,9,22,opel
62,9,23,opel
63,11,25,opel
61,8,20,opel
62,13,25,opel
65,9,23,opel
62,8,20,opel
54,7,19,opel
63,11,25,opel
68,11,24,opel
64,11,23,opel
56,8,19,opel
59,10,24,opel
65,11,24,opel
56,6,17,opel
60,7,19,opel
63,9,21,opel
67,9,23,opel
59,10,22,opel
67,9,23,opel
57,5,18,opel
54,13,25,opel
60,11,24,opel
56,7,19,opel
59,7,19,opel
53,10,25,opel
57,6,19,opel
65,9,21,opel
56,5,18,opel
57,10,24,opel
54,10,24,opel
56,11,25,opel
62,10,23,opel
54,12,24,opel
56,7,20,opel
62,11,24,opel
61,11,25,opel
58,6,18,opel
70,10,25,opel
62,9,22,opel
59,9,22,opel
56,7,18,opel
60,8,20,opel
57,8,19,opel
64,12,25,opel
60,12,25,opel
54,12,24,opel
62,8,20,opel
68,9,23,opel
53,10,24,opel
67,12,24,opel
67,10,22,opel
50,11,25,opel
53,10,24,opel
59,8,19,opel
56,4,17,opel
64,8,20,opel
64,11,23,opel
59,5,18,opel
69,8,20,opel
59,8,21,opel
72,12,25,opel
63,10,22,opel
62,8,19,opel
68,10,24,opel
56,9,25,opel
54,5,18,opel
62,7,20,opel
59,8,18,opel
57,7,18,opel
58,10,24,opel
68,10,25,opel
61,8,20,opel
63,11,24,opel
68,10,24,opel
62,6,18,opel
61,11,23,opel
69,11,25,opel
54,7,19,opel
63,10,21,opel
52,10,23,opel
66,11,24,opel
55,7,19,opel
