@relation vehicle

@attribute Compactness numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
99,8,186,521,saab
90,6,160,385,saab
104,10,187,527,saab
86,7,150,330,saab
91,8,160,383,saab
115,12,196,573,saab
98,8,169,430,saab
93,8,164,405,saab
96,7,174,455,saab
102,10,201,600,saab
95,7,168,425,saab
103,10,185,518,saab
115,11,220,710,saab
104,11,217,694,saab
93,7,128,246,saab
85,3,112,184,saab
106,10,216,691,saab
108,11,202,608,saab
89,9,161,390,saab
106,11,201,607,saab
99,10,201,604,saab
89,8,164,402,saab
110,11,213,669,saab
105,11,220,711,saab
86,7,150,331,saab
92,7,159,381,saab
90,7,163,396,saab
105,10,208,640,saab
109,11,214,675,saab
112,11,214,676,saab
103,11,210,650,saab
86,9,170,433,saab
98,9,166,415,saab
91,7,149,327,saab
85,7,152,339,saab
83,4,135,271,saab
83,6,128,238,saab
91,8,142,298,saab
104,11,218,703,saab
106,9,208,645,saab
91,7,155,361,saab
98,9,177,472,saab
90,7,140,298,saab
96,8,181,486,saab
108,10,196,576,saab
84,6,140,290,saab
82,7,125,229,saab
106,10,215,681,saab
86,7,135,270,saab
104,10,214,680,saab
92,8,154,353,saab
89,8,177,471,saab
101,10,198,578,saab
92,8,153,349,saab
101,12,215,684,saab
119,12,213,675,saab
111,11,207,636,saab
98,11,199,586,saab
97,12,221,713,saab
109,12,215,691,saab
100,9,166,415,saab
96,9,187,525,saab
90,9,157,373,saab
113,9,203,613,saab
103,10,212,660,saab
108,12,216,687,saab
97,9,211,658,saab
89,8,153,351,saab
91,8,150,334,saab
93,9,185,508,saab
87,8,137,277,saab
92,6,160,382,saab
95,10,193,559,saab
91,9,163,404,saab
108,10,221,718,saab
96,7,141,297,saab
94,8,158,373,saab
90,6,121,216,saab
106,12,222,721,saab
97,9,188,526,saab
88,5,148,319,saab
104,11,213,669,saab
97,9,157,370,saab
89,8,144,308,saab
111,11,211,663,saab
91,7,146,314,saab
109,11,219,707,saab
105,12,215,687,saab
90,8,154,360,saab
89,4,122,220,saab
100,10,180,489,saab
79,5,142,295,saab
107,11,219,709,saab
97,9,186,511,saab
107,12,218,700,saab
108,11,208,648,saab
85,4,115,193,saab
104,11,220,707,saab
110,12,213,674,saab
102,10,204,621,saab
107,12,218,694,saab
93,7,149,335,saab
95,10,187,520,saab
89,6,144,308,saab
105,11,211,661,saab
107,11,218,696,saab
93,8,169,422,saab
88,5,125,230,saab
105,12,222,712,saab
104,10,216,686,saab
92,7,154,355,saab
88,8,154,357,saab
113,11,216,688,saab
90,8,175,458,saab
102,11,207,638,saab
91,9,175,457,saab
93,9,167,418,saab
98,9,197,584,saab
100,10,198,587,saab
93,11,183,505,saab
101,9,188,527,saab
98,9,206,629,saab
82,4,135,268,saab
112,11,208,639,saab
86,5,150,333,saab
101,10,195,572,saab
96,8,159,378,saab
107,11,219,704,saab
107,11,213,673,saab
90,10,181,492,saab
100,10,208,642,saab
104,10,207,635,saab
110,9,193,561,saab
96,9,192,552,saab
85,5,132,260,saab
109,9,198,586,saab
89,6,140,291,saab
87,6,148,318,saab
101,10,217,698,saab
82,7,135,264,saab
94,9,169,430,saab
84,4,116,196,saab
91,9,177,465,saab
100,10,171,440,saab
108,11,212,665,saab
89,7,161,389,saab
85,7,147,318,saab
117,12,212,668,saab
94,7,170,435,saab
115,10,217,697,saab
97,9,185,512,saab
103,10,203,612,saab
80,7,146,314,saab
109,11,222,720,saab
105,11,191,545,saab
97,9,175,459,saab
99,11,204,623,saab
108,10,220,711,saab
93,8,183,506,saab
94,7,152,349,saab
86,5,133,262,saab
92,7,158,373,saab
88,8,175,460,saab
84,5,152,344,saab
84,7,149,327,saab
87,6,128,243,saab
106,10,207,635,saab
107,12,206,627,saab
102,12,222,719,saab
116,12,217,692,saab
105,10,221,718,saab
89,7,149,327,saab
98,9,178,480,saab
93,7,160,383,saab
89,5,134,266,saab
101,11,175,458,saab
78,6,142,299,saab
98,10,188,533,saab
109,12,221,712,saab
107,11,218,704,saab
104,10,213,664,saab
86,4,137,279,saab
109,10,207,635,saab
90,6,123,224,saab
104,11,217,694,saab
86,6,136,274,saab
91,6,144,305,saab
109,11,214,677,saab
105,10,198,586,saab
89,8,169,427,saab
104,10,208,641,saab
106,12,221,709,saab
99,5,203,625,bus
82,7,147,317,bus
98,7,184,520,bus
81,6,151,333,bus
96,5,163,408,bus
82,7,151,341,bus
92,6,161,393,bus
93,7,176,476,bus
113,6,260,982,bus
107,7,234,822,bus
85,7,150,326,bus
82,7,148,328,bus
86,7,152,340,bus
81,7,152,333,bus
81,7,153,347,bus
95,6,177,484,bus
80,8,151,333,bus
101,6,149,341,bus
86,6,151,334,bus
100,7,199,605,bus
100,6,186,531,bus
81,8,149,323,bus
100,6,183,517,bus
85,8,151,332,bus
87,6,146,326,bus
109,6,241,870,bus
98,7,166,422,bus
94,6,142,310,bus
91,5,169,434,bus
98,6,164,413,bus
94,8,153,361,bus
97,7,151,346,bus
80,7,151,337,bus
108,6,239,855,bus
82,6,147,320,bus
94,7,154,362,bus
86,6,148,322,bus
86,8,149,331,bus
102,6,220,731,bus
96,5,177,485,bus
79,8,153,344,bus
82,7,154,350,bus
81,7,149,323,bus
107,7,252,904,bus
87,6,149,321,bus
85,7,150,324,bus
86,6,146,321,bus
82,52,148,326,bus
111,6,265,1018,bus
85,6,148,323,bus
86,8,148,321,bus
89,7,150,328,bus
110,5,251,928,bus
88,8,143,311,bus
85,8,150,324,bus
105,4,222,735,bus
95,7,167,430,bus
83,5,143,306,bus
89,7,146,321,bus
85,7,149,325,bus
94,6,156,373,bus
86,7,150,327,bus
91,7,149,332,bus
81,7,150,330,bus
102,4,238,844,bus
110,6,261,998,bus
109,4,227,776,bus
100,6,162,401,bus
92,6,152,350,bus
93,7,151,347,bus
87,8,149,322,bus
85,7,149,321,bus
96,6,167,429,bus
107,6,255,957,bus
90,7,151,345,bus
84,8,150,325,bus
85,6,148,317,bus
86,6,150,325,bus
91,7,150,340,bus
97,7,197,596,bus
81,6,151,340,bus
94,6,184,525,bus
96,5,186,534,bus
87,6,145,318,bus
83,6,151,338,bus
106,6,262,987,bus
82,7,151,337,bus
82,5,148,322,bus
105,7,217,703,bus
89,7,150,342,bus
80,7,150,327,bus
81,22,151,335,bus
87,7,149,327,bus
102,5,194,576,bus
103,7,236,816,bus
93,7,184,523,bus
83,6,148,327,bus
90,7,152,336,bus
107,7,240,866,bus
86,6,148,319,bus
82,7,151,329,bus
83,7,150,333,bus
86,7,146,322,bus
98,6,192,563,bus
89,7,144,312,bus
89,6,141,299,bus
94,8,155,365,bus
93,7,173,463,bus
99,6,164,414,bus
85,5,148,320,bus
84,6,154,354,bus
110,5,250,928,bus
83,6,150,336,bus
100,5,176,479,bus
97,5,161,399,bus
87,7,148,327,bus
81,6,151,336,bus
99,6,177,485,bus
80,8,150,329,bus
88,6,158,379,bus
106,4,237,838,bus
88,7,150,341,bus
89,5,153,352,bus
106,5,247,891,bus
94,7,150,344,bus
89,7,157,373,bus
82,7,152,340,bus
85,7,152,341,bus
104,5,208,666,bus
87,7,143,307,bus
86,6,152,331,bus
87,5,155,362,bus
105,6,195,579,bus
85,7,149,323,bus
108,5,256,966,bus
83,7,144,309,bus
106,4,247,892,bus
87,7,152,341,bus
79,7,153,349,bus
87,6,151,343,bus
109,6,241,857,bus
97,7,178,487,bus
98,7,190,558,bus
81,8,149,320,bus
78,8,147,319,bus
101,6,204,636,bus
85,7,149,320,bus
102,6,192,570,bus
84,6,145,312,bus
96,6,149,341,bus
104,4,212,682,bus
86,8,152,332,bus
80,8,150,329,bus
99,6,185,524,bus
100,6,201,622,bus
86,7,148,324,bus
86,7,150,337,bus
97,6,171,450,bus
98,5,155,371,bus
100,7,162,406,bus
91,7,145,325,bus
96,7,155,372,bus
81,6,153,347,bus
107,8,257,954,bus
99,5,209,671,bus
87,7,151,341,bus
84,8,151,332,bus
114,6,257,968,bus
85,8,151,334,bus
84,7,151,339,bus
84,7,155,359,bus
85,6,151,333,bus
90,6,160,393,bus
86,6,149,335,bus
96,6,213,680,bus
80,7,150,330,bus
98,5,192,570,bus
95,6,156,374,bus
101,6,257,956,bus
90,7,150,336,bus
84,6,146,317,bus
99,5,202,629,bus
98,6,172,457,bus
92,6,154,363,bus
92,7,157,375,bus
83,7,149,331,bus
86,6,148,317,bus
88,6,152,349,bus
85,52,149,325,bus
85,6,148,319,bus
101,7,236,833,bus
86,6,152,335,bus
85,22,149,330,bus
86,6,154,356,bus
96,5,165,419,bus
87,6,150,324,bus
92,8,176,466,opel
104,11,219,708,opel
102,10,203,616,opel
108,11,218,709,opel
103,11,218,706,opel
84,7,150,330,opel
107,11,202,610,opel
88,7,163,395,opel
87,10,189,535,opel
82,8,153,342,opel
104,10,198,587,opel
93,7,149,334,opel
89,6,178,481,opel
102,10,214,682,opel
87,9,177,471,opel
93,8,150,331,opel
100,8,201,611,opel
86,8,156,358,opel
99,10,210,657,opel
104,10,219,711,opel
79,7,147,311,opel
106,11,214,670,opel
81,6,134,259,opel
78,4,120,209,opel
85,8,153,348,opel
89,6,162,396,opel
101,10,209,653,opel
86,7,152,345,opel
102,10,217,692,opel
90,7,138,284,opel
82,5,133,259,opel
99,9,200,600,opel
103,11,212,673,opel
93,7,151,342,opel
100,11,227,756,opel
98,10,213,665,opel
93,10,183,504,opel
97,8,161,391,opel
97,11,215,677,opel
89,7,146,317,opel
104,11,220,713,opel
94,8,167,418,opel
89,6,145,312,opel
88,7,176,462,opel
101,10,215,678,opel
103,10,210,648,opel
106,11,220,710,opel
88,6,151,343,opel
82,7,153,338,opel
101,11,225,730,opel
103,11,223,729,opel
95,9,178,474,opel
97,10,216,685,opel
89,6,149,332,opel
106,12,221,717,opel
87,8,156,366,opel
80,8,134,259,opel
101,10,208,651,opel
97,8,168,426,opel
105,10,200,597,opel
102,10,213,669,opel
86,6,140,290,opel
95,7,164,406,opel
80,3,114,191,opel
89,8,161,388,opel
105,11,218,701,opel
98,11,225,748,opel
108,11,211,661,opel
96,9,204,624,opel
100,11,220,722,opel
86,7,135,266,opel
86,7,154,352,opel
103,11,212,666,opel
77,5,130,247,opel
85,7,127,233,opel
92,8,165,409,opel
96,9,198,589,opel
91,8,177,473,opel
103,12,200,595,opel
91,6,150,335,opel
92,8,162,396,opel
84,8,139,282,opel
100,11,226,752,opel
88,8,168,416,opel
104,10,223,737,opel
88,5,114,192,opel
96,10,215,682,opel
106,10,181,494,opel
97,11,224,732,opel
80,6,139,281,opel
90,8,157,367,opel
91,9,196,574,opel
97,9,181,494,opel
101,12,227,757,opel
107,11,221,725,opel
109,10,205,624,opel
97,10,179,481,opel
98,11,224,737,opel
99,10,224,737,opel
99,10,185,517,opel
100,9,186,519,opel
101,10,208,641,opel
96,8,171,438,opel
105,9,193,557,opel
85,8,150,331,opel
100,10,222,731,opel
89,7,138,286,opel
95,10,212,670,opel
88,5,138,284,opel
102,10,219,706,opel
90,8,178,472,opel
73,6,126,227,opel
91,9,183,504,opel
93,7,130,251,opel
102,10,212,663,opel
84,5,132,261,opel
103,9,175,455,opel
99,13,224,726,opel
96,10,215,683,opel
105,10,219,706,opel
102,10,185,513,opel
83,5,135,274,opel
103,10,205,633,opel
111,11,221,727,opel
101,10,212,669,opel
103,12,208,644,opel
104,11,219,716,opel
91,8,167,415,opel
89,8,157,367,opel
106,8,200,602,opel
104,9,188,530,opel
80,6,125,229,opel
95,10,178,478,opel
94,9,169,430,opel
92,9,161,388,opel
88,7,130,252,opel
94,9,172,444,opel
98,11,207,650,opel
98,7,157,371,opel
92,7,149,333,opel
103,11,216,684,opel
97,8,161,389,opel
101,13,225,741,opel
101,9,195,571,opel
79,9,142,295,opel
99,11,197,575,opel
91,7,147,322,opel
100,10,222,731,opel
99,11,221,725,opel
92,8,140,290,opel
103,9,193,567,opel
109,10,192,553,opel
104,11,218,697,opel
85,7,147,321,opel
107,11,214,676,opel
78,6,123,221,opel
86,8,131,252,opel
105,11,217,696,opel
97,10,195,573,opel
106,11,217,693,opel
77,6,147,315,opel
89,7,146,314,opel
103,11,220,707,opel
100,8,186,521,opel
87,8,164,402,opel
90,7,162,388,opel
98,9,210,661,opel
97,10,214,683,opel
101,10,201,601,opel
102,10,222,728,opel
91,9,193,562,opel
93,6,142,304,opel
89,6,132,260,opel
93,7,159,379,opel
97,8,192,546,opel
98,12,226,748,opel
106,11,215,679,opel
92,8,147,322,opel
105,9,219,713,opel
84,6,126,232,opel
86,9,169,428,opel
93,7,167,417,opel
100,10,206,631,opel
101,11,214,681,opel
104,12,218,706,opel
88,8,142,296,opel
85,9,134,261,opel
76,5,133,259,opel
109,11,206,630,opel
80,7,128,240,opel
95,9,190,543,opel
