@relation vehicle

@attribute Compactness numeric
@attribute Major_variance numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
86,170,183,van
82,231,190,van
89,170,185,van
90,172,183,van
85,168,182,van
85,148,182,van
87,168,188,van
91,162,192,van
90,173,182,van
97,166,197,van
88,150,203,van
93,179,184,van
95,176,189,van
94,154,192,van
93,161,193,van
90,169,182,van
94,176,186,van
91,161,194,van
95,163,199,van
92,160,182,van
93,156,191,van
95,173,187,van
89,162,188,van
89,163,184,van
88,169,188,van
86,161,192,van
88,137,180,van
94,177,185,van
89,168,188,van
94,178,183,van
90,170,182,van
96,173,194,van
93,166,187,van
87,157,193,van
86,137,199,van
94,170,187,van
89,175,182,van
86,141,200,van
92,142,197,van
89,202,189,saab
103,217,191,saab
108,228,189,saab
86,165,182,saab
86,155,190,saab
88,163,180,saab
111,217,196,saab
98,184,197,saab
94,188,195,saab
100,224,187,saab
110,222,188,saab
107,221,187,saab
107,221,187,saab
109,226,188,saab
100,200,195,saab
108,229,189,saab
109,229,187,saab
93,206,189,saab
108,232,187,saab
92,180,190,saab
113,216,193,saab
96,218,189,saab
91,197,188,saab
97,216,190,saab
84,135,183,saab
91,197,191,saab
108,214,194,saab
89,151,184,saab
91,163,193,saab
105,207,196,saab
89,189,187,saab
94,184,200,saab
106,228,187,saab
93,211,189,saab
85,137,185,saab
89,174,188,saab
89,166,185,saab
94,175,193,saab
101,213,192,saab
105,217,189,saab
117,228,194,saab
110,223,190,saab
85,173,182,saab
103,222,187,saab
104,217,193,saab
84,177,185,saab
82,146,180,saab
99,221,188,saab
95,196,191,saab
82,150,181,saab
88,165,198,saab
105,224,186,saab
96,183,190,saab
93,202,195,saab
89,186,192,saab
84,175,183,saab
108,226,189,saab
85,159,191,saab
104,225,185,saab
97,222,186,saab
95,220,188,saab
90,174,203,saab
95,202,198,saab
85,136,179,saab
104,224,185,saab
109,226,189,saab
97,180,198,saab
95,210,190,saab
90,205,189,saab
101,232,187,saab
100,186,201,saab
104,218,187,saab
108,224,188,saab
105,226,189,saab
105,226,189,saab
105,232,187,saab
106,227,190,saab
91,184,199,saab
107,226,189,saab
85,130,181,saab
91,190,192,saab
107,223,190,saab
99,221,191,saab
99,210,191,saab
104,216,187,saab
86,162,186,saab
91,165,186,saab
91,166,196,saab
107,221,188,saab
89,179,187,saab
89,188,195,saab
101,192,197,saab
88,180,188,saab
102,228,189,saab
115,229,188,saab
104,226,188,saab
101,219,192,saab
87,158,181,saab
116,231,192,saab
97,226,186,saab
112,232,191,saab
90,148,196,saab
92,181,189,saab
93,191,192,saab
88,200,192,saab
100,189,198,saab
113,221,188,saab
100,222,189,saab
108,227,189,saab
109,219,190,saab
96,162,202,saab
94,181,193,saab
87,154,186,saab
88,141,184,saab
103,202,198,saab
105,214,192,saab
91,170,184,saab
93,172,189,saab
90,177,197,saab
102,214,192,saab
111,223,190,saab
90,137,190,saab
98,197,192,saab
90,189,186,saab
89,139,181,saab
104,223,188,saab
86,174,196,saab
80,168,180,saab
104,220,187,saab
85,171,183,saab
93,158,200,saab
107,228,190,saab
101,208,193,saab
106,229,190,saab
96,214,193,saab
98,223,187,saab
100,220,187,saab
91,168,186,saab
91,194,195,saab
97,202,191,saab
108,229,190,saab
102,226,187,saab
109,229,188,saab
106,214,192,saab
93,197,195,saab
89,164,193,saab
93,200,188,saab
115,229,189,saab
95,178,196,saab
87,164,181,saab
98,216,189,saab
87,174,187,saab
109,229,188,saab
85,164,182,saab
89,190,194,saab
93,186,197,saab
106,224,190,saab
104,218,191,saab
96,205,192,saab
86,152,187,saab
98,189,199,saab
89,163,194,saab
90,200,189,saab
90,165,201,saab
106,235,187,saab
97,208,194,saab
97,192,196,saab
83,143,179,saab
104,232,190,saab
96,197,191,saab
104,218,188,saab
105,232,189,saab
93,180,192,saab
108,216,190,saab
90,211,191,saab
78,162,181,saab
82,148,183,saab
86,155,183,saab
119,223,192,saab
104,232,188,saab
107,216,194,saab
101,229,188,saab
106,224,188,saab
83,146,180,saab
108,229,189,saab
90,187,195,saab
109,220,189,saab
102,220,188,saab
91,177,195,saab
104,226,189,saab
91,189,186,saab
92,184,190,saab
92,185,186,saab
79,153,180,saab
83,152,180,saab
86,191,191,saab
114,287,182,bus
84,175,185,bus
106,266,181,bus
81,173,183,bus
103,254,183,bus
86,170,181,bus
92,180,195,bus
85,169,179,bus
96,185,196,bus
80,170,180,bus
111,285,181,bus
99,202,195,bus
85,169,180,bus
109,267,184,bus
106,285,180,bus
100,189,200,bus
94,171,199,bus
107,258,186,bus
87,169,180,bus
105,214,194,bus
106,263,185,bus
88,180,189,bus
97,194,197,bus
86,167,189,bus
94,175,192,bus
97,167,201,bus
96,205,196,bus
86,170,183,bus
91,184,198,bus
84,169,179,bus
95,184,199,bus
93,203,194,bus
79,175,183,bus
84,180,185,bus
94,169,199,bus
98,184,202,bus
85,171,181,bus
85,173,180,bus
100,219,193,bus
85,170,180,bus
90,173,180,bus
98,189,200,bus
83,168,188,bus
86,176,188,bus
83,170,185,bus
85,168,180,bus
87,171,188,bus
81,170,179,bus
82,181,183,bus
86,172,187,bus
94,184,200,bus
83,166,188,bus
81,169,179,bus
94,164,198,bus
86,170,180,bus
82,172,187,bus
89,164,193,bus
96,215,195,bus
87,164,192,bus
88,180,186,bus
86,170,189,bus
94,196,197,bus
81,175,182,bus
94,204,195,bus
89,171,179,bus
90,175,192,bus
93,175,196,bus
85,170,179,bus
101,275,180,bus
91,170,195,bus
85,241,180,bus
82,171,181,bus
106,280,182,bus
80,171,179,bus
100,206,197,bus
97,214,192,bus
99,234,192,bus
91,169,201,bus
84,168,183,bus
87,175,190,bus
97,176,200,bus
86,170,179,bus
82,169,181,bus
91,169,192,bus
100,206,198,bus
109,265,184,bus
89,174,193,bus
108,264,186,bus
107,275,181,bus
97,199,197,bus
86,174,180,bus
92,184,198,bus
79,175,182,bus
95,189,196,bus
106,269,181,bus
83,172,185,bus
88,167,188,bus
87,167,194,bus
86,168,178,bus
78,169,181,bus
81,172,180,bus
82,173,181,bus
93,190,198,bus
94,181,193,bus
110,280,184,bus
101,231,192,bus
86,166,179,bus
85,168,179,bus
98,215,194,bus
89,175,188,bus
80,169,179,bus
99,202,198,bus
91,189,196,bus
94,171,197,bus
81,167,179,bus
85,173,184,bus
81,186,180,bus
85,166,179,bus
98,184,200,bus
100,179,200,bus
99,193,200,bus
102,225,193,bus
98,208,195,bus
85,169,181,bus
85,173,180,bus
81,180,182,bus
88,167,193,bus
102,246,188,bus
105,254,186,bus
96,188,196,bus
99,222,191,bus
96,228,188,bus
85,177,181,bus
113,288,182,bus
102,267,184,bus
96,188,199,bus
82,166,179,bus
87,169,178,bus
96,178,201,bus
81,166,179,bus
87,177,185,bus
83,174,182,bus
81,172,180,bus
80,171,181,bus
93,189,197,bus
83,174,181,bus
86,177,181,bus
81,177,182,bus
86,179,188,bus
105,240,188,bus
107,243,187,bus
97,178,196,bus
86,171,180,bus
102,247,188,bus
84,168,184,bus
83,172,184,bus
95,169,195,bus
82,181,183,bus
85,172,180,bus
96,183,200,bus
102,217,195,bus
89,166,191,bus
89,175,192,bus
81,171,183,bus
82,174,180,bus
100,232,189,bus
107,269,179,bus
82,169,181,bus
84,179,187,bus
89,176,186,bus
87,177,184,bus
101,256,185,bus
88,185,193,bus
110,272,183,bus
92,179,195,bus
98,189,200,bus
91,178,192,bus
100,216,192,bus
86,170,180,bus
95,184,200,bus
104,238,190,bus
89,181,191,bus
82,237,181,bus
87,173,195,bus
98,212,194,bus
86,169,179,bus
83,167,185,bus
86,169,179,bus
85,172,180,bus
85,167,179,bus
80,170,180,bus
109,262,187,bus
86,175,179,bus
87,175,186,bus
85,178,181,bus
87,170,179,bus
96,221,186,opel
86,174,187,opel
89,170,184,opel
95,217,190,opel
102,214,193,opel
88,159,188,opel
80,142,178,opel
89,207,189,opel
101,228,187,opel
78,135,177,opel
97,193,192,opel
101,226,186,opel
98,227,189,opel
107,219,197,opel
103,215,192,opel
100,202,193,opel
97,225,186,opel
95,223,191,opel
80,131,179,opel
91,170,193,opel
89,155,203,opel
102,219,191,opel
85,144,184,opel
106,228,188,opel
79,165,181,opel
98,184,190,opel
90,161,192,opel
104,206,193,opel
81,147,177,opel
94,191,201,opel
84,160,183,opel
99,234,188,opel
101,215,189,opel
99,212,194,opel
95,200,198,opel
106,224,192,opel
83,155,187,opel
77,167,181,opel
95,188,199,opel
97,219,185,opel
94,196,190,opel
97,208,191,opel
101,220,190,opel
102,219,186,opel
104,228,186,opel
98,231,187,opel
89,154,193,opel
88,184,192,opel
91,169,197,opel
89,170,188,opel
92,174,206,opel
104,235,188,opel
87,181,184,opel
86,179,186,opel
91,196,189,opel
98,236,188,opel
89,163,187,opel
104,223,186,opel
97,232,188,opel
96,220,187,opel
103,214,198,opel
101,221,186,opel
95,208,191,opel
78,141,178,opel
82,174,183,opel
103,226,187,opel
86,158,183,opel
106,197,202,opel
98,225,185,opel
88,199,186,opel
97,197,197,opel
88,132,182,opel
80,152,179,opel
102,219,187,opel
91,219,186,opel
76,152,177,opel
90,194,185,opel
90,182,192,opel
106,222,189,opel
85,137,195,opel
93,182,195,opel
90,199,187,opel
102,228,187,opel
97,182,203,opel
96,217,192,opel
105,231,187,opel
101,219,185,opel
108,222,190,opel
104,230,191,opel
91,202,193,opel
94,178,198,opel
86,154,180,opel
85,170,180,opel
92,183,191,opel
89,174,198,opel
84,144,185,opel
96,195,195,opel
95,199,193,opel
93,162,197,opel
84,148,185,opel
102,224,189,opel
73,135,176,opel
82,173,181,opel
109,212,192,opel
89,170,191,opel
104,223,186,opel
105,225,188,opel
89,187,187,opel
109,210,196,opel
99,225,186,opel
87,181,190,opel
88,161,194,opel
101,232,190,opel
95,224,186,opel
101,225,186,opel
111,227,190,opel
100,234,187,opel
87,197,192,opel
92,196,192,opel
103,217,188,opel
100,238,189,opel
104,221,189,opel
93,182,193,opel
88,175,202,opel
91,203,192,opel
96,226,185,opel
79,172,181,opel
85,176,184,opel
80,147,183,opel
84,167,180,opel
87,186,198,opel
97,219,184,opel
99,219,187,opel
84,209,190,opel
100,238,189,opel
92,181,200,opel
98,223,186,opel
100,225,188,opel
104,223,187,opel
87,214,187,opel
104,207,195,opel
106,225,186,opel
85,179,191,opel
88,147,193,opel
100,231,189,opel
99,209,194,opel
99,223,185,opel
88,200,189,opel
107,202,195,opel
103,220,186,opel
85,168,197,opel
85,145,188,opel
93,172,191,opel
97,212,193,opel
107,234,189,opel
98,231,187,opel
97,189,188,opel
105,221,191,opel
92,165,199,opel
106,228,188,opel
88,158,204,opel
103,199,197,opel
102,228,187,opel
100,241,188,opel
102,202,195,opel
86,185,183,opel
103,221,189,opel
94,190,191,opel
93,151,201,opel
107,222,191,opel
101,210,191,opel
101,227,186,opel
103,219,186,opel
109,222,195,opel
101,222,186,opel
92,214,188,opel
97,200,199,opel
95,227,186,opel
104,231,187,opel
103,226,188,opel
103,217,187,opel
77,145,183,opel
93,208,189,opel
103,229,188,opel
101,231,186,opel
100,202,197,opel
106,218,194,opel
103,225,187,opel
96,227,186,opel
93,169,203,opel
99,228,187,opel
