@relation crx
@attribute A1 {b, a}
@attribute A2 real [16.0,  8025.0]
@attribute A3 real [0.0,  26335.0]
@attribute A4 {u, y, l}
@attribute A5 {g, p, gg}
@attribute A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute A7 {v, h, bb, ff, j, z, o, dd, n}
@attribute A8 real [0.0,  14415.0]
@attribute A9 {t, f}
@attribute A10 {t, f}
@attribute A11 integer [0,  67]
@attribute A12 {f, t}
@attribute A13 {g, s, p}
@attribute A14 integer [0,  2000]
@attribute A15 integer [0,  100000]
@attribute Class {positive, negative}
@data
b,1917.0,4.0,y,p,i,v,1.0,f,f,0,t,g,360,1000,negative
b,3917.0,25.0,y,p,i,h,10.0,f,f,0,t,s,200,0,negative
b,21.0,479.0,y,p,w,v,225.0,t,t,1,t,g,80,300,positive
b,2267.0,254.0,y,p,c,h,2585.0,t,f,0,f,g,0,0,positive
b,3917.0,171.0,u,g,x,v,125.0,t,t,5,t,g,480,0,positive
b,3425.0,175.0,u,g,w,bb,25.0,t,f,0,t,g,163,0,negative
b,2958.0,45.0,u,g,w,v,75.0,t,t,2,t,g,330,0,positive
b,2333.0,15.0,u,g,c,h,1415.0,t,f,0,f,g,422,200,positive
a,2517.0,2875.0,u,g,x,h,875.0,t,f,0,f,g,360,0,positive
b,2517.0,6.0,u,g,c,v,1.0,t,t,3,f,g,0,0,positive
b,5158.0,15.0,u,g,c,v,85.0,t,t,9,f,g,0,0,positive
b,3867.0,21.0,u,g,k,v,85.0,t,f,0,t,g,280,0,positive
b,2575.0,75.0,u,g,c,bb,25.0,t,f,0,f,g,349,23,positive
b,1842.0,10415.0,y,p,aa,v,125.0,t,f,0,f,g,120,375,negative
a,1958.0,665.0,u,g,w,v,1665.0,f,f,0,f,g,220,5,negative
b,2858.0,3625.0,u,g,aa,v,25.0,f,f,0,t,g,100,0,negative
a,3892.0,1665.0,u,g,aa,v,25.0,f,f,0,f,g,0,390,negative
a,1792.0,54.0,u,g,c,v,175.0,f,t,1,t,g,80,5,negative
a,3733.0,25.0,u,g,i,h,21.0,f,f,0,f,g,260,246,negative
b,1792.0,205.0,u,g,aa,v,4.0,f,f,0,f,g,280,750,negative
