@relation crx

@attribute A9 {t,f}
@attribute A14 numeric
@attribute Class {positive,negative}

@data
f,280,negative
t,760,negative
f,160,negative
f,0,negative
f,132,negative
f,160,negative
t,140,negative
f,0,negative
f,280,negative
f,0,negative
f,0,negative
f,0,negative
t,329,negative
f,180,negative
f,272,negative
t,200,negative
f,352,negative
f,210,negative
t,560,negative
f,45,negative
f,252,negative
f,276,negative
f,28,negative
f,350,negative
f,160,negative
f,0,negative
f,60,negative
f,480,negative
f,221,negative
f,132,negative
t,160,negative
f,0,negative
f,145,negative
f,0,negative
f,128,negative
f,96,negative
f,160,negative
t,160,negative
t,0,negative
f,300,negative
t,368,negative
f,240,negative
f,120,negative
f,340,negative
f,120,negative
t,240,negative
f,320,negative
f,600,negative
f,0,negative
f,100,negative
f,200,negative
f,80,negative
f,254,negative
f,348,negative
f,154,negative
f,174,negative
t,112,negative
f,240,negative
t,140,negative
t,400,negative
f,420,negative
f,144,negative
f,100,negative
f,320,negative
f,232,negative
f,160,negative
t,120,negative
f,136,negative
f,178,negative
f,120,negative
f,160,negative
f,0,negative
f,340,negative
t,523,negative
f,0,negative
f,200,negative
t,130,negative
f,280,negative
f,120,negative
f,260,negative
f,0,negative
f,0,negative
f,0,negative
f,320,negative
f,180,negative
f,200,negative
f,129,negative
f,160,negative
f,0,negative
f,0,negative
f,340,negative
f,280,negative
t,443,negative
f,220,negative
f,180,negative
t,980,negative
f,240,negative
f,280,negative
f,120,negative
f,240,negative
f,380,negative
f,120,negative
f,80,negative
f,180,negative
f,180,negative
f,0,negative
f,80,negative
t,120,negative
t,360,negative
f,720,negative
f,100,negative
f,62,negative
t,252,negative
f,140,negative
f,200,negative
f,160,negative
f,340,negative
f,180,negative
f,40,negative
t,120,negative
f,160,negative
f,0,negative
f,120,negative
f,280,negative
t,75,negative
f,420,negative
f,80,negative
f,320,negative
t,320,negative
f,180,negative
f,180,negative
t,80,negative
f,369,negative
f,180,negative
f,140,negative
t,260,negative
t,288,negative
f,0,negative
f,400,negative
t,120,negative
t,140,negative
f,200,negative
f,160,negative
f,260,negative
f,160,negative
f,80,negative
f,360,negative
f,224,negative
f,550,negative
f,160,negative
f,320,negative
f,0,negative
f,0,negative
f,280,negative
t,80,negative
f,356,negative
f,120,negative
f,210,negative
f,92,negative
t,0,negative
f,300,negative
f,140,negative
t,100,negative
t,440,negative
f,0,negative
f,112,negative
t,180,negative
f,168,negative
f,0,negative
f,220,negative
f,240,negative
f,200,negative
t,0,negative
f,280,negative
f,110,negative
f,100,negative
t,300,negative
f,300,negative
f,160,negative
f,300,negative
f,200,negative
f,272,negative
f,465,negative
f,73,negative
f,200,negative
f,140,negative
f,100,negative
f,280,negative
f,320,negative
f,86,negative
f,100,negative
f,180,negative
t,280,negative
f,140,negative
f,200,negative
f,140,negative
f,225,negative
f,20,negative
f,2000,negative
f,141,negative
t,212,negative
f,80,negative
f,100,negative
f,70,negative
f,0,negative
t,167,negative
f,170,negative
t,200,negative
f,80,negative
f,0,negative
t,100,negative
f,128,negative
t,320,negative
f,0,negative
f,460,negative
f,480,negative
f,216,negative
f,240,negative
f,160,negative
f,240,negative
f,160,negative
t,268,negative
f,120,negative
f,231,negative
f,520,negative
f,60,negative
f,160,negative
t,180,negative
f,440,negative
f,132,negative
f,0,negative
f,200,negative
f,400,negative
f,76,negative
f,120,negative
f,0,negative
f,200,negative
t,163,negative
f,200,negative
f,108,negative
f,120,negative
f,120,negative
f,640,negative
f,180,negative
f,220,negative
f,400,negative
f,220,negative
f,144,negative
f,140,negative
f,160,negative
f,0,negative
f,60,negative
f,130,negative
f,200,negative
f,0,negative
f,400,negative
f,140,negative
f,80,negative
t,180,negative
f,0,negative
f,416,negative
f,120,negative
t,171,negative
f,160,negative
f,160,negative
f,120,negative
t,152,negative
t,200,negative
f,80,negative
f,280,negative
t,132,negative
t,94,negative
f,200,negative
f,320,negative
t,680,negative
f,120,negative
t,140,negative
f,216,negative
f,0,negative
f,0,negative
f,260,negative
t,400,negative
t,280,negative
f,309,negative
f,360,negative
t,140,negative
