@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute Customer {1,2}

@data
A11,48,7476,A143,1
A14,6,1338,A143,1
A11,6,1361,A143,1
A12,24,1967,A143,1
A14,24,4151,A143,1
A13,15,2360,A143,1
A12,36,9857,A143,1
A12,24,2333,A141,1
A11,18,3509,A143,1
A14,12,1076,A143,1
A14,28,2743,A143,1
A12,18,3244,A141,1
A14,24,2463,A143,1
A14,4,601,A143,1
A14,12,1655,A143,1
A14,21,2476,A143,1
A11,12,1893,A143,1
A11,18,2659,A143,1
A14,12,1262,A143,1
A14,30,5954,A143,1
A11,12,701,A143,1
A12,24,1965,A143,1
A14,60,10366,A143,1
A12,18,2622,A143,1
A13,42,6289,A143,1
A14,12,1185,A143,1
A13,6,1323,A143,1
A13,6,709,A143,1
A14,15,3029,A143,1
A11,21,571,A143,1
A12,36,3990,A141,1
A14,5,3448,A143,1
A14,15,2708,A141,1
A14,48,12749,A143,1
A14,6,1538,A143,1
A14,21,3275,A143,1
A12,21,2353,A143,1
A14,24,1249,A143,1
A14,24,2670,A143,1
A13,12,409,A143,1
A14,12,1493,A143,1
A14,12,1413,A143,1
A14,30,4811,A142,1
A12,12,3617,A143,1
A14,36,2613,A143,1
A14,24,3235,A143,1
A12,6,753,A143,1
A14,15,5324,A143,1
A12,24,4351,A143,1
A14,12,2445,A143,1
A12,12,1318,A143,1
A12,48,7582,A143,1
A12,12,3573,A143,1
A12,18,2427,A143,1
A14,24,2255,A143,1
A14,6,700,A143,1
A14,36,2299,A143,1
A12,48,12204,A141,1
A14,24,2223,A141,1
A14,24,1469,A143,1
A11,12,339,A141,1
A14,60,13756,A141,1
A11,30,4583,A143,1
A14,36,5711,A143,1
A12,12,1155,A141,1
A14,6,660,A143,1
A14,24,2284,A143,1
A14,12,1412,A143,1
A13,30,3017,A143,1
A14,24,3777,A143,1
A11,6,609,A143,1
A14,6,250,A141,1
A12,9,1082,A143,1
A14,10,2848,A143,1
A12,30,1715,A143,1
A12,24,1553,A143,1
A14,60,15653,A143,1
A14,21,2993,A142,1
A14,18,3422,A141,1
A14,15,3368,A143,1
A12,9,1549,A143,1
A14,12,2012,A143,1
A12,9,2118,A143,1
A11,18,1880,A143,1
A14,12,926,A143,1
A11,18,1049,A143,1
A11,15,2511,A143,1
A14,12,1240,A143,1
A11,30,3622,A143,1
A14,48,2751,A143,1
A14,10,1231,A143,1
A12,20,6148,A141,1
A14,18,1817,A143,1
A14,6,672,A143,1
A11,24,2483,A142,1
A14,12,717,A143,1
A14,15,1459,A143,1
A14,6,1238,A143,1
A14,12,2279,A143,1
A14,11,2142,A143,1
A14,6,1740,A143,1
A14,12,1884,A143,1
A11,24,3660,A143,1
A11,12,3651,A143,1
A13,6,1047,A143,1
A14,15,1300,A141,1
A14,12,4675,A143,1
A14,6,1221,A143,1
A14,15,1213,A142,1
A14,15,1262,A143,1
A11,30,3857,A143,1
A11,24,4169,A143,1
A14,12,2859,A143,1
A14,15,5045,A143,1
A12,45,4576,A143,1
A12,12,958,A143,1
A14,24,2346,A143,1
A14,24,3863,A143,1
A13,12,3016,A143,1
A13,15,392,A143,1
A14,27,8613,A143,1
A12,18,1887,A141,1
A14,15,1316,A143,1
A14,12,640,A143,1
A11,10,1038,A143,1
A14,24,2058,A143,1
A11,6,1203,A143,1
A14,10,894,A143,1
A14,18,1169,A143,1
A14,24,7393,A143,1
A14,15,960,A143,1
A14,21,1591,A143,1
A12,42,5954,A141,1
A12,24,3878,A143,1
A13,24,3617,A143,1
A11,15,1721,A143,1
A14,12,3059,A143,1
A11,24,6568,A142,1
A14,12,1574,A143,1
A14,6,932,A143,1
A11,15,3643,A143,1
A14,10,1546,A143,1
A14,24,1311,A143,1
A14,12,1935,A143,1
A12,9,1154,A143,1
A11,24,3021,A143,1
A14,12,1503,A143,1
A11,10,2132,A143,1
A11,36,3249,A141,1
A11,6,1169,A143,1
A11,24,6615,A143,1
A14,36,10477,A143,1
A12,18,866,A143,1
A14,13,1409,A143,1
A14,21,3160,A143,1
A14,15,1520,A143,1
A11,36,3620,A143,1
A14,24,717,A143,1
A14,15,2186,A141,1
A14,12,1592,A143,1
A14,33,2764,A143,1
A14,12,2759,A143,1
A13,24,1258,A143,1
A11,24,2910,A143,1
A11,15,1845,A143,1
A14,6,2080,A143,1
A11,20,4272,A143,1
A11,36,3959,A143,1
A11,21,1602,A143,1
A11,6,338,A143,1
A14,24,2684,A143,1
A14,36,3595,A143,1
A12,6,368,A143,1
A12,36,7432,A143,1
A12,60,7418,A143,1
A11,15,1403,A143,1
A11,11,3905,A143,1
A12,7,2329,A143,1
A11,6,4716,A143,1
A11,6,343,A143,1
A11,6,662,A143,1
A12,6,454,A143,1
A14,36,3535,A143,1
A12,20,6468,A143,1
A11,18,8471,A143,1
A11,12,2121,A143,1
A13,9,1126,A143,1
A13,24,2892,A143,1
A13,36,4473,A143,1
A14,24,2375,A143,1
A11,12,1409,A143,1
A11,24,2812,A143,1
A12,6,590,A143,1
A12,12,1007,A143,1
A14,12,2171,A141,1
A14,30,6742,A143,1
A14,12,2133,A143,1
A12,15,1514,A143,1
A13,42,4796,A143,1
A14,24,1474,A143,1
A11,18,1940,A141,1
A12,18,1239,A143,1
A14,24,1585,A143,1
A14,15,1569,A141,1
A14,36,7678,A143,1
A11,12,708,A143,1
A14,12,804,A143,1
A11,12,2578,A143,1
A11,24,7721,A143,1
A11,18,1936,A143,1
A14,30,2831,A143,1
A14,12,1542,A143,1
A12,30,3496,A142,1
A14,24,5507,A143,1
A13,10,1347,A143,1
A14,30,2333,A141,1
A12,12,754,A143,1
A12,12,1037,A143,1
A13,12,1330,A143,1
A12,7,2576,A143,1
A12,12,1103,A143,1
A12,24,4712,A141,1
A14,12,976,A143,1
A11,18,3650,A143,1
A11,24,6419,A143,1
A12,13,882,A143,1
A11,24,1231,A143,1
A14,24,2022,A143,1
A14,18,1568,A143,1
A12,18,1941,A143,1
A14,36,8133,A141,1
A14,6,1236,A143,1
A14,20,3485,A143,1
A14,18,2404,A143,1
A12,9,2030,A143,1
A14,21,2288,A143,1
A12,48,3979,A143,1
A14,12,2390,A143,1
A12,48,8358,A143,1
A11,6,428,A141,1
A11,30,8072,A141,1
A14,18,6070,A143,1
A14,9,936,A143,1
A11,15,1478,A143,1
A11,12,1680,A143,1
A14,9,1449,A143,1
A14,24,2578,A143,1
A14,18,1582,A143,1
A14,9,1388,A143,1
A11,12,1262,A143,1
A14,24,1940,A143,1
A12,18,2899,A143,1
A14,27,4526,A142,1
A14,10,1597,A143,1
A12,9,1206,A143,1
A14,24,2603,A143,1
A14,24,2835,A143,1
A14,6,3518,A143,1
A13,18,3049,A142,1
A14,36,4454,A143,1
A14,24,1533,A142,1
A14,30,5771,A143,1
A14,24,937,A143,1
A11,12,1498,A141,1
A14,24,6314,A141,1
A14,36,11054,A143,1
A12,6,2063,A143,1
A14,30,7596,A143,1
A12,12,585,A143,1
A14,18,2238,A143,1
A13,12,1297,A143,1
A11,8,3398,A143,1
A14,21,2782,A141,1
A12,18,1795,A141,1
A14,30,4530,A143,1
A11,12,2171,A141,1
A11,6,1374,A143,1
A11,14,3973,A143,1
A14,11,1154,A143,1
A12,16,1175,A143,1
A12,9,3195,A143,1
A12,12,7472,A143,1
A11,9,1288,A143,1
A14,30,3077,A143,1
A14,9,3832,A143,1
A14,10,727,A143,1
A12,30,4221,A143,1
A14,24,2028,A143,1
A14,18,1473,A143,1
A14,36,2394,A143,1
A12,36,4795,A143,1
A14,48,8858,A143,1
A14,36,6304,A143,1
A14,6,1595,A143,1
A11,8,1164,A141,1
A14,6,6761,A143,1
A14,24,1258,A143,1
A14,12,1291,A143,1
A11,6,666,A143,1
A12,36,5800,A143,1
A14,6,1766,A143,1
A14,6,1237,A143,1
A11,21,3763,A143,1
A11,36,15857,A143,1
A14,12,1402,A143,1
A14,18,3850,A143,1
A11,30,2522,A143,1
A14,12,1255,A143,1
A13,24,1275,A143,1
A13,36,3913,A143,1
A11,6,1872,A143,1
A14,15,874,A143,1
A14,6,783,A142,1
A14,12,2331,A143,1
A14,24,3105,A143,1
A13,6,1299,A143,1
A12,10,1048,A142,1
A14,4,1455,A143,1
A14,24,2032,A143,1
A14,24,9277,A143,1
A14,24,1376,A143,1
A11,12,1168,A143,1
A14,18,629,A141,1
A13,24,3148,A143,1
A12,18,3612,A143,1
A14,24,999,A143,1
A11,9,2799,A143,1
A14,18,3229,A143,1
A11,18,2249,A143,1
A12,9,790,A143,1
A14,9,1236,A143,1
A11,12,2214,A143,1
A12,12,1804,A143,1
A14,24,6313,A143,1
A12,18,2779,A143,1
A12,24,11328,A141,2
A14,18,1864,A143,2
A14,24,8648,A141,2
A12,24,2039,A143,2
A11,12,6199,A143,2
A11,24,1199,A143,2
A11,18,750,A143,2
A11,18,3190,A143,2
A13,15,2327,A143,2
A11,18,1216,A143,2
A11,21,1647,A143,2
A11,24,4817,A143,2
A11,24,2439,A143,2
A12,36,9034,A143,2
A11,9,1366,A143,2
A11,18,3114,A143,2
A14,6,4611,A143,2
A11,36,9629,A143,2
A11,20,2235,A141,2
A11,18,1882,A141,2
A12,12,1223,A143,2
A11,48,6758,A143,2
A14,30,7485,A141,2
A12,27,3915,A143,2
A11,18,1217,A143,2
A11,15,950,A143,2
A13,9,745,A143,2
A12,15,1778,A143,2
A12,48,15672,A143,2
A12,36,4455,A142,2
A12,60,14027,A143,2
A14,36,4463,A143,2
A13,18,2864,A143,2
A12,24,2064,A143,2
A12,18,1056,A141,2
A14,36,1819,A142,2
A13,9,1337,A143,2
A11,14,8978,A143,2
A11,36,1977,A143,2
A11,15,1275,A143,2
A12,36,12612,A143,2
A11,12,759,A143,2
A14,21,5003,A141,2
A12,15,6850,A143,2
A12,18,2278,A143,2
A14,24,2397,A141,2
A12,30,4249,A143,2
A11,36,8229,A143,2
A11,24,1659,A143,2
A12,18,1245,A143,2
A12,12,2969,A143,2
A12,12,1331,A142,2
A12,45,3031,A143,2
A11,12,727,A143,2
A12,72,5595,A143,2
A13,12,609,A143,2
A11,6,1198,A143,2
A12,6,931,A142,2
A11,33,4281,A143,2
A12,30,3441,A143,2
A12,48,3844,A143,2
A14,18,1808,A143,2
A11,30,2406,A143,2
A14,24,2538,A143,2
A11,21,1835,A143,2
A11,18,976,A143,2
A12,12,836,A141,2
A11,24,1371,A143,2
A12,36,3804,A143,2
A12,48,6224,A143,2
A14,36,10974,A143,2
A14,21,2580,A141,2
A11,18,2039,A141,2
A12,18,1928,A143,2
A11,36,2302,A143,2
A14,21,12680,A143,2
A12,45,4746,A143,2
A12,30,4280,A143,2
A14,48,10127,A141,2
A12,21,1188,A143,2
A11,28,4006,A143,2
A12,60,14782,A141,2
A14,9,1980,A143,2
A12,24,4241,A143,2
A12,9,1136,A143,2
A12,36,12389,A143,2
A11,12,1372,A143,2
A11,36,8335,A143,2
A11,45,1845,A143,2
A12,30,8386,A143,2
A14,24,3621,A143,2
A12,30,2150,A141,2
A11,60,6836,A143,2
A11,24,1282,A143,2
A11,12,3386,A143,2
A14,18,2169,A143,2
A12,36,9398,A143,2
A11,16,2625,A141,2
A11,15,3959,A143,2
A11,24,4110,A141,2
A12,48,3060,A143,2
A11,36,2145,A143,2
A12,12,639,A143,2
A11,6,448,A143,2
A12,24,4057,A143,2
A14,9,1478,A143,2
A11,48,3931,A143,2
A14,24,5943,A143,2
A11,24,1207,A143,2
A11,24,1442,A143,2
A11,18,2124,A143,2
A11,9,654,A143,2
A14,15,4623,A143,2
A12,9,959,A143,2
A12,12,1484,A143,2
A11,24,3234,A143,2
A14,18,2775,A141,2
A14,10,2210,A141,2
A11,12,7865,A143,2
A12,54,15945,A143,2
A12,12,6468,A143,2
A13,24,1344,A141,2
A11,24,1546,A141,2
A11,24,1193,A143,2
A11,24,915,A141,2
A14,36,7855,A142,2
A12,12,766,A143,2
A11,42,7174,A143,2
A13,24,947,A141,2
A12,24,1246,A142,2
A11,18,3966,A141,2
A11,12,1082,A141,2
A11,12,709,A142,2
A13,10,1240,A143,2
A11,36,3446,A143,2
A12,48,14421,A143,2
A11,24,2996,A143,2
A14,36,3349,A143,2
A14,27,2570,A143,2
A11,12,697,A141,2
A12,24,11938,A143,2
A12,48,5096,A143,2
A12,48,10961,A141,2
A12,12,1534,A143,2
A12,60,7408,A143,2
A14,18,6458,A141,2
A11,18,1553,A141,2
A11,48,6331,A143,2
A12,12,2762,A141,2
A12,9,5129,A141,2
A14,18,1530,A141,2
A12,12,888,A141,2
A11,12,2246,A143,2
A11,24,1024,A142,2
A12,48,9960,A143,2
A11,12,741,A143,2
A12,48,6416,A143,2
A11,24,3552,A141,2
A13,12,939,A143,2
A11,48,4308,A143,2
A11,48,7763,A141,2
A11,24,1285,A143,2
A11,24,1987,A143,2
A11,30,6350,A143,2
A11,24,3123,A143,2
A14,24,4591,A143,2
A11,27,5293,A142,2
A12,60,6288,A143,2
A11,18,2462,A143,2
A11,42,3965,A143,2
A13,15,1271,A143,2
A14,12,1386,A143,2
A11,30,11998,A143,2
A12,15,2631,A143,2
A11,48,4605,A143,2
A11,6,14896,A141,2
A12,9,1670,A143,2
A14,36,9572,A143,2
A12,8,1237,A143,2
A12,36,14318,A143,2
A11,36,1842,A143,2
A11,12,4843,A143,2
A12,27,2520,A143,2
A11,48,6999,A143,2
A11,36,2712,A141,2
A11,30,3108,A143,2
A11,12,1108,A143,2
A14,12,1123,A143,2
A13,18,2100,A142,2
A11,24,2359,A143,2
A11,48,3051,A143,2
A12,24,11560,A143,2
A12,18,884,A141,2
A12,18,1042,A143,2
A12,30,1919,A142,2
A14,18,4165,A142,2
A13,21,2319,A143,2
A12,24,4113,A143,2
A12,36,2384,A143,2
A14,48,11590,A141,2
A12,24,3092,A143,2
A12,24,2718,A143,2
A12,48,18424,A141,2
A11,9,1422,A143,2
A11,12,684,A143,2
A12,24,1355,A143,2
A14,18,6761,A143,2
A13,36,4210,A143,2
A11,12,2149,A143,2
A11,45,11816,A143,2
A12,36,2671,A143,2
A11,18,1190,A143,2
A12,12,685,A141,2
A12,6,433,A141,2
A11,21,3414,A143,2
A11,24,1333,A143,2
A14,12,719,A141,2
A11,24,2303,A143,2
A12,48,5951,A143,2
A12,15,802,A143,2
A11,24,4870,A143,2
A11,48,10297,A142,2
A12,27,8318,A143,2
A11,36,9271,A143,2
A11,36,8065,A143,2
A11,18,2600,A143,2
A11,42,4370,A141,2
A14,18,1943,A143,2
A12,39,4933,A143,2
A11,18,1131,A143,2
A12,24,1935,A143,2
A12,18,12976,A143,2
A12,24,1216,A141,2
A11,24,1358,A142,2
A11,48,7685,A143,2
A11,12,626,A141,2
A11,12,1274,A143,2
A11,36,6887,A142,2
A12,9,1501,A143,2
A12,18,1924,A143,2
A12,21,2767,A141,2
A12,30,5234,A143,2
A13,30,1908,A143,2
A12,6,14555,A143,2
A11,40,5998,A141,2
A12,15,1512,A142,2
A14,12,797,A141,2
A14,12,1555,A143,2
A12,24,12579,A143,2
A11,12,900,A143,2
A12,9,918,A143,2
A11,12,674,A143,2
A11,24,3349,A143,2
A14,36,7127,A143,2
A14,48,3914,A141,2
A11,36,2746,A141,2
A11,24,6872,A141,2
A11,60,7297,A143,2
A12,48,6560,A143,2
A14,36,7980,A143,2
A12,12,951,A141,2
A11,24,3345,A143,2
A11,12,795,A143,2
A12,36,1953,A143,2
A11,12,902,A143,2
A11,12,691,A143,2
A12,9,1437,A143,2
A11,18,1345,A141,2
A12,12,1295,A143,2
A11,48,6143,A142,2
