@relation german

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute CreditAmount numeric
@attribute Age numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NCredits numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
9,A32,2136,25,A143,1,A191,1
36,A34,2337,36,A143,1,A191,1
9,A32,2697,32,A143,1,A191,1
6,A34,1382,28,A143,2,A192,1
21,A32,2923,28,A141,1,A192,1
6,A33,683,29,A141,1,A191,1
12,A32,1881,44,A143,1,A192,1
24,A32,1901,29,A143,1,A192,1
12,A32,1330,26,A143,1,A191,1
24,A34,3148,31,A143,2,A192,1
24,A34,2957,63,A143,2,A192,1
15,A32,2511,23,A143,1,A191,1
30,A34,3017,47,A143,1,A191,1
9,A34,2406,31,A143,1,A191,1
24,A32,1201,26,A143,1,A191,1
36,A32,909,36,A143,1,A191,1
18,A34,5302,36,A143,3,A192,1
30,A34,5771,25,A143,2,A191,1
18,A32,2662,32,A143,1,A191,1
24,A32,2835,53,A143,1,A191,1
27,A34,4526,32,A142,2,A192,1
11,A34,1154,57,A143,3,A191,1
6,A32,1238,36,A143,1,A192,1
6,A34,666,39,A143,2,A192,1
15,A34,975,25,A143,2,A191,1
39,A32,8588,45,A143,1,A192,1
12,A32,1736,31,A143,1,A191,1
24,A34,1516,43,A143,2,A191,1
12,A34,701,32,A143,2,A191,1
12,A32,1474,33,A141,1,A192,1
15,A34,1360,31,A143,2,A191,1
12,A32,701,40,A143,1,A191,1
6,A34,1169,67,A143,2,A192,1
9,A32,3832,64,A143,1,A191,1
6,A32,1236,50,A143,1,A191,1
24,A34,4526,74,A143,1,A192,1
24,A32,2964,49,A141,1,A192,1
15,A34,2360,36,A143,1,A192,1
12,A32,1103,29,A143,2,A191,1
12,A32,1076,26,A143,1,A192,1
42,A34,4796,56,A143,1,A191,1
24,A33,3863,32,A143,1,A191,1
6,A32,484,28,A141,1,A191,1
14,A32,3973,22,A143,1,A191,1
36,A32,4686,32,A143,1,A192,1
21,A34,1602,30,A143,2,A192,1
18,A32,1113,26,A143,1,A191,1
12,A34,1804,44,A143,1,A191,1
36,A32,15857,43,A143,1,A191,1
12,A34,3617,28,A143,3,A192,1
30,A34,3656,49,A142,2,A191,1
24,A34,3868,41,A143,2,A192,1
10,A34,1038,49,A143,2,A192,1
20,A34,4272,24,A143,2,A191,1
18,A34,1049,21,A143,1,A191,1
33,A33,2764,26,A143,2,A192,1
24,A32,2892,51,A143,1,A191,1
18,A32,866,25,A143,1,A191,1
12,A34,1258,22,A143,2,A191,1
12,A34,1163,44,A143,1,A192,1
6,A34,1872,36,A143,3,A192,1
12,A32,804,38,A143,1,A191,1
18,A34,3229,38,A143,1,A192,1
6,A31,783,26,A142,1,A191,1
12,A32,2002,30,A143,1,A192,1
18,A32,2659,28,A143,1,A191,1
6,A32,1352,23,A143,1,A192,1
36,A32,2299,39,A143,1,A191,1
24,A32,1376,28,A143,1,A191,1
9,A34,2799,36,A143,2,A191,1
24,A34,2223,52,A141,2,A191,1
18,A30,3104,31,A141,1,A192,1
6,A32,1766,21,A143,1,A191,1
18,A32,1568,24,A143,1,A191,1
36,A33,9857,31,A143,2,A192,1
6,A32,2978,32,A143,1,A192,1
18,A32,3650,22,A143,1,A191,1
36,A34,2348,46,A143,2,A192,1
12,A34,3331,42,A142,1,A191,1
14,A32,1410,35,A143,1,A192,1
15,A32,1905,40,A143,1,A192,1
6,A30,1204,35,A141,1,A191,1
12,A32,3077,52,A143,1,A192,1
30,A32,1867,58,A143,1,A192,1
18,A32,3213,25,A143,1,A191,1
28,A34,2743,29,A143,2,A191,1
24,A34,1743,48,A143,2,A191,1
18,A32,4380,35,A143,1,A192,1
48,A34,7629,46,A141,2,A191,1
18,A34,3850,27,A143,2,A191,1
18,A34,1149,46,A143,2,A191,1
18,A32,6260,28,A143,1,A191,1
30,A32,1715,26,A143,1,A191,1
8,A34,3398,39,A143,2,A191,1
30,A34,2181,36,A143,2,A191,1
18,A34,1800,24,A143,2,A191,1
18,A34,1887,28,A141,2,A191,1
18,A32,1126,21,A143,1,A192,1
24,A34,2028,30,A143,2,A191,1
24,A32,2284,28,A143,1,A192,1
12,A32,3016,24,A143,1,A191,1
9,A34,1138,25,A143,2,A191,1
18,A32,1301,32,A143,1,A191,1
24,A34,2611,46,A143,2,A191,1
24,A32,3660,28,A143,1,A191,1
24,A32,6579,29,A143,1,A192,1
9,A32,1313,20,A143,1,A191,1
12,A32,1107,20,A143,1,A192,1
12,A32,1893,29,A143,1,A192,1
4,A34,1503,42,A143,2,A191,1
10,A32,1275,23,A143,1,A191,1
6,A33,1050,35,A142,2,A192,1
12,A32,886,21,A143,1,A191,1
12,A32,1963,31,A143,2,A192,1
12,A32,1262,25,A143,1,A191,1
7,A32,2329,45,A143,1,A191,1
9,A32,1388,26,A143,1,A191,1
24,A34,6314,27,A141,2,A192,1
24,A34,6615,75,A143,2,A192,1
24,A32,1552,32,A141,1,A191,1
18,A32,1936,23,A143,2,A191,1
42,A32,7882,45,A143,1,A191,1
12,A34,2171,38,A141,2,A191,1
15,A34,1316,47,A143,2,A191,1
24,A34,1927,33,A143,2,A192,1
24,A32,3758,23,A143,1,A191,1
21,A32,3599,26,A143,1,A191,1
18,A32,1239,61,A143,1,A191,1
12,A34,3124,49,A141,2,A191,1
24,A33,1965,42,A143,2,A192,1
24,A32,2896,29,A143,1,A191,1
18,A34,1582,46,A143,2,A191,1
12,A32,1037,39,A143,1,A191,1
18,A34,1028,36,A143,2,A191,1
12,A32,2577,42,A143,1,A191,1
48,A34,2751,38,A143,2,A192,1
18,A32,1820,30,A143,1,A192,1
6,A34,700,36,A143,2,A191,1
15,A32,3568,54,A141,1,A192,1
9,A32,2507,51,A143,1,A191,1
18,A32,3378,31,A143,1,A192,1
12,A32,2859,38,A143,1,A192,1
15,A32,1386,40,A143,1,A192,1
10,A32,2315,52,A143,1,A191,1
9,A32,1364,59,A143,1,A191,1
4,A32,601,23,A143,1,A191,1
18,A34,1055,30,A143,2,A191,1
12,A32,1493,34,A143,1,A191,1
12,A32,708,38,A143,1,A191,1
15,A32,1308,38,A143,2,A191,1
12,A34,1860,34,A143,2,A192,1
18,A33,2899,43,A143,1,A191,1
15,A34,3368,23,A143,2,A192,1
15,A32,874,24,A143,1,A191,1
6,A34,3676,37,A143,3,A191,1
24,A34,2578,34,A143,1,A191,1
48,A32,5381,40,A141,1,A192,1
12,A34,1995,27,A143,1,A191,1
15,A32,2687,26,A143,1,A192,1
24,A34,5103,47,A143,3,A192,1
24,A33,2978,32,A143,2,A192,1
42,A34,3394,65,A143,2,A191,1
9,A34,1244,41,A143,2,A191,1
48,A32,3979,41,A143,2,A192,1
6,A32,2108,29,A143,1,A191,1
12,A34,1935,43,A143,3,A192,1
6,A34,2080,24,A143,1,A191,1
12,A34,2748,57,A141,3,A191,1
24,A34,2346,35,A143,2,A192,1
24,A32,999,25,A143,2,A191,1
30,A34,2831,33,A143,1,A192,1
18,A34,3590,40,A143,3,A192,1
36,A33,8947,31,A142,1,A192,1
48,A31,12169,36,A143,1,A192,1
36,A32,5848,24,A143,1,A191,1
18,A30,3244,33,A141,2,A192,1
24,A34,1275,36,A143,2,A192,1
9,A32,1126,49,A143,1,A191,1
30,A34,10623,38,A143,3,A192,1
24,A34,5150,33,A143,1,A192,1
15,A33,1478,33,A141,2,A191,1
12,A32,1158,26,A143,1,A192,1
15,A34,1459,43,A143,1,A191,1
48,A33,7238,32,A141,2,A191,1
12,A34,2012,61,A143,1,A191,1
12,A32,754,38,A143,2,A191,1
12,A32,983,19,A143,1,A191,1
15,A32,1403,28,A143,1,A191,1
8,A32,1414,33,A143,1,A191,1
24,A32,3021,24,A143,1,A191,1
30,A34,7596,63,A143,2,A191,1
14,A33,802,27,A143,2,A191,1
12,A34,2366,36,A143,1,A192,1
48,A32,4788,26,A143,1,A191,1
15,A32,392,23,A143,1,A192,1
60,A33,7418,27,A143,1,A191,1
24,A32,9277,48,A143,1,A192,1
36,A32,3959,30,A143,1,A192,1
12,A34,3573,23,A143,1,A191,1
9,A32,2301,22,A143,1,A191,1
16,A34,1175,68,A143,3,A192,1
20,A32,6468,60,A143,1,A192,1
6,A32,343,27,A143,1,A191,1
12,A34,385,58,A143,4,A192,1
10,A34,1347,27,A143,2,A192,1
12,A34,1424,26,A143,1,A191,1
24,A32,1258,25,A143,1,A192,1
30,A32,2522,39,A143,1,A191,1
24,A31,1559,50,A141,1,A192,1
12,A32,1393,47,A141,3,A192,1
30,A32,3832,22,A143,1,A191,1
12,A34,926,38,A143,1,A191,1
12,A34,682,51,A143,2,A192,1
42,A30,6289,33,A143,2,A191,1
12,A34,1934,26,A143,2,A191,1
22,A32,2675,40,A143,1,A191,1
10,A34,2069,26,A143,2,A191,1
24,A32,1413,28,A143,1,A191,1
60,A32,10366,42,A143,1,A192,1
27,A33,5117,26,A143,2,A191,1
10,A34,2241,48,A143,2,A191,1
12,A34,1264,57,A143,1,A191,1
24,A33,4712,37,A141,2,A192,1
18,A34,2238,25,A143,2,A191,1
20,A34,3485,44,A143,2,A192,1
20,A30,6148,31,A141,2,A192,1
24,A34,2872,36,A143,1,A192,1
18,A34,2404,26,A143,2,A191,1
15,A34,2788,24,A141,2,A191,1
6,A34,1047,50,A143,1,A191,1
6,A32,2647,44,A143,1,A191,1
36,A32,6948,35,A143,1,A192,1
20,A32,2212,39,A143,1,A192,1
36,A32,4473,31,A143,1,A191,1
54,A30,9436,39,A143,1,A191,1
21,A33,2993,28,A142,2,A191,1
12,A31,3447,35,A143,1,A191,1
6,A34,609,37,A143,2,A191,1
15,A32,806,22,A143,1,A191,1
24,A34,5743,24,A143,2,A192,1
39,A34,14179,30,A143,2,A192,1
21,A34,3275,36,A143,1,A192,1
6,A34,1299,74,A143,3,A191,1
6,A32,518,29,A143,1,A191,1
24,A33,1553,23,A143,2,A192,1
24,A34,1382,26,A143,2,A192,1
24,A32,3105,25,A143,2,A191,1
24,A32,929,31,A142,1,A192,1
6,A34,932,39,A143,2,A191,1
9,A34,2134,48,A143,3,A192,1
24,A32,1925,26,A143,1,A191,1
36,A32,2273,32,A143,2,A191,1
8,A32,760,44,A143,1,A191,1
12,A32,1092,49,A143,2,A192,1
10,A32,1225,37,A143,1,A192,1
12,A32,2214,24,A143,1,A191,1
15,A32,3029,33,A143,1,A191,1
30,A34,6187,24,A143,2,A191,1
10,A32,1521,31,A143,1,A191,1
24,A33,2375,44,A143,2,A192,1
15,A32,1444,23,A143,1,A191,1
24,A33,2333,29,A141,1,A191,1
24,A32,6313,41,A143,1,A192,1
12,A32,1542,36,A143,1,A192,1
18,A34,629,32,A141,2,A192,1
12,A34,522,42,A143,2,A192,1
18,A32,1950,34,A142,2,A192,1
4,A34,1455,42,A143,3,A191,1
6,A34,4716,44,A143,2,A191,1
21,A32,3976,35,A143,1,A192,1
24,A32,2924,63,A141,1,A192,1
36,A32,2394,25,A143,1,A191,1
12,A32,1413,55,A143,1,A191,1
21,A34,571,65,A143,2,A191,1
39,A33,11760,32,A143,1,A192,1
24,A32,2384,64,A141,1,A191,1
6,A32,662,41,A143,1,A192,1
24,A32,3430,31,A143,1,A192,1
6,A34,362,52,A143,2,A191,1
12,A34,996,23,A143,2,A191,1
12,A34,3565,37,A143,2,A191,1
24,A32,7393,43,A143,1,A191,1
30,A30,4583,32,A143,2,A191,1
11,A34,3939,40,A143,2,A191,1
42,A31,9283,55,A141,1,A192,1
24,A34,1851,33,A143,2,A192,1
15,A33,960,30,A143,2,A191,1
24,A34,2424,53,A143,2,A191,1
12,A32,1200,23,A141,1,A192,1
24,A32,1603,55,A143,1,A191,1
6,A32,660,23,A143,1,A191,1
10,A32,1546,31,A143,1,A191,1
18,A34,3612,37,A143,1,A192,1
9,A34,1919,35,A143,1,A192,1
24,A33,6403,33,A143,1,A191,1
48,A33,12749,37,A143,1,A192,1
12,A32,1101,27,A143,2,A192,1
48,A31,3566,30,A143,1,A191,1
21,A32,2241,50,A143,2,A191,1
18,A34,6070,33,A143,2,A192,1
12,A32,625,26,A141,1,A191,1
60,A33,15653,21,A143,2,A192,1
24,A34,3878,37,A143,1,A192,1
24,A32,3512,38,A141,2,A192,1
4,A34,1544,42,A143,3,A191,1
18,A34,7374,40,A142,2,A192,1
6,A32,3518,26,A143,1,A191,1
10,A34,2146,23,A143,2,A191,1
27,A33,5965,30,A143,2,A192,1
24,A34,1597,54,A143,2,A191,1
12,A32,1567,22,A143,1,A192,1
15,A32,1053,27,A143,1,A191,1
11,A33,4771,51,A143,1,A191,1
12,A34,1185,27,A143,2,A191,1
12,A32,7472,24,A143,1,A191,1
12,A34,1409,54,A143,1,A191,1
24,A33,717,54,A143,2,A192,1
36,A32,2323,24,A143,1,A191,1
24,A34,2022,37,A143,1,A192,1
12,A33,1503,41,A143,1,A191,1
6,A30,426,39,A143,1,A191,1
12,A32,2133,52,A143,1,A192,1
15,A34,2326,27,A141,1,A191,1
11,A34,1393,35,A143,2,A191,1
9,A32,1206,25,A143,1,A191,1
12,A32,1168,27,A143,1,A191,1
12,A32,3651,31,A143,1,A191,1
6,A34,1343,46,A143,2,A191,1
12,A33,1344,43,A143,2,A191,1
48,A34,8858,35,A143,2,A192,1
24,A32,1249,28,A143,1,A191,1
12,A34,2121,30,A143,2,A191,1
12,A33,585,20,A143,2,A191,1
36,A32,3835,45,A143,1,A192,1
7,A34,730,46,A143,2,A192,1
36,A34,5800,34,A143,2,A192,1
6,A32,428,49,A141,1,A192,1
9,A34,3074,33,A143,2,A191,1
36,A32,5493,42,A143,1,A191,1
36,A34,3342,51,A143,1,A192,1
12,A34,1291,35,A143,2,A191,1
12,A32,3399,37,A143,1,A191,1
60,A32,6527,34,A143,1,A192,1
18,A32,3872,67,A143,1,A192,1
30,A34,5954,38,A143,1,A191,1
18,A34,1817,28,A143,2,A191,1
6,A31,1750,45,A141,1,A191,1
12,A32,1768,24,A143,1,A191,1
15,A32,3186,20,A143,1,A191,1
12,A32,1155,40,A141,2,A191,1
60,A32,10144,21,A143,1,A192,1
24,A32,2670,35,A143,1,A192,1
15,A34,2728,35,A141,3,A192,1
21,A33,1591,34,A143,2,A191,1
18,A32,3509,25,A143,1,A191,1
36,A30,2613,27,A143,2,A191,1
21,A34,2745,32,A143,2,A192,1
6,A33,1743,34,A143,2,A191,1
18,A32,1941,35,A143,1,A192,1
21,A34,3652,27,A143,2,A191,1
27,A32,5190,48,A143,4,A192,1
6,A32,1374,75,A143,1,A192,1
24,A32,1278,36,A143,1,A192,1
7,A32,2415,34,A143,1,A191,1
15,A31,1569,34,A141,1,A191,1
24,A34,4139,27,A143,2,A192,1
27,A34,2442,43,A142,4,A192,1
9,A32,2030,24,A143,1,A192,1
24,A34,2058,33,A143,2,A192,1
10,A32,2901,31,A143,1,A191,1
6,A32,1068,28,A143,1,A191,1
12,A32,2073,28,A143,1,A191,1
6,A34,338,52,A143,2,A191,1
12,A32,1289,21,A143,1,A191,1
18,A32,4439,33,A141,1,A192,1
9,A32,1082,27,A143,2,A191,1
24,A31,2483,22,A142,1,A192,1
10,A32,1597,40,A143,1,A191,1
6,A34,860,39,A143,2,A192,1
24,A32,3069,30,A143,1,A191,1
12,A32,841,23,A143,1,A191,1
24,A32,3235,26,A143,1,A192,1
36,A32,3249,39,A141,1,A192,1
48,A32,10222,37,A142,1,A192,1
6,A34,1898,34,A143,2,A191,1
18,A33,8471,23,A143,2,A192,1
6,A32,2116,41,A143,1,A192,1
15,A34,1433,25,A143,2,A191,1
18,A32,2779,21,A143,1,A192,1
24,A32,5433,26,A143,1,A192,1
12,A32,6078,32,A143,1,A191,1
18,A32,2051,33,A143,1,A191,1
6,A32,1346,42,A141,1,A192,1
36,A34,3535,37,A143,2,A192,1
21,A32,3357,29,A141,1,A191,1
10,A32,1287,45,A143,1,A191,1
18,A32,1473,39,A143,1,A192,1
6,A32,1538,56,A143,1,A191,1
18,A34,6361,41,A143,1,A192,1
36,A32,9055,35,A143,1,A192,1
9,A34,936,52,A143,2,A192,1
9,A32,2753,35,A143,1,A192,1
15,A32,3812,23,A143,1,A192,1
6,A33,932,24,A143,1,A191,1
12,A32,3059,61,A143,1,A191,1
24,A32,1469,41,A143,1,A191,1
15,A34,1478,44,A143,2,A192,1
48,A32,7476,50,A143,1,A192,1
60,A34,13756,63,A141,1,A192,1
12,A32,1680,35,A143,1,A191,1
36,A32,8133,30,A141,1,A191,1
12,A34,5801,49,A143,1,A192,1
12,A34,1402,37,A143,1,A192,1
12,A32,2171,29,A141,1,A191,1
36,A33,4454,34,A143,2,A191,1
48,A30,8358,30,A143,2,A191,1
15,A32,1262,36,A143,2,A192,1
36,A32,5742,31,A143,2,A192,1
36,A34,6614,34,A143,2,A192,1
24,A32,1525,34,A143,1,A192,1
6,A32,454,22,A143,1,A191,1
24,A34,2463,27,A143,2,A192,1
18,A33,2320,34,A143,2,A191,1
24,A32,4351,48,A143,1,A192,1
36,A34,6304,36,A143,2,A191,1
48,A34,3578,47,A143,1,A192,1
8,A34,1164,51,A141,2,A192,1
15,A34,1537,50,A143,2,A192,1
30,A34,3077,40,A143,2,A192,1
15,A32,4657,30,A143,1,A192,1
24,A31,2828,22,A142,1,A192,1
42,A34,5954,41,A141,2,A191,1
15,A32,1979,35,A143,1,A191,1
9,A34,1154,37,A143,3,A191,1
12,A30,2759,34,A143,2,A191,1
36,A33,7678,40,A143,2,A192,1
12,A32,3527,45,A143,1,A192,1
21,A32,2782,31,A141,1,A191,1
6,A32,709,27,A143,1,A191,1
24,A32,5152,25,A141,1,A191,1
48,A34,6110,31,A141,1,A192,1
18,A33,2427,42,A143,2,A191,1
12,A32,2445,26,A143,1,A192,1
12,A32,1262,49,A143,1,A192,1
12,A33,2247,36,A142,2,A192,1
15,A32,2708,27,A141,2,A191,1
15,A34,1532,31,A143,1,A191,1
24,A33,4151,35,A143,2,A191,1
15,A32,1213,47,A142,1,A192,1
47,A32,10722,35,A143,1,A192,1
18,A31,1940,36,A141,1,A192,1
22,A32,1283,25,A143,1,A191,1
24,A33,6967,36,A143,1,A192,1
12,A32,776,28,A143,1,A191,1
24,A31,3632,22,A141,1,A191,1
21,A32,1572,36,A141,1,A191,1
30,A32,2333,30,A141,1,A191,1
36,A33,7432,54,A143,1,A191,1
11,A34,7228,39,A143,2,A191,1
9,A32,3195,33,A143,1,A191,1
11,A34,3905,36,A143,2,A191,1
24,A31,2325,32,A141,1,A191,1
20,A33,2629,29,A141,2,A192,1
12,A34,1480,66,A141,3,A191,1
24,A34,3777,50,A143,1,A192,1
36,A34,11054,30,A143,1,A192,1
18,A32,1453,26,A143,1,A191,1
18,A33,6204,44,A143,1,A192,1
6,A32,1543,33,A143,1,A191,1
6,A34,1957,31,A143,1,A191,1
48,A32,8487,24,A143,1,A191,1
24,A32,1747,24,A143,1,A191,1
13,A34,882,23,A143,2,A191,1
9,A32,790,66,A143,1,A191,1
24,A34,2684,35,A143,2,A191,1
12,A32,707,30,A141,2,A191,1
24,A32,1393,31,A143,1,A192,1
12,A34,1495,38,A143,2,A191,1
24,A32,3972,25,A143,1,A192,1
24,A32,7814,38,A143,1,A192,1
24,A32,937,27,A143,2,A191,1
10,A32,7308,70,A141,1,A192,1
24,A32,1311,26,A143,1,A192,1
24,A34,1940,60,A143,1,A192,1
12,A32,3017,34,A143,1,A191,1
10,A32,3949,37,A143,1,A191,1
12,A34,717,52,A143,3,A191,1
10,A32,1924,38,A143,1,A192,1
12,A34,958,47,A143,2,A191,1
4,A34,3380,37,A143,1,A191,1
12,A34,1526,66,A143,2,A191,1
36,A33,2862,30,A143,1,A191,1
24,A34,7758,29,A143,1,A191,1
12,A34,1240,38,A143,2,A192,1
36,A32,3913,23,A143,1,A192,1
36,A32,3711,27,A143,1,A191,1
24,A32,1258,57,A143,1,A191,1
26,A32,7966,30,A143,2,A191,1
21,A33,2353,47,A143,2,A191,1
12,A32,3590,29,A143,1,A191,1
30,A34,4530,26,A143,1,A192,1
12,A34,1412,29,A143,2,A192,1
39,A32,2569,24,A143,1,A191,1
24,A32,2679,29,A143,1,A192,1
6,A32,753,64,A143,1,A191,1
12,A34,618,56,A143,1,A191,1
15,A32,5324,35,A143,1,A191,1
36,A32,3079,36,A143,1,A191,1
12,A32,1657,27,A143,1,A191,1
9,A32,3577,26,A143,1,A191,1
24,A34,2825,34,A143,2,A192,1
9,A34,1288,48,A143,2,A191,1
12,A32,640,49,A143,1,A191,1
18,A32,5866,30,A143,2,A192,1
24,A32,3062,32,A143,1,A192,1
6,A32,368,38,A143,1,A191,1
7,A32,2576,35,A143,1,A191,1
48,A30,12204,48,A141,1,A192,1
15,A32,1845,46,A143,1,A191,1
6,A32,1338,62,A143,1,A191,1
6,A34,1237,27,A143,2,A191,1
6,A32,1374,36,A141,1,A192,1
24,A32,1533,38,A142,1,A192,1
36,A34,5371,28,A143,2,A191,1
12,A32,763,26,A143,1,A192,1
12,A34,1255,61,A143,2,A191,1
30,A32,2991,25,A143,1,A191,1
13,A34,1797,28,A141,2,A191,1
36,A33,10875,45,A143,2,A192,1
18,A32,1913,36,A141,1,A192,1
36,A34,5711,38,A143,2,A192,1
18,A32,2249,30,A143,1,A192,1
24,A34,4736,25,A141,1,A191,2
18,A32,7511,51,A143,1,A192,2
24,A33,2064,34,A143,1,A192,2
12,A32,1295,25,A143,1,A191,2
12,A32,727,33,A143,1,A192,2
15,A30,1778,26,A143,2,A191,2
12,A32,2579,33,A143,1,A191,2
9,A34,1501,34,A143,2,A192,2
36,A30,3804,42,A143,1,A192,2
48,A32,3051,54,A143,1,A191,2
48,A30,7119,53,A143,2,A191,2
36,A32,9034,29,A143,1,A192,2
24,A32,3234,23,A143,1,A192,2
48,A31,6416,59,A143,1,A191,2
12,A32,1331,22,A142,1,A191,2
24,A32,4057,43,A143,1,A192,2
21,A32,1835,25,A143,2,A192,2
12,A32,888,41,A141,1,A191,2
36,A32,2384,33,A143,1,A191,2
48,A32,9960,26,A143,1,A192,2
24,A34,1935,31,A143,2,A192,2
36,A34,7855,25,A142,2,A192,2
6,A32,4611,32,A143,1,A191,2
18,A32,1216,23,A143,1,A192,2
18,A31,1442,32,A143,2,A191,2
36,A34,6229,23,A143,2,A192,2
24,A32,1371,25,A143,1,A191,2
30,A30,4280,26,A143,2,A191,2
18,A32,2039,20,A141,1,A191,2
6,A33,1209,47,A143,1,A192,2
48,A32,3060,28,A143,2,A191,2
6,A32,14896,68,A141,1,A192,2
24,A34,11938,39,A143,2,A192,2
12,A32,3386,35,A143,1,A192,2
15,A31,6850,34,A143,1,A192,2
30,A32,11998,34,A143,1,A192,2
12,A31,2149,29,A143,1,A191,2
24,A31,1546,24,A141,1,A191,2
18,A30,4165,36,A142,2,A191,2
9,A32,1422,27,A143,1,A192,2
33,A34,4281,23,A143,2,A191,2
18,A34,1056,30,A141,2,A191,2
18,A31,6458,39,A141,2,A192,2
24,A32,12579,44,A143,1,A192,2
12,A32,709,57,A142,1,A191,2
12,A34,797,33,A141,1,A191,2
36,A32,2712,41,A141,1,A191,2
30,A34,8386,49,A143,1,A191,2
16,A34,2625,43,A141,1,A192,2
48,A30,3844,34,A143,1,A191,2
48,A32,10961,27,A141,2,A192,2
15,A32,2631,28,A143,2,A192,2
9,A31,1437,29,A143,1,A191,2
24,A32,2996,20,A143,1,A191,2
24,A32,2303,45,A143,1,A191,2
24,A31,1358,40,A142,1,A192,2
12,A32,1228,24,A143,1,A191,2
48,A34,5096,30,A143,1,A192,2
24,A32,2039,22,A143,1,A192,2
42,A32,3965,34,A143,1,A191,2
