@relation german

@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute InstallmentRate numeric
@attribute NPeopleMain numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A32,A40,3,1,A191,1
A34,A43,1,1,A191,1
A32,A42,2,1,A191,1
A32,A42,4,1,A191,1
A32,A40,1,2,A191,1
A34,A43,1,1,A192,1
A32,A41,2,1,A191,1
A32,A40,4,2,A192,1
A32,A42,2,1,A192,1
A32,A42,2,1,A192,1
A34,A40,4,1,A191,1
A32,A43,4,1,A191,1
A34,A49,4,1,A191,1
A34,A41,2,1,A192,1
A32,A42,3,1,A192,1
A33,A40,4,1,A192,1
A32,A43,3,1,A191,1
A32,A41,2,1,A192,1
A32,A43,4,1,A191,1
A32,A42,1,1,A191,1
A33,A40,4,2,A191,1
A32,A41,2,1,A192,1
A32,A40,1,1,A192,1
A34,A43,2,1,A191,1
A31,A43,4,1,A191,1
A34,A43,4,1,A192,1
A34,A43,4,1,A192,1
A34,A41,1,1,A191,1
A32,A43,2,2,A192,1
A34,A42,4,1,A191,1
A33,A40,4,2,A191,1
A32,A42,4,1,A192,1
A32,A43,3,2,A192,1
A32,A43,2,2,A191,1
A32,A42,2,1,A191,1
A34,A42,4,1,A192,1
A34,A49,4,2,A191,1
A34,A40,2,1,A191,1
A33,A49,4,1,A192,1
A32,A49,2,1,A192,1
A32,A42,4,1,A191,1
A34,A40,3,1,A191,1
A32,A42,1,1,A192,1
A33,A46,1,1,A192,1
A33,A40,4,1,A192,1
A31,A43,4,2,A191,1
A32,A43,2,1,A192,1
A34,A43,4,1,A192,1
A32,A43,4,1,A191,1
A32,A48,4,1,A191,1
A33,A40,2,2,A192,1
A30,A45,4,1,A191,1
A32,A41,2,1,A191,1
A32,A42,4,1,A192,1
A32,A43,3,1,A192,1
A32,A49,1,1,A191,1
A32,A44,4,1,A192,1
A33,A43,2,1,A191,1
A33,A42,3,1,A191,1
A32,A43,2,1,A192,1
A32,A40,4,1,A192,1
A32,A45,2,1,A192,1
A34,A49,3,2,A192,1
A32,A42,4,1,A191,1
A32,A43,3,1,A191,1
A32,A43,2,1,A191,1
A32,A42,2,1,A192,1
A32,A42,2,1,A191,1
A34,A43,4,1,A191,1
A33,A40,1,1,A191,1
A32,A41,2,1,A192,1
A32,A43,4,2,A191,1
A32,A43,4,1,A192,1
A32,A43,4,1,A192,1
A34,A42,1,1,A192,1
A34,A43,3,2,A192,1
A34,A43,1,2,A191,1
A32,A40,4,1,A191,1
A34,A43,2,1,A191,1
A31,A43,3,1,A191,1
A34,A40,4,1,A192,1
A32,A40,1,2,A191,1
A32,A46,4,1,A192,1
A32,A42,2,2,A191,1
A34,A43,4,1,A191,1
A32,A42,4,1,A191,1
A32,A43,4,1,A191,1
A34,A46,4,1,A191,1
A32,A40,3,2,A191,1
A34,A41,4,1,A192,1
A32,A42,4,1,A191,1
A33,A41,3,1,A192,1
A32,A42,2,1,A191,1
A32,A41,4,1,A191,1
A34,A43,2,1,A191,1
A32,A43,3,1,A191,1
A34,A43,4,1,A191,1
A34,A42,3,1,A192,1
A34,A42,3,1,A191,1
A34,A43,4,1,A191,1
A32,A46,4,1,A192,1
A32,A43,3,1,A192,1
A34,A43,1,1,A192,1
A32,A46,3,2,A191,1
A32,A41,1,1,A192,1
A34,A40,1,2,A192,1
A34,A41,1,1,A191,1
A32,A43,3,1,A191,1
A32,A42,3,1,A191,1
A32,A41,3,1,A192,1
A34,A41,2,1,A192,1
A32,A43,4,1,A191,1
A32,A43,4,1,A191,1
A34,A41,4,2,A192,1
A34,A40,4,1,A192,1
A32,A42,1,1,A191,1
A32,A41,4,1,A192,1
A30,A40,1,1,A191,1
A34,A40,4,1,A192,1
A32,A41,4,1,A192,1
A34,A43,4,1,A191,1
A33,A49,1,1,A191,1
A32,A43,4,1,A191,1
A33,A42,4,1,A192,1
A32,A43,4,1,A191,1
A32,A49,3,1,A191,1
A30,A49,3,1,A192,1
A34,A41,4,1,A191,1
A32,A41,2,1,A192,1
A32,A40,3,1,A191,1
A33,A40,4,1,A192,1
A34,A40,1,1,A191,1
A34,A43,2,2,A191,1
A32,A43,3,1,A191,1
A34,A42,2,1,A192,1
A34,A46,2,2,A191,1
A32,A43,3,1,A191,1
A32,A43,2,1,A192,1
A32,A43,2,1,A192,1
A32,A41,4,1,A192,1
A34,A40,4,1,A192,1
A34,A42,2,1,A191,1
A32,A40,4,1,A192,1
A34,A46,4,1,A191,1
A32,A40,2,1,A192,1
A31,A41,1,1,A192,1
A34,A42,2,1,A191,1
A31,A42,4,1,A192,1
A34,A43,4,1,A191,1
A32,A410,2,1,A191,1
A33,A43,2,1,A192,1
A32,A40,2,1,A191,1
A32,A43,4,1,A192,1
A34,A40,2,2,A191,1
A32,A42,4,1,A191,1
A32,A49,3,1,A192,1
A33,A43,1,1,A191,1
A32,A40,3,2,A192,1
A32,A42,1,1,A191,1
A32,A42,4,1,A192,1
A34,A42,2,1,A192,1
A32,A41,4,2,A191,1
A32,A42,1,2,A191,1
A34,A43,1,1,A191,1
A32,A40,2,1,A191,1
A30,A42,1,1,A192,1
A34,A45,3,1,A191,1
A34,A40,4,1,A191,1
A31,A42,4,1,A192,1
A32,A42,4,1,A192,1
A32,A46,1,1,A191,1
A33,A41,1,1,A192,1
A32,A43,4,2,A192,1
A34,A40,1,1,A191,1
A34,A41,2,1,A192,1
A32,A40,4,1,A191,1
A32,A40,2,1,A191,1
A34,A43,4,1,A192,1
A34,A41,4,1,A192,1
A31,A40,1,2,A191,1
A34,A40,1,2,A191,1
A32,A43,4,1,A191,1
A32,A43,4,1,A191,1
A32,A43,4,1,A192,1
A32,A43,4,1,A191,1
A33,A410,2,1,A192,1
A34,A410,3,2,A192,1
A32,A43,2,1,A191,1
A32,A40,1,1,A191,1
A32,A42,3,1,A191,1
A32,A41,1,1,A192,1
A32,A41,2,1,A192,1
A32,A46,4,1,A192,1
A33,A49,1,1,A191,1
A32,A44,1,1,A192,1
A32,A43,1,2,A191,1
A32,A42,4,2,A192,1
A33,A46,2,1,A192,1
A34,A41,2,2,A192,1
A32,A40,4,1,A192,1
A32,A43,2,1,A191,1
A32,A43,2,2,A192,1
A32,A42,1,1,A192,1
A33,A49,1,2,A191,1
A34,A43,4,1,A191,1
A34,A43,3,1,A192,1
A32,A42,4,1,A192,1
A32,A41,1,2,A191,1
A34,A43,3,2,A192,1
A32,A43,4,1,A191,1
A32,A42,2,1,A191,1
A34,A43,4,1,A192,1
A34,A42,4,1,A191,1
A34,A43,4,1,A192,1
A33,A49,4,2,A192,1
A34,A40,4,1,A191,1
A32,A43,2,1,A191,1
A32,A40,4,1,A192,1
A32,A41,4,1,A192,1
A34,A40,3,1,A192,1
A32,A42,2,1,A192,1
A32,A40,4,1,A191,1
A32,A49,2,1,A192,1
A33,A43,1,1,A191,1
A32,A41,1,1,A191,1
A32,A42,2,1,A191,1
A34,A41,2,2,A192,1
A34,A45,4,1,A192,1
A34,A49,3,1,A192,1
A31,A41,1,1,A191,1
A32,A49,2,1,A191,1
A34,A49,2,1,A191,1
A32,A49,1,1,A192,1
A34,A40,4,1,A192,1
A34,A43,2,1,A191,1
A32,A43,2,1,A191,1
A32,A42,1,1,A192,1
A34,A42,3,1,A192,1
A34,A42,1,1,A191,1
A34,A49,4,1,A192,1
A32,A40,4,1,A192,1
A34,A41,2,1,A191,1
A31,A40,2,1,A191,1
A34,A42,3,1,A192,1
A32,A43,4,1,A192,1
A33,A49,4,1,A191,1
A32,A49,3,1,A192,1
A32,A40,2,2,A192,1
A34,A42,2,1,A191,1
A34,A42,4,1,A192,1
A34,A49,4,2,A192,1
A33,A410,2,1,A192,1
A32,A40,1,1,A191,1
A32,A41,2,1,A192,1
A32,A40,1,1,A192,1
A32,A40,2,1,A191,1
A34,A43,4,1,A192,1
A34,A42,4,1,A192,1
A32,A43,4,1,A191,1
A33,A43,3,1,A191,1
A32,A41,2,2,A191,1
A34,A46,2,1,A191,1
A34,A43,2,1,A192,1
A34,A43,4,1,A191,1
A32,A40,4,1,A191,1
A32,A43,3,1,A191,1
A33,A40,2,1,A191,1
A32,A40,1,1,A191,1
A32,A49,2,1,A191,1
A34,A40,4,1,A191,1
A34,A40,1,1,A191,1
A34,A42,1,1,A191,1
A33,A40,4,1,A191,1
A34,A43,4,1,A191,1
A32,A49,4,2,A192,1
A34,A49,3,1,A192,1
A34,A43,4,1,A192,1
A34,A49,2,1,A191,1
A34,A42,4,1,A191,1
A32,A41,4,1,A192,1
A34,A43,4,1,A191,1
A32,A43,2,1,A192,1
A32,A42,4,1,A191,1
A34,A43,4,1,A191,1
A32,A40,4,1,A192,1
A33,A41,1,1,A191,1
A32,A42,3,1,A191,1
A34,A40,1,1,A192,1
A33,A49,2,1,A192,1
A32,A43,4,1,A191,1
A32,A49,4,1,A191,1
A34,A40,4,1,A192,1
A34,A42,3,1,A192,1
A34,A40,4,1,A192,1
A34,A41,4,1,A191,1
A33,A43,2,1,A191,1
A32,A41,4,2,A191,1
A32,A43,3,1,A191,1
A32,A46,1,1,A191,1
A32,A43,4,1,A192,1
A32,A42,4,1,A191,1
A32,A40,4,1,A191,1
A30,A49,2,1,A191,1
A32,A43,4,1,A192,1
A32,A43,4,1,A191,1
A30,A49,2,1,A191,1
A32,A40,3,1,A192,1
A31,A43,2,2,A191,1
A34,A42,2,1,A191,1
A32,A40,3,2,A191,1
A32,A43,4,1,A192,1
A34,A42,4,1,A191,1
A31,A48,4,1,A191,1
A32,A45,3,1,A191,1
A34,A40,4,1,A191,1
A32,A43,4,1,A191,1
A32,A40,4,2,A192,1
A34,A40,2,2,A191,1
A31,A40,4,1,A192,1
A34,A49,2,1,A191,1
A32,A49,2,1,A192,1
A34,A410,4,1,A192,1
A34,A43,4,1,A192,1
A32,A40,2,1,A192,1
A31,A43,3,1,A192,1
A34,A43,2,1,A191,1
A33,A49,4,2,A192,1
A33,A42,4,1,A191,1
A33,A41,3,2,A192,1
A34,A42,3,1,A192,1
A32,A40,2,1,A192,1
A32,A41,2,1,A192,1
A32,A42,1,1,A192,1
A34,A40,3,1,A192,1
A34,A45,4,1,A191,1
A32,A43,4,1,A191,1
A32,A40,3,1,A191,1
A32,A41,1,1,A191,1
A34,A41,4,1,A192,1
A34,A46,4,2,A191,1
A34,A43,4,1,A192,1
A34,A49,3,1,A191,1
A32,A40,4,2,A192,1
A32,A43,4,1,A191,1
A34,A43,1,1,A192,1
A32,A42,4,1,A191,1
A32,A40,4,1,A191,1
A32,A40,4,1,A191,1
A32,A43,2,1,A192,1
A34,A40,2,2,A191,1
A32,A40,4,1,A191,1
A32,A42,2,2,A191,1
A32,A43,4,1,A192,1
A34,A45,4,1,A191,1
A34,A41,4,1,A192,1
A32,A43,3,2,A191,1
A34,A46,4,1,A191,1
A32,A43,4,1,A191,1
A32,A49,3,1,A191,1
A32,A41,3,2,A192,1
A32,A49,4,1,A191,1
A34,A46,3,1,A192,1
A34,A49,4,1,A191,1
A32,A46,4,1,A192,1
A34,A43,3,1,A192,1
A32,A42,1,1,A191,1
A32,A40,1,2,A191,1
A34,A42,2,1,A191,1
A34,A41,3,1,A192,1
A34,A43,1,2,A191,1
A32,A43,3,1,A191,1
A32,A40,1,2,A191,1
A32,A41,2,1,A191,1
A32,A46,2,2,A192,1
A32,A43,4,1,A191,1
A32,A43,2,1,A191,1
A34,A41,2,1,A192,1
A34,A46,4,1,A192,1
A32,A46,4,1,A192,1
A32,A45,4,1,A191,1
A32,A40,2,1,A191,1
A32,A42,4,1,A192,1
A34,A43,4,1,A191,1
A32,A42,2,1,A191,1
A32,A410,4,1,A192,1
A32,A42,1,1,A191,1
A32,A41,3,1,A191,1
A32,A43,1,1,A191,1
A34,A40,2,2,A191,1
A32,A41,4,1,A192,1
A34,A43,4,1,A191,1
A32,A41,4,1,A192,1
A34,A40,4,1,A191,1
A34,A49,3,1,A191,1
A33,A42,1,1,A191,1
A33,A43,4,1,A191,1
A32,A46,2,1,A191,1
A32,A43,3,1,A191,1
A34,A49,2,1,A192,1
A34,A40,1,1,A191,1
A32,A43,4,1,A191,1
A34,A40,4,1,A191,1
A32,A40,2,1,A191,1
A30,A40,4,1,A191,1
A32,A43,4,1,A191,1
A32,A43,1,2,A191,1
A34,A43,4,1,A191,1
A32,A40,2,1,A191,1
A34,A40,1,2,A191,1
A32,A40,2,2,A192,1
A34,A42,4,1,A192,1
A32,A43,4,1,A192,1
A32,A41,3,1,A192,1
A32,A40,2,1,A192,1
A32,A42,4,1,A191,1
A34,A42,4,1,A192,1
A32,A42,2,1,A191,1
A32,A43,3,1,A192,1
A34,A46,4,1,A191,1
A33,A43,3,1,A191,1
A34,A42,2,1,A191,1
A32,A45,4,1,A191,1
A34,A42,4,1,A192,1
A32,A40,4,1,A192,1
A34,A43,4,1,A191,1
A32,A40,2,1,A192,1
A32,A41,4,2,A192,1
A34,A42,2,1,A191,1
A32,A43,4,1,A192,1
A32,A43,2,1,A192,1
A33,A42,4,1,A191,1
A32,A42,2,1,A192,1
A34,A40,4,1,A191,1
A32,A42,3,1,A192,1
A34,A46,1,1,A192,1
A32,A42,4,1,A191,1
A30,A49,2,1,A191,1
A30,A42,2,1,A191,1
A33,A43,2,1,A191,1
A32,A43,4,2,A192,1
A30,A41,3,1,A192,1
A32,A43,4,2,A191,1
A32,A46,4,2,A192,1
A34,A40,2,1,A192,1
A32,A43,4,1,A192,1
A32,A43,2,1,A191,1
A32,A40,4,1,A191,1
A32,A43,4,1,A192,1
A34,A40,2,1,A192,1
A32,A41,4,1,A191,1
A34,A42,1,1,A191,1
A34,A42,4,1,A192,1
A32,A42,2,2,A191,1
A34,A43,4,1,A192,1
A32,A43,1,1,A191,1
A32,A43,4,1,A191,1
A32,A42,4,1,A191,1
A33,A45,2,2,A192,1
A34,A41,2,1,A191,2
A32,A43,4,1,A191,2
A32,A43,2,1,A191,2
A34,A43,3,1,A192,2
A32,A40,4,1,A192,2
A30,A42,4,1,A191,2
A33,A40,4,1,A192,2
A32,A40,1,1,A192,2
A31,A410,3,1,A192,2
A32,A42,4,1,A191,2
A30,A42,3,2,A191,2
A32,A41,3,1,A192,2
A32,A40,3,1,A192,2
A32,A43,2,1,A192,2
A34,A40,1,1,A192,2
A33,A42,4,1,A191,2
A32,A42,4,1,A192,2
A32,A43,4,1,A191,2
A34,A40,4,2,A191,2
A33,A46,4,1,A191,2
A34,A46,3,1,A192,2
A30,A41,3,2,A191,2
A32,A45,4,1,A191,2
A32,A42,4,1,A192,2
A32,A43,3,1,A191,2
A34,A40,4,1,A191,2
A32,A40,4,1,A191,2
A34,A46,4,1,A191,2
A32,A42,4,1,A192,2
A32,A43,2,1,A191,2
A32,A40,4,1,A191,2
A30,A40,4,2,A191,2
A32,A42,4,1,A191,2
A34,A42,2,1,A191,2
A31,A40,4,2,A191,2
A32,A46,3,1,A192,2
A30,A49,2,1,A192,2
A32,A40,4,1,A191,2
A32,A43,4,1,A191,2
A30,A49,2,1,A192,2
A33,A40,4,1,A192,2
A33,A40,3,2,A191,2
A32,A43,4,2,A191,2
A33,A40,4,2,A191,2
A34,A42,1,1,A192,2
A34,A43,2,1,A191,2
A32,A42,2,2,A191,2
A32,A42,2,1,A191,2
A34,A42,4,1,A192,2
A31,A40,2,1,A191,2
A32,A42,2,1,A191,2
A33,A45,3,1,A191,2
A32,A42,4,1,A191,2
A31,A40,2,2,A192,2
A32,A43,4,1,A192,2
A32,A40,3,1,A191,2
A34,A40,2,1,A191,2
A31,A49,4,1,A191,2
A33,A49,1,1,A191,2
A32,A43,3,1,A192,2
A31,A40,2,1,A191,2
A32,A43,4,1,A191,2
A34,A40,3,1,A191,2
A30,A43,4,1,A192,2
A32,A41,1,1,A192,2
A32,A42,3,1,A192,2
A32,A42,2,1,A191,2
A34,A43,4,1,A191,2
A32,A43,2,1,A191,2
A32,A42,1,1,A191,2
A30,A49,3,1,A192,2
A34,A410,2,2,A192,2
A32,A43,4,1,A191,2
A31,A49,4,1,A191,2
A34,A40,2,1,A192,2
A32,A42,4,1,A191,2
A32,A42,4,1,A192,2
A32,A49,4,1,A191,2
A32,A43,2,2,A191,2
A30,A49,4,2,A191,2
A32,A43,4,1,A192,2
A32,A40,4,2,A191,2
A32,A46,4,1,A191,2
A34,A42,2,1,A192,2
A32,A40,1,1,A191,2
A32,A49,4,1,A191,2
A32,A43,4,2,A191,2
A32,A40,1,1,A191,2
A34,A40,3,1,A191,2
A32,A46,4,2,A191,2
A33,A49,2,1,A192,2
A34,A41,4,1,A192,2
A32,A42,1,1,A191,2
A32,A42,4,1,A191,2
A32,A40,4,1,A191,2
A34,A42,2,1,A191,2
A31,A41,4,1,A192,2
A34,A46,2,1,A191,2
A32,A40,4,1,A191,2
A32,A40,2,1,A191,2
A34,A40,4,1,A192,2
A34,A46,2,1,A192,2
A33,A49,2,1,A192,2
A32,A43,4,1,A191,2
A32,A43,3,1,A191,2
A32,A40,4,1,A191,2
A32,A40,3,1,A191,2
A32,A43,4,1,A191,2
A31,A40,1,2,A192,2
A32,A44,4,1,A191,2
A33,A43,4,1,A191,2
A34,A40,4,1,A191,2
A32,A40,1,2,A191,2
A31,A42,2,1,A192,2
A32,A40,4,2,A191,2
A32,A46,4,1,A192,2
A31,A43,4,1,A191,2
A31,A41,2,2,A192,2
A32,A42,4,1,A191,2
A31,A40,4,1,A192,2
A32,A43,3,1,A192,2
A30,A43,4,1,A192,2
A30,A45,4,1,A191,2
A32,A40,4,1,A191,2
A32,A43,2,1,A191,2
A32,A42,1,1,A192,2
A32,A40,3,1,A192,2
A34,A40,4,2,A192,2
A32,A40,4,1,A191,2
A30,A49,4,1,A191,2
A31,A46,4,1,A191,2
A34,A49,4,1,A192,2
A32,A40,2,1,A191,2
A32,A40,1,1,A192,2
A32,A42,2,1,A191,2
A32,A48,4,1,A191,2
A33,A46,4,1,A192,2
A34,A46,4,1,A192,2
A32,A40,4,1,A191,2
A32,A42,4,2,A191,2
A30,A40,2,1,A191,2
A33,A45,4,2,A191,2
A33,A43,4,1,A191,2
A32,A43,4,1,A191,2
A34,A42,4,1,A191,2
A32,A40,4,1,A191,2
A34,A41,4,1,A192,2
A32,A42,4,1,A191,2
A32,A43,3,1,A192,2
A32,A42,2,1,A191,2
A34,A40,4,1,A191,2
A32,A40,4,1,A192,2
A32,A42,2,1,A191,2
A34,A40,2,1,A191,2
A34,A40,3,1,A192,2
A32,A43,4,1,A191,2
A34,A45,2,2,A191,2
A30,A42,3,2,A191,2
A34,A40,4,1,A191,2
A32,A43,2,1,A191,2
A32,A45,1,1,A192,2
A32,A49,3,1,A191,2
A34,A40,4,1,A191,2
A31,A40,1,1,A191,2
A31,A49,4,1,A192,2
A32,A40,2,1,A191,2
A32,A40,2,1,A192,2
A32,A42,4,2,A191,2
A32,A43,4,1,A192,2
A31,A42,4,2,A192,2
A32,A46,4,1,A192,2
A32,A40,4,1,A191,2
A32,A42,2,1,A191,2
A30,A42,1,1,A191,2
A31,A42,3,1,A191,2
A32,A41,3,1,A191,2
A34,A40,4,1,A192,2
A32,A42,4,1,A191,2
A32,A40,3,1,A191,2
A32,A40,4,1,A191,2
A31,A40,1,1,A191,2
A30,A43,4,1,A192,2
A32,A46,4,1,A191,2
A32,A40,4,1,A191,2
A32,A42,1,1,A191,2
A32,A43,4,1,A191,2
A32,A43,3,1,A191,2
A32,A43,3,1,A192,2
A32,A40,3,1,A191,2
A32,A43,4,1,A191,2
A32,A42,1,1,A191,2
A32,A41,4,1,A192,2
A32,A43,4,1,A192,2
A32,A40,2,1,A192,2
A32,A43,4,1,A192,2
A33,A40,4,2,A191,2
A30,A40,1,1,A192,2
A32,A42,2,1,A191,2
A32,A49,4,2,A192,2
A32,A43,1,1,A192,2
A32,A41,1,2,A192,2
A32,A40,4,1,A192,2
A31,A40,4,2,A191,2
A32,A43,1,1,A192,2
A33,A49,2,1,A192,2
A30,A49,2,1,A192,2
A34,A40,3,1,A191,2
A33,A49,3,1,A192,2
A34,A43,4,1,A191,2
A33,A46,2,1,A191,2
A32,A40,4,2,A191,2
A30,A49,1,1,A192,2
A33,A49,4,2,A191,2
A32,A49,3,1,A192,2
A32,A42,4,1,A191,2
A32,A43,4,1,A191,2
A32,A46,4,1,A191,2
A34,A42,1,1,A191,2
A32,A43,4,1,A191,2
A32,A41,3,1,A191,2
A32,A42,3,1,A191,2
A32,A40,4,1,A191,2
A32,A40,1,1,A192,2
A31,A43,4,1,A191,2
A34,A41,4,1,A191,2
A31,A42,4,1,A191,2
A32,A41,4,2,A192,2
A32,A40,3,1,A192,2
A32,A42,2,2,A191,2
A32,A49,2,1,A192,2
A32,A40,4,1,A191,2
A30,A40,4,1,A191,2
A30,A49,2,2,A191,2
A32,A40,2,1,A192,2
A32,A43,4,1,A191,2
A30,A40,3,1,A191,2
A32,A44,3,1,A191,2
A32,A45,4,1,A191,2
A30,A410,1,1,A192,2
A33,A43,4,1,A192,2
A31,A46,4,1,A191,2
A33,A43,3,2,A192,2
A32,A40,3,1,A191,2
A34,A49,4,1,A192,2
A34,A42,3,1,A191,2
A32,A40,4,1,A191,2
A33,A49,4,1,A192,2
A31,A49,2,1,A191,2
A33,A49,4,1,A192,2
A34,A40,4,1,A191,2
A30,A49,4,1,A192,2
A33,A49,4,1,A192,2
A32,A40,3,1,A192,2
A30,A49,2,1,A191,2
A32,A43,1,1,A192,2
A32,A40,4,1,A191,2
A32,A41,1,1,A191,2
A33,A42,4,1,A192,2
A32,A46,1,2,A192,2
A32,A40,4,1,A192,2
A32,A49,2,2,A191,2
A32,A41,2,2,A191,2
A32,A49,4,1,A191,2
A32,A41,3,1,A192,2
A33,A40,2,1,A192,2
A32,A49,2,1,A192,2
A32,A43,4,1,A191,2
A32,A40,4,2,A191,2
A31,A46,4,2,A191,2
A32,A40,1,1,A192,2
