@relation german

@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute Age numeric
@attribute Customer {1,2}

@data
A41,36,1
A40,39,1
A49,32,1
A40,28,1
A41,26,1
A40,29,1
A49,34,1
A41,66,1
A46,50,1
A43,27,1
A41,40,1
A40,32,1
A41,30,1
A42,32,1
A41,35,1
A40,22,1
A42,25,1
A42,35,1
A40,23,1
A43,29,1
A43,31,1
A49,29,1
A42,36,1
A49,26,1
A40,30,1
A41,43,1
A40,29,1
A43,35,1
A40,45,1
A40,30,1
A43,43,1
A43,65,1
A41,48,1
A42,33,1
A43,41,1
A43,56,1
A43,35,1
A41,35,1
A43,26,1
A43,25,1
A43,21,1
A43,36,1
A42,33,1
A40,61,1
A42,20,1
A45,23,1
A42,32,1
A49,27,1
A41,32,1
A43,27,1
A48,35,1
A45,65,1
A43,42,1
A42,22,1
A40,37,1
A41,27,1
A40,36,1
A46,40,1
A43,32,1
A43,28,1
A43,46,1
A42,24,1
A40,47,1
A43,38,1
A41,38,1
A43,33,1
A43,42,1
A45,22,1
A42,34,1
A40,45,1
A49,33,1
A42,26,1
A43,38,1
A42,41,1
A40,34,1
A41,63,1
A41,63,1
A41,24,1
A40,45,1
A40,49,1
A46,54,1
A42,30,1
A43,58,1
A43,33,1
A40,24,1
A43,36,1
A43,47,1
A48,31,1
A40,27,1
A49,28,1
A43,27,1
A40,27,1
A49,35,1
A41,23,1
A43,50,1
A49,34,1
A41,42,1
A410,43,1
A41,27,1
A42,22,1
A45,48,1
A49,27,1
A41,56,1
A41,55,1
A42,49,1
A410,27,1
A43,28,1
A42,40,1
A40,30,1
A40,66,1
A41,29,1
A49,74,1
A40,31,1
A410,58,1
A41,42,1
A41,44,1
A40,35,1
A49,50,1
A43,26,1
A42,30,1
A41,24,1
A49,28,1
A43,24,1
A43,34,1
A40,36,1
A43,28,1
A40,25,1
A43,37,1
A40,32,1
A43,23,1
A40,36,1
A40,30,1
A42,31,1
A42,37,1
A49,36,1
A43,49,1
A43,64,1
A48,27,1
A42,21,1
A42,23,1
A43,23,1
A40,44,1
A46,50,1
A43,36,1
A40,40,1
A40,35,1
A43,55,1
A41,29,1
A49,27,1
A43,57,1
A43,25,1
A40,42,1
A43,28,1
A40,41,1
A43,29,1
A49,26,1
A40,52,1
A42,35,1
A49,25,1
A40,26,1
A43,44,1
A40,28,1
A42,21,1
A43,49,1
A43,46,1
A43,26,1
A49,21,1
A40,43,1
A40,49,1
A42,44,1
A40,45,1
A42,20,1
A40,54,1
A40,34,1
A41,31,1
A42,42,1
A49,39,1
A42,35,1
A43,64,1
A49,26,1
A42,19,1
A42,26,1
A49,32,1
A43,26,1
A42,27,1
A43,28,1
A42,26,1
A43,37,1
A40,48,1
A43,45,1
A40,39,1
A46,32,1
A41,35,1
A40,54,1
A43,29,1
A40,36,1
A43,67,1
A40,36,1
A43,25,1
A41,60,1
A44,27,1
A43,25,1
A48,40,1
A41,38,1
A44,29,1
A40,34,1
A41,23,1
A41,27,1
A43,23,1
A40,47,1
A43,38,1
A410,51,1
A42,28,1
A40,42,1
A43,25,1
A43,37,1
A40,54,1
A42,48,1
A43,28,1
A43,27,1
A49,27,1
A43,54,1
A42,45,1
A43,29,1
A43,52,1
A46,57,1
A42,50,1
A40,51,1
A43,33,1
A42,28,1
A43,27,1
A42,25,1
A48,45,1
A40,39,1
A41,41,1
A40,64,1
A49,36,1
A44,62,1
A40,27,1
A40,24,1
A49,34,1
A41,35,1
A41,30,1
A43,29,1
A43,42,1
A410,29,1
A45,48,1
A46,52,1
A42,33,1
A43,40,1
A43,23,1
A43,21,1
A43,39,1
A42,43,1
A40,31,1
A40,57,2
A41,51,2
A40,23,2
A41,38,2
A45,30,2
A42,26,2
A42,19,2
A42,29,2
A42,31,2
A41,23,2
A410,39,2
A49,29,2
A49,31,2
A43,22,2
A49,27,2
A49,30,2
A49,23,2
A41,47,2
A40,44,2
A42,23,2
A42,20,2
A46,24,2
A43,28,2
A40,27,2
A46,27,2
A41,74,2
A43,42,2
A40,23,2
A40,32,2
A40,24,2
A40,46,2
A49,61,2
A40,35,2
A49,61,2
A49,25,2
A43,66,2
A42,32,2
A40,30,2
A42,55,2
A43,22,2
A40,34,2
A40,27,2
A40,28,2
A49,36,2
A43,34,2
A49,42,2
A46,23,2
A42,25,2
A40,36,2
A40,33,2
A40,32,2
A42,31,2
A49,58,2
A46,53,2
A43,33,2
A45,28,2
A46,26,2
A40,32,2
A42,20,2
A42,24,2
A43,57,2
A44,22,2
A43,48,2
A42,53,2
A43,33,2
A43,22,2
A42,42,2
A42,25,2
A49,59,2
A40,37,2
A43,39,2
A40,43,2
A42,30,2
A40,25,2
A42,44,2
A40,40,2
A42,44,2
A46,37,2
A42,43,2
A43,25,2
A40,45,2
A42,23,2
A40,28,2
A46,40,2
A43,21,2
A49,24,2
A41,28,2
A41,24,2
A40,47,2
A42,49,2
A43,31,2
A43,23,2
A49,24,2
A43,29,2
A40,24,2
A40,25,2
A49,26,2
A43,24,2
A43,35,2
A43,34,2
A43,37,2
A42,22,2
A40,32,2
A43,29,2
A48,21,2
A46,50,2
A42,25,2
A41,39,2
A40,27,2
A49,27,2
A40,28,2
A42,31,2
A43,24,2
A40,26,2
A45,55,2
A40,38,2
A41,53,2
A45,33,2
A42,60,2
A43,25,2
A40,35,2
A42,26,2
A42,37,2
A43,30,2
A43,52,2
A43,32,2
A40,41,2
A43,24,2
A43,28,2
A40,48,2
A40,45,2
A40,26,2
A42,27,2
A40,45,2
A43,22,2
A40,24,2
A43,20,2
A40,25,2
A44,24,2
A40,46,2
A49,31,2
A40,29,2
A40,29,2
A41,24,2
A410,40,2
A43,22,2
A40,60,2
A49,26,2
A40,43,2
A40,48,2
A46,32,2
A46,35,2
A42,34,2
A40,31,2
A46,42,2
A42,25,2
A40,47,2
A43,31,2
A43,30,2
A40,28,2
A40,42,2
A40,24,2
A40,21,2
A40,42,2
A43,22,2
A40,28,2
A49,63,2
A40,43,2
A42,27,2
A42,27,2
A43,26,2
A42,20,2
A46,29,2
A43,44,2
A42,31,2
A40,33,2
A46,40,2
A42,34,2
A43,26,2
A410,60,2
A43,31,2
A40,23,2
A45,23,2
A43,24,2
A40,29,2
A43,26,2
A46,47,2
A40,57,2
A43,25,2
A43,23,2
A44,54,2
A46,40,2
A42,29,2
A49,42,2
A43,28,2
A43,22,2
A49,39,2
A42,26,2
A42,41,2
A49,37,2
A40,27,2
A42,23,2
A410,32,2
A43,34,2
A40,33,2
A40,37,2
A42,29,2
A42,25,2
A40,39,2
A40,23,2
A42,53,2
A40,31,2
A42,24,2
A40,34,2
A43,38,2
A40,23,2
A43,25,2
A49,50,2
A40,25,2
A40,29,2
A43,33,2
A40,53,2
A43,25,2
A49,36,2
A46,33,2
A40,26,2
A40,29,2
A40,24,2
A40,33,2
A42,23,2
A43,30,2
A43,37,2
A43,65,2
A49,41,2
A46,34,2
A43,22,2
A42,29,2
A45,61,2
A40,36,2
A49,33,2
A42,30,2
A49,34,2
A49,28,2
A42,33,2
A40,33,2
A46,41,2
A42,40,2
A410,29,2
A43,32,2
A49,36,2
A49,36,2
A49,28,2
A40,25,2
A42,30,2
A40,24,2
A44,47,2
A41,46,2
A49,66,2
A42,42,2
A43,26,2
A40,46,2
A42,39,2
A40,27,2
A40,23,2
A46,34,2
A42,28,2
A49,38,2
A40,25,2
A42,23,2
A40,20,2
