@relation crx

@attribute A6 {w,q,m,r,cc,k,c,d,x,i,e,aa,ff,j}
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A14 numeric
@attribute Class {positive,negative}

@data
q,f,f,280,negative
m,f,t,460,negative
w,f,f,300,negative
c,f,f,320,negative
d,f,f,180,negative
c,f,t,400,negative
m,t,f,320,negative
c,t,f,140,negative
w,t,t,208,negative
k,f,f,200,negative
cc,f,f,180,negative
c,f,f,80,negative
c,t,f,180,negative
cc,f,f,160,negative
q,f,f,340,negative
