@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075,  0.815]
@attribute Diameter real [0.055,  0.65]
@attribute Height real [0.0,  1.13]
@attribute Whole_weight real [0.0020,  2.8255]
@attribute Shucked_weight real [0.0010,  1.488]
@attribute Viscera_weight real [5.0E-4,  0.76]
@attribute Shell_weight real [0.0015,  1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@data
I, 0.53, 0.415, 0.145, 0.944, 0.3845, 0.185, 0.265, 21
F, 0.475, 0.36, 0.125, 0.447, 0.1695, 0.081, 0.14, 9
F, 0.615, 0.515, 0.17, 1.14, 0.4305, 0.2245, 0.42, 16
M, 0.455, 0.35, 0.12, 0.4835, 0.1815, 0.144, 0.16, 11
F, 0.5, 0.375, 0.115, 0.5945, 0.185, 0.148, 0.19, 11
M, 0.525, 0.4, 0.17, 0.7305, 0.279, 0.2055, 0.195, 11
I, 0.255, 0.19, 0.075, 0.0865, 0.0345, 0.0205, 0.025, 5
M, 0.395, 0.295, 0.115, 0.316, 0.1205, 0.0595, 0.1105, 12
I, 0.18, 0.125, 0.035, 0.0265, 0.0095, 0.0055, 0.0085, 4
M, 0.555, 0.455, 0.16, 1.0575, 0.3925, 0.228, 0.293, 13
M, 0.545, 0.42, 0.13, 0.879, 0.374, 0.1695, 0.23, 13
F, 0.53, 0.42, 0.13, 1.001, 0.34, 0.226, 0.265, 17
F, 0.53, 0.425, 0.17, 0.949, 0.3485, 0.2395, 0.278, 17
M, 0.465, 0.35, 0.14, 0.5755, 0.2015, 0.1505, 0.19, 15
M, 0.47, 0.37, 0.18, 0.51, 0.1915, 0.1285, 0.1625, 9
M, 0.515, 0.38, 0.135, 0.6615, 0.2875, 0.2095, 0.155, 10
F, 0.52, 0.41, 0.115, 0.807, 0.2855, 0.179, 0.235, 12
I, 0.315, 0.24, 0.085, 0.1715, 0.071, 0.0345, 0.0535, 7
F, 0.6, 0.475, 0.155, 1.21, 0.653, 0.1695, 0.3205, 10
F, 0.635, 0.485, 0.165, 1.2945, 0.668, 0.2605, 0.2715, 9
F, 0.64, 0.51, 0.165, 1.486, 0.7595, 0.332, 0.321, 8
M, 0.66, 0.53, 0.17, 1.3905, 0.5905, 0.212, 0.453, 15
F, 0.675, 0.525, 0.17, 1.8095, 0.784, 0.391, 0.455, 12
F, 0.685, 0.54, 0.16, 1.6675, 0.833, 0.3775, 0.475, 11
I, 0.3, 0.235, 0.08, 0.131, 0.05, 0.0265, 0.043, 4
I, 0.315, 0.23, 0.07, 0.144, 0.053, 0.0305, 0.04, 8
I, 0.335, 0.25, 0.075, 0.1825, 0.0705, 0.044, 0.055, 7
I, 0.34, 0.25, 0.075, 0.1785, 0.0665, 0.0455, 0.045, 5
I, 0.37, 0.28, 0.095, 0.2865, 0.1505, 0.069, 0.0795, 7
I, 0.41, 0.305, 0.09, 0.3535, 0.157, 0.0745, 0.1, 7
I, 0.41, 0.31, 0.09, 0.3335, 0.1635, 0.061, 0.091, 6
I, 0.45, 0.36, 0.13, 0.478, 0.191, 0.127, 0.137, 7
F, 0.465, 0.35, 0.125, 0.482, 0.23, 0.106, 0.1095, 6
M, 0.5, 0.39, 0.135, 0.6595, 0.3145, 0.1535, 0.1565, 6
F, 0.515, 0.43, 0.14, 0.834, 0.367, 0.2, 0.23, 8
M, 0.57, 0.45, 0.155, 1.195, 0.5625, 0.2565, 0.295, 10
M, 0.575, 0.475, 0.16, 1.114, 0.4955, 0.2745, 0.29, 9
F, 0.58, 0.46, 0.15, 1.1155, 0.5575, 0.2255, 0.29, 7
F, 0.615, 0.48, 0.16, 1.2525, 0.585, 0.2595, 0.33, 8
M, 0.66, 0.495, 0.195, 1.6275, 0.594, 0.3595, 0.485, 10
F, 0.675, 0.565, 0.195, 1.8375, 0.7645, 0.3615, 0.553, 12
F, 0.735, 0.6, 0.22, 2.555, 1.1335, 0.44, 0.6, 11
I, 0.275, 0.195, 0.065, 0.106, 0.054, 0.02, 0.028, 6
I, 0.37, 0.28, 0.1, 0.221, 0.1165, 0.0265, 0.0635, 6
I, 0.42, 0.31, 0.095, 0.279, 0.1255, 0.051, 0.088, 6
I, 0.425, 0.325, 0.115, 0.3685, 0.162, 0.0865, 0.1045, 7
M, 0.5, 0.39, 0.125, 0.5215, 0.2485, 0.117, 0.131, 6
I, 0.52, 0.38, 0.135, 0.5395, 0.2295, 0.133, 0.157, 8
F, 0.55, 0.415, 0.135, 0.8145, 0.427, 0.1855, 0.175, 8
F, 0.575, 0.46, 0.145, 0.9945, 0.466, 0.229, 0.265, 7
M, 0.58, 0.45, 0.145, 1.0025, 0.547, 0.1975, 0.2295, 8
M, 0.59, 0.47, 0.15, 0.9955, 0.481, 0.232, 0.24, 8
F, 0.6, 0.465, 0.15, 1.1025, 0.5455, 0.262, 0.25, 8
M, 0.62, 0.47, 0.135, 1.0195, 0.5315, 0.2005, 0.2475, 8
F, 0.65, 0.5, 0.19, 1.464, 0.6415, 0.339, 0.4245, 9
F, 0.69, 0.54, 0.155, 1.454, 0.624, 0.3105, 0.39, 9
F, 0.69, 0.53, 0.17, 1.5535, 0.7945, 0.3485, 0.3695, 9
I, 0.375, 0.27, 0.085, 0.218, 0.0945, 0.039, 0.07, 7
I, 0.38, 0.27, 0.08, 0.2105, 0.0865, 0.042, 0.07, 8
I, 0.43, 0.34, 0.0, 0.428, 0.2065, 0.086, 0.115, 8
I, 0.465, 0.34, 0.11, 0.346, 0.1425, 0.073, 0.113, 11
I, 0.475, 0.36, 0.11, 0.492, 0.211, 0.11, 0.15, 8
I, 0.495, 0.355, 0.12, 0.4965, 0.214, 0.1045, 0.1495, 8
I, 0.495, 0.38, 0.13, 0.5125, 0.2185, 0.116, 0.16, 7
I, 0.5, 0.375, 0.145, 0.5795, 0.239, 0.1375, 0.185, 9
I, 0.515, 0.38, 0.12, 0.625, 0.3265, 0.1295, 0.16, 7
I, 0.515, 0.42, 0.135, 0.711, 0.337, 0.144, 0.205, 13
I, 0.52, 0.4, 0.13, 0.5825, 0.233, 0.1365, 0.18, 10
M, 0.525, 0.42, 0.155, 0.842, 0.428, 0.1415, 0.2045, 9
I, 0.53, 0.425, 0.13, 0.7675, 0.419, 0.1205, 0.21, 9
I, 0.55, 0.43, 0.145, 0.7895, 0.3745, 0.171, 0.223, 11
I, 0.555, 0.43, 0.155, 0.7395, 0.3135, 0.1435, 0.28, 10
F, 0.56, 0.445, 0.155, 1.224, 0.5565, 0.3225, 0.2695, 10
M, 0.565, 0.39, 0.125, 0.744, 0.352, 0.13, 0.1685, 11
F, 0.57, 0.46, 0.135, 0.9795, 0.397, 0.2525, 0.2655, 9
M, 0.585, 0.475, 0.15, 1.065, 0.5315, 0.199, 0.2885, 10
M, 0.6, 0.46, 0.155, 0.9595, 0.4455, 0.189, 0.295, 11
M, 0.61, 0.48, 0.165, 1.244, 0.6345, 0.257, 0.305, 12
F, 0.615, 0.475, 0.155, 1.115, 0.484, 0.2115, 0.355, 10
M, 0.64, 0.565, 0.23, 1.521, 0.644, 0.372, 0.406, 15
M, 0.64, 0.525, 0.18, 1.3135, 0.4865, 0.2995, 0.4075, 10
M, 0.645, 0.5, 0.195, 1.401, 0.6165, 0.3515, 0.3725, 10
F, 0.695, 0.565, 0.19, 1.7635, 0.7465, 0.399, 0.4975, 11
F, 0.75, 0.61, 0.235, 2.5085, 1.232, 0.519, 0.612, 14
I, 0.37, 0.27, 0.095, 0.232, 0.1325, 0.041, 0.0615, 6
I, 0.4, 0.29, 0.11, 0.329, 0.188, 0.0455, 0.0825, 6
I, 0.405, 0.31, 0.095, 0.3425, 0.1785, 0.064, 0.0855, 8
I, 0.425, 0.34, 0.105, 0.389, 0.2015, 0.0905, 0.088, 6
I, 0.47, 0.345, 0.14, 0.4615, 0.229, 0.1105, 0.116, 9
M, 0.475, 0.37, 0.125, 0.649, 0.347, 0.136, 0.142, 8
M, 0.485, 0.37, 0.13, 0.526, 0.2485, 0.105, 0.1555, 6
I, 0.515, 0.395, 0.125, 0.556, 0.2695, 0.096, 0.17, 8
F, 0.56, 0.435, 0.15, 0.8715, 0.4755, 0.1835, 0.1835, 9
F, 0.605, 0.485, 0.16, 1.201, 0.417, 0.2875, 0.38, 9
F, 0.62, 0.435, 0.155, 1.012, 0.477, 0.236, 0.275, 8
F, 0.63, 0.49, 0.225, 1.336, 0.6805, 0.259, 0.3245, 10
F, 0.665, 0.515, 0.18, 1.389, 0.5945, 0.324, 0.395, 10
M, 0.75, 0.55, 0.18, 1.893, 0.942, 0.397, 0.445, 11
I, 0.3, 0.23, 0.085, 0.117, 0.05, 0.0175, 0.0415, 6
I, 0.35, 0.26, 0.075, 0.18, 0.09, 0.0245, 0.055, 5
I, 0.385, 0.3, 0.09, 0.308, 0.1525, 0.056, 0.0835, 8
I, 0.45, 0.34, 0.095, 0.3245, 0.1385, 0.064, 0.105, 8
I, 0.5, 0.39, 0.12, 0.5955, 0.2455, 0.147, 0.173, 8
M, 0.525, 0.4, 0.155, 0.707, 0.282, 0.1605, 0.225, 9
M, 0.54, 0.455, 0.14, 0.972, 0.419, 0.255, 0.269, 10
I, 0.55, 0.42, 0.135, 0.816, 0.3995, 0.1485, 0.23, 12
I, 0.575, 0.425, 0.135, 0.7965, 0.364, 0.196, 0.239, 10
I, 0.575, 0.445, 0.17, 0.8015, 0.3475, 0.1465, 0.25, 9
I, 0.595, 0.46, 0.15, 0.8335, 0.377, 0.1925, 0.235, 8
F, 0.6, 0.475, 0.15, 1.13, 0.575, 0.196, 0.305, 9
F, 0.605, 0.505, 0.18, 1.434, 0.7285, 0.264, 0.431, 11
F, 0.61, 0.465, 0.16, 1.0725, 0.4835, 0.2515, 0.28, 10
F, 0.61, 0.485, 0.15, 1.2405, 0.6025, 0.2915, 0.3085, 12
M, 0.615, 0.475, 0.175, 1.224, 0.6035, 0.261, 0.311, 9
F, 0.62, 0.48, 0.18, 1.2215, 0.582, 0.2695, 0.313, 12
M, 0.635, 0.5, 0.17, 1.4345, 0.611, 0.309, 0.418, 12
M, 0.645, 0.51, 0.195, 1.226, 0.5885, 0.2215, 0.3745, 10
M, 0.655, 0.55, 0.18, 1.274, 0.586, 0.281, 0.365, 10
F, 0.675, 0.51, 0.195, 1.382, 0.6045, 0.3175, 0.3965, 10
M, 0.485, 0.37, 0.155, 0.968, 0.419, 0.2455, 0.2365, 9
M, 0.625, 0.49, 0.185, 1.169, 0.5275, 0.2535, 0.344, 11
M, 0.645, 0.5, 0.16, 1.3815, 0.672, 0.326, 0.315, 9
I, 0.24, 0.18, 0.055, 0.0555, 0.0235, 0.013, 0.018, 4
I, 0.41, 0.315, 0.095, 0.2805, 0.114, 0.0345, 0.11, 7
I, 0.42, 0.325, 0.1, 0.368, 0.1675, 0.0625, 0.1135, 11
I, 0.435, 0.33, 0.105, 0.335, 0.156, 0.0555, 0.105, 8
I, 0.495, 0.375, 0.14, 0.494, 0.181, 0.0975, 0.191, 8
I, 0.52, 0.385, 0.115, 0.581, 0.2555, 0.156, 0.143, 10
I, 0.545, 0.425, 0.14, 0.8145, 0.305, 0.231, 0.244, 10
M, 0.555, 0.4, 0.13, 0.7075, 0.332, 0.1585, 0.18, 7
I, 0.565, 0.435, 0.145, 0.8445, 0.3975, 0.158, 0.255, 9
F, 0.575, 0.43, 0.155, 0.7955, 0.3485, 0.1925, 0.22, 9
M, 0.575, 0.475, 0.145, 0.857, 0.3665, 0.173, 0.269, 9
F, 0.58, 0.5, 0.165, 0.925, 0.37, 0.185, 0.3005, 10
M, 0.595, 0.455, 0.15, 0.886, 0.4315, 0.201, 0.223, 10
M, 0.62, 0.49, 0.15, 1.195, 0.4605, 0.302, 0.355, 9
F, 0.635, 0.485, 0.165, 1.2695, 0.5635, 0.3065, 0.3395, 11
F, 0.655, 0.515, 0.18, 1.412, 0.6195, 0.2485, 0.497, 11
M, 0.7, 0.55, 0.195, 1.6245, 0.675, 0.347, 0.535, 13
M, 0.72, 0.565, 0.19, 2.081, 1.0815, 0.4305, 0.503, 11
I, 0.28, 0.2, 0.065, 0.0895, 0.036, 0.0185, 0.03, 7
I, 0.405, 0.25, 0.09, 0.2875, 0.128, 0.063, 0.0805, 7
I, 0.425, 0.315, 0.095, 0.3675, 0.1865, 0.0675, 0.0985, 7
M, 0.45, 0.33, 0.105, 0.4955, 0.2575, 0.082, 0.129, 8
F, 0.53, 0.43, 0.15, 0.741, 0.325, 0.1855, 0.196, 9
F, 0.53, 0.405, 0.13, 0.6355, 0.2635, 0.1565, 0.185, 9
M, 0.565, 0.445, 0.145, 0.9255, 0.4345, 0.212, 0.2475, 9
I, 0.385, 0.28, 0.1, 0.2755, 0.1305, 0.061, 0.0725, 8
M, 0.485, 0.39, 0.135, 0.617, 0.25, 0.1345, 0.1635, 8
I, 0.55, 0.42, 0.115, 0.668, 0.2925, 0.137, 0.209, 11
M, 0.61, 0.48, 0.165, 1.2435, 0.5575, 0.2675, 0.372, 8
F, 0.71, 0.5, 0.15, 1.3165, 0.6835, 0.2815, 0.28, 10
M, 0.595, 0.455, 0.155, 1.041, 0.416, 0.2105, 0.365, 14
F, 0.375, 0.29, 0.08, 0.282, 0.1405, 0.0725, 0.08, 7
M, 0.47, 0.375, 0.115, 0.4265, 0.1685, 0.0755, 0.15, 8
F, 0.52, 0.41, 0.125, 0.6985, 0.2945, 0.1625, 0.215, 10
M, 0.44, 0.35, 0.11, 0.4585, 0.2, 0.0885, 0.13, 9
F, 0.57, 0.465, 0.18, 0.9995, 0.405, 0.277, 0.295, 16
I, 0.46, 0.35, 0.11, 0.3945, 0.1685, 0.0865, 0.125, 9
F, 0.64, 0.51, 0.2, 1.3905, 0.61, 0.3315, 0.41, 12
F, 0.61, 0.45, 0.16, 1.136, 0.414, 0.311, 0.3, 9
I, 0.215, 0.17, 0.055, 0.0605, 0.0205, 0.014, 0.02, 6
I, 0.26, 0.215, 0.08, 0.099, 0.037, 0.0255, 0.045, 5
I, 0.37, 0.28, 0.09, 0.233, 0.0905, 0.0545, 0.07, 11
M, 0.42, 0.345, 0.105, 0.43, 0.175, 0.096, 0.13, 7
M, 0.66, 0.505, 0.2, 1.6305, 0.4865, 0.297, 0.61, 18
M, 0.59, 0.475, 0.155, 0.857, 0.356, 0.174, 0.28, 13
M, 0.43, 0.335, 0.115, 0.406, 0.166, 0.0935, 0.135, 8
F, 0.62, 0.51, 0.15, 1.456, 0.581, 0.2875, 0.32, 13
F, 0.545, 0.445, 0.175, 0.8525, 0.3465, 0.189, 0.295, 13
M, 0.635, 0.51, 0.21, 1.598, 0.6535, 0.2835, 0.58, 15
M, 0.525, 0.405, 0.135, 0.7575, 0.3305, 0.216, 0.195, 10
F, 0.495, 0.385, 0.13, 0.6905, 0.3125, 0.179, 0.175, 10
F, 0.58, 0.475, 0.155, 0.974, 0.4305, 0.23, 0.285, 10
I, 0.495, 0.385, 0.125, 0.585, 0.2755, 0.1235, 0.165, 8
I, 0.4, 0.31, 0.1, 0.2875, 0.1145, 0.0635, 0.095, 10
F, 0.665, 0.535, 0.19, 1.496, 0.5775, 0.2815, 0.475, 17
M, 0.61, 0.49, 0.15, 1.103, 0.425, 0.2025, 0.36, 23
F, 0.515, 0.435, 0.17, 0.631, 0.2765, 0.111, 0.216, 12
M, 0.7, 0.53, 0.19, 1.3185, 0.548, 0.233, 0.42, 18
M, 0.635, 0.495, 0.15, 1.081, 0.4825, 0.242, 0.31, 11
M, 0.18, 0.125, 0.05, 0.023, 0.0085, 0.0055, 0.01, 3
F, 0.405, 0.325, 0.11, 0.3575, 0.145, 0.0725, 0.11, 12
F, 0.36, 0.265, 0.09, 0.2165, 0.096, 0.037, 0.0735, 10
M, 0.155, 0.115, 0.025, 0.024, 0.0090, 0.0050, 0.0075, 5
I, 0.5, 0.395, 0.12, 0.537, 0.2165, 0.1085, 0.1785, 9
F, 0.41, 0.315, 0.11, 0.321, 0.1255, 0.0655, 0.095, 10
I, 0.335, 0.24, 0.095, 0.17, 0.062, 0.039, 0.055, 9
M, 0.475, 0.355, 0.125, 0.4625, 0.186, 0.107, 0.145, 9
F, 0.445, 0.335, 0.14, 0.4565, 0.1785, 0.114, 0.14, 11
F, 0.35, 0.265, 0.09, 0.1855, 0.0745, 0.0415, 0.06, 7
I, 0.25, 0.185, 0.065, 0.071, 0.027, 0.0185, 0.0225, 5
I, 0.355, 0.26, 0.09, 0.1925, 0.077, 0.038, 0.065, 8
M, 0.505, 0.4, 0.155, 0.8415, 0.2715, 0.1775, 0.285, 12
M, 0.465, 0.375, 0.11, 0.5, 0.21, 0.113, 0.1505, 8
I, 0.46, 0.345, 0.12, 0.4155, 0.198, 0.0885, 0.107, 7
I, 0.505, 0.385, 0.12, 0.6005, 0.239, 0.142, 0.185, 7
F, 0.53, 0.42, 0.17, 0.828, 0.41, 0.208, 0.1505, 6
M, 0.54, 0.435, 0.14, 0.7345, 0.33, 0.1595, 0.213, 9
F, 0.585, 0.45, 0.16, 0.9045, 0.405, 0.2215, 0.2335, 8
F, 0.55, 0.44, 0.135, 0.8435, 0.434, 0.1995, 0.185, 8
F, 0.57, 0.45, 0.18, 0.908, 0.4015, 0.217, 0.255, 9
M, 0.645, 0.48, 0.15, 1.192, 0.6055, 0.2595, 0.285, 9
F, 0.65, 0.535, 0.175, 1.2895, 0.6095, 0.2765, 0.344, 10
M, 0.68, 0.52, 0.165, 1.4775, 0.724, 0.279, 0.406, 11
I, 0.21, 0.15, 0.045, 0.04, 0.0135, 0.0080, 0.0105, 4
I, 0.345, 0.255, 0.095, 0.183, 0.075, 0.0385, 0.06, 6
I, 0.375, 0.29, 0.14, 0.3, 0.14, 0.0625, 0.0825, 8
I, 0.485, 0.38, 0.125, 0.5215, 0.2215, 0.118, 0.16, 8
I, 0.505, 0.385, 0.125, 0.596, 0.245, 0.097, 0.21, 9
I, 0.525, 0.375, 0.12, 0.6315, 0.3045, 0.114, 0.19, 9
I, 0.55, 0.43, 0.145, 0.712, 0.3025, 0.152, 0.225, 10
I, 0.585, 0.46, 0.145, 0.8465, 0.339, 0.167, 0.295, 10
M, 0.6, 0.495, 0.185, 1.1145, 0.5055, 0.2635, 0.367, 11
M, 0.61, 0.48, 0.185, 1.3065, 0.6895, 0.2915, 0.29, 10
M, 0.64, 0.495, 0.17, 1.139, 0.5395, 0.282, 0.285, 10
M, 0.65, 0.51, 0.175, 1.446, 0.6485, 0.2705, 0.45, 12
F, 0.66, 0.505, 0.19, 1.4045, 0.6255, 0.3375, 0.3745, 9
F, 0.705, 0.54, 0.205, 1.757, 0.8265, 0.417, 0.461, 9
I, 0.45, 0.335, 0.105, 0.362, 0.1575, 0.0795, 0.1095, 7
M, 0.59, 0.485, 0.155, 1.0785, 0.4535, 0.2435, 0.31, 9
F, 0.625, 0.485, 0.16, 1.254, 0.591, 0.259, 0.3485, 9
I, 0.31, 0.23, 0.07, 0.1245, 0.0505, 0.0265, 0.038, 6
I, 0.37, 0.27, 0.09, 0.1855, 0.07, 0.0425, 0.065, 7
I, 0.46, 0.36, 0.14, 0.447, 0.161, 0.087, 0.16, 9
F, 0.465, 0.35, 0.11, 0.4085, 0.165, 0.102, 0.131, 8
I, 0.5, 0.37, 0.12, 0.5445, 0.249, 0.1065, 0.152, 8
F, 0.615, 0.475, 0.175, 1.194, 0.559, 0.259, 0.3165, 11
F, 0.625, 0.5, 0.16, 1.217, 0.5725, 0.207, 0.355, 11
M, 0.645, 0.495, 0.19, 1.539, 0.6115, 0.408, 0.445, 12
F, 0.655, 0.5, 0.205, 1.528, 0.6215, 0.3725, 0.4535, 11
M, 0.68, 0.515, 0.16, 1.2345, 0.618, 0.2625, 0.325, 11
M, 0.555, 0.425, 0.15, 0.873, 0.4625, 0.1845, 0.1965, 9
M, 0.64, 0.495, 0.165, 1.307, 0.678, 0.292, 0.266, 11
M, 0.73, 0.585, 0.225, 2.2305, 1.2395, 0.422, 0.563, 14
I, 0.42, 0.32, 0.11, 0.309, 0.115, 0.0645, 0.0945, 6
I, 0.46, 0.37, 0.11, 0.3965, 0.1485, 0.0855, 0.1455, 8
I, 0.475, 0.375, 0.11, 0.456, 0.182, 0.099, 0.16, 9
I, 0.515, 0.385, 0.125, 0.572, 0.237, 0.1435, 0.165, 7
M, 0.59, 0.405, 0.15, 0.853, 0.326, 0.2615, 0.245, 9
F, 0.635, 0.49, 0.155, 1.145, 0.4775, 0.3035, 0.3155, 9
M, 0.655, 0.54, 0.165, 1.403, 0.6955, 0.2385, 0.42, 11
F, 0.66, 0.53, 0.18, 1.5175, 0.7765, 0.302, 0.401, 10
M, 0.665, 0.525, 0.155, 1.3575, 0.5325, 0.3045, 0.4485, 10
F, 0.73, 0.55, 0.205, 1.908, 0.5415, 0.3565, 0.5965, 14
F, 0.755, 0.575, 0.2, 2.073, 1.0135, 0.4655, 0.48, 11
M, 0.545, 0.435, 0.145, 0.9385, 0.3685, 0.1245, 0.345, 11
I, 0.375, 0.285, 0.08, 0.226, 0.0975, 0.04, 0.0725, 7
I, 0.38, 0.29, 0.085, 0.2285, 0.088, 0.0465, 0.075, 7
F, 0.62, 0.485, 0.155, 1.1945, 0.5105, 0.271, 0.352, 9
F, 0.645, 0.5, 0.18, 1.2785, 0.5345, 0.2995, 0.345, 13
F, 0.7, 0.54, 0.215, 1.978, 0.6675, 0.3125, 0.71, 24
F, 0.655, 0.505, 0.165, 1.367, 0.5835, 0.3515, 0.396, 10
F, 0.505, 0.41, 0.135, 0.657, 0.291, 0.133, 0.195, 15
F, 0.61, 0.47, 0.16, 1.017, 0.426, 0.2255, 0.32, 12
I, 0.325, 0.245, 0.075, 0.1495, 0.0605, 0.033, 0.045, 5
F, 0.49, 0.38, 0.155, 0.578, 0.2395, 0.1255, 0.18, 9
F, 0.385, 0.3, 0.1, 0.2725, 0.1115, 0.057, 0.08, 6
F, 0.665, 0.53, 0.185, 1.3955, 0.456, 0.3205, 0.49, 15
M, 0.63, 0.51, 0.19, 1.4985, 0.4125, 0.3075, 0.545, 16
M, 0.52, 0.415, 0.175, 0.753, 0.258, 0.171, 0.255, 8
M, 0.485, 0.41, 0.15, 0.696, 0.2405, 0.1625, 0.265, 13
F, 0.655, 0.51, 0.16, 1.092, 0.396, 0.2825, 0.37, 14
I, 0.3, 0.23, 0.075, 0.15, 0.0605, 0.042, 0.045, 5
M, 0.465, 0.36, 0.125, 0.4365, 0.169, 0.1075, 0.145, 11
F, 0.655, 0.53, 0.19, 1.428, 0.493, 0.318, 0.565, 18
M, 0.535, 0.42, 0.16, 0.72, 0.275, 0.164, 0.225, 15
F, 0.605, 0.485, 0.165, 1.0735, 0.437, 0.205, 0.33, 14
F, 0.565, 0.45, 0.185, 0.9285, 0.302, 0.1805, 0.265, 12
F, 0.45, 0.325, 0.135, 0.438, 0.1805, 0.1165, 0.11, 9
F, 0.505, 0.41, 0.15, 0.6345, 0.243, 0.1335, 0.215, 17
F, 0.535, 0.425, 0.155, 0.7765, 0.302, 0.1565, 0.25, 16
