@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075,  0.815]
@attribute Diameter real [0.055,  0.65]
@attribute Height real [0.0,  1.13]
@attribute Whole_weight real [0.0020,  2.8255]
@attribute Shucked_weight real [0.0010,  1.488]
@attribute Viscera_weight real [5.0E-4,  0.76]
@attribute Shell_weight real [0.0015,  1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@data
I, 0.315, 0.23, 0.09, 0.1285, 0.043, 0.04, 0.04, 7
I, 0.155, 0.105, 0.05, 0.0175, 0.0050, 0.0035, 0.0050, 4
F, 0.395, 0.315, 0.105, 0.3515, 0.1185, 0.091, 0.1195, 16
F, 0.48, 0.385, 0.135, 0.536, 0.1895, 0.142, 0.173, 14
M, 0.4, 0.3, 0.125, 0.417, 0.191, 0.09, 0.1175, 9
M, 0.375, 0.3, 0.1, 0.2465, 0.104, 0.0475, 0.083, 11
M, 0.505, 0.38, 0.13, 0.656, 0.227, 0.1785, 0.22, 13
F, 0.52, 0.405, 0.125, 0.6435, 0.2415, 0.1735, 0.21, 12
M, 0.65, 0.515, 0.175, 1.4805, 0.5295, 0.272, 0.525, 20
F, 0.54, 0.44, 0.135, 0.959, 0.2385, 0.221, 0.3, 17
M, 0.64, 0.51, 0.19, 1.613, 0.6215, 0.361, 0.47, 14
M, 0.545, 0.45, 0.15, 0.978, 0.3365, 0.1905, 0.3, 11
M, 0.53, 0.41, 0.165, 0.732, 0.189, 0.17, 0.31, 11
I, 0.215, 0.155, 0.06, 0.0525, 0.021, 0.0165, 0.015, 5
M, 0.495, 0.385, 0.135, 0.709, 0.211, 0.1375, 0.262, 12
F, 0.6, 0.465, 0.165, 0.8875, 0.309, 0.246, 0.262, 12
I, 0.37, 0.275, 0.14, 0.2215, 0.097, 0.0455, 0.0615, 6
I, 0.385, 0.29, 0.095, 0.312, 0.143, 0.0635, 0.086, 6
M, 0.415, 0.305, 0.1, 0.325, 0.156, 0.0505, 0.091, 6
I, 0.44, 0.365, 0.115, 0.501, 0.2435, 0.084, 0.1465, 9
I, 0.445, 0.335, 0.1, 0.4895, 0.2745, 0.086, 0.1105, 7
I, 0.485, 0.355, 0.105, 0.498, 0.2175, 0.096, 0.1525, 9
F, 0.595, 0.475, 0.16, 1.1405, 0.547, 0.231, 0.271, 6
F, 0.62, 0.505, 0.16, 1.3725, 0.6285, 0.275, 0.3685, 11
F, 0.695, 0.56, 0.22, 1.834, 0.8455, 0.422, 0.455, 11
I, 0.265, 0.195, 0.06, 0.092, 0.0345, 0.025, 0.0245, 6
I, 0.3, 0.23, 0.095, 0.1385, 0.056, 0.0365, 0.037, 6
I, 0.42, 0.32, 0.115, 0.376, 0.169, 0.092, 0.1, 5
I, 0.425, 0.315, 0.1, 0.377, 0.1645, 0.072, 0.105, 6
I, 0.435, 0.325, 0.12, 0.3995, 0.1815, 0.061, 0.1125, 8
I, 0.45, 0.355, 0.105, 0.4445, 0.197, 0.093, 0.1335, 8
I, 0.46, 0.345, 0.105, 0.449, 0.196, 0.0945, 0.1265, 7
M, 0.48, 0.385, 0.145, 0.64, 0.2925, 0.1405, 0.1575, 6
M, 0.5, 0.385, 0.135, 0.6425, 0.3195, 0.129, 0.1535, 7
F, 0.525, 0.415, 0.14, 0.724, 0.3475, 0.173, 0.175, 8
F, 0.55, 0.445, 0.155, 0.9905, 0.544, 0.178, 0.218, 9
M, 0.59, 0.47, 0.16, 1.206, 0.479, 0.2425, 0.309, 8
M, 0.605, 0.475, 0.155, 1.161, 0.572, 0.2455, 0.275, 9
M, 0.63, 0.48, 0.15, 1.1785, 0.5185, 0.248, 0.3235, 8
M, 0.635, 0.49, 0.175, 1.375, 0.623, 0.2705, 0.395, 11
I, 0.195, 0.135, 0.04, 0.0325, 0.0135, 0.0050, 0.0095, 4
I, 0.315, 0.235, 0.055, 0.151, 0.065, 0.027, 0.039, 6
I, 0.435, 0.345, 0.115, 0.418, 0.222, 0.0735, 0.106, 7
I, 0.45, 0.365, 0.125, 0.462, 0.2135, 0.0985, 0.1315, 8
I, 0.48, 0.38, 0.125, 0.6245, 0.3395, 0.1085, 0.1665, 8
F, 0.51, 0.4, 0.125, 0.545, 0.261, 0.115, 0.1385, 6
I, 0.535, 0.39, 0.125, 0.599, 0.2595, 0.149, 0.169, 9
M, 0.55, 0.425, 0.15, 0.8315, 0.411, 0.1765, 0.2165, 10
M, 0.56, 0.445, 0.16, 0.8965, 0.42, 0.2175, 0.2215, 8
F, 0.56, 0.44, 0.155, 0.6405, 0.336, 0.1765, 0.245, 8
F, 0.565, 0.45, 0.175, 1.0095, 0.447, 0.2375, 0.2645, 9
M, 0.57, 0.46, 0.15, 1.0375, 0.5415, 0.2035, 0.25, 9
M, 0.575, 0.435, 0.14, 0.8455, 0.401, 0.191, 0.222, 9
M, 0.58, 0.455, 0.195, 1.859, 0.945, 0.426, 0.441, 9
M, 0.61, 0.485, 0.16, 1.0145, 0.5315, 0.212, 0.2415, 8
M, 0.62, 0.45, 0.2, 0.858, 0.4285, 0.1525, 0.2405, 8
F, 0.685, 0.54, 0.215, 1.7025, 0.664, 0.3655, 0.4735, 14
M, 0.7, 0.565, 0.18, 1.751, 0.895, 0.3355, 0.446, 9
F, 0.72, 0.58, 0.195, 2.103, 1.0265, 0.48, 0.5375, 10
M, 0.735, 0.585, 0.185, 2.124, 0.952, 0.55, 0.5, 11
I, 0.275, 0.195, 0.09, 0.1125, 0.0545, 0.0295, 0.0355, 6
I, 0.345, 0.255, 0.085, 0.2005, 0.105, 0.037, 0.05, 5
I, 0.375, 0.29, 0.095, 0.213, 0.096, 0.041, 0.061, 5
F, 0.455, 0.365, 0.115, 0.4305, 0.184, 0.108, 0.1245, 8
I, 0.535, 0.4, 0.135, 0.6025, 0.2895, 0.121, 0.154, 9
M, 0.535, 0.435, 0.15, 0.717, 0.3475, 0.1445, 0.194, 9
F, 0.54, 0.42, 0.145, 0.8655, 0.4315, 0.163, 0.2175, 10
F, 0.545, 0.445, 0.15, 0.8, 0.3535, 0.163, 0.207, 9
I, 0.545, 0.405, 0.135, 0.5945, 0.27, 0.1185, 0.185, 8
I, 0.565, 0.44, 0.175, 0.8735, 0.414, 0.21, 0.21, 11
I, 0.605, 0.485, 0.15, 1.238, 0.6315, 0.226, 0.33, 11
M, 0.61, 0.45, 0.15, 0.871, 0.407, 0.1835, 0.25, 10
M, 0.62, 0.495, 0.18, 1.2555, 0.5765, 0.254, 0.355, 12
M, 0.635, 0.49, 0.16, 1.101, 0.534, 0.1865, 0.3455, 10
M, 0.645, 0.525, 0.16, 1.5075, 0.7455, 0.245, 0.4325, 11
F, 0.655, 0.525, 0.19, 1.3595, 0.564, 0.3215, 0.3985, 10
F, 0.71, 0.55, 0.17, 1.614, 0.743, 0.345, 0.45, 11
I, 0.14, 0.105, 0.035, 0.014, 0.0055, 0.0025, 0.0040, 3
I, 0.23, 0.165, 0.06, 0.0515, 0.019, 0.0145, 0.036, 4
I, 0.365, 0.255, 0.08, 0.1985, 0.0785, 0.0345, 0.053, 5
I, 0.4, 0.3, 0.09, 0.2815, 0.1185, 0.061, 0.08, 7
I, 0.44, 0.34, 0.105, 0.369, 0.164, 0.08, 0.1015, 5
F, 0.495, 0.38, 0.12, 0.573, 0.2655, 0.1285, 0.144, 7
M, 0.55, 0.425, 0.16, 0.793, 0.343, 0.2035, 0.215, 9
F, 0.61, 0.485, 0.17, 1.1005, 0.5125, 0.229, 0.305, 11
M, 0.655, 0.51, 0.215, 1.7835, 0.8885, 0.4095, 0.4195, 11
I, 0.295, 0.215, 0.07, 0.121, 0.047, 0.0155, 0.0405, 6
I, 0.36, 0.275, 0.075, 0.2205, 0.0985, 0.044, 0.066, 7
I, 0.385, 0.28, 0.095, 0.257, 0.119, 0.059, 0.07, 7
I, 0.39, 0.3, 0.09, 0.252, 0.1065, 0.053, 0.08, 7
I, 0.48, 0.37, 0.125, 0.474, 0.179, 0.1035, 0.175, 9
I, 0.54, 0.425, 0.135, 0.686, 0.3475, 0.1545, 0.213, 8
M, 0.55, 0.435, 0.14, 0.7625, 0.327, 0.1685, 0.259, 10
I, 0.56, 0.445, 0.15, 0.8225, 0.3685, 0.187, 0.236, 10
M, 0.595, 0.45, 0.145, 0.959, 0.463, 0.2065, 0.2535, 10
I, 0.605, 0.47, 0.145, 0.8025, 0.379, 0.2265, 0.22, 9
M, 0.61, 0.47, 0.17, 1.1185, 0.5225, 0.2405, 0.31, 9
M, 0.62, 0.515, 0.175, 1.221, 0.535, 0.241, 0.395, 13
M, 0.63, 0.49, 0.17, 1.1745, 0.5255, 0.273, 0.339, 11
F, 0.64, 0.505, 0.165, 1.2235, 0.5215, 0.2695, 0.36, 10
M, 0.65, 0.51, 0.16, 1.3835, 0.6385, 0.2905, 0.3665, 9
F, 0.69, 0.55, 0.2, 1.569, 0.687, 0.3675, 0.46, 12
M, 0.735, 0.59, 0.215, 1.747, 0.7275, 0.403, 0.557, 11
I, 0.275, 0.175, 0.09, 0.2315, 0.096, 0.057, 0.0705, 5
M, 0.55, 0.42, 0.16, 1.3405, 0.6325, 0.311, 0.344, 10
M, 0.575, 0.44, 0.185, 1.025, 0.5075, 0.2245, 0.2485, 10
M, 0.605, 0.475, 0.175, 1.2525, 0.5575, 0.3055, 0.343, 9
M, 0.62, 0.47, 0.145, 1.0865, 0.511, 0.2715, 0.2565, 10
F, 0.72, 0.55, 0.195, 2.073, 1.0715, 0.4265, 0.5015, 9
I, 0.485, 0.36, 0.12, 0.5155, 0.2465, 0.1025, 0.147, 8
I, 0.52, 0.38, 0.115, 0.6645, 0.3285, 0.17, 0.1425, 7
I, 0.53, 0.43, 0.14, 0.677, 0.298, 0.0965, 0.23, 8
I, 0.53, 0.43, 0.16, 0.7245, 0.321, 0.1275, 0.24, 9
I, 0.535, 0.455, 0.14, 1.0015, 0.53, 0.1765, 0.244, 9
I, 0.555, 0.45, 0.175, 0.738, 0.304, 0.1755, 0.22, 9
M, 0.57, 0.44, 0.175, 0.9415, 0.3805, 0.2285, 0.283, 9
F, 0.57, 0.44, 0.12, 0.803, 0.382, 0.1525, 0.234, 9
M, 0.575, 0.455, 0.155, 1.013, 0.4685, 0.2085, 0.295, 11
M, 0.62, 0.495, 0.195, 1.5145, 0.579, 0.346, 0.5195, 15
F, 0.625, 0.47, 0.145, 0.984, 0.475, 0.2, 0.265, 11
M, 0.635, 0.525, 0.16, 1.195, 0.5435, 0.246, 0.335, 12
M, 0.635, 0.515, 0.165, 1.229, 0.5055, 0.2975, 0.3535, 10
I, 0.64, 0.49, 0.135, 1.1, 0.488, 0.2505, 0.2925, 10
F, 0.65, 0.51, 0.155, 1.189, 0.483, 0.278, 0.3645, 13
M, 0.76, 0.605, 0.215, 2.173, 0.801, 0.4915, 0.646, 13
I, 0.29, 0.21, 0.065, 0.097, 0.0375, 0.022, 0.03, 6
I, 0.395, 0.29, 0.095, 0.3, 0.158, 0.068, 0.078, 7
I, 0.415, 0.325, 0.11, 0.316, 0.1385, 0.0795, 0.0925, 8
M, 0.525, 0.41, 0.13, 0.6875, 0.3435, 0.1495, 0.1765, 9
F, 0.57, 0.435, 0.15, 0.8295, 0.3875, 0.156, 0.245, 10
I, 0.27, 0.195, 0.065, 0.1065, 0.0475, 0.0225, 0.0285, 5
I, 0.465, 0.355, 0.09, 0.4325, 0.2005, 0.074, 0.1275, 9
M, 0.65, 0.5, 0.14, 1.238, 0.6165, 0.2355, 0.32, 8
F, 0.665, 0.525, 0.21, 1.644, 0.818, 0.3395, 0.4275, 10
F, 0.505, 0.39, 0.115, 0.66, 0.3045, 0.1555, 0.175, 8
I, 0.405, 0.305, 0.09, 0.2825, 0.114, 0.0575, 0.095, 7
I, 0.41, 0.31, 0.11, 0.315, 0.124, 0.082, 0.095, 9
M, 0.525, 0.405, 0.13, 0.7185, 0.3265, 0.1975, 0.175, 8
F, 0.48, 0.38, 0.12, 0.608, 0.2705, 0.1405, 0.185, 8
I, 0.455, 0.37, 0.125, 0.433, 0.201, 0.1265, 0.145, 9
M, 0.425, 0.325, 0.1, 0.3295, 0.1365, 0.0725, 0.11, 7
F, 0.45, 0.36, 0.125, 0.5065, 0.222, 0.105, 0.16, 10
M, 0.27, 0.195, 0.07, 0.106, 0.0465, 0.018, 0.036, 7
F, 0.4, 0.3, 0.115, 0.3025, 0.1335, 0.0465, 0.0935, 8
F, 0.57, 0.45, 0.17, 1.098, 0.414, 0.187, 0.405, 20
F, 0.52, 0.4, 0.125, 0.6865, 0.295, 0.1715, 0.185, 9
M, 0.565, 0.47, 0.195, 1.142, 0.387, 0.258, 0.35, 17
M, 0.63, 0.51, 0.23, 1.539, 0.5635, 0.2815, 0.57, 17
I, 0.33, 0.26, 0.08, 0.19, 0.0765, 0.0385, 0.065, 7
M, 0.495, 0.39, 0.15, 0.853, 0.3285, 0.189, 0.27, 14
I, 0.275, 0.2, 0.075, 0.086, 0.0305, 0.019, 0.03, 7
I, 0.46, 0.335, 0.11, 0.444, 0.225, 0.0745, 0.11, 8
M, 0.46, 0.375, 0.14, 0.5105, 0.192, 0.1045, 0.205, 9
M, 0.695, 0.57, 0.2, 2.033, 0.751, 0.4255, 0.685, 15
I, 0.315, 0.24, 0.07, 0.137, 0.0545, 0.0315, 0.04, 8
M, 0.64, 0.52, 0.2, 1.407, 0.566, 0.304, 0.455, 17
M, 0.555, 0.44, 0.135, 0.9025, 0.3805, 0.2105, 0.28, 13
F, 0.66, 0.525, 0.205, 1.3665, 0.5005, 0.291, 0.41, 18
M, 0.34, 0.275, 0.09, 0.2065, 0.0725, 0.043, 0.07, 10
I, 0.535, 0.41, 0.155, 0.6315, 0.2745, 0.1415, 0.1815, 12
F, 0.485, 0.365, 0.14, 0.6195, 0.2595, 0.1445, 0.177, 14
F, 0.455, 0.35, 0.125, 0.4485, 0.1585, 0.102, 0.1335, 16
I, 0.625, 0.46, 0.16, 1.2395, 0.55, 0.273, 0.38, 14
F, 0.465, 0.36, 0.12, 0.4765, 0.192, 0.1125, 0.16, 10
I, 0.575, 0.45, 0.17, 0.9315, 0.358, 0.2145, 0.26, 13
F, 0.515, 0.4, 0.17, 0.796, 0.258, 0.1755, 0.28, 16
F, 0.42, 0.33, 0.125, 0.463, 0.186, 0.11, 0.145, 10
M, 0.35, 0.26, 0.09, 0.198, 0.0725, 0.056, 0.06, 10
M, 0.44, 0.325, 0.08, 0.413, 0.144, 0.1015, 0.13, 8
F, 0.52, 0.405, 0.14, 0.6915, 0.276, 0.137, 0.215, 11
M, 0.54, 0.415, 0.13, 0.8245, 0.272, 0.226, 0.24, 13
M, 0.615, 0.475, 0.17, 1.1825, 0.474, 0.2895, 0.24, 11
M, 0.565, 0.44, 0.175, 1.122, 0.393, 0.2, 0.375, 20
F, 0.47, 0.355, 0.18, 0.441, 0.1525, 0.1165, 0.135, 8
F, 0.5, 0.44, 0.155, 0.742, 0.2025, 0.2005, 0.2115, 14
I, 0.47, 0.37, 0.11, 0.5555, 0.25, 0.115, 0.163, 8
F, 0.565, 0.44, 0.15, 0.983, 0.4475, 0.2355, 0.2485, 9
F, 0.6, 0.485, 0.165, 1.1405, 0.587, 0.2175, 0.288, 9
M, 0.605, 0.475, 0.175, 1.201, 0.5395, 0.275, 0.309, 10
F, 0.655, 0.545, 0.165, 1.6225, 0.6555, 0.299, 0.513, 12
I, 0.465, 0.355, 0.11, 0.474, 0.23, 0.1005, 0.12, 7
F, 0.555, 0.425, 0.14, 0.963, 0.44, 0.224, 0.24, 7
F, 0.595, 0.465, 0.15, 1.0765, 0.491, 0.22, 0.287, 9
M, 0.765, 0.585, 0.18, 2.398, 1.128, 0.512, 0.5335, 12
I, 0.29, 0.21, 0.06, 0.1045, 0.0415, 0.022, 0.035, 5
I, 0.33, 0.24, 0.075, 0.163, 0.0745, 0.033, 0.048, 6
I, 0.375, 0.29, 0.1, 0.219, 0.0925, 0.038, 0.075, 6
I, 0.46, 0.345, 0.11, 0.3755, 0.1525, 0.058, 0.125, 7
I, 0.465, 0.355, 0.105, 0.442, 0.2085, 0.0975, 0.1185, 7
I, 0.475, 0.375, 0.115, 0.5205, 0.233, 0.119, 0.1455, 7
I, 0.495, 0.38, 0.12, 0.512, 0.233, 0.1205, 0.136, 7
M, 0.505, 0.4, 0.135, 0.723, 0.377, 0.149, 0.178, 7
F, 0.545, 0.43, 0.14, 0.832, 0.4355, 0.17, 0.201, 9
M, 0.645, 0.515, 0.16, 1.1845, 0.506, 0.311, 0.335, 9
I, 0.335, 0.25, 0.08, 0.167, 0.0675, 0.0325, 0.0575, 6
I, 0.41, 0.325, 0.11, 0.326, 0.1325, 0.075, 0.101, 8
I, 0.415, 0.335, 0.1, 0.358, 0.169, 0.067, 0.105, 7
I, 0.46, 0.35, 0.1, 0.471, 0.252, 0.077, 0.123, 8
I, 0.51, 0.385, 0.145, 0.7665, 0.3985, 0.14, 0.1805, 8
I, 0.515, 0.39, 0.11, 0.531, 0.2415, 0.098, 0.1615, 8
F, 0.525, 0.415, 0.15, 0.7055, 0.329, 0.147, 0.199, 10
F, 0.57, 0.445, 0.155, 1.017, 0.5265, 0.2025, 0.265, 10
M, 0.58, 0.44, 0.175, 1.2255, 0.5405, 0.2705, 0.3265, 10
F, 0.58, 0.465, 0.145, 0.9865, 0.47, 0.2155, 0.25, 11
F, 0.62, 0.465, 0.14, 1.1605, 0.6005, 0.2195, 0.307, 9
M, 0.7, 0.54, 0.205, 1.74, 0.7885, 0.373, 0.4865, 13
M, 0.71, 0.565, 0.2, 1.601, 0.706, 0.321, 0.45, 11
I, 0.32, 0.235, 0.09, 0.183, 0.098, 0.0335, 0.042, 7
F, 0.58, 0.445, 0.135, 0.95, 0.484, 0.182, 0.2325, 8
M, 0.63, 0.49, 0.165, 1.2005, 0.575, 0.273, 0.294, 10
F, 0.65, 0.525, 0.19, 1.385, 0.8875, 0.3095, 0.405, 11
I, 0.32, 0.205, 0.08, 0.181, 0.088, 0.034, 0.0495, 5
I, 0.545, 0.43, 0.15, 0.742, 0.3525, 0.158, 0.208, 10
M, 0.58, 0.465, 0.15, 0.9065, 0.371, 0.1965, 0.29, 8
F, 0.58, 0.45, 0.17, 0.9705, 0.4615, 0.232, 0.248, 9
I, 0.585, 0.45, 0.135, 0.855, 0.3795, 0.187, 0.26, 9
F, 0.615, 0.495, 0.165, 1.198, 0.5415, 0.2865, 0.3185, 10
M, 0.625, 0.515, 0.165, 1.217, 0.667, 0.2065, 0.3115, 10
F, 0.625, 0.49, 0.145, 0.92, 0.437, 0.1735, 0.28, 10
F, 0.635, 0.485, 0.19, 1.3765, 0.634, 0.2885, 0.406, 11
M, 0.64, 0.505, 0.18, 1.297, 0.59, 0.3125, 0.363, 11
F, 0.655, 0.515, 0.2, 1.494, 0.7255, 0.309, 0.405, 12
F, 0.68, 0.505, 0.17, 1.3435, 0.657, 0.297, 0.355, 12
I, 0.32, 0.215, 0.095, 0.305, 0.14, 0.067, 0.0885, 6
F, 0.535, 0.4, 0.15, 1.224, 0.618, 0.275, 0.2875, 10
F, 0.62, 0.5, 0.17, 1.148, 0.5475, 0.22, 0.3315, 10
M, 0.56, 0.45, 0.145, 0.894, 0.3885, 0.2095, 0.264, 9
I, 0.565, 0.44, 0.135, 0.768, 0.3305, 0.1385, 0.2475, 9
F, 0.595, 0.46, 0.16, 0.921, 0.4005, 0.2025, 0.2875, 9
M, 0.615, 0.49, 0.17, 1.145, 0.4915, 0.208, 0.343, 13
F, 0.695, 0.535, 0.2, 1.5855, 0.667, 0.334, 0.471, 11
I, 0.255, 0.185, 0.06, 0.0925, 0.039, 0.021, 0.025, 6
I, 0.425, 0.32, 0.085, 0.262, 0.1235, 0.067, 0.0725, 8
M, 0.46, 0.355, 0.14, 0.491, 0.207, 0.115, 0.174, 10
F, 0.525, 0.4, 0.135, 0.714, 0.318, 0.138, 0.208, 10
M, 0.55, 0.435, 0.11, 0.806, 0.3415, 0.203, 0.215, 9
M, 0.64, 0.49, 0.14, 1.194, 0.4445, 0.238, 0.375, 15
M, 0.605, 0.47, 0.115, 1.114, 0.3925, 0.291, 0.31, 15
M, 0.56, 0.45, 0.155, 0.9125, 0.3595, 0.271, 0.35, 10
M, 0.35, 0.265, 0.09, 0.2265, 0.0995, 0.0575, 0.065, 6
